Date,High,Low,Close,Open,Volume
2020-01-02,55.71,54.32,55.56,54.32,742848
2020-01-03,55.29,54.7,55.0,55.29,427567
2020-01-06,54.7,53.91,54.02,54.7,389637
2020-01-07,54.75,54.01,54.46,54.46,389689
2020-01-08,54.44,53.6,54.43,54.27,208531
2020-01-09,55.23,54.46,54.58,54.85,348231
2020-01-10,54.73,54.16,54.25,54.73,174714
2020-01-13,54.4,53.65,53.95,54.25,341508
2020-01-14,54.37,53.61,53.9,54.37,170912
2020-01-15,54.0,53.23,53.45,53.9,294994
2020-01-16,54.0,53.42,53.87,53.51,528072
2020-01-17,54.89,54.19,54.41,54.25,617799
2020-01-20,54.9,54.36,54.81,54.73,200808
2020-01-21,54.74,54.09,54.38,54.5,383946
2020-01-22,54.91,53.94,54.17,54.77,264419
2020-01-23,54.62,53.77,53.89,54.17,191605
2020-01-24,54.77,54.24,54.28,54.25,348311
2020-01-27,53.99,52.85,52.87,53.99,775930
2020-01-28,54.3,52.9,54.15,52.9,451567
2020-01-29,54.52,53.69,53.94,54.38,414556
2020-01-30,53.66,52.78,52.93,53.66,495434
2020-01-31,53.69,53.03,53.06,53.26,255475
2020-02-03,53.61,52.92,53.36,53.33,196685
2020-02-04,53.95,53.6,53.8,53.6,444986
2020-02-05,55.8,54.03,55.4,54.1,861800
2020-02-06,59.0,57.5,59.0,57.5,1894117
2020-02-07,60.2,58.9,60.15,59.21,846767
2020-02-10,60.3,59.57,60.13,60.14,288589
2020-02-11,60.71,60.13,60.48,60.25,318576
2020-02-12,60.95,60.27,60.89,60.5,383190
2020-02-13,60.78,60.15,60.61,60.7,335365
2020-02-14,61.06,60.73,60.77,60.77,238290
2020-02-17,61.05,60.5,60.83,60.91,121011
2020-02-18,61.0,60.13,60.15,61.0,365188
2020-02-19,60.65,60.0,60.61,60.15,219207
2020-02-20,61.23,60.57,60.97,60.8,304896
2020-02-21,60.72,60.09,60.37,60.5,447133
2020-02-24,59.51,58.38,58.59,59.0,669007
2020-02-25,59.16,57.6,57.6,58.71,668414
2020-02-26,57.13,54.85,56.92,57.0,648964
2020-02-27,56.17,53.9,54.58,55.82,329643
2020-02-28,53.51,52.28,52.84,52.76,829672
2020-03-02,55.17,52.35,53.29,54.89,521865
2020-03-03,55.31,54.18,54.8,54.5,598576
2020-03-04,54.82,53.34,53.39,54.4,880728
2020-03-05,54.39,52.5,53.06,54.37,669452
