Date,Closing price,50,200
2018-06-04,300.0,,
2018-06-06,294.75,,
2018-06-07,290.45,,
2018-06-08,285.55,,
2018-06-11,283.9,,
2018-06-12,280.5,,
2018-06-13,282.8,,
2018-06-14,285.9,,
2018-06-15,286.85,,
2018-06-18,287.5,,
2018-06-19,288.0,,
2018-06-20,288.55,,
2018-06-21,299.2,,
2018-06-22,301.0,,
2018-06-25,300.35,,
2018-06-26,295.0,,
2018-06-27,294.25,,
2018-06-28,291.5,,
2018-06-29,296.0,,
2018-07-02,298.95,,
2018-07-03,302.35,,
2018-07-04,306.7,,
2018-07-05,304.4,,
2018-07-06,306.9,,
2018-07-09,308.65,,
2018-07-10,314.7,,
2018-07-11,310.9,,
2018-07-12,316.65,,
2018-07-13,316.75,,
2018-07-16,315.9,,
2018-07-17,318.75,,
2018-07-18,321.55,,
2018-07-19,318.1,,
2018-07-20,320.75,,
2018-07-23,321.55,,
2018-07-24,324.25,,
2018-07-25,323.1,,
2018-07-26,329.25,,
2018-07-27,325.8,,
2018-07-30,323.0,,
2018-07-31,318.15,,
2018-08-01,315.65,,
2018-08-02,317.0,,
2018-08-03,320.4,,
2018-08-06,320.0,,
2018-08-07,322.9,,
2018-08-08,303.65,,
2018-08-09,304.5,,
2018-08-10,305.0,,
2018-08-13,308.3,,
2018-08-14,319.3,,
2018-08-15,313.9,,
2018-08-16,313.95,,
2018-08-17,310.0,,
2018-08-20,312.95,,
2018-08-21,317.7,,
2018-08-22,316.0,,
2018-08-23,316.5,,
2018-08-24,315.85,,
2018-08-27,317.85,,
2018-08-28,317.35,,
2018-08-29,317.95,,
2018-08-30,317.25,,
2018-08-31,314.75,,
2018-09-03,312.75,,
2018-09-04,314.5,,
2018-09-05,306.5,,
2018-09-06,306.85,,
2018-09-07,309.15,,
2018-09-10,311.55,,
2018-09-11,310.05,,
2018-09-12,314.35,,
2018-09-13,312.15,,
2018-09-14,308.0,,
2018-09-17,303.2,,
2018-09-18,301.35,,
2018-09-19,300.15,,
2018-09-20,298.5,,
2018-09-21,301.5,,
2018-09-24,300.8,,
2018-09-25,306.8,,
2018-09-26,302.35,,
2018-09-27,303.7,,
2018-09-28,302.4,,
2018-10-01,299.75,,
2018-10-02,302.9,,
2018-10-03,303.05,,
2018-10-04,281.1,,
2018-10-05,286.05,,
2018-10-08,278.45,,
2018-10-09,277.0,,
2018-10-10,274.3,,
2018-10-11,267.3,,
2018-10-12,273.35,,
2018-10-15,273.05,,
2018-10-16,276.35,,
2018-10-17,279.7,,
2018-10-18,283.25,,
2018-10-19,282.15,,
2018-10-22,280.0,,
2018-10-23,275.9,,
2018-10-24,280.5,,
2018-10-25,274.65,,
2018-10-26,275.0,,
2018-10-29,280.85,,
2018-10-30,279.95,,
2018-10-31,284.9,,
2018-11-01,287.6,,
2018-11-02,286.25,,
2018-11-05,283.7,,
2018-11-06,281.15,,
2018-11-07,288.9,,
2018-11-08,292.85,,
2018-11-09,295.5,,
2018-11-12,297.45,,
2018-11-13,292.9,,
2018-11-14,294.65,,
2018-11-15,284.5,,
2018-11-16,288.7,,
2018-11-19,295.15,,
2018-11-20,289.0,,
2018-11-21,289.5,,
2018-11-22,286.5,,
2018-11-23,297.0,,
2018-11-26,304.85,,
2018-11-27,301.2,,
2018-11-28,300.1,,
2018-11-29,299.1,,
2018-11-30,306.0,,
2018-12-03,303.0,,
2018-12-04,304.2,,
2018-12-05,301.0,,
2018-12-06,296.0,,
2018-12-07,300.25,,
2018-12-10,299.85,,
2018-12-11,300.2,,
2018-12-12,302.2,,
2018-12-13,304.95,,
2018-12-14,310.0,,
2018-12-17,305.0,,
2018-12-18,301.5,,
2018-12-19,296.75,,
2018-12-20,299.05,,
2018-12-21,296.2,,
2018-12-27,293.0,,
2018-12-28,297.9,,
2019-01-02,304.3,,
2019-01-03,310.0,,
2019-01-04,312.65,,
2019-01-07,312.4,,
2019-01-08,314.5,,
2019-01-09,317.1,,
2019-01-10,314.55,,
2019-01-11,314.35,,
2019-01-14,303.3,,
2019-01-15,308.95,,
2019-01-16,307.5,,
2019-01-17,310.7,,
2019-01-18,315.1,,
2019-01-21,313.05,,
2019-01-22,316.0,,
2019-01-23,311.35,,
2019-01-24,308.9,,
2019-01-25,303.05,,
2019-01-28,300.85,,
2019-01-29,303.05,,
2019-01-30,306.3,,
2019-01-31,304.2,,
2019-02-01,317.45,,
2019-02-04,314.7,,
2019-02-05,320.3,,
2019-02-06,319.2,,
2019-02-07,320.3,,
2019-02-08,319.45,,
2019-02-11,322.15,,
2019-02-12,325.0,,
2019-02-13,325.0,,
2019-02-14,328.5,,
2019-02-15,330.7,,
2019-02-18,332.5,,
2019-02-19,327.0,,
2019-02-20,327.1,,
2019-02-21,326.95,,
2019-02-22,326.9,,
2019-02-25,325.0,,
2019-02-26,325.6,,
2019-02-27,321.75,,
2019-02-28,321.85,,
2019-03-01,325.8,,
2019-03-04,324.7,,
2019-03-05,328.1,,
2019-03-06,324.85,,
2019-03-07,327.35,,
2019-03-08,328.95,,
2019-03-11,329.5,,
2019-03-12,328.0,,
2019-03-13,330.5,,
2019-03-14,333.0,,
2019-03-15,335.0,,
2019-03-18,338.8,,
2019-03-19,344.5,,
2019-03-20,344.6,,
2019-03-21,344.65,,
2019-03-22,336.35,,
2019-03-25,338.45,,
2019-03-26,345.65,,
2019-03-27,343.85,,
2019-03-28,345.85,,
2019-03-29,348.4,,
2019-04-01,347.6,,
2019-04-02,347.45,,
2019-04-03,339.85,,
2019-04-04,337.55,,
2019-04-05,337.8,,
2019-04-08,340.1,,
2019-04-09,339.25,,
2019-04-10,339.4,,
2019-04-11,338.8,,
2019-04-12,333.85,,
2019-04-15,332.4,,
2019-04-16,331.25,,
2019-04-17,322.75,,
2019-04-18,322.75,,
2019-04-23,324.35,,
2019-04-24,323.5,,
2019-04-25,323.4,,
2019-04-26,327.5,,
2019-04-29,331.95,,
2019-04-30,325.5,,
2019-05-01,327.3,,
2019-05-02,327.05,,
2019-05-03,317.35,,
2019-05-06,317.4,,
2019-05-07,317.8,,
2019-05-08,323.7,,
2019-05-09,322.35,,
2019-05-10,320.0,,
2019-05-13,314.1,,
2019-05-14,314.0,,
2019-05-15,313.0,331.548,311.11999999999995
2019-05-16,313.3,331.25200000000007,311.0957499999999
2019-05-20,316.9,331.093,311.1019999999999
2019-05-21,318.85,330.923,311.11124999999987
2019-05-22,320.45,330.75300000000004,311.1114999999999
2019-05-23,323.9,330.64099999999996,311.13099999999986
2019-05-24,323.95,330.56,311.1362499999999
2019-05-27,321.45,330.37899999999996,311.22524999999985
2019-05-28,323.2,330.18300000000005,311.3187499999999
2019-05-29,314.7,329.77700000000004,311.3672499999999
