Date,Closing price,50,200
2018-06-04,431.44,,
2018-06-05,430.4,,
2018-06-06,430.7,,
2018-06-07,433.29,,
2018-06-08,430.18,,
2018-06-11,433.18,,
2018-06-12,434.3,,
2018-06-13,433.36,,
2018-06-14,436.37,,
2018-06-15,432.64,,
2018-06-18,431.98,,
2018-06-19,428.0,,
2018-06-20,424.9,,
2018-06-21,420.4,,
2018-06-22,420.2,,
2018-06-25,414.67,,
2018-06-26,412.6,,
2018-06-27,417.69,,
2018-06-28,411.36,,
2018-06-29,414.44,,
2018-07-02,409.5,,
2018-07-03,411.45,,
2018-07-04,410.52,,
2018-07-05,413.15,,
2018-07-06,404.65,,
2018-07-09,407.02,,
2018-07-10,411.72,,
2018-07-11,406.66,,
2018-07-12,407.22,,
2018-07-13,406.43,,
2018-07-16,404.2,,
2018-07-17,402.85,,
2018-07-18,403.37,,
2018-07-19,405.38,,
2018-07-20,407.35,,
2018-07-23,406.07,,
2018-07-24,408.74,,
2018-07-25,408.82,,
2018-07-26,412.12,,
2018-07-27,413.18,,
2018-07-30,414.77,,
2018-07-31,413.56,,
2018-08-01,414.45,,
2018-08-02,412.32,,
2018-08-03,411.73,,
2018-08-06,409.8,,
2018-08-07,407.95,,
2018-08-08,408.09,,
2018-08-09,403.37,,
2018-08-10,400.0,,
2018-08-13,394.88,,
2018-08-14,396.97,,
2018-08-15,392.71,,
2018-08-16,391.28,,
2018-08-17,397.79,,
2018-08-20,403.82,,
2018-08-21,405.22,,
2018-08-22,409.86,,
2018-08-23,408.6,,
2018-08-24,415.11,,
2018-08-27,413.63,,
2018-08-28,413.47,,
2018-08-29,414.19,,
2018-08-30,414.02,,
2018-08-31,413.95,,
2018-09-03,415.58,,
2018-09-04,412.56,,
2018-09-05,412.6,,
2018-09-06,412.18,,
2018-09-07,409.9,,
2018-09-10,409.99,,
2018-09-11,412.35,,
2018-09-12,412.3,,
2018-09-13,410.97,,
2018-09-14,412.55,,
2018-09-17,414.33,,
2018-09-18,412.12,,
2018-09-19,410.65,,
2018-09-20,410.99,,
2018-09-21,416.76,,
2018-09-24,415.52,,
2018-09-25,415.43,,
2018-09-26,416.05,,
2018-09-27,418.75,,
2018-09-28,422.05,,
2018-10-01,423.89,,
2018-10-02,423.89,,
2018-10-03,429.67,,
2018-10-04,422.18,,
2018-10-05,420.66,,
2018-10-08,417.64,,
2018-10-09,417.86,,
2018-10-10,409.22,,
2018-10-11,398.3,,
2018-10-12,398.09,,
2018-10-15,398.79,,
2018-10-16,401.39,,
2018-10-17,402.12,,
2018-10-18,403.77,,
2018-10-19,400.66,,
2018-10-22,393.36,,
2018-10-23,387.74,,
2018-10-24,397.06,,
