Date,Closing price,50,200
2018-06-04,1946.8755,,
2018-06-06,1933.8133,,
2018-06-07,1930.72,,
2018-06-08,1940.5085,,
2018-06-11,1956.1689,,
2018-06-12,1974.9776,,
2018-06-13,1986.6493,,
2018-06-14,1961.791,,
2018-06-15,1971.7679,,
2018-06-18,1949.5001,,
2018-06-19,1942.5728,,
2018-06-20,1944.1619,,
2018-06-21,1955.9681,,
2018-06-22,1981.5665,,
2018-06-25,1982.6448,,
2018-06-26,1963.485,,
2018-06-27,1945.6567,,
2018-06-28,1944.074,,
2018-06-29,1954.8234,,
2018-07-02,1946.2304,,
2018-07-03,1946.7968,,
2018-07-04,1973.2182,,
2018-07-05,1956.3508,,
2018-07-06,1970.3032,,
2018-07-09,1966.0812,,
2018-07-10,1974.912,,
2018-07-11,2005.6227,,
2018-07-12,2005.934,,
2018-07-13,2009.681,,
2018-07-16,2013.0603,,
2018-07-17,2021.3098,,
2018-07-18,2027.2395,,
2018-07-19,2033.4188,,
2018-07-20,2050.4427,,
2018-07-23,2035.8655,,
2018-07-24,2044.8451,,
2018-07-25,2052.6275,,
2018-07-26,2032.2438,,
2018-07-27,2034.0619,,
2018-07-30,2018.1013,,
2018-07-31,2005.5721,,
2018-08-01,2010.8555,,
2018-08-02,2019.9048,,
2018-08-03,2002.359,,
2018-08-06,2004.9036,,
2018-08-07,1895.0653,,
2018-08-08,1897.5891,,
2018-08-09,1919.893,,
2018-08-10,1925.1574,,
2018-08-13,1935.1557,,
2018-08-14,1933.4362,,
2018-08-15,1919.7202,,
2018-08-16,1965.9895,,
2018-08-17,1951.169,,
2018-08-20,1977.0794,,
2018-08-21,1968.0918,,
2018-08-22,1977.8392,,
2018-08-23,1972.8615,,
2018-08-24,1973.0875,,
2018-08-27,1976.4662,,
2018-08-28,1990.4314,,
2018-08-29,1966.3069,,
2018-08-30,1974.9956,,
2018-08-31,1971.1624,,
2018-09-03,1972.942,,
2018-09-04,1976.1066,,
2018-09-05,1962.5182,,
2018-09-06,1956.8694,,
2018-09-07,1959.764,,
2018-09-10,1961.5522,,
2018-09-11,1929.3161,,
2018-09-12,1929.6931,,
2018-09-13,1929.5137,,
2018-09-14,1930.0146,,
2018-09-17,1921.2366,,
2018-09-18,1927.6036,,
2018-09-19,1911.3036,,
2018-09-20,1917.5254,,
2018-09-21,1940.0645,,
2018-09-24,1921.0614,,
2018-09-25,1922.2121,,
2018-09-26,1929.4007,,
2018-09-27,1930.1801,,
2018-09-28,1930.6587,,
2018-10-01,1924.4401,,
2018-10-02,1925.6484,,
2018-10-03,1938.5871,,
2018-10-04,1887.7552,,
2018-10-05,1879.4829,,
2018-10-08,1847.333,,
2018-10-09,1836.6466,,
2018-10-10,1811.0867,,
2018-10-11,1820.7083,,
2018-10-12,1861.1286,,
2018-10-15,1851.2797,,
2018-10-16,1895.0131,,
2018-10-17,1877.8719,,
2018-10-18,1887.5932,,
2018-10-19,1890.6116,,
2018-10-22,1901.0842,,
2018-10-23,1855.8878,,
2018-10-24,1867.6259,,
2018-10-25,1849.8225,,
2018-10-26,1817.5302,,
2018-10-29,1839.043,,
2018-10-30,1827.2815,,
2018-10-31,1850.3215,,
2018-11-01,1870.8736,,
2018-11-02,1874.6211,,
2018-11-05,1830.8346,,
2018-11-06,1838.2765,,
2018-11-07,1810.4724,,
2018-11-08,1788.9254,,
2018-11-09,1800.8608,,
2018-11-12,1796.8658,,
2018-11-13,1795.7489,,
2018-11-14,1802.4975,,
2018-11-15,1798.4302,,
2018-11-16,1790.4351,,
2018-11-19,1780.2714,,
2018-11-20,1760.6755,,
2018-11-21,1759.4126,,
2018-11-22,1760.9475,,
2018-11-23,1777.9435,,
2018-11-26,1791.4581,,
2018-11-27,1788.8575,,
2018-11-28,1787.9869,,
2018-11-29,1777.1719,,
2018-11-30,1778.9421,,
2018-12-03,1788.0359,,
2018-12-04,1797.9123,,
2018-12-05,1790.0549,,
