Date,High,Low,Close,Open,Volume
2020-01-02,926.9656,912.7716,917.6325,924.5437,386343
2020-01-03,917.3019,907.6724,912.7273,913.8822,440419
2020-01-06,914.8903,903.0738,903.0738,909.7774,407536
2020-01-07,906.0476,882.6495,892.068,898.7921,482431
2020-01-08,889.8982,867.2904,869.1912,886.669,10975313
2020-01-09,876.1912,868.9221,870.271,875.1113,824852
2020-01-10,880.4968,872.4238,879.6895,874.5766,660773
2020-01-13,897.4671,874.0384,888.8388,876.8318,906219
2020-01-14,896.1523,883.995,895.5595,891.5332,497657
2020-01-15,923.052,896.1489,922.5138,896.1489,671855
2020-01-16,929.5753,916.8457,924.4795,924.6666,620779
2020-01-17,937.2808,926.2238,937.2808,926.9662,742380
2020-01-20,955.307,934.5556,952.0744,940.2409,483913
2020-01-21,952.3504,936.201,943.9639,952.3504,578734
2020-01-22,967.3653,945.3094,965.4816,947.4622,604400
2020-01-23,984.8636,963.5877,982.9799,964.6641,667044
2020-01-24,1010.1863,993.4748,1010.1863,998.6252,661304
2020-01-27,1015.5375,989.6972,993.1955,1010.1965,591643
2020-01-28,1008.0471,998.0495,1001.2821,999.3847,531726
2020-01-29,1013.1156,998.0461,1008.0028,1007.4987,905290
2020-01-30,1008.7998,980.2684,980.2684,992.1259,1351945
2020-01-31,996.9526,966.8476,991.8909,986.1886,975578
2020-02-03,997.7462,985.1429,992.1395,996.9902,626768
2020-02-04,996.7006,963.0529,968.9492,994.0096,1453444
2020-02-05,979.4782,960.3516,963.5672,972.2125,1050224
2020-02-06,967.3687,956.0324,965.7405,963.5672,642143
2020-02-07,986.4475,957.1259,978.3745,957.1259,832332
2020-02-10,985.0952,964.6436,982.6596,980.8066,413807
2020-02-11,999.3574,982.3939,990.4635,994.2309,578124
2020-02-12,1002.3039,977.322,977.322,995.3073,552212
2020-02-13,992.6538,973.7657,980.4693,978.1293,460176
2020-02-14,1004.7428,989.6835,1001.2753,990.484,599047
2020-02-17,1005.3459,991.85,1001.8032,1005.3459,455119
2020-02-18,1033.5843,997.2319,1029.8237,1001.5375,707869
2020-02-19,1043.8271,1029.0232,1039.2354,1033.867,655714
2020-02-20,1041.102,1020.6777,1025.5147,1039.7736,566194
2020-02-21,1039.7736,1021.7541,1037.3517,1026.3357,549827
2020-02-24,1022.793,991.2332,991.2332,1019.5638,556414
2020-02-25,996.8843,964.9263,969.7565,984.2366,591631
2020-02-26,993.4372,946.0586,986.4372,959.5307,787161
2020-02-27,989.1316,953.5695,956.5091,974.3619,641313
2020-02-28,946.0074,920.1773,937.1306,936.3199,1285665
2020-03-02,972.1818,937.6722,955.3269,950.9229,1010646
2020-03-03,972.427,951.4509,967.5354,964.8,776011
2020-03-04,1034.3062,960.0006,1020.5822,962.6916,1378138
2020-03-05,1036.929,1014.1238,1017.6221,1017.9492,626013
2020-03-06,1012.7783,953.2731,963.768,1001.7452,717744
2020-03-09,963.7475,866.8717,919.0224,963.7475,1596511
2020-03-10,955.3576,879.5262,879.5262,915.5002,1024947
2020-03-11,898.4075,847.1455,852.6504,888.72,1476637
2020-03-12,822.6608,766.6847,776.1032,793.7955,1764148
2020-03-13,882.1284,779.0633,797.8661,802.2366,1533371
2020-03-16,789.9735,737.4342,781.0795,760.6621,1486188
2020-03-17,834.392,789.759,834.392,816.8698,1579949
2020-03-18,848.116,760.1888,796.4558,832.7774,1109526
2020-03-19,809.6416,765.288,774.0727,807.2197,1105816
2020-03-20,824.912,797.733,817.173,803.3841,1104129
2020-03-23,829.8821,754.9427,810.9359,777.8845,1021775
2020-03-24,867.0179,822.5072,844.8425,832.733,792778
2020-03-25,919.758,868.1011,903.8913,879.5563,956000
2020-03-26,923.5868,881.8593,923.5868,901.5036,844009
2020-03-27,914.1718,878.3986,888.8662,905.0224,840875
2020-03-30,914.7577,876.2082,909.4434,895.8901,699483
2020-03-31,944.9646,887.156,897.896,922.8984,991790
2020-04-01,894.3773,858.3418,874.205,887.1116,599738
2020-04-02,876.896,848.3373,868.8231,876.896,619474
2020-04-03,869.0922,850.9805,869.0922,864.4697,466215
2020-04-06,889.0055,855.8994,863.9622,889.0055,470667
2020-04-07,884.676,870.4342,873.8847,878.497,567786
2020-04-08,892.3843,870.6897,881.9577,883.8721,476251
2020-04-09,881.9577,881.9577,881.9577,881.9577,0
2020-04-14,946.2759,881.9611,928.2121,881.9611,949926
2020-04-15,931.2029,913.1425,916.1026,929.8233,449543
2020-04-16,924.1859,908.8404,918.252,913.6842,459515
2020-04-17,938.7275,918.8073,926.6112,938.7275,480997
2020-04-20,934.4287,922.8438,926.325,927.7012,298073
2020-04-21,933.3387,922.8438,930.1095,929.0194,501943
2020-04-22,946.0,929.3158,943.0399,932.545,378774
2020-04-23,970.4915,947.073,964.5713,947.8803,468739
2020-04-24,970.1882,953.8039,961.0525,959.1859,369389
2020-04-27,965.3445,953.7698,954.0423,965.0754,337826
2020-04-28,970.7435,948.4082,956.4334,960.7868,491541
2020-04-29,988.7322,949.9751,949.9955,988.7322,510507
2020-04-30,949.4369,920.6569,927.3775,943.2476,990606
2020-05-01,928.723,910.1551,922.8267,921.9955,197818
2020-05-04,919.0525,900.2053,909.3683,906.4082,473772
2020-05-05,925.5143,911.2657,921.2053,912.5975,392970
2020-05-06,931.1859,915.5542,929.8097,917.1688,402986
2020-05-07,942.7264,927.1357,937.6135,932.5006,414876
2020-05-11,950.2442,929.0228,940.8564,937.6272,296293
2020-05-12,962.0879,935.2155,949.9853,944.6272,576047
2020-05-13,976.3639,943.2578,976.3639,943.2578,470848
2020-05-14,980.9317,963.1609,964.5064,970.4437,546218
2020-05-15,969.3502,949.9751,949.9751,968.2738,467631
2020-05-18,994.649,955.8987,985.4928,962.6261,390960
2020-05-19,997.3332,976.0811,978.4962,990.3366,386929
2020-05-20,999.4723,969.8952,998.9443,969.8952,536786
2020-05-25,1030.4085,999.2134,1029.6012,999.2134,387487
2020-05-26,1047.6343,1019.8966,1031.7472,1041.7073,542466
2020-05-27,1041.697,994.8669,1011.8338,1041.697,562351
2020-05-28,1029.3492,1011.8577,1025.3024,1016.974,479226
2020-05-29,1060.5545,1027.738,1059.7131,1027.738,1093326
2020-06-02,1067.5579,1032.5511,1050.0289,1062.9832,570111
2020-06-03,1064.8259,1039.3264,1060.0299,1053.3161,499759
2020-06-04,1064.8703,1046.299,1047.3584,1056.5282,446211
2020-06-08,1042.0037,1014.2864,1020.2032,1042.0037,932984
2020-06-09,1025.8577,997.8645,1008.6319,1025.8577,745795
2020-06-10,1031.5088,1007.5999,1030.4051,1019.7094,511130
2020-06-11,1033.9,1001.8908,1004.8509,1016.9774,359745
2020-06-12,1019.8966,985.4757,1009.1326,991.3959,456519
2020-06-15,1017.4986,979.8007,1013.1486,1002.6742,485155
2020-06-16,1007.5794,982.2056,999.2237,991.3549,1045107
2020-06-17,1017.5225,999.2647,1003.8257,1002.9911,689422
2020-06-18,1027.2237,1000.6443,1014.5897,1001.1791,478175
2020-06-19,1046.3503,1015.4311,1015.4311,1017.0116,899382
2020-06-22,1047.1678,1020.8199,1047.1678,1021.3581,483790
2020-06-23,1054.4335,1039.0948,1045.5532,1052.2807,440165
2020-06-24,1053.8577,1023.2009,1026.161,1045.7847,460328
2020-06-25,1039.8987,1014.3206,1025.8748,1021.0481,403414
2020-06-26,1036.3697,1018.0982,1018.6125,1029.3731,333547
2020-06-29,1037.7152,1014.0549,1037.7152,1014.324,287350
2020-06-30,1039.6193,1026.1644,1030.9638,1039.6193,518263
2020-07-01,1034.193,1020.738,1031.8155,1030.6947,314522
2020-07-02,1059.2773,1033.161,1057.3321,1042.3103,357895
2020-07-03,1083.9832,1062.1759,1073.2261,1062.1759,395578
2020-07-06,1084.5283,1062.2715,1068.1746,1084.5283,300330
2020-07-07,1080.3695,1052.0457,1080.3695,1073.5737,454360
2020-07-08,1134.4585,1080.9042,1132.5748,1085.748,695473
2020-07-09,1152.9069,1133.8008,1134.1382,1137.8373,787177
2020-07-10,1148.4004,1129.5635,1147.8793,1136.0219,318274
2020-07-13,1147.8793,1147.8793,1147.8793,1147.8793,0
2020-07-14,1160.7483,1139.4963,1146.0024,1154.2899,389307
2020-07-15,1187.9922,1146.8132,1187.4369,1153.0024,433807
2020-07-16,1192.5362,1169.1382,1187.4233,1177.7494,438877
2020-07-17,1193.3435,1175.3309,1177.2146,1187.1542,424736
2020-07-20,1186.8987,1176.9455,1183.9079,1176.9455,394559
2020-07-21,1226.1463,1184.7289,1212.9707,1194.9683,486455
2020-07-22,1223.9491,1207.2923,1218.8021,1223.37,515410
2020-07-23,1247.3642,1221.8032,1232.7987,1224.7735,495959
2020-07-24,1223.6493,1203.2251,1219.0746,1223.6493,415944
2020-07-27,1231.4498,1210.46,1213.9583,1217.1875,237166
2020-07-28,1226.606,1210.4839,1226.606,1217.2046,250704
2020-07-29,1241.1135,1219.3403,1233.0576,1230.6425,318443
2020-07-30,1230.1009,1205.8819,1214.7383,1222.8318,282764
2020-07-31,1236.59,1213.4201,1213.4201,1226.5787,377655
2020-08-03,1226.6162,1194.2902,1225.8055,1216.3563,292436
2020-08-04,1230.0804,1195.9082,1201.0518,1224.7325,381233
2020-08-05,1220.9652,1202.9048,1203.443,1208.0484,276417
2020-08-06,1210.9948,1186.2342,1190.5193,1210.9948,257188
2020-08-07,1218.5262,1192.9412,1206.1442,1192.9412,318116
2020-08-10,1213.3928,1192.4235,1192.4235,1211.24,220070
2020-08-11,1222.5422,1199.6721,1205.858,1208.0142,349581
2020-08-12,1205.3198,1156.8819,1195.6118,1198.3232,350480
2020-08-13,1212.0234,1188.8979,1212.0234,1197.2264,341444
2020-08-14,1204.7748,1188.6288,1198.0473,1202.3392,269481
2020-08-17,1207.7349,1182.9777,1202.8774,1198.0473,332104
2020-08-18,1201.5354,1183.5159,1185.1305,1193.9972,347136
2020-08-19,1190.4989,1175.6916,1181.3563,1185.3996,276018
2020-08-20,1187.8079,1173.0074,1178.3894,1184.8546,267913
2020-08-21,1200.1864,1175.9675,1195.8809,1181.3495,295632
2020-08-24,1229.7976,1207.9903,1218.7543,1207.9903,319469
2020-08-25,1222.7908,1209.874,1209.874,1219.2925,193550
2020-08-26,1221.1899,1200.2001,1217.6711,1201.5456,264573
2020-08-27,1220.093,1203.6916,1204.5228,1214.9801,254569
2020-08-28,1206.4099,1185.3996,1190.5125,1185.3996,340668
2020-08-31,1202.3734,1188.3802,1188.622,1202.3734,449612
2020-09-01,1200.7315,1181.0872,1185.1237,1189.6984,344430
2020-09-02,1214.2138,1186.476,1214.2138,1188.3597,427758
2020-09-03,1233.5992,1191.354,1191.354,1220.4099,548249
2020-09-04,1183.8192,1132.4211,1142.3778,1178.4372,519202
2020-09-07,1171.7097,1151.5272,1166.3277,1151.5272,252709
2020-09-08,1170.9024,1138.6036,1142.6401,1170.6333,354037
2020-09-09,1177.1087,1148.3253,1169.0358,1148.3253,370715
2020-09-10,1181.4143,1151.5272,1159.5968,1175.2251,475582
2020-09-11,1168.1773,1149.3539,1160.1043,1164.7131,243471
2020-09-14,1171.4474,1149.0985,1153.1418,1171.4474,194896
2020-09-15,1164.6824,1152.297,1153.1282,1161.7496,339587
2020-09-16,1175.9777,1154.7428,1171.1339,1155.5501,324745
2020-09-17,1179.4999,1160.1316,1160.1316,1167.3665,313463
2020-09-18,1162.2844,1149.9058,1153.6459,1159.5934,701748
2020-09-21,1157.4133,1140.712,1151.2069,1154.7223,334624
2020-09-22,1166.004,1139.6322,1158.2001,1158.2001,307242
2020-09-23,1189.9402,1159.8079,1185.0964,1163.8443,367689
2020-09-24,1180.2663,1160.6083,1163.5684,1170.5787,264038
2020-09-25,1195.3085,1165.2035,1185.11,1166.2833,563985
2020-09-28,1208.7635,1185.3757,1187.2594,1199.345,345875
2020-09-29,1205.565,1186.7281,1195.3324,1192.11,304226
2020-09-30,1196.4088,1178.9276,1178.9276,1192.9105,772849
2020-10-01,1252.3884,1193.459,1252.3884,1195.0633,625142
2020-10-02,1269.0759,1244.8536,1266.654,1248.3519,345878
2020-10-05,1287.0646,1261.5343,1276.5834,1276.6107,380052
2020-10-06,1298.1182,1279.2949,1286.0156,1288.9518,305852
2020-10-07,1326.653,1287.6267,1326.653,1292.4705,381287
2020-10-08,1337.6758,1319.9358,1337.6758,1337.1376,335575
2020-10-09,1353.3007,1330.6827,1346.563,1347.2459,360117
2020-10-12,1413.8549,1347.9221,1413.8549,1350.6131,620199
2020-10-13,1417.2255,1371.4717,1382.2221,1417.2255,568365
2020-10-14,1442.7831,1378.1992,1415.197,1389.636,482443
2020-10-15,1407.8173,1378.2095,1399.2286,1405.1263,751014
2020-10-16,1412.6562,1381.037,1383.0553,1401.9093,2403536
2020-10-19,1393.8329,1374.9925,1374.9925,1389.1237,443050
2020-10-20,1373.647,1347.4166,1352.7986,1366.2468,462611
2020-10-21,1352.7986,1327.3653,1327.3653,1352.7986,604331
2020-10-22,1333.2889,1305.8408,1305.8408,1329.2524,558825
2020-10-23,1323.6013,1304.4918,1312.2992,1306.9137,352691
2020-10-26,1325.7575,1294.542,1301.8009,1294.542,389130
2020-10-27,1306.6446,1281.0802,1283.7712,1303.1464,584295
2020-10-28,1314.9867,1259.2831,1271.3926,1267.8943,772144
2020-10-29,1310.4052,1260.6286,1310.4052,1260.6286,661968
2020-10-30,1366.9127,1317.4018,1366.24,1340.0062,637929
2020-11-02,1389.7862,1346.468,1374.9891,1389.7862,512301
2020-11-03,1393.1533,1375.6619,1387.7713,1382.3996,402738
2020-11-04,1414.0085,1307.4554,1411.3176,1347.4166,671902
2020-11-05,1454.3769,1427.4669,1440.9185,1434.191,631176
2020-11-06,1460.4282,1421.4088,1439.5696,1460.4282,382039
2020-11-09,1530.4078,1408.6368,1429.492,1439.5867,791950
2020-11-10,1490.0394,1415.3643,1453.711,1466.4932,693630
2020-11-11,1522.3348,1453.711,1522.3348,1478.6027,710108
2020-11-12,1527.0474,1496.7703,1504.8433,1518.2983,662439
2020-11-13,1518.2983,1488.6973,1494.7521,1514.9345,394269
2020-11-16,1483.9881,1459.7691,1474.5696,1474.5696,460855
2020-11-17,1498.1158,1472.5548,1476.5879,1475.2424,444294
2020-11-18,1490.0428,1447.6597,1455.0599,1475.2458,577043
2020-11-19,1499.4613,1449.6779,1484.6643,1449.6779,356283
2020-11-20,1532.4294,1482.6426,1529.7384,1488.6973,418760
2020-11-23,1530.4112,1514.9414,1514.9414,1524.353,314122
2020-11-24,1520.3165,1423.4407,1431.5171,1508.2071,928597
2020-11-25,1479.2754,1432.8626,1471.2024,1433.5353,461630
2020-11-26,1488.6734,1455.0462,1480.6005,1477.9299,190856
2020-11-27,1517.6358,1476.5947,1516.9596,1485.337,387072
2020-11-30,1523.0212,1500.8136,1513.6027,1518.3051,793603
2020-12-01,1525.7156,1486.0268,1506.8752,1504.1842,446235
2020-12-02,1486.6927,1422.785,1432.8728,1436.9093,656766
2020-12-03,1453.0553,1418.7451,1419.4179,1424.7998,510145
2020-12-04,1432.2035,1381.7439,1394.5261,1426.1488,522079
2020-12-07,1412.6938,1383.0894,1399.9081,1399.9115,473646
2020-12-08,1421.4361,1403.2719,1411.3517,1405.9629,385437
2020-12-09,1422.7884,1402.5991,1422.7884,1415.3882,444264
2020-12-10,1473.8764,1426.1522,1444.2823,1428.1704,495004
2020-12-11,1463.1192,1428.1397,1440.9287,1446.9732,292056
2020-12-14,1457.0679,1428.1363,1448.9949,1442.264,65755425
2020-12-15,1457.0645,1419.4144,1434.2013,1456.3917,344331
2020-12-16,1457.7679,1434.8746,1457.0946,1440.9346,364757
2020-12-17,1490.7613,1454.4013,1490.7613,1459.7879,471176
2020-12-18,1501.5347,1486.048,1495.4746,1499.5147,647220
2020-12-21,1515.6747,1474.6013,1515.6747,1500.8613,409678
2020-12-22,1572.2347,1517.6947,1572.2347,1521.0613,409305
2020-12-23,1603.8814,1574.9281,1601.8614,1599.1681,303562
2020-12-28,1720.3682,1619.3681,1711.6148,1624.7548,362257
2020-12-29,1745.2815,1691.4148,1713.6348,1735.8549,389967
2020-12-30,1716.3282,1674.5815,1674.5815,1716.3282,437682
