Date,High,Low,Close,Open,Volume
2020-01-02,8.4,8.37,8.38,8.4,1138024
2020-01-03,8.39,8.37,8.38,8.39,422979
2020-01-07,8.4,8.36,8.38,8.37,3145644
2020-01-08,8.48,8.41,8.47,8.41,6426321
2020-01-09,8.49,8.44,8.44,8.47,6146674
2020-01-10,8.47,8.44,8.45,8.45,661092
2020-01-13,8.48,8.44,8.45,8.45,266740
2020-01-14,8.47,8.44,8.44,8.46,545776
2020-01-15,8.46,8.44,8.45,8.45,823795
2020-01-16,8.51,8.48,8.5,8.48,896615
2020-01-17,8.51,8.49,8.5,8.5,219784
2020-01-20,8.51,8.49,8.49,8.5,154431
2020-01-21,8.5,8.48,8.5,8.49,75700
2020-01-22,8.51,8.49,8.49,8.49,60707
2020-01-23,8.5,8.49,8.5,8.49,159598
2020-01-24,8.51,8.49,8.5,8.49,102199
2020-01-27,8.5,8.49,8.49,8.49,42783
2020-01-28,8.51,8.49,8.51,8.5,45614
2020-01-29,8.5,8.49,8.49,8.5,89978
2020-01-30,8.5,8.49,8.49,8.49,93778
2020-01-31,8.5,8.49,8.49,8.49,153919
2020-02-03,8.49,8.48,8.48,8.49,73641
2020-02-04,8.5,8.48,8.49,8.48,121976
2020-02-05,8.5,8.48,8.48,8.49,109283
2020-02-06,8.5,8.48,8.5,8.48,84200
2020-02-07,8.5,8.48,8.5,8.48,56090
2020-02-10,8.5,8.48,8.49,8.48,81988
2020-02-11,8.5,8.48,8.49,8.49,47375
2020-02-12,8.48,8.46,8.46,8.47,224619
2020-02-13,8.48,8.44,8.46,8.46,70919
2020-02-14,8.5,8.44,8.48,8.45,34465
2020-02-17,8.48,8.43,8.48,8.43,22326
2020-02-18,8.48,8.45,8.46,8.48,27815
2020-02-19,8.73,8.48,8.64,8.48,62582
2020-02-20,8.6,8.47,8.57,8.6,30603
2020-02-21,8.57,8.53,8.54,8.54,6171
2020-02-24,8.9,8.5,8.67,8.64,50150
2020-02-25,8.89,8.7,8.7,8.89,8831
2020-02-26,8.89,8.66,8.72,8.89,18814
2020-02-27,8.72,8.58,8.63,8.72,1288
2020-02-28,8.65,8.58,8.65,8.58,38703
2020-03-02,8.68,8.44,8.54,8.44,43476
2020-03-03,8.6,8.52,8.52,8.54,20877
2020-03-04,8.55,8.5,8.54,8.52,22886
2020-03-05,8.67,8.55,8.6,8.55,1715
2020-03-06,8.55,8.43,8.44,8.43,121495
2020-03-09,8.9,8.5,8.55,8.5,21934
2020-03-10,8.5,8.26,8.5,8.5,61143
2020-03-11,8.49,8.32,8.48,8.49,14533
2020-03-12,8.35,6.81,7.3,8.35,102005
2020-03-13,7.15,6.45,7.15,7.15,189254
2020-03-16,6.95,5.8,6.52,6.75,41436
2020-03-17,6.4,5.98,6.22,6.27,31204
2020-03-18,6.42,6.09,6.26,6.22,19434
2020-03-19,6.25,6.13,6.14,6.25,31424
2020-03-20,6.49,6.15,6.39,6.25,54708
2020-03-23,6.6,6.3,6.6,6.39,13873
2020-03-24,6.99,6.6,6.72,6.99,6841
2020-03-25,6.88,6.72,6.84,6.88,1807
2020-03-26,6.88,6.68,6.68,6.88,896
2020-03-27,6.7,6.6,6.7,6.68,2527
2020-03-30,6.9,6.11,6.49,6.6,12126
2020-03-31,6.49,6.2,6.43,6.2,26567
2020-04-01,6.45,6.15,6.36,6.15,59189
2020-04-02,6.75,6.4,6.4,6.42,35368
2020-04-03,6.45,6.3,6.32,6.45,17507
2020-04-06,6.86,6.22,6.52,6.32,27039
2020-04-07,6.73,6.22,6.57,6.55,20887
2020-04-08,6.55,6.22,6.45,6.51,17404
2020-04-09,6.61,6.31,6.48,6.31,3595
2020-04-14,6.98,6.48,6.61,6.48,20705
2020-04-15,6.86,6.51,6.53,6.64,39729
2020-04-16,6.68,6.54,6.56,6.6,12556
2020-04-17,6.58,6.25,6.51,6.25,15055
2020-04-20,6.64,6.49,6.56,6.49,2787
2020-04-21,6.7,6.25,6.46,6.7,7120
2020-04-22,6.58,6.13,6.52,6.13,9748
2020-04-23,6.7,6.5,6.66,6.5,20030
2020-04-24,6.92,6.43,6.69,6.66,40515
2020-04-27,6.99,6.35,6.73,6.68,33982
2020-04-28,6.89,6.73,6.87,6.73,3289
2020-04-29,6.88,6.36,6.77,6.87,32125
2020-04-30,6.97,6.51,6.69,6.7,17899
2020-05-04,6.99,6.6,6.6,6.73,60912
2020-05-05,6.98,6.66,6.76,6.67,433
2020-05-06,6.95,6.65,6.95,6.76,6304
2020-05-07,6.93,6.77,6.79,6.77,9703
2020-05-08,6.88,6.69,6.82,6.79,24688
2020-05-11,6.89,6.64,6.65,6.81,46098
2020-05-12,6.93,6.66,6.73,6.67,28848
2020-05-13,6.87,6.73,6.75,6.75,3515
2020-05-14,6.75,6.64,6.64,6.74,22372
2020-05-15,6.68,6.64,6.68,6.64,5500
2020-05-18,6.65,6.5,6.59,6.5,67979
2020-05-19,6.54,6.43,6.5,6.54,119709
2020-05-20,6.5,6.44,6.5,6.5,16634
2020-05-22,6.66,6.43,6.55,6.49,151210
2020-05-25,7.04,6.54,6.75,6.9,13172
2020-05-26,6.79,6.7,6.75,6.76,45986
2020-05-27,6.91,6.75,6.79,6.75,191911
2020-05-28,7.0,6.79,6.97,6.79,10973
2020-05-29,7.4,6.95,7.4,6.97,87696
2020-06-01,7.9,7.1,7.75,7.4,65913
2020-06-02,8.12,7.84,8.1,7.9,444598
2020-06-03,8.21,7.95,8.18,8.1,72016
2020-06-04,8.1,8.09,8.1,8.1,20124
2020-06-05,8.52,8.01,8.52,8.11,153432
2020-06-08,8.6,8.2,8.22,8.5,190720
2020-06-09,8.5,8.22,8.4,8.22,40089
2020-06-10,8.5,8.21,8.36,8.4,22609
2020-06-11,8.5,8.23,8.5,8.35,39739
2020-06-12,8.5,8.22,8.23,8.5,67438
2020-06-15,8.26,8.17,8.17,8.23,20973
2020-06-16,8.27,8.15,8.27,8.17,12688
2020-06-17,8.29,8.15,8.15,8.16,6367
2020-06-18,8.25,8.0,8.22,8.08,94525
2020-06-22,8.14,7.25,8.08,7.48,56333
2020-06-23,8.02,7.87,7.88,7.96,111044
2020-06-24,8.09,7.9,7.91,8.0,25572
2020-06-25,7.99,7.91,7.95,7.91,583
2020-06-26,8.07,7.89,7.9,7.95,2760
2020-06-29,8.41,7.65,8.41,7.9,141710
2020-06-30,8.49,8.19,8.48,8.42,172037
2020-07-01,8.47,8.23,8.29,8.23,7036
2020-07-02,8.43,8.13,8.34,8.28,15189
2020-07-03,8.44,8.32,8.35,8.4,15575
2020-07-06,8.48,8.3,8.45,8.4,11997
2020-07-07,8.4,8.24,8.25,8.31,21694
2020-07-08,8.48,8.29,8.29,8.48,2106
2020-07-09,8.5,8.31,8.32,8.5,14354
2020-07-10,8.43,8.3,8.32,8.3,8702
2020-07-13,8.46,8.2,8.46,8.2,19598
2020-07-14,8.46,8.35,8.36,8.46,7950
2020-07-15,8.37,8.36,8.36,8.37,7085
2020-07-16,8.47,8.36,8.4,8.36,8236
