Date,High,Low,Close,Open,Volume
2020-01-02,168.2,166.6,167.6,167.4,24480
2020-01-03,167.6,165.4,166.4,167.6,5827
2020-01-06,168.0,165.0,167.0,166.4,5121
2020-01-07,166.2,165.2,166.0,165.2,25573
2020-01-08,168.0,166.0,168.0,166.0,6697
2020-01-09,168.6,167.6,168.6,168.4,3741
2020-01-10,168.8,168.0,168.8,168.0,7024
2020-01-13,170.8,167.0,170.0,169.0,207191
2020-01-14,173.0,170.0,172.0,172.0,184110
2020-01-15,173.0,170.0,171.4,173.0,4363
2020-01-16,170.6,168.6,168.6,170.0,72321
2020-01-17,169.0,167.0,168.0,169.0,5707
2020-01-20,172.0,168.0,172.0,168.0,6121
2020-01-21,171.8,170.0,170.2,171.8,661
2020-01-22,174.4,170.0,170.2,171.4,7804
2020-01-23,172.4,169.0,170.0,170.2,4582
2020-01-24,172.6,168.8,172.6,171.0,10051
2020-01-27,172.0,168.2,169.6,172.0,4291
2020-01-28,169.0,166.0,169.0,166.0,1659
2020-01-29,172.0,168.0,172.0,169.0,3991
2020-01-30,171.8,169.0,170.0,170.2,3027
2020-01-31,171.8,169.0,170.4,169.0,305419
2020-02-03,170.2,169.0,169.8,170.2,3066
2020-02-04,171.2,170.0,170.8,170.6,3286
2020-02-05,171.2,170.0,171.2,170.8,1235
2020-02-06,175.0,172.0,174.4,172.0,9848
2020-02-07,174.8,170.0,171.0,174.0,13701
2020-02-10,171.6,168.8,171.6,171.0,35158
2020-02-11,174.0,172.6,173.0,174.0,1756
2020-02-12,173.2,172.0,173.0,172.8,18743
2020-02-13,175.8,173.4,174.0,173.4,6696
2020-02-14,175.4,174.0,174.0,174.4,51657
2020-02-17,176.0,174.0,175.4,176.0,11266
2020-02-18,175.8,174.2,175.2,175.0,2490
2020-02-19,181.6,176.0,181.6,176.8,15444
2020-02-20,189.6,182.4,186.8,182.4,14747
2020-02-21,188.8,186.8,187.0,187.2,6388
2020-02-24,182.8,176.0,179.0,179.0,15052
2020-02-25,180.0,174.4,177.0,178.8,7620
2020-02-26,176.8,170.4,175.4,174.6,15184
2020-02-27,174.4,167.4,169.8,174.4,5114
2020-02-28,170.2,161.0,168.0,170.2,21896
2020-03-02,176.2,166.6,169.2,173.0,17417
2020-03-03,176.0,170.2,173.0,170.2,5146
2020-03-04,170.0,168.0,169.8,170.0,603697
2020-03-05,173.0,170.2,171.0,171.2,2611
2020-03-06,169.4,165.2,167.4,169.0,3012
2020-03-09,161.0,150.2,158.2,161.0,29254
2020-03-10,157.8,154.2,157.8,155.8,19698
2020-03-11,157.8,152.4,152.4,157.8,14382
2020-03-12,145.0,135.0,136.0,145.0,15276
2020-03-13,143.0,132.6,133.6,137.0,74869
2020-03-16,131.8,111.6,112.0,131.4,288476
2020-03-17,113.2,108.0,108.0,109.8,370993
2020-03-18,107.6,91.1,91.7,106.6,223724
2020-03-19,95.4,87.8,89.0,92.8,203314
2020-03-20,106.0,92.2,92.2,94.6,76682
2020-03-23,90.0,85.9,85.9,90.0,213088
2020-03-24,94.5,87.2,92.8,90.1,178459
2020-03-25,98.9,93.0,96.5,96.0,86489
2020-03-26,101.2,94.8,99.1,96.9,68214
2020-03-27,110.0,102.6,103.2,107.0,55465
2020-03-30,107.0,104.0,105.8,106.4,13860
2020-03-31,113.0,108.0,113.0,108.0,31114
2020-04-01,114.5,103.0,109.5,113.0,31983
2020-04-02,114.5,107.0,114.0,110.0,49841
2020-04-03,119.5,115.5,118.0,118.5,24829
2020-04-06,121.0,113.0,119.5,119.0,78066
2020-04-07,122.0,119.0,121.5,121.0,33894
2020-04-08,121.5,118.5,118.5,121.5,17470
2020-04-09,118.5,118.5,118.5,118.5,0
2020-04-14,131.0,119.5,126.0,119.5,49045
2020-04-15,129.0,123.0,124.0,128.0,23324
2020-04-16,127.5,124.0,127.5,126.0,24946
2020-04-17,128.5,127.5,128.5,128.0,776523
2020-04-20,130.0,124.0,126.5,129.0,16996
2020-04-21,127.0,123.0,123.0,126.5,12837
2020-04-22,126.5,121.0,125.0,123.0,14709
2020-04-23,125.0,122.5,125.0,125.0,13516
2020-04-24,124.5,121.5,123.0,123.0,5175
2020-04-27,125.5,122.0,125.0,122.0,9900
2020-04-28,125.0,123.5,124.5,125.0,7321
2020-04-29,127.0,123.0,126.5,124.5,313600
2020-04-30,132.0,126.5,132.0,126.5,42019
2020-05-04,133.0,129.0,133.0,130.0,21212
2020-05-05,133.0,131.0,132.0,133.0,9416
2020-05-06,133.0,128.0,130.5,132.5,21825
2020-05-07,131.5,129.0,131.5,130.5,10498
2020-05-08,140.0,133.0,139.5,133.0,15942
2020-05-11,144.0,135.5,137.0,140.0,12767
2020-05-12,142.0,134.5,142.0,135.0,21242
2020-05-13,143.0,133.5,135.5,143.0,45690
2020-05-14,137.0,126.5,126.5,137.0,17897
2020-05-15,131.0,127.5,129.5,129.5,5456
2020-05-18,132.0,129.0,132.0,129.0,8479
2020-05-19,131.0,130.5,130.5,131.0,7957
2020-05-20,132.5,128.5,132.0,130.0,44044
2020-05-22,132.0,128.5,131.0,132.0,11147
2020-05-25,131.0,128.5,129.5,131.0,14479
2020-05-26,141.5,130.0,139.5,130.0,49002
2020-05-27,141.5,139.5,140.0,140.0,12453
2020-05-28,143.5,140.5,140.5,141.0,35830
2020-05-29,142.0,140.0,142.0,140.5,14454
2020-06-02,143.0,139.0,139.5,142.0,4881
2020-06-03,141.5,138.5,139.0,140.5,19400
2020-06-04,140.5,137.0,139.0,139.0,13169
2020-06-05,141.5,138.5,140.0,140.5,17412
2020-06-08,145.5,141.0,145.5,141.0,27976
2020-06-09,147.0,139.5,139.5,145.5,33589
2020-06-10,145.0,139.5,142.5,145.0,33588
2020-06-11,142.5,137.0,137.5,142.5,20076
2020-06-12,140.5,134.5,139.5,135.0,9450
2020-06-15,140.0,136.5,139.5,139.0,18451
2020-06-16,142.0,139.0,139.0,141.5,12782
2020-06-17,141.0,138.5,140.0,138.5,4867
2020-06-18,140.0,137.5,138.5,140.0,8347
2020-06-19,142.0,138.5,140.0,138.5,10494
2020-06-22,143.5,138.0,139.0,140.0,9483
2020-06-23,140.0,138.0,138.0,140.0,2157
2020-06-24,140.0,138.0,139.0,138.5,5686
2020-06-25,141.5,137.5,138.5,141.5,18477
2020-06-26,140.5,137.5,140.0,139.5,5995
2020-06-29,140.0,138.0,140.0,140.0,4470
2020-06-30,141.0,138.5,140.0,138.5,31754
2020-07-01,141.0,138.5,141.0,140.0,6583
2020-07-02,142.5,140.0,142.0,141.0,3320
