Date,Closing price,50,200
2018-06-04,1220.2743,,
2018-06-05,1231.1866,,
2018-06-06,1239.0828,,
2018-06-07,1236.4751,,
2018-06-08,1237.2868,,
2018-06-11,1233.1084,,
2018-06-12,1222.4897,,
2018-06-13,1218.1725,,
2018-06-14,1233.6712,,
2018-06-15,1245.6837,,
2018-06-18,1240.0799,,
2018-06-19,1223.983,,
2018-06-20,1240.3539,,
2018-06-21,1227.4168,,
2018-06-25,1219.8126,,
2018-06-26,1217.8926,,
2018-06-27,1211.214,,
2018-06-28,1205.9706,,
2018-06-29,1201.3312,,
2018-07-02,1191.048,,
2018-07-03,1200.5997,,
2018-07-04,1197.9669,,
2018-07-05,1196.6525,,
2018-07-06,1203.3156,,
2018-07-09,1213.8393,,
2018-07-10,1224.3054,,
2018-07-11,1211.277,,
2018-07-12,1217.9828,,
2018-07-13,1212.6572,,
2018-07-16,1215.4623,,
2018-07-17,1228.2163,,
2018-07-18,1222.6708,,
2018-07-19,1223.0076,,
2018-07-20,1229.0862,,
2018-07-23,1228.195,,
2018-07-24,1239.4645,,
2018-07-25,1240.265,,
2018-07-26,1240.0169,,
2018-07-27,1264.3076,,
2018-07-30,1244.9754,,
2018-07-31,1245.6459,,
2018-08-01,1247.5068,,
2018-08-02,1246.6433,,
2018-08-03,1245.251,,
2018-08-06,1243.5019,,
2018-08-07,1244.0709,,
2018-08-08,1257.9794,,
2018-08-09,1267.0516,,
2018-08-10,1255.0553,,
2018-08-13,1245.0829,,
2018-08-14,1241.8395,,
2018-08-15,1225.5771,,
2018-08-16,1235.3474,,
2018-08-17,1232.0965,,
2018-08-20,1240.4264,,
2018-08-21,1242.9657,,
2018-08-22,1227.065,,
2018-08-23,1231.0017,,
2018-08-24,1229.2763,,
2018-08-27,1238.7513,,
2018-08-28,1244.9683,,
2018-08-29,1244.5541,,
2018-08-30,1241.8981,,
2018-08-31,1228.8577,,
2018-09-03,1226.8333,,
2018-09-04,1212.1416,,
2018-09-05,1202.0214,,
2018-09-06,1191.9295,,
2018-09-07,1197.188,,
2018-09-10,1199.1379,,
2018-09-11,1242.4434,,
2018-09-12,1242.9644,,
2018-09-13,1248.6019,,
2018-09-14,1252.4862,,
2018-09-17,1248.1772,,
2018-09-18,1247.7043,,
2018-09-19,1259.9291,,
2018-09-20,1267.2582,,
2018-09-21,1261.7124,,
2018-09-24,1263.2713,,
2018-09-25,1263.431,,
2018-09-26,1262.6517,,
2018-09-27,1264.6053,,
2018-09-28,1266.7565,,
2018-10-01,1260.0939,,
2018-10-02,1250.3329,,
2018-10-03,1252.2164,,
2018-10-04,1233.6489,,
2018-10-05,1227.711,,
2018-10-08,1216.5718,,
2018-10-09,1209.1581,,
2018-10-10,1186.0213,,
2018-10-11,1188.2491,,
2018-10-12,1197.9986,,
2018-10-15,1201.9969,,
2018-10-16,1222.1987,,
