Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,114.2827,113.4325,113.4325,113.7468,
2018-06-06,114.0548,113.1616,113.6579,113.869,
2018-06-07,114.611,113.5164,113.7166,114.0183,
2018-06-08,113.9724,112.8264,113.4408,113.2323,
2018-06-11,113.8181,113.284,113.5512,113.7472,
2018-06-12,113.728,112.907,112.9711,113.6042,
2018-06-13,113.0867,112.2655,113.0692,112.8103,
2018-06-14,113.9324,112.3497,113.8156,112.4669,
2018-06-15,114.218,113.0339,113.0878,113.8016,
2018-06-18,112.9283,111.6208,112.032,112.9283,
2018-06-19,111.3378,110.7903,110.9879,111.2654,
2018-06-20,111.8574,111.1653,111.3981,111.2478,
2018-06-21,111.7153,110.1697,110.2624,111.605,
2018-06-25,110.6587,109.2701,109.2701,110.302,
2018-06-26,110.0344,109.2034,109.5023,109.6045,
2018-06-27,110.4889,108.4,109.9062,109.4246,
2018-06-28,110.2581,108.9466,109.5045,109.4116,
2018-06-29,110.7719,109.8447,110.4362,110.2001,
2018-07-02,109.7939,108.8925,109.1708,109.7322,
2018-07-03,110.0598,109.5408,109.7114,109.572,
2018-07-04,109.7274,109.012,109.1616,109.6501,
2018-07-05,110.103,109.1321,109.7303,109.2661,
2018-07-06,110.5306,109.7387,110.3767,109.8374,
2018-07-09,111.6427,110.669,111.5656,110.669,
2018-07-10,112.8689,111.7178,112.7602,111.8412,
2018-07-11,112.0159,110.9796,111.3485,112.0159,
2018-07-12,111.6815,110.5512,111.6623,111.4269,
2018-07-13,111.9433,110.827,110.9484,111.8012,
2018-07-16,111.569,110.9295,111.3019,110.9756,
2018-07-17,112.9413,111.2699,112.9413,111.495,
2018-07-18,114.0744,113.0633,113.6193,113.1345,
2018-07-19,113.8629,112.7999,112.9379,112.893,
2018-07-20,112.1701,110.814,111.3128,112.0166,
2018-07-23,111.6387,110.8896,111.1605,111.3859,
2018-07-24,112.5464,111.6226,112.2512,112.0962,
2018-07-25,112.5812,111.7957,112.1101,112.0418,
2018-07-26,112.3154,110.7344,112.1843,111.36,
2018-07-27,113.0183,112.1883,112.3705,112.3054,
2018-07-30,112.5725,111.6643,112.2766,112.0318,
2018-07-31,112.2217,111.3497,111.6437,112.2088,
2018-08-01,112.397,111.5942,112.3725,111.6288,
2018-08-02,112.316,111.2413,111.3691,112.0041,
2018-08-03,112.1881,111.0131,111.9152,111.6552,
2018-08-06,112.3287,111.8846,112.038,112.1368,
2018-08-07,113.0132,112.1165,112.8934,112.1165,
2018-08-08,113.2606,112.3722,112.867,113.0226,
2018-08-09,112.926,112.3167,112.8015,112.8504,
2018-08-10,112.3316,111.2864,111.4574,112.3316,
2018-08-13,111.3441,110.5964,111.1161,111.169,
2018-08-14,111.3133,110.7527,110.9362,111.3024,
2018-08-15,111.1788,108.9127,109.0527,110.9145,
2018-08-16,110.5432,109.6027,110.2786,109.6027,
2018-08-17,110.9312,110.0363,110.4853,110.3509,
2018-08-20,111.8598,110.7441,111.6052,110.7441,
2018-08-21,112.5275,111.4537,112.2406,111.5964,
2018-08-22,112.8568,112.2498,112.8568,112.2587,
2018-08-23,113.3342,112.7884,112.9932,112.8607,
2018-08-24,113.6655,112.7666,112.9708,113.0651,
2018-08-27,114.1673,113.3506,114.1673,113.3965,
2018-08-28,115.4974,114.4564,115.3754,114.4564,
2018-08-29,115.7499,115.0584,115.2843,115.4137,
2018-08-30,115.194,114.5336,115.1012,114.9741,
2018-08-31,115.0418,114.3234,114.3367,114.9537,
2018-09-03,114.4266,114.0205,114.1176,114.0636,
2018-09-04,114.4055,112.3251,112.6695,114.2178,
2018-09-05,112.5735,111.1775,111.1775,112.4639,
2018-09-06,111.4962,110.3683,110.3683,111.1999,
2018-09-07,110.9088,110.0425,110.8806,110.6301,
2018-09-10,111.7808,110.8356,111.2648,110.8837,
2018-09-11,111.627,110.5077,111.3259,111.4573,
2018-09-12,111.9249,110.8868,111.3382,111.3256,
2018-09-13,112.1897,111.2223,111.2223,111.2749,
2018-09-14,112.2764,111.424,112.1455,111.5076,
2018-09-17,112.3997,111.6294,112.146,111.9858,
2018-09-18,112.6181,111.9703,112.5637,112.2578,
2018-09-19,112.9057,112.3793,112.7282,112.674,
2018-09-20,113.2531,112.6743,112.9667,112.8327,
2018-09-21,114.0847,113.2116,114.0466,113.2116,
2018-09-24,113.9664,112.9931,113.5834,113.7715,
2018-09-25,114.1436,113.4991,113.9459,113.597,
2018-09-26,114.0325,113.0452,113.3668,114.0325,
2018-09-27,114.9032,112.6823,114.7434,113.3022,
2018-09-28,114.4305,112.9817,113.4696,114.4164,
2018-10-01,113.5963,113.0539,113.1098,113.3162,
2018-10-02,112.8869,111.6507,111.8166,112.6681,
2018-10-03,112.7112,111.4092,111.4092,111.8848,
2018-10-04,111.7339,110.5221,110.7618,111.5249,
2018-10-05,110.6997,109.5641,109.5641,110.5705,
2018-10-08,109.6606,108.6336,108.7208,109.575,
2018-10-09,108.6829,107.443,108.281,108.5843,
2018-10-10,108.7415,106.0153,106.092,108.7415,
2018-10-11,104.8877,103.4282,103.7566,104.5432,
2018-10-12,105.1959,104.1055,104.1055,104.6103,
2018-10-15,104.6663,103.4078,104.033,104.5765,
2018-10-16,106.642,104.5564,106.6194,104.595,
2018-10-17,106.5883,104.9301,105.0812,106.4964,
2018-10-18,105.6619,103.9167,103.9167,105.233,
2018-10-19,104.2193,102.4356,103.8544,103.8017,
2018-10-22,104.7243,103.1453,103.3407,104.355,
