Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,1657.5596,1643.0689,1643.0689,1647.2756,
2018-06-06,1661.9984,1645.8925,1661.9984,1646.9928,
2018-06-07,1678.6453,1650.669,1653.2982,1666.0214,
2018-06-08,1662.8425,1633.4667,1653.8685,1643.5418,
2018-06-11,1662.0903,1641.832,1647.4625,1659.3806,
2018-06-12,1643.6496,1623.3416,1624.3731,1638.5626,
2018-06-13,1647.7426,1619.7192,1646.7344,1629.3235,
2018-06-14,1643.7778,1622.3301,1642.1223,1632.1524,
2018-06-15,1649.5793,1629.0372,1634.4475,1640.0701,
2018-06-18,1631.7919,1598.4477,1610.5026,1631.7919,
2018-06-19,1599.8644,1585.7002,1587.44,1593.8904,
2018-06-20,1613.5191,1591.9662,1597.369,1594.3286,
2018-06-21,1601.498,1562.7314,1563.5578,1598.683,
2018-06-25,1571.9525,1540.2367,1540.2473,1562.1589,
2018-06-26,1570.9231,1546.108,1565.7052,1546.5979,
2018-06-27,1581.0594,1546.1587,1574.2953,1565.8795,
2018-06-28,1583.0443,1546.2193,1557.4859,1570.6279,
2018-06-29,1579.9972,1564.4916,1569.32,1572.8643,
2018-07-02,1562.7752,1543.4578,1547.0281,1552.6332,
2018-07-03,1561.667,1545.7445,1559.662,1550.0599,
2018-07-04,1561.6636,1536.4925,1540.907,1560.0707,
2018-07-05,1558.6574,1543.3494,1547.5708,1543.3494,
2018-07-06,1560.3167,1542.0427,1548.5439,1553.5628,
2018-07-09,1580.8675,1561.2038,1577.5853,1562.0402,
2018-07-10,1587.366,1576.649,1581.1417,1587.366,
2018-07-11,1564.7569,1544.9683,1556.1689,1564.7569,
2018-07-12,1563.1158,1547.1754,1559.7321,1563.1158,
2018-07-13,1568.5783,1540.5754,1544.1985,1565.5265,
2018-07-16,1555.7779,1542.5042,1552.9333,1545.0916,
2018-07-17,1581.6365,1548.7976,1579.5334,1555.4328,
2018-07-18,1592.3801,1560.0466,1565.3364,1579.8206,
2018-07-19,1566.5881,1548.7241,1549.9421,1563.3467,
2018-07-20,1518.5518,1427.1266,1427.1266,1518.5518,
2018-07-23,1436.5767,1402.0939,1407.5074,1436.5767,
2018-07-24,1482.2437,1439.9196,1479.2142,1469.9055,
2018-07-25,1498.9556,1478.1409,1488.9974,1488.064,
2018-07-26,1509.5195,1490.462,1501.7091,1498.6708,
2018-07-27,1527.9618,1507.6469,1512.2103,1507.6469,
2018-07-30,1509.9362,1494.0391,1497.9993,1509.9362,
2018-07-31,1499.3993,1474.1141,1488.5141,1497.667,
2018-08-01,1506.0005,1490.1323,1505.3068,1491.5502,
2018-08-02,1504.4783,1470.9906,1474.8364,1495.1499,
2018-08-03,1497.4676,1482.4917,1491.8008,1485.5323,
2018-08-06,1494.835,1483.4162,1493.0425,1494.2523,
2018-08-07,1511.2102,1495.9725,1510.8813,1495.9725,
2018-08-08,1528.9767,1513.813,1519.9532,1513.813,
2018-08-09,1524.0877,1511.992,1524.0198,1522.8342,
2018-08-10,1515.3295,1485.7515,1488.8935,1515.3295,
2018-08-13,1487.0834,1471.031,1484.333,1482.8397,
2018-08-14,1489.0547,1462.1866,1468.8052,1489.0547,
2018-08-15,1471.9823,1431.6683,1435.0063,1466.9756,
2018-08-16,1465.9789,1447.2687,1457.9244,1447.2687,
2018-08-17,1470.3629,1447.6636,1456.2479,1459.7102,
2018-08-20,1488.8737,1468.7744,1477.0971,1468.7744,
2018-08-21,1500.7886,1476.4376,1498.0496,1479.0498,
2018-08-22,1513.0417,1492.8616,1512.1606,1496.528,
