Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,280.672,278.583,278.583,279.443,0.0
2018-06-07,281.216,277.611,278.242,280.475,0.0
2018-06-08,279.241,275.862,278.096,277.132,0.0
2018-06-11,280.173,278.013,280.173,278.985,0.0
2018-06-12,281.173,279.176,279.598,281.021,0.0
2018-06-13,280.071,278.505,279.669,279.892,0.0
2018-06-14,283.151,277.65,282.623,278.702,0.0
2018-06-15,282.463,279.622,279.622,281.996,0.0
2018-06-18,279.177,276.537,278.379,278.998,0.0
2018-06-19,278.43,275.166,278.43,276.053,0.0
2018-06-20,281.27,278.843,279.565,279.111,0.0
2018-06-21,280.273,275.605,275.793,279.785,0.0
2018-06-25,276.463,273.204,273.204,276.393,0.0
2018-06-26,273.893,271.831,272.295,273.188,0.0
2018-06-27,275.862,269.899,274.395,271.928,0.0
2018-06-28,274.939,270.973,272.707,273.15,0.0
2018-06-29,277.84,275.103,277.31,275.945,0.0
2018-07-02,275.446,273.203,274.127,275.446,0.0
2018-07-03,275.341,273.457,273.587,275.131,0.0
2018-07-04,273.487,270.686,270.801,273.389,0.0
2018-07-05,273.184,270.747,271.692,271.181,0.0
2018-07-06,273.346,269.697,271.771,272.902,0.0
2018-07-09,274.764,272.666,274.745,272.666,0.0
2018-07-10,276.717,274.87,276.524,275.313,0.0
2018-07-11,274.766,272.411,272.682,274.766,0.0
2018-07-12,275.899,272.168,275.481,273.627,0.0
2018-07-13,277.715,276.164,277.019,276.244,0.0
2018-07-16,277.83,276.222,277.41,277.281,0.0
2018-07-17,278.996,276.408,277.302,278.027,0.0
2018-07-18,280.31,278.623,279.823,278.829,0.0
2018-07-19,282.726,280.766,281.82,281.253,0.0
2018-07-20,282.828,279.32,281.025,281.196,0.0
2018-07-23,281.616,280.006,280.894,280.756,0.0
2018-07-24,285.419,281.764,284.742,281.81,0.0
2018-07-25,284.999,282.879,282.889,284.642,0.0
2018-07-26,285.594,284.174,285.485,284.655,0.0
2018-07-27,286.635,285.367,286.166,285.725,0.0
2018-07-30,286.506,285.136,285.755,285.763,0.0
2018-07-31,287.097,285.906,286.556,286.054,0.0
2018-08-01,287.522,286.077,286.258,286.761,0.0
2018-08-02,285.278,282.836,283.855,285.278,0.0
2018-08-03,286.762,284.935,286.223,284.935,0.0
2018-08-06,287.052,284.903,285.771,286.432,0.0
2018-08-07,288.027,286.471,287.809,286.591,0.0
