Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,33.55,32.25,32.45,33.05,75581
2018-06-07,34.7,32.5,34.7,32.5,176678
2018-06-08,34.6,33.65,33.95,34.6,41478
2018-06-11,35.5,33.5,34.25,34.0,30160
2018-06-12,34.25,33.35,33.65,34.25,34402
2018-06-13,33.9,33.2,33.8,33.65,10352
2018-06-14,33.95,32.65,33.0,33.95,50312
2018-06-15,33.0,29.3,31.15,33.0,299326
2018-06-18,31.5,30.1,30.3,31.2,118485
2018-06-19,30.9,30.0,30.6,30.2,43118
2018-06-20,30.85,29.95,30.4,30.6,23409
2018-06-21,30.45,29.8,30.35,30.3,37443
2018-06-25,30.25,29.8,30.2,30.25,53929
2018-06-26,30.35,29.7,29.7,30.15,26583
2018-06-27,30.8,29.7,29.9,30.55,71894
2018-06-28,30.0,28.1,29.3,29.85,63870
2018-06-29,30.05,28.9,30.0,28.9,17901
2018-07-02,30.25,28.9,29.35,29.15,43384
2018-07-03,30.5,29.0,29.1,29.3,43106
2018-07-04,30.55,28.95,30.55,28.95,40752
2018-07-05,30.65,30.3,30.4,30.35,3735
2018-07-06,30.9,29.7,29.7,30.35,14226
2018-07-09,31.6,29.5,31.1,29.7,45524
2018-07-10,32.25,31.0,32.2,31.0,38332
2018-07-11,40.4,35.8,39.55,37.3,748680
2018-07-12,38.5,35.2,37.75,38.5,282144
2018-07-13,38.4,37.1,38.4,37.75,95762
2018-07-16,41.95,38.4,39.9,38.4,174684
2018-07-17,41.0,40.05,40.75,40.05,53799
2018-07-18,41.1,39.9,41.05,40.8,62286
2018-07-19,41.05,39.5,40.4,41.0,51865
2018-07-20,41.5,39.75,41.3,40.0,56384
2018-07-23,41.5,39.6,40.4,41.5,64226
2018-07-24,42.6,40.0,42.6,40.0,109112
2018-07-25,43.3,41.7,42.0,42.85,33312
2018-07-26,44.0,42.55,43.0,42.7,63272
2018-07-27,43.95,42.75,43.3,43.95,45836
2018-07-30,45.0,42.8,44.85,43.4,51294
2018-07-31,45.0,42.1,42.5,45.0,96374
2018-08-01,44.0,41.25,42.45,42.5,64210
2018-08-02,44.85,42.5,44.65,42.5,121701
2018-08-03,45.65,43.95,44.45,44.65,144988
2018-08-06,47.8,45.0,47.0,45.0,193613
2018-08-07,47.4,45.2,45.9,47.0,112627
2018-08-08,47.4,45.6,46.5,46.3,67065
2018-08-09,47.35,46.1,47.35,46.5,71467
2018-08-10,47.35,45.95,47.3,47.35,43618
2018-08-13,48.6,46.5,47.2,47.5,58147
2018-08-14,47.5,45.0,45.7,47.0,33042
2018-08-15,46.05,43.2,44.25,45.8,62158
2018-08-16,44.85,43.15,43.75,44.0,37188
2018-08-17,44.7,41.5,44.4,43.75,87102
2018-08-20,44.6,43.8,43.8,44.05,23222
2018-08-21,44.7,43.75,44.05,43.8,26251
2018-08-22,44.35,43.85,44.0,44.0,23240
2018-08-23,45.45,43.3,45.2,44.15,50912
2018-08-24,46.55,44.45,45.1,45.2,61584
2018-08-27,45.25,43.4,43.9,45.0,51635
2018-08-28,43.8,42.65,43.35,43.8,32380
2018-08-29,45.0,43.15,43.7,43.25,58894
2018-08-30,43.7,42.75,42.75,43.7,24802
