Date,Closing price,50,200
2018-06-04,74.72,,
2018-06-05,74.18,,
2018-06-06,74.18,,
2018-06-07,74.12,,
2018-06-08,74.3,,
2018-06-11,74.22,,
2018-06-12,74.56,,
2018-06-13,74.0,,
2018-06-14,73.16,,
2018-06-15,75.38,,
2018-06-18,74.22,,
2018-06-19,73.58,,
2018-06-20,73.54,,
2018-06-21,73.54,,
2018-06-22,73.12,,
2018-06-25,72.22,,
2018-06-26,72.1,,
2018-06-27,72.84,,
2018-06-28,71.86,,
2018-06-29,71.4,,
2018-07-02,71.3,,
2018-07-03,71.6,,
2018-07-04,71.18,,
2018-07-05,71.54,,
2018-07-06,72.04,,
2018-07-09,72.08,,
2018-07-10,73.0,,
2018-07-11,72.24,,
2018-07-12,73.06,,
2018-07-13,65.64,,
2018-07-16,65.98,,
2018-07-17,66.18,,
2018-07-18,67.36,,
2018-07-19,67.8,,
2018-07-20,68.26,,
2018-07-23,68.22,,
2018-07-24,68.2,,
2018-07-25,68.54,,
2018-07-26,68.62,,
2018-07-27,69.48,,
2018-07-30,69.18,,
2018-07-31,69.0,,
2018-08-01,69.48,,
2018-08-02,69.44,,
2018-08-03,69.26,,
2018-08-06,68.8,,
2018-08-07,69.0,,
2018-08-08,69.58,,
2018-08-09,69.84,,
2018-08-10,70.0,,
2018-08-13,70.0,,
2018-08-14,70.5,,
2018-08-15,69.6,,
2018-08-16,70.28,,
2018-08-17,70.66,,
2018-08-20,71.02,,
2018-08-21,71.16,,
2018-08-22,71.38,,
2018-08-23,70.74,,
2018-08-24,70.86,,
2018-08-27,70.6,,
2018-08-28,70.52,,
2018-08-29,70.44,,
2018-08-30,68.96,,
2018-08-31,69.0,,
2018-09-03,69.14,,
2018-09-04,68.8,,
2018-09-05,68.3,,
2018-09-06,68.7,,
2018-09-07,68.5,,
2018-09-10,68.4,,
2018-09-11,68.16,,
2018-09-12,67.9,,
2018-09-13,67.8,,
2018-09-14,67.92,,
2018-09-17,68.64,,
2018-09-18,69.08,,
2018-09-19,68.64,,
2018-09-20,69.4,,
2018-09-21,70.3,,
2018-09-24,69.6,,
2018-09-25,69.62,,
2018-09-26,69.24,,
2018-09-27,69.64,,
2018-09-28,68.76,,
2018-10-01,68.68,,
2018-10-02,69.32,,
2018-10-03,70.14,,
2018-10-04,67.86,,
2018-10-05,67.92,,
2018-10-08,68.18,,
2018-10-09,68.62,,
2018-10-10,68.04,,
2018-10-11,67.0,,
2018-10-12,67.14,,
2018-10-15,66.9,,
2018-10-16,67.86,,
2018-10-17,67.32,,
2018-10-18,66.0,,
2018-10-19,66.3,,
2018-10-22,66.56,,
2018-10-23,66.5,,
2018-10-24,67.54,,
2018-10-25,71.02,,
2018-10-26,70.2,,
2018-10-29,70.94,,
2018-10-30,70.78,,
2018-10-31,72.74,,
2018-11-01,71.56,,
2018-11-02,71.48,,
2018-11-05,71.14,,
2018-11-06,70.68,,
2018-11-07,70.84,,
2018-11-08,71.38,,
2018-11-09,72.4,,
2018-11-12,72.06,,
2018-11-13,72.34,,
2018-11-14,73.36,,
2018-11-15,71.82,,
2018-11-16,72.28,,
2018-11-19,71.56,,
2018-11-20,70.92,,
2018-11-21,71.54,,
2018-11-22,70.46,,
2018-11-23,70.34,,
2018-11-26,70.94,,
2018-11-27,71.08,,
2018-11-28,70.96,,
2018-11-29,71.06,,
2018-11-30,71.0,,
2018-12-03,71.16,,
2018-12-04,71.5,,
2018-12-05,70.26,,
2018-12-06,68.4,,
2018-12-07,69.36,,
2018-12-10,67.78,,
2018-12-11,69.5,,
2018-12-12,70.38,,
2018-12-13,69.82,,
2018-12-14,70.0,,
2018-12-17,70.46,,
2018-12-18,70.7,,
2018-12-19,71.0,,
2018-12-20,69.96,,
2018-12-21,69.96,,
2018-12-27,67.1,,
2018-12-28,68.04,,
2019-01-02,67.0,,
2019-01-03,67.5,,
2019-01-04,68.58,,
2019-01-07,68.62,,
