Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,0.374,0.35,0.373,0.351,235086
2018-06-07,0.386,0.357,0.38,0.372,142653
2018-06-08,0.38,0.378,0.378,0.38,49562
2018-06-11,0.38,0.344,0.38,0.357,731794
2018-06-12,0.4,0.352,0.353,0.375,270791
2018-06-13,0.398,0.379,0.39,0.398,24991
2018-06-14,0.4,0.353,0.39,0.36,580115
2018-06-15,0.39,0.36,0.36,0.39,330926
2018-06-18,0.389,0.363,0.365,0.37,228014
2018-06-19,0.398,0.39,0.397,0.398,40794
2018-06-20,0.398,0.36,0.397,0.398,207112
2018-06-21,0.397,0.39,0.397,0.39,21544
2018-06-25,0.409,0.409,0.409,0.409,8644
2018-06-26,0.4,0.363,0.39,0.4,46072
2018-06-27,0.389,0.388,0.388,0.389,3578
2018-06-28,0.398,0.37,0.397,0.37,6516
2018-06-29,0.41,0.378,0.38,0.4,348143
2018-07-02,0.38,0.38,0.38,0.38,10000
2018-07-03,0.385,0.383,0.383,0.385,9700
2018-07-04,0.385,0.385,0.385,0.385,10320
2018-07-05,0.4,0.385,0.4,0.385,32500
2018-07-06,0.399,0.399,0.399,0.399,1370
2018-07-09,0.38,0.38,0.38,0.38,37523
2018-07-10,0.4,0.38,0.4,0.38,145319
2018-07-11,0.39,0.385,0.39,0.385,134615
2018-07-12,0.39,0.37,0.39,0.37,27227
2018-07-13,0.397,0.38,0.397,0.38,1546
2018-07-16,0.397,0.38,0.397,0.397,6803
2018-07-17,0.4,0.366,0.398,0.4,58936
2018-07-18,0.399,0.382,0.399,0.399,56011
2018-07-19,0.4,0.375,0.4,0.399,261553
2018-07-20,0.42,0.391,0.418,0.418,48864
2018-07-23,0.429,0.375,0.41,0.42,48095
2018-07-24,0.41,0.38,0.38,0.41,66691
2018-07-25,0.409,0.376,0.409,0.376,2500
2018-07-26,0.422,0.39,0.4,0.42,309320
2018-07-27,0.4,0.392,0.392,0.4,54074
2018-07-30,0.409,0.38,0.404,0.4,40094
2018-07-31,0.389,0.38,0.389,0.38,8888
2018-08-01,0.41,0.39,0.41,0.39,363815
2018-08-02,0.408,0.38,0.39,0.408,34624
2018-08-03,0.4,0.39,0.4,0.39,133552
2018-08-06,0.4,0.37,0.37,0.4,210000
2018-08-07,0.4,0.38,0.4,0.389,195065
2018-08-08,0.4,0.38,0.38,0.4,5100
2018-08-09,0.4,0.38,0.4,0.38,34520
2018-08-10,0.4,0.365,0.366,0.4,147240
2018-08-13,0.389,0.38,0.38,0.38,582211
2018-08-14,0.38,0.37,0.37,0.38,80000
2018-08-15,0.38,0.36,0.375,0.38,608516
2018-08-16,0.374,0.352,0.353,0.352,165854
2018-08-17,0.378,0.356,0.378,0.356,25006
2018-08-20,0.39,0.38,0.39,0.39,199500
2018-08-21,0.38,0.37,0.38,0.38,56000
2018-08-22,0.399,0.37,0.38,0.382,182051
2018-08-23,0.4,0.378,0.38,0.38,678506
2018-08-24,0.398,0.371,0.38,0.398,570754
2018-08-27,0.42,0.371,0.4,0.391,876531
2018-08-28,0.4,0.38,0.381,0.4,45855
2018-08-29,0.38,0.369,0.38,0.38,603921
2018-08-30,0.4,0.38,0.38,0.391,493003
2018-08-31,0.379,0.361,0.362,0.379,18000
2018-09-03,0.4,0.381,0.399,0.389,508680
2018-09-04,0.397,0.384,0.384,0.397,10156
2018-09-05,0.4,0.384,0.384,0.387,80865
2018-09-06,0.384,0.38,0.38,0.384,343344
2018-09-07,0.4,0.377,0.377,0.38,278836
2018-09-10,0.377,0.377,0.377,0.377,19340
2018-09-11,0.39,0.36,0.365,0.36,5925
2018-09-12,0.47,0.389,0.391,0.389,277713
2018-09-13,0.4,0.39,0.39,0.4,22300
2018-09-14,0.409,0.4,0.4,0.409,2865
2018-09-17,0.39,0.38,0.39,0.38,79474
2018-09-18,0.4,0.38,0.4,0.38,169110
2018-09-19,0.449,0.383,0.4,0.405,383739
2018-09-20,0.43,0.4,0.404,0.4,221295
2018-09-21,0.401,0.383,0.399,0.4,296056
2018-09-24,0.39,0.375,0.375,0.39,304238
2018-09-25,0.38,0.375,0.375,0.375,86481
2018-09-26,0.375,0.37,0.375,0.37,242743
2018-09-27,0.39,0.375,0.377,0.375,43400
2018-09-28,0.39,0.377,0.39,0.377,4868
2018-10-01,0.39,0.379,0.39,0.385,229285
2018-10-02,0.4,0.38,0.4,0.38,392685
2018-10-03,0.4,0.387,0.4,0.387,56112
2018-10-04,0.418,0.4,0.418,0.4,1050696
2018-10-05,0.42,0.401,0.41,0.418,167154
2018-10-08,0.429,0.391,0.429,0.391,10840
2018-10-09,0.43,0.392,0.41,0.424,122089
2018-10-10,0.41,0.396,0.4,0.4,126793
2018-10-11,0.394,0.381,0.381,0.394,274530
2018-10-12,0.4,0.38,0.4,0.38,145294
2018-10-15,0.4,0.38,0.38,0.4,74739
2018-10-16,0.393,0.381,0.381,0.382,91780
2018-10-17,0.399,0.38,0.38,0.399,17296
2018-10-18,0.398,0.38,0.398,0.38,47888
2018-10-19,0.398,0.398,0.398,0.398,53600
2018-10-22,0.4,0.385,0.39,0.4,122167
2018-10-23,0.399,0.36,0.39,0.399,379999
2018-10-24,0.39,0.365,0.365,0.39,25200
2018-10-25,0.4,0.365,0.39,0.365,135594
