Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,25.4,23.6,24.6,23.8,4709
2018-06-07,24.4,24.0,24.0,24.0,1273
2018-06-08,24.4,22.6,22.8,24.4,577
2018-06-11,25.4,22.8,25.0,23.0,10245
2018-06-12,25.0,24.0,24.4,25.0,452
2018-06-13,24.6,23.2,24.0,24.6,1720
2018-06-14,25.0,24.0,24.0,24.0,1074
2018-06-15,25.0,21.6,22.8,25.0,4804
2018-06-18,25.0,21.2,21.2,25.0,6083
2018-06-19,21.6,20.0,21.6,21.4,748
2018-06-20,22.0,20.0,21.0,21.8,2995
2018-06-21,22.0,20.2,21.6,21.4,2643
2018-06-25,21.8,20.0,20.0,21.8,756
2018-06-26,23.6,22.0,23.0,23.6,2328
2018-06-27,23.0,21.0,22.8,23.0,1193
2018-06-28,24.2,23.0,23.0,24.0,702
2018-06-29,24.0,23.0,23.0,23.0,406
2018-07-02,23.2,22.0,22.0,22.4,1658
2018-07-03,23.0,21.0,21.0,23.0,397
2018-07-04,22.6,21.0,21.0,22.6,912
2018-07-05,22.4,21.4,22.0,21.4,1548
2018-07-06,22.0,21.2,21.2,22.0,788
2018-07-09,24.0,21.2,22.4,22.0,1856
2018-07-10,22.4,21.2,21.2,22.4,1105
2018-07-11,22.4,20.0,21.4,21.8,849
2018-07-12,21.4,21.0,21.4,21.0,403
2018-07-13,23.6,21.4,23.0,21.4,1248
2018-07-16,23.0,20.0,21.0,23.0,1470
2018-07-17,23.4,20.0,21.0,23.4,1173
2018-07-18,21.0,21.0,21.0,21.0,1395
2018-07-19,21.0,21.0,21.0,21.0,105
2018-07-20,21.0,21.0,21.0,21.0,524
2018-07-23,21.0,21.0,21.0,21.0,163
2018-07-24,22.0,20.0,22.0,21.0,3310
2018-07-25,21.4,20.0,21.2,21.4,782
2018-07-26,21.0,18.8,20.6,21.0,639
2018-07-27,20.8,20.0,20.8,20.8,206
2018-07-30,21.0,18.5,20.0,21.0,1422
2018-07-31,20.0,18.3,19.8,20.0,1831
2018-08-01,21.2,20.0,20.2,20.0,1420
2018-08-02,20.0,18.2,19.8,18.2,1579
2018-08-03,19.8,19.5,19.7,19.8,1138
2018-08-06,19.7,19.5,19.5,19.5,718
2018-08-07,19.8,19.0,19.8,19.5,1777
2018-08-08,18.1,17.4,17.8,18.1,38162
2018-08-09,17.8,17.3,17.5,17.8,18742
2018-08-10,17.5,16.7,17.3,17.5,18281
2018-08-13,17.3,17.0,17.3,17.0,997
2018-08-14,17.4,16.8,17.3,17.4,12657
2018-08-15,17.0,16.8,17.0,17.0,2609
2018-08-16,17.3,16.7,16.7,17.0,5629
2018-08-17,16.9,16.4,16.8,16.8,6600
2018-08-20,16.8,16.5,16.7,16.8,5135
2018-08-21,17.1,16.5,16.8,16.7,7800
2018-08-22,18.4,16.8,17.3,17.0,55956
2018-08-23,17.3,16.7,17.0,17.3,13150
2018-08-24,17.5,16.9,17.1,17.5,5211
2018-08-27,17.8,16.8,17.1,17.1,57091
2018-08-28,17.6,17.1,17.3,17.3,12915
2018-08-29,17.6,17.1,17.2,17.1,8815
2018-08-30,17.4,17.1,17.3,17.2,7923
2018-08-31,17.4,17.1,17.2,17.4,5414
2018-09-03,17.5,17.2,17.5,17.2,1374
2018-09-04,17.8,17.4,17.8,17.5,5351
2018-09-05,17.9,17.5,17.5,17.9,2486
2018-09-06,17.9,17.1,17.1,17.9,635
2018-09-07,17.8,17.2,17.8,17.2,600
2018-09-10,17.7,17.0,17.3,17.7,1991
2018-09-11,17.7,17.4,17.5,17.7,315
2018-09-12,17.5,17.5,17.5,17.5,1160
2018-09-13,17.5,17.4,17.4,17.5,330
2018-09-14,17.4,17.2,17.2,17.4,639
2018-09-17,17.1,16.4,16.6,17.1,5215
2018-09-18,16.8,16.4,16.5,16.8,7295
2018-09-19,16.7,16.2,16.5,16.2,1806
2018-09-20,16.6,16.4,16.5,16.4,3889
2018-09-21,16.5,16.2,16.4,16.5,5561
2018-09-24,18.9,16.5,16.7,17.0,1333
2018-09-25,17.9,16.8,17.5,16.8,12028
2018-09-26,18.0,16.6,16.6,17.8,4482
2018-09-27,17.4,16.8,17.0,17.4,929
2018-09-28,17.5,17.0,17.5,17.0,1593
2018-10-01,17.5,16.5,16.5,17.5,1999
2018-10-02,17.0,17.0,17.0,17.0,840
2018-10-03,17.0,16.6,16.6,17.0,5532
2018-10-04,16.6,16.5,16.6,16.6,6341
2018-10-05,17.0,16.4,17.0,16.6,1389
2018-10-08,17.0,16.2,16.3,17.0,1753
2018-10-09,16.3,16.0,16.3,16.1,7781
2018-10-10,16.3,16.1,16.2,16.3,3399
2018-10-11,16.5,15.9,16.5,16.2,2228
2018-10-12,16.5,15.2,15.8,16.5,7211
2018-10-15,15.8,15.1,15.5,15.8,8500
2018-10-16,15.5,14.9,15.5,15.4,2402
2018-10-17,15.5,15.0,15.4,15.5,2158
2018-10-18,16.4,15.4,15.6,15.4,2000
2018-10-19,16.0,14.1,15.7,15.6,5605
2018-10-22,16.0,15.0,15.5,15.0,1810
2018-10-23,15.0,14.1,15.0,15.0,4437
2018-10-24,15.0,15.0,15.0,15.0,200
2018-10-25,15.0,14.0,14.8,15.0,1743
2018-10-26,14.9,13.2,13.7,14.8,10505
2018-10-29,13.8,13.0,13.5,13.7,13492
2018-10-30,14.0,13.5,13.5,13.9,1281
2018-10-31,13.5,13.3,13.4,13.5,3255
2018-11-01,13.9,13.2,13.4,13.4,6013
2018-11-02,13.9,13.4,13.6,13.5,3048
2018-11-05,13.7,12.6,13.0,13.7,9092
2018-11-06,13.0,12.0,12.7,13.0,16299
2018-11-07,12.6,12.0,12.4,12.5,1928
2018-11-08,12.8,12.2,12.5,12.2,8600
2018-11-09,13.0,12.5,13.0,12.5,1146
2018-11-12,13.9,13.1,13.2,13.6,2248
2018-11-13,14.4,13.2,14.4,13.6,918
2018-11-14,15.0,14.0,14.0,14.4,4993
2018-11-15,13.3,13.3,13.3,13.3,800
2018-11-16,13.7,13.0,13.0,13.7,1135
2018-11-19,13.2,13.0,13.2,13.1,1888
2018-11-20,13.1,12.9,13.1,13.0,661
2018-11-21,13.1,13.1,13.1,13.1,1623
2018-11-22,14.5,13.1,14.5,13.1,2109
2018-11-23,15.3,14.5,14.5,15.1,2446
2018-11-26,15.6,14.8,15.0,14.8,4181
2018-11-27,15.7,15.6,15.6,15.6,790
2018-11-28,15.7,15.0,15.0,15.7,907
2018-11-29,15.0,14.7,15.0,15.0,521
2018-11-30,15.0,13.8,15.0,15.0,1663
2018-12-03,15.4,14.5,15.0,15.0,1978
2018-12-04,15.0,13.5,15.0,15.0,2448
2018-12-05,15.5,14.5,14.9,15.5,1188
2018-12-06,14.5,14.1,14.1,14.5,1350
2018-12-07,15.5,15.0,15.0,15.5,930
2018-12-10,15.5,14.0,14.5,15.5,1212
2018-12-11,14.6,14.0,14.1,14.5,1605
2018-12-12,15.5,15.0,15.0,15.5,60
2018-12-13,15.0,14.0,14.0,15.0,1115
2018-12-14,14.5,14.0,14.5,14.0,411
2018-12-17,15.0,14.0,14.0,14.0,2200
2018-12-18,14.0,13.0,13.1,13.1,1538
2018-12-19,13.5,13.0,13.1,13.4,4191
2018-12-20,13.3,10.0,13.3,13.1,3535
2018-12-21,13.0,11.5,13.0,13.0,9660
2018-12-27,12.7,10.0,10.0,12.7,8354
2018-12-28,12.9,10.5,11.3,11.4,37240
2019-01-02,14.1,11.8,14.1,11.8,6697
2019-01-03,15.0,14.6,15.0,14.6,1773
2019-01-04,16.1,14.9,16.1,15.0,3224
2019-01-07,16.0,15.5,15.5,16.0,4531
2019-01-08,15.8,14.4,14.4,15.8,1265
2019-01-09,16.0,14.5,15.8,14.5,1743
2019-01-10,15.8,15.7,15.8,15.7,1026
2019-01-11,16.0,14.3,16.0,15.8,5750
2019-01-14,16.0,15.0,15.9,16.0,3018
2019-01-15,16.1,14.8,15.7,16.1,1128
2019-01-16,15.2,15.0,15.0,15.0,935
2019-01-17,14.9,14.0,14.7,14.5,1609
2019-01-18,15.0,14.4,15.0,14.4,302
2019-01-21,15.8,14.5,15.7,15.0,2704
2019-01-22,15.8,14.8,14.8,15.7,1543
2019-01-23,15.5,15.0,15.0,15.5,1013
2019-01-24,15.8,15.0,15.7,15.8,1581
2019-01-25,15.8,15.5,15.8,15.8,4007
2019-01-28,15.8,15.6,15.7,15.8,1829
2019-01-29,15.9,15.5,15.9,15.8,1846
2019-01-30,15.9,15.6,15.9,15.9,2386
2019-01-31,16.5,15.6,16.5,15.6,3183
2019-02-01,16.9,16.4,16.4,16.4,2600
2019-02-04,16.9,16.5,16.8,16.5,2220
2019-02-05,16.8,16.7,16.7,16.8,1420
2019-02-06,19.9,16.9,18.4,17.0,17600
2019-02-07,18.7,17.0,18.2,18.4,7685
2019-02-08,18.3,17.2,17.5,18.2,4009
2019-02-11,18.3,17.7,18.3,17.7,2090
2019-02-12,18.3,17.5,17.9,18.3,5131
2019-02-13,18.3,18.0,18.0,18.0,3575
2019-02-14,18.5,18.0,18.4,18.0,3239
2019-02-15,18.4,18.0,18.4,18.3,4538
2019-02-18,19.1,18.2,19.1,18.7,7427
2019-02-19,19.9,19.1,19.5,19.5,5309
2019-02-20,20.8,18.2,18.4,20.0,8688
2019-02-21,18.8,18.4,18.8,18.4,985
2019-02-22,18.8,18.5,18.6,18.8,465
2019-02-25,20.0,18.2,19.0,20.0,3060
2019-02-26,19.9,18.3,19.6,18.9,4046
2019-02-27,19.6,18.7,19.5,19.6,3379
2019-02-28,19.9,18.6,19.3,19.5,8064
2019-03-01,19.6,18.7,19.2,19.3,3057
2019-03-04,19.6,19.2,19.5,19.2,1965
2019-03-05,19.5,19.0,19.5,19.5,1804
2019-03-06,19.5,19.2,19.5,19.5,2276
2019-03-07,19.6,19.0,19.6,19.5,1468
2019-03-08,18.7,18.5,18.7,18.5,2640
2019-03-11,18.7,18.2,18.2,18.7,463
2019-03-12,19.5,18.1,19.2,18.7,1676
2019-03-13,19.2,18.4,19.2,18.4,461
2019-03-14,19.5,18.5,19.2,19.2,2506
2019-03-15,19.2,18.8,18.8,19.2,750
2019-03-18,19.2,18.8,18.8,19.2,851
2019-03-19,19.3,18.8,18.8,19.2,2876
2019-03-20,19.5,18.8,19.1,19.3,2287
2019-03-21,19.1,19.1,19.1,19.1,1110
2019-03-22,19.8,18.8,18.8,19.4,3816
2019-03-25,19.1,18.9,19.1,19.0,820
2019-03-26,19.1,19.1,19.1,19.1,564
2019-03-27,19.1,19.0,19.1,19.1,1217
2019-03-28,19.8,19.1,19.7,19.1,2484
2019-03-29,20.0,19.5,19.6,19.9,4909
2019-04-01,19.8,19.7,19.7,19.8,980
2019-04-02,19.8,19.0,19.0,19.8,3897
2019-04-03,19.8,18.5,19.0,19.8,1894
2019-04-04,19.2,18.0,18.0,19.2,4710
2019-04-05,19.0,18.1,18.8,18.1,3319
2019-04-08,19.0,18.7,19.0,18.8,2652
2019-04-09,19.8,19.6,19.6,19.8,483
2019-04-10,19.6,19.0,19.6,19.6,1519
2019-04-11,19.6,19.6,19.6,19.6,700
2019-04-12,19.7,19.0,19.6,19.0,4398
2019-04-15,19.7,19.1,19.2,19.7,1511
2019-04-16,19.8,19.2,19.2,19.5,2601
2019-04-17,19.1,19.0,19.1,19.1,1495
2019-04-18,18.9,18.8,18.8,18.8,917
2019-04-23,19.5,18.9,19.1,18.9,3795
2019-04-24,19.1,19.0,19.1,19.1,699
2019-04-25,19.5,19.1,19.1,19.5,663
2019-04-26,19.1,18.8,18.8,19.1,2071
2019-04-29,18.9,18.8,18.9,18.8,2915
2019-04-30,18.9,18.9,18.9,18.9,390
2019-05-02,19.0,18.0,18.5,19.0,1231
2019-05-03,19.5,18.0,18.6,18.5,2278
2019-05-06,19.1,18.5,18.5,18.6,907
2019-05-07,19.1,18.6,19.1,18.6,1334
2019-05-08,19.0,17.0,19.0,18.0,2318
2019-05-09,19.0,18.1,18.1,19.0,1312
2019-05-10,19.0,18.0,19.0,18.9,3523
2019-05-13,19.5,19.0,19.5,19.0,2925
2019-05-14,19.6,19.1,19.1,19.5,1874
2019-05-15,19.6,18.1,18.3,18.1,2052
2019-05-16,19.5,18.3,18.4,18.3,4145
2019-05-17,19.5,19.2,19.2,19.3,3576
2019-05-20,19.4,18.5,19.4,19.2,1841
2019-05-21,19.4,19.1,19.3,19.4,1563
2019-05-22,19.7,18.2,19.7,19.5,9812
2019-05-23,19.8,19.0,19.0,19.8,75
2019-05-24,19.8,18.5,19.8,19.0,3466
2019-05-27,21.0,19.5,20.0,19.8,2375
2019-05-28,20.0,20.0,20.0,20.0,1153
2019-05-29,20.0,19.6,19.6,20.0,611
2019-05-31,20.6,19.6,20.6,20.0,3859
2019-06-03,21.4,20.6,21.4,20.6,2016
2019-06-04,23.4,21.0,23.2,21.0,9441
2019-06-05,25.0,23.0,23.0,23.2,5674
