Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-06,234.0,229.5,230.5,233.5,35770
2018-06-07,232.5,224.0,224.0,232.0,51115
2018-06-08,229.0,225.5,228.5,225.5,24884
2018-06-11,231.0,225.5,230.0,225.5,68846
2018-06-12,235.0,228.0,230.5,228.0,42550
2018-06-13,233.5,229.5,230.0,232.5,71166
2018-06-14,235.5,229.5,235.0,229.5,26331
2018-06-15,237.0,229.0,230.5,237.0,31983
2018-06-18,230.5,227.0,227.5,229.0,17231
2018-06-19,227.0,220.0,224.5,227.0,50033
2018-06-20,226.5,224.5,225.5,226.0,24743
2018-06-21,226.0,224.5,225.0,224.5,32111
2018-06-22,230.0,224.5,230.0,225.0,67369
2018-06-25,230.5,227.0,228.5,230.5,25325
2018-06-26,228.0,226.0,226.5,226.5,40712
2018-06-27,230.0,225.5,230.0,227.0,37970
2018-06-28,230.0,223.0,225.0,228.5,18082
2018-06-29,227.5,223.0,225.5,225.5,15949
2018-07-02,224.0,219.0,220.0,224.0,15974
2018-07-03,222.5,216.0,217.5,220.0,31337
2018-07-04,216.5,210.5,212.5,216.5,46375
2018-07-05,217.5,211.5,214.5,211.5,26514
2018-07-06,217.5,214.0,216.0,214.0,16872
2018-07-09,221.0,215.0,216.5,216.5,41541
2018-07-10,220.5,217.5,220.0,217.5,13045
2018-07-11,220.5,216.0,219.0,218.0,29723
2018-07-12,227.0,219.0,225.0,219.0,37061
2018-07-13,226.0,223.5,225.0,225.0,26717
2018-07-16,229.0,223.5,228.5,224.0,23214
2018-07-17,227.0,222.0,223.0,226.5,22932
2018-07-18,225.0,221.0,223.0,222.5,53526
2018-07-19,228.0,222.0,224.5,222.5,16395
2018-07-20,226.5,223.5,224.0,224.5,18952
2018-07-23,225.5,222.0,224.0,223.5,9246
2018-07-24,229.5,224.0,227.5,226.0,21302
2018-07-25,228.5,225.0,225.0,227.5,27698
2018-07-26,228.0,223.5,225.5,223.5,23121
2018-07-27,227.5,224.0,225.5,224.5,12516
2018-07-30,227.5,223.0,227.0,225.0,10916
2018-07-31,227.5,225.0,227.5,225.5,14238
2018-08-01,227.5,226.5,226.5,227.5,14042
2018-08-02,226.0,222.5,225.5,223.5,13005
2018-08-03,229.5,226.0,228.5,226.0,22694
2018-08-06,230.5,228.0,229.5,229.5,25062
2018-08-07,230.5,225.5,226.0,229.5,33716
2018-08-08,226.0,221.0,224.0,226.0,20869
2018-08-09,225.0,214.5,220.0,225.0,26727
2018-08-10,224.5,219.0,221.0,219.5,16324
2018-08-13,224.0,220.0,222.5,220.0,17759
2018-08-14,245.0,227.0,244.5,227.0,177652
2018-08-15,244.0,238.0,240.5,241.0,32789
2018-08-16,247.0,240.0,247.0,242.5,30063
2018-08-17,247.5,242.5,243.5,244.5,20862
2018-08-20,245.5,240.0,242.0,242.0,30879
2018-08-21,249.5,243.0,248.0,245.0,44160
2018-08-22,250.0,245.0,248.5,245.0,25929
2018-08-23,264.0,248.5,261.5,248.5,52033
2018-08-24,262.0,255.5,261.0,261.5,34137
2018-08-27,267.0,261.0,262.0,262.0,28892
2018-08-28,266.5,251.0,259.0,263.0,34346
2018-08-29,266.5,259.0,263.0,259.0,32058
2018-08-30,263.0,252.5,256.0,263.0,34236
2018-08-31,261.5,255.5,256.0,255.5,30378
2018-09-03,260.0,254.5,257.5,260.0,25691
2018-09-04,259.0,254.0,257.0,259.0,24220
2018-09-05,259.0,249.0,254.0,259.0,30478
2018-09-06,258.5,249.5,255.5,254.5,37373
2018-09-07,257.5,252.5,255.0,256.0,29144
2018-09-10,258.0,252.5,253.5,258.0,16980
2018-09-11,256.5,251.5,253.5,253.5,19741
2018-09-12,255.0,248.0,248.5,255.0,30855
2018-09-13,255.0,248.5,252.5,248.5,25312
2018-09-14,253.0,248.5,250.5,253.0,14906
2018-09-17,254.5,246.5,250.0,251.0,21740
2018-09-18,252.0,247.5,249.0,252.0,16917
2018-09-19,251.0,247.5,249.5,249.0,20690
2018-09-20,251.0,245.0,245.0,250.5,30100
2018-09-21,248.0,245.0,246.5,246.0,31870
2018-09-24,249.0,241.5,242.0,246.0,18847
2018-09-25,243.0,235.0,241.0,242.5,68383
2018-09-26,245.5,241.0,244.0,241.0,18488
2018-09-27,244.0,239.5,243.0,244.0,12705
2018-09-28,245.0,239.5,243.0,244.0,15230
2018-10-01,246.0,240.0,244.5,243.0,13813
2018-10-02,244.5,239.5,242.0,244.5,11740
2018-10-03,244.0,240.0,242.5,244.0,11036
2018-10-04,243.0,236.0,239.5,243.0,16047
2018-10-05,238.5,231.5,232.0,237.0,22361
2018-10-08,241.0,223.5,227.5,241.0,32897
2018-10-09,227.5,218.0,221.0,227.5,34165
2018-10-10,230.0,219.5,221.0,223.0,50208
2018-10-11,223.0,205.0,219.5,216.5,32130
2018-10-12,224.5,216.0,220.0,219.0,28715
2018-10-15,220.5,215.0,217.0,220.5,26065
2018-10-16,225.5,216.5,224.5,217.0,19878
2018-10-17,226.0,221.0,223.5,225.0,14833
2018-10-18,224.5,220.0,221.5,224.0,16153
2018-10-19,224.0,218.5,221.0,221.0,19062
2018-10-22,224.5,221.0,223.5,221.5,18198
2018-10-23,224.0,216.5,217.5,224.0,45263
2018-10-24,222.5,214.5,218.0,219.0,14047
2018-10-25,218.0,213.5,217.0,218.0,32283
2018-10-26,216.5,211.5,211.5,215.0,15059
2018-10-29,218.0,201.0,215.0,210.0,19054
2018-10-30,216.5,209.0,215.0,215.5,15332
2018-10-31,219.0,214.0,215.5,219.0,16535
2018-11-01,218.5,211.5,215.5,211.5,14668
2018-11-02,222.0,215.5,216.0,217.5,19120
2018-11-05,216.5,211.0,211.0,216.0,15969
2018-11-06,212.5,208.5,211.5,211.0,21037
2018-11-07,216.0,205.0,214.5,214.0,15696
2018-11-08,221.0,216.5,217.0,218.0,22433
2018-11-09,220.5,217.0,217.5,220.0,17128
2018-11-12,218.5,212.0,212.0,218.0,31481
2018-11-13,214.5,206.0,206.5,214.5,27656
2018-11-14,214.0,202.0,203.0,214.0,20712
2018-11-15,205.5,198.0,201.0,204.0,23592
2018-11-16,204.5,197.0,197.2,200.0,27338
2018-11-19,202.0,195.8,196.2,202.0,21334
2018-11-20,198.2,189.0,194.0,198.2,26655
2018-11-21,194.4,187.8,191.2,188.0,31168
2018-11-22,197.6,189.8,191.6,197.6,20736
2018-11-23,194.0,189.2,191.6,194.0,10632
2018-11-26,209.0,192.0,208.5,192.6,38329
2018-11-27,208.5,200.5,203.5,208.5,31621
2018-11-28,204.5,198.2,200.0,202.5,29233
2018-11-29,208.0,200.5,204.0,200.5,25922
2018-11-30,204.5,196.2,196.6,202.5,35280
2018-12-03,204.0,193.2,196.0,197.4,31228
2018-12-04,197.4,194.8,197.0,195.6,28666
2018-12-05,197.0,186.8,188.8,197.0,78686
2018-12-06,190.0,185.2,187.8,189.0,21998
2018-12-07,195.8,189.0,191.6,194.8,401962
2018-12-10,192.0,183.0,185.2,191.8,119914
2018-12-11,194.2,186.6,192.6,190.2,109299
2018-12-12,192.6,182.8,185.6,192.6,160615
2018-12-13,189.6,184.8,187.4,185.0,29297
2018-12-14,188.0,183.2,184.6,185.0,56127
2018-12-17,185.6,178.6,178.6,185.2,57677
2018-12-18,182.6,175.6,180.0,177.4,47854
2018-12-19,185.0,178.0,182.0,183.0,34423
2018-12-20,187.8,173.6,185.0,187.8,100175
2018-12-21,200.5,185.4,200.5,187.4,64912
2018-12-27,205.0,192.0,194.6,203.5,52938
2018-12-28,201.0,194.0,199.0,194.6,35746
2019-01-02,200.0,193.6,196.0,200.0,29080
2019-01-03,204.0,194.4,201.5,199.0,40943
2019-01-04,207.0,200.5,205.0,202.0,23173
2019-01-07,214.0,206.5,214.0,209.0,41260
2019-01-08,225.5,214.5,223.5,217.0,89411
2019-01-09,228.0,225.0,225.5,225.0,57021
2019-01-10,226.5,217.5,219.5,226.5,33121
2019-01-11,226.5,220.0,223.5,220.0,21454
2019-01-14,224.5,218.0,222.0,224.5,24363
2019-01-15,224.0,214.5,215.0,224.0,23839
2019-01-16,211.0,199.4,210.0,207.5,82151
2019-01-17,212.5,204.5,210.5,208.5,24377
2019-01-18,218.0,210.5,215.0,211.0,36707
2019-01-21,226.0,215.0,225.5,215.0,68514
2019-01-22,226.0,218.0,218.0,225.5,38573
2019-01-23,221.5,218.0,220.0,220.0,22470
2019-01-24,221.0,217.0,219.0,217.5,11963
2019-01-25,223.5,218.0,220.0,220.0,17047
2019-01-28,224.0,220.0,221.0,221.0,19697
2019-01-29,223.5,215.0,217.5,221.5,49742
2019-01-30,220.0,217.5,219.0,218.0,21360
2019-01-31,220.0,215.0,215.0,219.0,22383
2019-02-01,215.0,210.5,211.5,215.0,26121
2019-02-04,213.5,209.0,212.0,212.0,26243
2019-02-05,217.0,210.5,214.0,213.0,22306
2019-02-06,214.0,209.5,210.0,213.0,21329
2019-02-07,210.0,204.0,205.0,209.5,30541
2019-02-08,205.0,199.0,201.5,203.0,22867
2019-02-11,204.0,199.0,202.0,201.0,18156
2019-02-12,207.5,200.0,207.5,200.5,34019
2019-02-13,206.5,203.0,205.0,205.0,8837
2019-02-14,210.5,203.5,210.0,205.0,22335
2019-02-15,212.5,207.5,212.5,208.0,16923
2019-02-18,213.0,210.5,212.0,213.0,18305
2019-02-19,213.0,207.5,209.0,212.0,17086
2019-02-20,212.0,207.5,211.5,211.0,12926
2019-02-21,212.0,208.5,209.0,212.0,13203
2019-02-22,213.0,209.0,210.0,209.0,13597
2019-02-25,213.0,210.0,212.5,212.5,13035
2019-02-26,216.5,209.5,215.5,212.5,116180
2019-02-27,227.5,216.5,224.5,216.5,107193
2019-02-28,226.0,221.5,222.0,225.5,47041
2019-03-01,227.0,223.0,224.0,224.0,54751
2019-03-04,233.0,227.0,229.0,229.5,49666
2019-03-05,234.5,228.0,232.0,231.0,35435
2019-03-06,232.5,229.5,231.5,232.0,35248
2019-03-07,230.5,227.0,228.5,230.5,26793
2019-03-08,228.0,222.0,227.0,227.5,66524
2019-03-11,229.5,221.0,225.0,229.5,19781
2019-03-12,229.5,223.5,228.5,225.5,16931
2019-03-13,228.0,223.5,226.5,226.0,17500
2019-03-14,229.0,223.5,224.0,229.0,22825
2019-03-15,228.5,221.5,221.5,225.0,96033
2019-03-18,233.0,221.0,232.0,221.0,34559
2019-03-19,234.5,223.0,233.5,231.0,37338
2019-03-20,235.5,230.0,231.0,234.0,39804
2019-03-21,233.0,227.5,232.5,233.0,26541
2019-03-22,232.5,221.0,221.0,232.5,31666
2019-03-25,225.5,218.5,225.0,221.0,55165
2019-03-26,226.5,220.0,222.5,223.0,30262
2019-03-27,226.5,219.5,221.5,222.5,20428
2019-03-28,224.0,218.5,222.5,222.5,30299
2019-03-29,223.5,220.0,220.5,223.5,16983
2019-04-01,226.0,220.5,226.0,225.0,22416
2019-04-02,230.0,222.5,228.0,225.0,55250
2019-04-03,233.5,228.5,230.0,228.5,40627
2019-04-04,232.5,228.5,232.0,232.0,17842
2019-04-05,232.5,228.5,229.0,232.0,26417
2019-04-08,232.0,228.0,229.0,232.0,38537
2019-04-09,229.0,226.0,229.0,229.0,15577
2019-04-10,229.0,223.0,223.0,229.0,13826
2019-04-11,225.0,222.5,224.5,223.0,11517
2019-04-12,226.0,224.5,225.0,226.0,23528
2019-04-15,230.0,225.0,230.0,225.0,21054
2019-04-16,230.5,225.0,225.0,230.0,18751
2019-04-17,226.5,224.5,224.5,225.0,12871
2019-04-18,224.5,224.5,224.5,224.5,0
2019-04-23,228.0,217.5,220.5,228.0,28217
2019-04-24,221.5,218.5,220.5,220.0,9287
2019-04-25,223.0,216.5,220.5,223.0,8193
2019-04-26,222.5,217.0,222.5,220.0,15564
2019-04-29,225.0,220.5,221.5,222.5,29393
2019-04-30,224.0,219.0,220.5,219.0,26139
2019-05-01,224.0,219.0,220.0,224.0,9188
2019-05-02,220.5,214.5,220.5,220.0,22980
2019-05-03,223.5,217.0,223.5,220.0,53693
2019-05-06,222.5,218.5,220.0,222.0,10246
2019-05-07,223.0,219.0,223.0,220.5,31603
2019-05-08,226.0,223.0,225.0,223.0,16009
2019-05-09,224.5,221.5,222.5,224.5,18267
2019-05-10,224.0,220.5,221.0,224.0,6065
2019-05-13,222.0,219.5,222.0,221.5,27489
2019-05-14,224.5,221.5,223.0,222.0,11494
2019-05-15,225.5,222.0,225.5,223.5,20036
2019-05-16,235.5,221.0,235.0,221.0,52376
2019-05-20,238.0,230.0,231.5,236.0,24688
2019-05-21,235.0,229.0,230.0,229.5,25564
2019-05-22,235.5,230.0,235.0,230.0,26863
2019-05-23,233.5,225.5,228.0,233.0,19970
2019-05-24,230.5,224.5,227.5,224.5,28829
2019-05-27,241.5,229.0,236.0,229.0,86820
2019-05-28,244.5,238.5,242.0,240.0,129988
2019-05-29,243.0,239.5,241.0,239.5,56395
2019-06-03,240.5,231.0,235.0,240.5,36275
2019-06-04,236.0,229.0,231.0,236.0,31553
