Date,Closing price,50,200
2018-06-04,40.33,,
2018-06-05,38.19,,
2018-06-06,38.45,,
2018-06-07,39.8,,
2018-06-08,40.06,,
2018-06-11,40.7,,
2018-06-12,40.21,,
2018-06-13,39.04,,
2018-06-14,38.59,,
2018-06-15,36.86,,
2018-06-18,35.87,,
2018-06-19,35.27,,
2018-06-20,35.41,,
2018-06-21,34.64,,
2018-06-22,36.89,,
2018-06-25,35.65,,
2018-06-26,35.97,,
2018-06-27,38.6,,
2018-06-28,37.63,,
2018-06-29,38.19,,
2018-07-02,37.14,,
2018-07-03,37.31,,
2018-07-04,37.08,,
2018-07-05,36.62,,
2018-07-06,35.09,,
2018-07-09,38.05,,
2018-07-10,39.1,,
2018-07-11,39.37,,
2018-07-12,39.7,,
2018-07-13,39.69,,
2018-07-16,39.37,,
2018-07-17,38.55,,
2018-07-18,39.24,,
2018-07-19,39.96,,
2018-07-20,41.16,,
2018-07-23,43.14,,
2018-07-24,43.3,,
2018-07-25,43.59,,
2018-07-26,42.8,,
2018-07-27,42.97,,
2018-07-30,42.91,,
2018-07-31,39.83,,
2018-08-01,39.8,,
2018-08-02,38.26,,
2018-08-03,37.17,,
2018-08-06,37.7,,
2018-08-07,38.68,,
2018-08-08,38.04,,
2018-08-09,38.53,,
2018-08-10,38.12,,
2018-08-13,38.7,,
2018-08-14,38.41,,
2018-08-15,36.5,,
2018-08-16,36.5,,
2018-08-17,36.04,,
2018-08-20,35.95,,
2018-08-21,36.82,,
2018-08-22,34.22,,
2018-08-23,34.88,,
2018-08-24,32.83,,
2018-08-27,33.67,,
2018-08-28,32.81,,
2018-08-29,32.92,,
2018-08-30,33.02,,
2018-08-31,32.59,,
2018-09-03,33.17,,
2018-09-04,33.04,,
2018-09-05,33.2,,
2018-09-06,31.06,,
2018-09-07,29.95,,
2018-09-10,30.35,,
2018-09-11,31.07,,
2018-09-12,32.18,,
2018-09-13,30.6,,
2018-09-14,30.55,,
2018-09-17,30.53,,
2018-09-18,31.31,,
2018-09-19,32.79,,
2018-09-20,32.0,,
2018-09-21,33.03,,
2018-09-24,34.1,,
2018-09-25,35.45,,
2018-09-26,36.66,,
2018-09-27,36.55,,
2018-09-28,36.61,,
2018-10-01,37.57,,
2018-10-02,37.5,,
2018-10-03,36.75,,
2018-10-04,36.15,,
2018-10-05,35.7,,
2018-10-08,34.67,,
2018-10-09,35.6,,
2018-10-10,34.74,,
2018-10-11,32.96,,
2018-10-12,33.5,,
2018-10-15,31.81,,
2018-10-16,32.11,,
2018-10-17,31.55,,
2018-10-18,27.5,,
2018-10-19,26.54,,
2018-10-22,24.7,,
2018-10-23,23.61,,
2018-10-24,23.6,,
2018-10-25,23.87,,
2018-10-26,25.05,,
2018-10-29,25.15,,
2018-10-30,24.5,,
2018-10-31,26.34,,
2018-11-01,25.42,,
2018-11-02,25.09,,
2018-11-05,24.6,,
2018-11-06,24.57,,
2018-11-07,24.59,,
2018-11-08,23.94,,
2018-11-09,22.66,,
2018-11-12,22.92,,
2018-11-13,22.35,,
2018-11-14,21.96,,
2018-11-15,20.52,,
2018-11-16,21.03,,
2018-11-19,19.89,,
2018-11-20,18.645,,
2018-11-21,19.295,,
2018-11-22,19.38,,
2018-11-23,18.94,,
2018-11-26,19.835,,
2018-11-27,19.485,,
2018-11-28,19.005,,
2018-11-29,18.6,,
2018-11-30,18.37,,
2018-12-03,19.495,,
2018-12-04,18.7,,
2018-12-05,17.775,,
2018-12-06,16.135,,
2018-12-07,17.54,,
2018-12-10,16.02,,
2018-12-11,15.39,,
2018-12-12,15.37,,
2018-12-13,14.48,,
2018-12-14,13.72,,
2018-12-17,12.995,,
2018-12-18,13.045,,
2018-12-19,12.65,,
2018-12-20,12.095,,
2018-12-21,11.625,,
2018-12-27,10.66,,
2018-12-28,11.81,,
2019-01-02,12.76,,
2019-01-03,13.34,,
2019-01-04,14.62,,
2019-01-07,17.35,,
2019-01-08,17.2,,
