Date,Closing price,50,200
2018-06-04,59.0,,
2018-06-05,57.8,,
2018-06-07,56.0,,
2018-06-08,56.0,,
2018-06-11,58.0,,
2018-06-12,59.8,,
2018-06-13,60.8,,
2018-06-14,60.0,,
2018-06-15,60.0,,
2018-06-18,62.6,,
2018-06-19,60.0,,
2018-06-20,58.8,,
2018-06-21,60.4,,
2018-06-25,60.6,,
2018-06-26,59.2,,
2018-06-27,58.8,,
2018-06-28,57.4,,
2018-06-29,60.6,,
2018-07-02,59.0,,
2018-07-03,59.6,,
2018-07-04,58.0,,
2018-07-05,58.4,,
2018-07-06,59.2,,
2018-07-09,61.6,,
2018-07-10,73.0,,
2018-07-11,69.2,,
2018-07-12,68.2,,
2018-07-13,66.4,,
2018-07-16,67.2,,
2018-07-17,66.6,,
2018-07-18,66.6,,
2018-07-19,67.4,,
2018-07-20,65.2,,
2018-07-23,67.8,,
2018-07-24,69.0,,
2018-07-25,69.4,,
2018-07-26,69.0,,
2018-07-27,67.4,,
2018-07-30,68.0,,
2018-07-31,66.6,,
2018-08-01,64.4,,
2018-08-02,62.4,,
2018-08-03,64.0,,
2018-08-06,61.8,,
2018-08-07,61.4,,
2018-08-08,62.8,,
2018-08-09,62.4,,
2018-08-10,62.8,,
2018-08-13,62.6,,
2018-08-14,62.2,,
2018-08-15,61.6,,
2018-08-16,60.0,,
2018-08-17,60.0,,
2018-08-20,61.2,,
2018-08-21,61.8,,
2018-08-22,62.0,,
2018-08-23,60.8,,
2018-08-24,60.6,,
2018-08-27,60.0,,
2018-08-28,60.2,,
2018-08-29,59.4,,
2018-08-30,59.2,,
2018-08-31,60.0,,
2018-09-03,59.8,,
2018-09-04,59.2,,
2018-09-05,60.2,,
2018-09-06,59.0,,
2018-09-07,58.0,,
2018-09-10,59.6,,
2018-09-11,58.8,,
2018-09-12,59.8,,
2018-09-13,59.0,,
2018-09-14,59.6,,
2018-09-17,57.4,,
2018-09-18,57.2,,
2018-09-19,58.8,,
2018-09-20,57.4,,
2018-09-21,58.0,,
2018-09-24,57.8,,
2018-09-25,59.4,,
2018-09-26,59.2,,
2018-09-27,58.6,,
2018-09-28,59.4,,
2018-10-01,59.0,,
2018-10-02,58.8,,
2018-10-03,59.0,,
2018-10-04,58.2,,
2018-10-05,58.0,,
2018-10-08,56.6,,
2018-10-09,58.4,,
2018-10-10,55.8,,
2018-10-11,53.4,,
2018-10-12,57.8,,
2018-10-15,58.0,,
2018-10-16,57.8,,
2018-10-17,60.8,,
2018-10-18,63.0,,
2018-10-19,63.0,,
2018-10-22,61.8,,
2018-10-23,60.8,,
2018-10-24,60.8,,
2018-10-25,61.6,,
2018-10-26,59.8,,
2018-10-29,60.0,,
2018-10-30,62.4,,
2018-10-31,56.2,,
2018-11-01,58.6,,
2018-11-02,58.8,,
2018-11-05,57.4,,
2018-11-06,56.4,,
2018-11-07,55.6,,
2018-11-08,55.6,,
2018-11-09,58.2,,
2018-11-12,56.6,,
2018-11-13,55.4,,
2018-11-14,53.2,,
2018-11-15,53.4,,
2018-11-16,52.4,,
