Date,Closing price,50,200
2017-12-13,6.25,,
2018-06-04,7.4,,
2018-06-05,7.4,,
2018-06-06,7.4,,
2018-06-07,7.1,,
2018-06-08,7.15,,
2018-06-11,7.0,,
2018-06-12,7.2,,
2018-06-13,7.15,,
2018-06-14,7.1,,
2018-06-15,7.1,,
2018-06-18,7.1,,
2018-06-19,7.15,,
2018-06-20,7.15,,
2018-06-21,7.2,,
2018-06-25,7.2,,
2018-06-26,7.1,,
2018-06-27,7.1,,
2018-06-28,7.15,,
2018-06-29,7.05,,
2018-07-02,7.2,,
2018-07-03,7.1,,
2018-07-04,7.1,,
2018-07-05,7.1,,
2018-07-06,7.1,,
2018-07-09,6.95,,
2018-07-10,7.0,,
2018-07-11,7.0,,
2018-07-12,7.0,,
2018-07-13,7.0,,
2018-07-16,6.8,,
2018-07-17,6.95,,
2018-07-18,6.9,,
2018-07-19,6.8,,
2018-07-20,6.95,,
2018-07-23,6.8,,
2018-07-24,6.8,,
2018-07-25,6.95,,
2018-07-26,6.9,,
2018-07-27,6.9,,
2018-07-30,6.8,,
2018-07-31,6.8,,
2018-08-01,6.75,,
2018-08-02,6.8,,
2018-08-03,6.8,,
2018-08-06,6.8,,
2018-08-07,6.8,,
2018-08-08,6.8,,
2018-08-09,6.65,,
2018-08-10,6.6,,
2018-08-13,6.75,,
2018-08-14,6.65,,
2018-08-15,6.5,,
2018-08-16,6.65,,
2018-08-17,6.35,,
2018-08-20,6.45,,
2018-08-21,6.45,,
2018-08-22,6.45,,
2018-08-23,6.45,,
2018-08-24,6.45,,
2018-08-27,6.45,,
2018-08-28,6.45,,
2018-08-29,6.4,,
2018-08-30,6.4,,
2018-08-31,6.35,,
2018-09-03,6.3,,
2018-09-04,6.3,,
2018-09-05,6.25,,
2018-09-06,6.1,,
2018-09-07,6.1,,
2018-09-10,6.0,,
2018-09-11,6.1,,
2018-09-12,6.1,,
2018-09-13,6.1,,
2018-09-14,6.1,,
2018-09-17,6.1,,
2018-09-18,6.1,,
2018-09-19,6.1,,
2018-09-20,6.1,,
2018-09-21,6.1,,
2018-09-24,6.2,,
2018-09-25,6.25,,
2018-09-26,6.3,,
2018-09-27,6.15,,
2018-09-28,6.75,,
2018-10-01,7.0,,
2018-10-02,7.1,,
2018-10-03,7.0,,
2018-10-04,7.0,,
2018-10-05,6.75,,
2018-10-08,7.0,,
2018-10-09,6.9,,
2018-10-10,6.9,,
2018-10-11,6.65,,
2018-10-12,6.65,,
2018-10-15,6.65,,
2018-10-16,6.7,,
2018-10-17,6.8,,
2018-10-18,6.75,,
2018-10-19,6.5,,
2018-10-22,6.45,,
2018-10-23,6.25,,
2018-10-24,6.2,,
2018-10-25,6.2,,
2018-10-26,6.2,,
2018-10-29,6.2,,
2018-10-30,6.4,,
2018-10-31,6.4,,
2018-11-01,6.25,,
2018-11-02,6.4,,
2018-11-05,6.4,,
2018-11-06,6.25,,
2018-11-07,6.4,,
2018-11-08,6.4,,
2018-11-09,6.25,,
2018-11-12,6.35,,
2018-11-13,6.5,,
2018-11-14,6.5,,
2018-11-15,6.4,,
2018-11-16,6.75,,
2018-11-19,6.7,,
2018-11-20,6.4,,
2018-11-21,6.15,,
2018-11-22,6.25,,
2018-11-23,6.15,,
2018-11-26,6.3,,
2018-11-27,6.45,,
2018-11-28,6.3,,
2018-11-29,6.35,,
2018-11-30,6.5,,
2018-12-03,6.6,,
2018-12-04,6.5,,
2018-12-05,6.4,,
2018-12-07,6.35,,
2018-12-10,6.3,,
