Date,High,Low,Close,Open,Volume
2020-01-02,3.72,3.61,3.72,3.61,9461
2020-01-03,4.0,3.7,3.7,3.7,6661
2020-01-07,3.97,3.5,3.64,3.7,14042
2020-01-08,3.84,3.65,3.84,3.65,427
2020-01-09,3.66,3.51,3.6,3.51,399
2020-01-10,3.6,3.25,3.5,3.6,2087
2020-01-13,3.6,3.2,3.6,3.5,2194
2020-01-14,3.6,3.2,3.26,3.25,13225
2020-01-15,3.5,3.28,3.3,3.47,16936
2020-01-16,6.88,3.28,5.1,3.45,281914
2020-01-17,5.7,4.12,4.3,5.4,123346
2020-01-20,4.3,4.05,4.27,4.3,10376
2020-01-21,4.5,3.83,4.07,4.27,2711
2020-01-22,4.44,3.72,4.1,4.07,13176
2020-01-23,4.1,3.7,4.05,4.1,1267
2020-01-24,4.28,3.8,3.82,3.8,18702
2020-01-27,4.08,3.7,3.76,3.85,23266
2020-01-28,3.98,3.72,3.72,3.98,865
2020-01-29,4.09,3.56,4.09,3.56,11116
2020-01-30,4.3,3.88,4.28,4.09,15608
2020-01-31,4.25,3.91,4.0,4.25,8424
2020-02-03,4.0,3.64,3.66,4.0,9194
2020-02-04,4.16,3.48,4.1,3.62,21175
2020-02-05,4.08,3.8,3.98,4.08,3638
2020-02-06,4.14,3.8,3.9,3.96,9529
2020-02-07,3.9,3.7,3.9,3.9,2346
2020-02-10,3.9,3.69,3.78,3.9,4692
2020-02-11,3.77,3.5,3.71,3.77,16329
2020-02-12,4.08,3.7,4.0,3.7,18120
2020-02-13,3.98,3.71,3.71,3.98,2157
2020-02-14,4.08,3.75,4.04,4.08,3071
2020-02-17,3.83,3.72,3.8,3.72,836
2020-02-18,3.71,3.71,3.71,3.71,2865
2020-02-19,3.94,3.7,3.8,3.94,402
2020-02-20,3.8,3.61,3.61,3.75,4647
2020-02-21,3.78,3.47,3.61,3.61,2987
2020-02-24,3.61,3.4,3.4,3.61,4767
2020-02-25,3.4,3.4,3.4,3.4,116
2020-02-26,4.0,3.05,3.52,3.05,14758
2020-02-27,3.88,3.06,3.34,3.74,11149
2020-02-28,3.4,3.18,3.25,3.19,9440
2020-03-02,3.3,3.18,3.18,3.25,1023
2020-03-03,3.48,3.1,3.1,3.18,3976
2020-03-04,3.3,3.0,3.3,3.15,682
2020-03-05,4.0,3.17,3.17,4.0,15731
2020-03-06,3.17,2.51,3.02,3.17,1929
2020-03-09,2.99,2.12,2.8,2.12,3198
2020-03-10,2.97,2.79,2.79,2.79,15170
2020-03-11,2.96,2.2,2.55,2.79,18443
2020-03-12,2.42,2.01,2.38,2.01,25067
2020-03-13,2.38,2.0,2.38,2.02,5779
2020-03-16,2.47,2.0,2.4,2.47,11461
2020-03-17,2.5,2.0,2.4,2.5,30932
2020-03-18,2.4,2.0,2.0,2.4,26066
2020-03-19,2.81,2.06,2.4,2.32,51461
2020-03-20,2.68,2.31,2.33,2.68,17461
2020-03-23,2.32,1.77,1.91,2.32,64194
2020-03-24,2.12,1.9,2.0,1.91,9210
2020-03-25,2.0,1.87,1.98,1.87,9764
2020-03-26,1.975,1.625,1.95,1.9,9439
2020-03-27,1.85,1.85,1.85,1.85,813
2020-03-30,2.25,1.85,2.05,1.85,15655
2020-03-31,2.47,2.04,2.1,2.47,5969
2020-04-01,2.17,1.805,1.995,2.1,9169
2020-04-02,2.42,1.91,2.08,2.07,1609
2020-04-03,2.08,1.8,1.835,2.08,9250
2020-04-06,2.95,1.9,2.59,1.9,33880
2020-04-07,2.89,2.23,2.69,2.51,9106
2020-04-08,2.9,2.3,2.88,2.69,4477
2020-04-09,2.89,2.32,2.89,2.88,1055
2020-04-14,3.17,2.67,2.89,2.89,37143
2020-04-15,2.9,2.56,2.66,2.9,6206
2020-04-16,2.79,2.44,2.7,2.79,6051
2020-04-17,3.3,2.55,3.09,2.9,14714
