Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,0.103,0.0898,0.103,0.099,302548
2018-06-07,0.1,0.0902,0.094,0.1,489705
2018-06-08,0.1095,0.0902,0.1045,0.0902,1408075
2018-06-11,0.11,0.096,0.107,0.105,225163
2018-06-12,0.1085,0.1015,0.106,0.1085,168601
2018-06-13,0.14,0.1,0.1095,0.1085,396812
2018-06-14,0.126,0.0904,0.1195,0.126,526978
2018-06-15,0.1195,0.099,0.101,0.1195,171626
2018-06-18,0.125,0.102,0.111,0.102,391989
2018-06-19,0.1225,0.113,0.113,0.1225,35834
2018-06-20,0.122,0.11,0.1195,0.122,36631
2018-06-21,0.1235,0.11,0.12,0.1105,230385
2018-06-25,0.1215,0.113,0.1195,0.1215,148764
2018-06-26,0.1215,0.1145,0.1215,0.1215,34010
2018-06-27,0.1215,0.113,0.113,0.1215,96090
2018-06-28,0.1195,0.113,0.119,0.1195,102692
2018-06-29,0.1195,0.1,0.1165,0.1195,282600
2018-07-02,0.115,0.115,0.115,0.115,10000
2018-07-03,0.118,0.1075,0.114,0.118,12191
2018-07-04,0.114,0.0924,0.1135,0.114,174566
2018-07-05,0.115,0.1005,0.115,0.114,275194
2018-07-06,0.1145,0.1,0.1095,0.101,89027
2018-07-09,0.109,0.105,0.108,0.109,92116
2018-07-10,0.11,0.1,0.11,0.1,113342
2018-07-11,0.115,0.105,0.1125,0.115,40116
2018-07-12,0.121,0.1075,0.121,0.115,34000
2018-07-13,0.121,0.1,0.1195,0.1,49716
2018-07-16,0.1175,0.11,0.115,0.1175,69250
2018-07-17,0.117,0.11,0.11,0.1105,211622
2018-07-18,0.117,0.11,0.111,0.11,347603
2018-07-19,0.1105,0.1105,0.1105,0.1105,33181
2018-07-20,0.117,0.1105,0.1105,0.117,2090
2018-07-23,0.116,0.116,0.116,0.116,2150
2018-07-24,0.116,0.116,0.116,0.116,0
2018-07-25,0.116,0.116,0.116,0.116,0
2018-07-26,0.1185,0.1105,0.1175,0.1105,28411
2018-07-27,0.1185,0.11,0.1165,0.1185,214512
2018-07-30,0.11,0.11,0.11,0.11,76442
2018-07-31,0.1175,0.1115,0.1175,0.115,139000
2018-08-01,0.1165,0.1005,0.116,0.1165,36500
2018-08-02,0.11,0.1005,0.1005,0.107,143600
2018-08-03,0.1055,0.1005,0.1045,0.104,105562
2018-08-06,0.1085,0.0936,0.0998,0.1085,431148
2018-08-07,0.0998,0.0938,0.094,0.0998,71250
2018-08-08,0.1085,0.094,0.1075,0.094,82835
2018-08-09,0.1075,0.1075,0.1075,0.1075,300
2018-08-10,0.1075,0.0982,0.107,0.0982,135460
2018-08-13,0.101,0.1005,0.1005,0.101,4132
2018-08-14,0.108,0.101,0.101,0.108,42680
2018-08-15,0.108,0.0908,0.107,0.108,162807
2018-08-16,0.107,0.0924,0.102,0.107,170541
2018-08-17,0.1065,0.0942,0.0998,0.1065,123227
2018-08-20,0.1045,0.0882,0.102,0.1045,263796
2018-08-21,0.106,0.1,0.105,0.1,38356
2018-08-22,0.1185,0.1,0.1185,0.1,604424
2018-08-23,0.1185,0.088,0.1105,0.1185,946870
2018-08-24,0.109,0.0972,0.109,0.109,370645
2018-08-27,0.108,0.0952,0.1,0.108,1868548
2018-08-28,0.105,0.0898,0.0978,0.105,1225132
2018-08-29,0.1045,0.097,0.1045,0.0996,920550
2018-08-30,0.105,0.103,0.1045,0.1045,495441
2018-08-31,0.104,0.0952,0.0998,0.104,566140
2018-09-03,0.1035,0.0998,0.0998,0.1035,84350
2018-09-04,0.0998,0.098,0.0994,0.0996,357754
2018-09-05,0.0994,0.0912,0.0994,0.0912,48000
2018-09-06,0.1045,0.094,0.096,0.0966,181596
2018-09-07,0.102,0.0866,0.095,0.102,434740
2018-09-10,0.1005,0.0928,0.0986,0.1005,707991
2018-09-11,0.1005,0.0908,0.097,0.099,1360515
2018-09-12,0.097,0.0968,0.097,0.0968,241238
2018-09-13,0.098,0.093,0.093,0.098,365531
2018-09-14,0.092,0.0914,0.092,0.0918,147249
2018-09-17,0.093,0.0912,0.0916,0.093,165548
2018-09-18,0.0916,0.07,0.0912,0.0914,42300
2018-09-19,0.0912,0.0878,0.0908,0.0912,399091
2018-09-20,0.104,0.0882,0.091,0.104,464862
2018-09-21,0.1025,0.0922,0.0922,0.1025,522595
2018-09-24,0.0994,0.09,0.0986,0.0994,275899
2018-09-25,0.099,0.0906,0.091,0.099,494307
2018-09-26,0.0984,0.09,0.0956,0.0984,354380
2018-09-27,0.0964,0.086,0.095,0.0962,390715
2018-09-28,0.0948,0.09,0.092,0.0948,373553
2018-10-01,0.098,0.0926,0.0926,0.098,347494
2018-10-02,0.098,0.0892,0.09,0.098,883363
2018-10-03,0.091,0.0894,0.09,0.09,189693
2018-10-04,0.0946,0.085,0.0898,0.0946,72352
2018-10-05,0.0918,0.0898,0.09,0.0898,346661
2018-10-08,0.091,0.088,0.0898,0.09,239550
2018-10-09,0.09,0.085,0.09,0.09,505063
2018-10-10,0.089,0.0864,0.089,0.0864,126030
2018-10-11,0.09,0.0822,0.0842,0.09,212638
2018-10-12,0.088,0.083,0.086,0.0842,903838
2018-10-15,0.086,0.0846,0.086,0.086,281822
2018-10-16,0.0878,0.0842,0.0878,0.0842,11030
2018-10-17,0.0848,0.078,0.0836,0.08,703652
2018-10-18,0.0836,0.0788,0.0834,0.0836,8410
2018-10-19,0.0812,0.081,0.081,0.0812,240920
2018-10-22,0.0856,0.077,0.077,0.0856,203383
2018-10-23,0.0858,0.076,0.0858,0.077,52732
