Date,High,Low,Close,Open,Volume
2020-01-02,1.71,1.672,1.692,1.69,811281
2020-01-03,1.69,1.642,1.656,1.69,1365219
2020-01-07,1.7,1.65,1.676,1.7,1169529
2020-01-08,1.672,1.63,1.648,1.652,797916
2020-01-09,1.668,1.632,1.634,1.632,453861
2020-01-10,1.662,1.63,1.65,1.65,585216
2020-01-13,1.66,1.62,1.64,1.65,687326
2020-01-14,1.634,1.6,1.606,1.634,824047
2020-01-15,1.626,1.59,1.616,1.608,510294
2020-01-16,1.658,1.612,1.65,1.612,643909
2020-01-17,1.66,1.632,1.652,1.656,403917
2020-01-20,1.65,1.63,1.632,1.632,396054
2020-01-21,1.632,1.594,1.594,1.63,1129415
2020-01-22,1.6,1.56,1.584,1.596,1017676
2020-01-23,1.594,1.55,1.556,1.562,660507
2020-01-24,1.59,1.5,1.56,1.528,627070
2020-01-27,1.65,1.574,1.62,1.578,1590316
2020-01-28,1.648,1.562,1.63,1.638,609515
2020-01-29,1.65,1.6,1.644,1.63,629346
2020-01-30,1.644,1.582,1.588,1.644,376360
2020-01-31,1.616,1.532,1.552,1.588,910910
2020-02-03,1.6,1.51,1.57,1.56,713304
2020-02-04,1.668,1.568,1.668,1.568,923062
2020-02-05,1.67,1.6,1.6,1.67,536582
2020-02-06,1.648,1.616,1.642,1.616,490964
2020-02-07,1.65,1.6,1.622,1.65,588280
2020-02-10,1.64,1.582,1.628,1.63,308052
2020-02-11,1.64,1.6,1.638,1.6,489367
2020-02-12,1.7,1.63,1.69,1.638,1122119
2020-02-13,1.7,1.65,1.656,1.692,878474
2020-02-14,1.996,1.712,1.732,1.954,8153145
2020-02-17,1.79,1.66,1.69,1.748,2795342
2020-02-18,1.728,1.676,1.676,1.698,1358704
2020-02-19,1.714,1.614,1.656,1.682,1400540
2020-02-20,1.676,1.626,1.626,1.65,1272290
2020-02-21,1.688,1.618,1.644,1.626,2425881
2020-02-24,1.638,1.57,1.592,1.62,1501749
2020-02-25,1.592,1.54,1.548,1.592,963739
2020-02-26,1.546,1.4,1.514,1.546,2507169
2020-02-27,1.518,1.35,1.368,1.518,2601982
2020-02-28,1.35,1.28,1.3,1.35,2707243
2020-03-02,1.4,1.302,1.348,1.302,1674548
2020-03-03,1.396,1.348,1.38,1.358,1225717
2020-03-04,1.382,1.344,1.344,1.382,700285
2020-03-05,1.34,1.28,1.294,1.34,2604417
2020-03-06,1.29,1.25,1.276,1.278,1200793
2020-03-09,1.23,1.122,1.21,1.23,2320610
2020-03-10,1.296,1.198,1.22,1.198,2332502
2020-03-11,1.246,1.2,1.214,1.23,673630
2020-03-12,1.172,1.002,1.078,1.17,2457329
2020-03-13,1.142,1.002,1.07,1.002,2543155
2020-03-16,1.07,0.96,1.02,1.07,2383320
2020-03-17,1.01,0.9,0.963,1.002,2675106
2020-03-18,0.997,0.95,0.969,0.964,1075808
2020-03-19,1.02,0.94,0.976,0.968,2521199
2020-03-20,1.032,0.961,1.012,1.002,2100799
2020-03-23,1.08,0.978,1.018,1.014,863286
2020-03-24,1.07,1.01,1.032,1.042,884375
2020-03-25,1.07,1.01,1.04,1.052,2737207
2020-03-26,1.068,1.024,1.064,1.042,667620
2020-03-27,1.09,1.046,1.068,1.068,983009
2020-03-30,1.09,1.01,1.052,1.072,1308372
2020-03-31,1.098,1.03,1.082,1.056,1165005
2020-04-01,1.13,1.062,1.108,1.082,902707
2020-04-02,1.198,1.096,1.15,1.11,1324065
2020-04-03,1.196,1.13,1.15,1.196,868439
2020-04-06,1.19,1.15,1.182,1.15,571555
2020-04-07,1.24,1.196,1.22,1.198,1422706
2020-04-08,1.288,1.22,1.278,1.228,482682
2020-04-09,1.4,1.278,1.37,1.288,1486557
2020-04-14,1.484,1.4,1.478,1.402,1136658
2020-04-15,1.548,1.4,1.416,1.5,1442572
2020-04-16,1.62,1.42,1.5,1.46,5413403
2020-04-17,1.58,1.5,1.554,1.548,1981634
2020-04-20,1.596,1.53,1.54,1.584,890947
2020-04-21,1.54,1.416,1.476,1.538,1154810
2020-04-22,1.53,1.462,1.494,1.462,554201
2020-04-23,1.55,1.498,1.534,1.498,439670
2020-04-24,1.56,1.498,1.522,1.53,542422
2020-04-27,1.55,1.49,1.49,1.524,794260
2020-04-28,1.508,1.46,1.48,1.5,1414084
2020-04-29,1.498,1.466,1.49,1.48,314184
2020-04-30,1.5,1.47,1.496,1.49,542818
2020-05-04,1.552,1.446,1.54,1.498,1336122
2020-05-05,1.6,1.54,1.586,1.58,1440749
2020-05-06,1.69,1.618,1.65,1.688,2332845
2020-05-07,1.71,1.67,1.7,1.698,2018600
2020-05-08,1.748,1.65,1.692,1.708,1978409
2020-05-11,1.718,1.62,1.67,1.692,1538146
2020-05-12,1.696,1.64,1.67,1.672,522467
