Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,52.5,50.0,52.5,50.0,299
2018-06-07,59.5,53.0,53.0,59.5,106
2018-06-08,53.0,53.0,53.0,53.0,0
2018-06-11,52.5,50.0,50.0,52.5,321
2018-06-12,50.0,50.0,50.0,50.0,6
2018-06-13,55.0,54.0,55.0,54.0,460
2018-06-14,59.0,55.0,59.0,56.0,294
2018-06-15,59.0,50.0,50.0,59.0,620
2018-06-18,50.5,50.0,50.0,50.5,157
2018-06-19,50.0,50.0,50.0,50.0,0
2018-06-20,50.0,50.0,50.0,50.0,0
2018-06-21,55.0,50.5,55.0,50.5,797
2018-06-25,55.5,52.0,55.5,55.0,309
2018-06-26,65.0,65.0,65.0,65.0,50
2018-06-27,62.5,62.5,62.5,62.5,30
2018-06-28,62.5,59.0,62.5,62.5,22
2018-06-29,62.5,62.5,62.5,62.5,71
2018-07-02,63.0,63.0,63.0,63.0,40
2018-07-03,63.0,63.0,63.0,63.0,0
2018-07-04,57.5,57.5,57.5,57.5,43
2018-07-05,57.5,57.5,57.5,57.5,0
2018-07-06,55.5,55.5,55.5,55.5,20
2018-07-09,55.5,55.5,55.5,55.5,0
2018-07-10,55.5,55.5,55.5,55.5,75
2018-07-11,55.5,55.5,55.5,55.5,0
2018-07-12,64.5,64.5,64.5,64.5,24
2018-07-13,64.0,63.5,64.0,63.5,89
2018-07-16,64.0,64.0,64.0,64.0,0
2018-07-17,64.0,64.0,64.0,64.0,0
2018-07-18,63.0,53.0,53.0,62.0,740
2018-07-19,60.5,55.5,56.0,60.5,831
2018-07-20,55.5,53.0,55.5,53.0,511
2018-07-23,55.5,55.5,55.5,55.5,0
2018-07-24,55.5,55.5,55.5,55.5,0
2018-07-25,55.5,55.5,55.5,55.5,0
2018-07-26,59.0,59.0,59.0,59.0,10
2018-07-27,59.0,59.0,59.0,59.0,15
2018-07-30,50.5,50.0,50.0,50.5,822
2018-07-31,54.5,47.6,54.5,50.5,368
2018-08-01,54.5,54.5,54.5,54.5,0
2018-08-02,48.0,48.0,48.0,48.0,150
2018-08-03,50.5,47.0,50.5,48.0,765
2018-08-06,50.5,50.5,50.5,50.5,0
2018-08-07,50.5,50.5,50.5,50.5,0
2018-08-08,50.5,50.5,50.5,50.5,0
2018-08-09,50.5,50.5,50.5,50.5,0
2018-08-10,50.5,50.5,50.5,50.5,1
2018-08-13,54.5,45.0,54.5,45.0,550
2018-08-14,54.5,54.0,54.5,54.0,465
2018-08-15,54.5,54.5,54.5,54.5,0
2018-08-16,49.2,45.2,49.2,45.2,490
2018-08-17,48.8,45.2,48.8,46.4,854
2018-08-20,48.8,48.8,48.8,48.8,0
2018-08-21,48.8,46.0,46.0,48.6,103
2018-08-22,47.8,45.2,47.8,45.4,90
2018-08-23,50.0,50.0,50.0,50.0,42
2018-08-24,50.0,50.0,50.0,50.0,0
2018-08-27,48.8,45.2,48.6,47.2,1087
2018-08-28,48.6,48.6,48.6,48.6,0
2018-08-29,47.0,47.0,47.0,47.0,15
2018-08-30,46.8,43.8,43.8,45.0,598
2018-08-31,44.8,43.0,43.0,43.0,70
2018-09-03,41.0,41.0,41.0,41.0,30
2018-09-04,46.6,41.2,46.6,41.2,79
2018-09-05,46.6,46.6,46.6,46.6,0
2018-09-06,46.2,46.2,46.2,46.2,21
2018-09-07,46.0,41.0,46.0,41.0,75
2018-09-10,46.0,46.0,46.0,46.0,0
2018-09-11,45.8,45.6,45.6,45.8,375
2018-09-12,52.5,52.5,52.5,52.5,4
2018-09-13,43.4,42.6,43.4,42.6,4
2018-09-14,44.2,43.4,44.2,43.4,140
2018-09-17,44.2,44.2,44.2,44.2,0
