Date,High,Low,Close,Open,Volume
2020-01-02,190.0,189.0,189.0,190.0,420
2020-01-03,195.0,190.0,192.0,195.0,1155
2020-01-06,197.0,193.0,197.0,193.0,109
2020-01-07,197.0,197.0,197.0,197.0,504
2020-01-08,196.0,192.0,192.0,196.0,3114
2020-01-09,197.0,195.0,197.0,196.0,3320
2020-01-10,197.0,196.0,196.0,197.0,400
2020-01-13,197.0,192.0,195.0,197.0,1609
2020-01-14,200.0,198.0,198.0,199.0,2793
2020-01-15,200.0,196.0,196.0,199.0,1454
2020-01-16,200.0,194.0,199.0,200.0,669
2020-01-17,200.0,197.0,197.0,200.0,950
2020-01-20,199.0,198.0,199.0,198.0,672
2020-01-21,200.0,199.0,200.0,200.0,666
2020-01-22,200.0,200.0,200.0,200.0,799
2020-01-23,199.0,195.0,199.0,195.0,799
2020-01-24,199.0,193.0,199.0,193.0,687
2020-01-27,200.0,200.0,200.0,200.0,1000
2020-01-28,198.0,196.0,198.0,196.0,26
2020-01-29,202.0,196.0,202.0,202.0,543
2020-01-30,202.0,202.0,202.0,202.0,653
2020-01-31,202.0,200.0,202.0,202.0,323
2020-02-03,204.0,202.0,204.0,202.0,933
2020-02-04,212.0,204.0,206.0,204.0,620
2020-02-05,208.0,206.0,206.0,208.0,416
2020-02-06,212.0,206.0,210.0,212.0,1513
2020-02-07,220.0,210.0,210.0,210.0,1425
2020-02-10,216.0,210.0,216.0,210.0,233
2020-02-11,216.0,210.0,214.0,216.0,1549
2020-02-12,214.0,214.0,214.0,214.0,123
2020-02-13,218.0,212.0,212.0,218.0,351
2020-02-14,212.0,206.0,206.0,212.0,1325
2020-02-17,214.0,208.0,208.0,214.0,1192
2020-02-18,210.0,208.0,208.0,208.0,577
2020-02-19,210.0,208.0,208.0,210.0,718
2020-02-20,210.0,210.0,210.0,210.0,686
2020-02-21,214.0,214.0,214.0,214.0,5
2020-02-24,220.0,208.0,212.0,220.0,2555
2020-02-25,214.0,208.0,210.0,212.0,239
2020-02-26,208.0,204.0,206.0,208.0,262
2020-02-27,210.0,204.0,204.0,210.0,313
2020-02-28,204.0,188.0,200.0,204.0,2879
2020-03-02,198.0,192.0,198.0,192.0,271
2020-03-03,216.0,210.0,210.0,216.0,598
2020-03-04,218.0,208.0,214.0,212.0,1297
2020-03-05,208.0,206.0,206.0,206.0,255
2020-03-06,206.0,206.0,206.0,206.0,300
2020-03-09,200.0,193.0,196.0,200.0,1660
2020-03-10,197.0,196.0,196.0,197.0,100
2020-03-11,197.0,196.0,196.0,197.0,30
2020-03-12,198.0,183.0,188.0,197.0,1139
2020-03-13,202.0,188.0,190.0,188.0,21531
2020-03-16,188.0,180.0,185.0,188.0,927
2020-03-17,195.0,166.0,195.0,186.0,3177
2020-03-18,200.0,170.0,187.0,200.0,808
2020-03-19,183.0,171.0,171.0,180.0,1738
2020-03-20,172.0,170.0,171.0,172.0,314
2020-03-23,183.0,167.0,170.0,167.0,2239
2020-03-24,188.0,183.0,185.0,188.0,1120
2020-03-25,185.0,181.0,181.0,185.0,840
2020-03-26,190.0,185.0,190.0,185.0,841
2020-03-27,190.0,190.0,190.0,190.0,158
2020-03-30,181.0,175.0,181.0,180.0,947
2020-03-31,195.0,181.0,195.0,181.0,705
2020-04-01,195.0,190.0,194.0,195.0,78
2020-04-02,194.0,194.0,194.0,194.0,0
2020-04-03,194.0,190.0,194.0,190.0,712
2020-04-06,199.0,190.0,190.0,199.0,978
2020-04-07,187.0,187.0,187.0,187.0,6
2020-04-08,186.0,184.0,184.0,185.0,452
2020-04-09,184.0,184.0,184.0,184.0,0
2020-04-14,190.0,189.0,190.0,189.0,2448
