Date,Closing price,50,200
2018-06-04,70.0,,
2018-06-05,69.5,,
2018-06-06,68.5,,
2018-06-07,67.7,,
2018-06-08,66.8,,
2018-06-11,68.3,,
2018-06-12,69.2,,
2018-06-13,68.0,,
2018-06-14,68.7,,
2018-06-15,68.5,,
2018-06-18,69.1,,
2018-06-19,67.7,,
2018-06-20,66.6,,
2018-06-21,66.3,,
2018-06-22,68.4,,
2018-06-25,68.0,,
2018-06-26,66.5,,
2018-06-27,66.5,,
2018-06-28,64.7,,
2018-06-29,66.4,,
2018-07-02,68.5,,
2018-07-03,67.0,,
2018-07-04,66.8,,
2018-07-05,67.3,,
2018-07-06,67.0,,
2018-07-09,67.0,,
2018-07-10,68.1,,
2018-07-11,67.0,,
2018-07-12,67.0,,
2018-07-13,52.0,,
2018-07-16,52.1,,
2018-07-17,50.2,,
2018-07-18,50.0,,
2018-07-19,50.1,,
2018-07-20,49.5,,
2018-07-23,49.05,,
2018-07-24,55.0,,
2018-07-25,56.0,,
2018-07-26,57.7,,
2018-07-27,58.5,,
2018-07-30,59.4,,
2018-07-31,61.5,,
2018-08-01,60.2,,
2018-08-02,60.2,,
2018-08-03,61.0,,
2018-08-06,58.2,,
2018-08-07,60.3,,
2018-08-08,59.2,,
2018-08-09,59.7,,
2018-08-10,59.4,,
2018-08-13,58.4,,
2018-08-14,58.6,,
2018-08-15,58.6,,
2018-08-16,59.0,,
2018-08-17,58.8,,
2018-08-20,60.9,,
2018-08-21,60.6,,
2018-08-22,61.0,,
2018-08-23,60.3,,
2018-08-24,59.7,,
2018-08-27,59.0,,
2018-08-28,60.0,,
2018-08-29,59.7,,
2018-08-30,58.7,,
2018-08-31,58.2,,
2018-09-03,56.5,,
2018-09-04,57.0,,
2018-09-05,56.2,,
2018-09-06,56.1,,
2018-09-07,55.3,,
2018-09-10,55.5,,
2018-09-11,53.4,,
2018-09-12,52.7,,
2018-09-13,53.0,,
2018-09-14,53.2,,
2018-09-17,54.0,,
2018-09-18,54.1,,
2018-09-19,53.9,,
2018-09-20,54.7,,
2018-09-21,54.2,,
2018-09-24,53.8,,
2018-09-25,53.3,,
2018-09-26,53.0,,
2018-09-27,52.8,,
2018-09-28,53.0,,
2018-10-01,52.4,,
2018-10-02,52.4,,
2018-10-03,51.5,,
2018-10-04,50.7,,
2018-10-05,50.3,,
2018-10-08,50.0,,
2018-10-09,49.6,,
2018-10-10,48.5,,
2018-10-11,47.0,,
2018-10-12,47.45,,
2018-10-15,37.05,,
2018-10-16,40.2,,
2018-10-17,40.8,,
2018-10-18,40.2,,
2018-10-19,39.95,,
2018-10-22,39.0,,
2018-10-23,38.1,,
2018-10-24,39.3,,
2018-10-25,39.5,,
2018-10-26,42.9,,
2018-10-29,40.05,,
2018-10-30,37.9,,
2018-10-31,39.0,,
2018-11-01,41.4,,
2018-11-02,42.0,,
2018-11-05,41.5,,
2018-11-06,41.3,,
2018-11-07,43.6,,
2018-11-08,43.7,,
2018-11-09,45.35,,
2018-11-12,45.25,,
2018-11-13,43.8,,
2018-11-14,44.0,,
2018-11-15,42.35,,
2018-11-16,42.5,,
2018-11-19,43.35,,
2018-11-20,42.8,,
2018-11-21,43.65,,
2018-11-22,43.1,,
2018-11-23,44.1,,
2018-11-26,44.2,,
2018-11-27,44.1,,
2018-11-28,43.5,,
2018-11-29,43.85,,
2018-11-30,45.4,,
2018-12-03,48.9,,
2018-12-04,49.95,,
2018-12-05,49.5,,
2018-12-06,47.2,,
2018-12-07,43.45,,
2018-12-10,44.0,,
2018-12-11,46.5,,
2018-12-12,47.25,,
2018-12-13,44.6,,
2018-12-14,47.45,,
2018-12-17,47.65,,
2018-12-18,47.0,,
2018-12-19,47.0,,
2018-12-20,46.0,,
2018-12-21,45.85,,
2018-12-27,47.3,,
2018-12-28,47.8,,
2019-01-02,47.8,,
2019-01-03,48.65,,
2019-01-04,48.35,,
2019-01-07,47.5,,
2019-01-08,50.3,,
2019-01-09,49.7,,
2019-01-10,50.0,,
2019-01-11,49.3,,
2019-01-14,49.5,,
2019-01-15,49.15,,
2019-01-16,49.7,,
2019-01-17,47.3,,
2019-01-18,46.55,,
2019-01-21,46.15,,
2019-01-22,48.3,,
2019-01-23,48.0,,
2019-01-24,47.9,,
2019-01-25,47.8,,
2019-01-28,45.8,,
2019-01-29,45.1,,
2019-01-30,47.0,,
2019-01-31,47.9,,
2019-02-01,47.8,,
2019-02-04,47.9,,
2019-02-05,49.0,,
2019-02-06,49.9,,
2019-02-07,54.3,,
2019-02-08,53.0,,
2019-02-11,53.0,,
2019-02-12,53.2,,
2019-02-13,53.0,,
2019-02-14,53.0,,
2019-02-15,54.0,,
2019-02-18,54.0,,
2019-02-19,52.7,,
2019-02-20,51.9,,
2019-02-21,52.5,,
2019-02-22,52.2,,
2019-02-25,52.1,,
2019-02-26,53.5,,
2019-02-27,52.5,,
2019-02-28,52.2,,
2019-03-01,53.5,,
2019-03-04,53.0,,
2019-03-05,53.3,,
2019-03-06,53.3,,
2019-03-07,54.0,,
2019-03-08,53.2,,
2019-03-11,53.2,,
2019-03-12,52.0,,
2019-03-13,52.9,,
2019-03-14,53.5,,
2019-03-15,54.2,,
2019-03-18,54.1,,
2019-03-19,53.6,,
2019-03-20,52.9,,
2019-03-21,52.4,,
2019-03-22,51.9,,
2019-03-25,52.8,,
2019-03-26,52.5,,
2019-03-27,53.0,,
2019-03-28,51.8,,
2019-03-29,52.1,,
2019-04-01,54.3,,
2019-04-02,55.0,,
2019-04-03,54.65,,
2019-04-04,56.05,,
2019-04-05,57.7,,
2019-04-08,57.25,,
2019-04-09,56.5,,
2019-04-10,58.2,,
2019-04-11,60.0,,
2019-04-12,60.5,,
2019-04-15,60.3,,
2019-04-16,62.7,,
2019-04-17,63.9,,
2019-04-18,63.9,,
2019-04-23,64.5,,
2019-04-24,63.9,,
2019-04-25,63.45,,
2019-04-26,60.4,,
2019-04-29,57.0,,
2019-04-30,58.5,,
2019-05-02,60.0,,
2019-05-03,60.0,,
2019-05-06,59.0,,
2019-05-07,57.0,,
2019-05-08,58.3,,
2019-05-09,57.1,,
2019-05-10,57.1,,
2019-05-13,57.85,,
2019-05-14,58.5,,
2019-05-15,57.75,,
2019-05-16,58.35,56.727000000000004,51.62600000000004
2019-05-20,58.5,56.831,51.61100000000004
2019-05-21,61.0,56.985,51.61500000000004
2019-05-22,60.7,57.11900000000001,51.61750000000003
2019-05-23,59.9,57.253000000000014,51.61200000000002
2019-05-24,60.15,57.39200000000002,51.62175000000002
2019-05-27,60.0,57.552000000000014,51.62025000000001
2019-05-28,60.0,57.694000000000024,51.62425000000002
2019-05-29,60.5,57.834000000000024,51.628250000000016
2019-05-31,60.7,57.96400000000003,51.634750000000025
