Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-04-30,10.1,10.1,10.1,10.1,0
2018-06-07,8.3,8.3,8.3,8.3,1000
2018-06-08,8.5,8.3,8.3,8.3,3350
2018-06-11,8.3,8.3,8.3,8.3,0
2018-06-12,8.3,8.3,8.3,8.3,5000
2018-06-13,8.7,8.5,8.7,8.5,191
2018-06-14,8.3,8.3,8.3,8.3,200
2018-06-15,8.3,8.3,8.3,8.3,1000
2018-06-18,8.3,8.3,8.3,8.3,0
2018-06-19,8.3,8.3,8.3,8.3,0
2018-06-20,8.8,8.8,8.8,8.8,90
2018-06-21,8.8,8.8,8.8,8.8,0
2018-06-25,8.35,8.35,8.35,8.35,10000
2018-06-26,8.3,8.3,8.3,8.3,3037
2018-06-27,8.45,7.7,8.45,7.7,302
2018-06-28,8.45,8.45,8.45,8.45,0
2018-06-29,8.45,8.45,8.45,8.45,0
2018-07-02,8.45,8.45,8.45,8.45,0
2018-07-03,8.45,8.45,8.45,8.45,0
2018-07-04,8.45,8.45,8.45,8.45,0
2018-07-05,8.45,8.45,8.45,8.45,0
2018-07-06,8.0,8.0,8.0,8.0,3001
2018-07-09,8.0,8.0,8.0,8.0,4
2018-07-10,8.0,8.0,8.0,8.0,0
2018-07-11,8.0,8.0,8.0,8.0,0
2018-07-12,8.0,8.0,8.0,8.0,0
2018-07-13,8.0,8.0,8.0,8.0,21995
2018-07-16,8.0,8.0,8.0,8.0,0
2018-07-17,8.0,8.0,8.0,8.0,1500
2018-07-18,8.0,8.0,8.0,8.0,10000
2018-07-19,7.75,7.75,7.75,7.75,100
2018-07-20,7.75,7.75,7.75,7.75,0
2018-07-23,7.75,7.65,7.75,7.65,10371
2018-07-24,7.9,7.9,7.9,7.9,119
2018-07-25,7.9,7.9,7.9,7.9,0
2018-07-26,7.5,7.5,7.5,7.5,910
2018-07-27,8.0,8.0,8.0,8.0,5000
2018-07-30,8.0,8.0,8.0,8.0,10
2018-07-31,7.85,7.85,7.85,7.85,1000
2018-08-01,7.85,7.85,7.85,7.85,0
2018-08-02,8.4,8.0,8.0,8.0,7789
2018-08-03,8.0,8.0,8.0,8.0,0
2018-08-06,8.0,8.0,8.0,8.0,0
2018-08-07,8.0,8.0,8.0,8.0,6505
2018-08-08,8.0,8.0,8.0,8.0,0
2018-08-09,8.0,8.0,8.0,8.0,0
2018-08-10,8.0,8.0,8.0,8.0,199
2018-08-13,8.0,8.0,8.0,8.0,0
2018-08-14,8.5,8.2,8.2,8.2,5000
2018-08-15,8.2,8.1,8.1,8.2,3000
2018-08-16,8.1,8.1,8.1,8.1,0
2018-08-17,8.1,8.1,8.1,8.1,0
2018-08-20,8.1,8.1,8.1,8.1,0
2018-08-21,7.6,7.6,7.6,7.6,2020
2018-08-22,7.6,7.6,7.6,7.6,0
2018-08-23,8.2,7.5,8.2,7.5,5000
2018-08-24,8.2,8.2,8.2,8.2,0
2018-08-27,7.35,7.35,7.35,7.35,835
2018-08-28,7.5,7.5,7.5,7.5,285
2018-08-29,8.15,8.0,8.0,8.0,3835
2018-08-30,8.95,8.2,8.25,8.2,35478
2018-08-31,8.8,8.25,8.8,8.25,32500
2018-09-03,8.95,8.15,8.15,8.95,19111
2018-09-04,8.8,8.3,8.8,8.5,16000
2018-09-05,8.4,8.4,8.4,8.4,90
2018-09-06,8.4,8.4,8.4,8.4,0
2018-09-07,8.2,8.15,8.15,8.2,1867
