Date,High,Low,Close,Open,Volume
2020-01-02,1.0,0.872,0.932,0.998,22661
2020-01-03,1.035,0.97,1.035,1.0,18280
2020-01-07,1.19,0.94,0.94,1.045,159680
2020-01-08,1.0,0.89,0.99,0.97,177375
2020-01-09,1.0,0.904,0.922,1.0,76587
2020-01-10,0.974,0.882,0.92,0.95,199052
2020-01-13,0.92,0.85,0.85,0.92,108741
2020-01-14,0.988,0.832,0.864,0.92,55383
2020-01-15,0.92,0.852,0.852,0.864,34311
2020-01-16,0.852,0.81,0.84,0.81,51870
2020-01-17,0.83,0.824,0.826,0.824,12642
2020-01-20,0.87,0.85,0.86,0.85,30120
2020-01-21,1.025,0.86,0.896,0.86,41060
2020-01-22,0.998,0.894,0.896,0.99,30809
2020-01-23,0.94,0.886,0.89,0.896,32967
2020-01-24,0.948,0.89,0.89,0.89,7747
2020-01-27,0.978,0.872,0.872,0.894,70696
2020-01-28,0.91,0.814,0.848,0.872,168762
2020-01-29,0.86,0.79,0.798,0.82,249742
2020-01-30,0.79,0.736,0.78,0.772,222441
2020-01-31,0.788,0.732,0.74,0.732,134840
2020-02-03,0.982,0.802,0.85,0.982,57088
2020-02-04,0.896,0.824,0.86,0.896,37476
2020-02-05,0.91,0.87,0.88,0.872,27828
2020-02-06,0.94,0.814,0.91,0.876,45721
2020-02-07,0.91,0.78,0.782,0.91,148317
2020-02-10,0.81,0.74,0.796,0.8,162900
2020-02-11,0.888,0.756,0.888,0.794,147837
2020-02-12,0.83,0.8,0.81,0.804,45968
2020-02-13,1.575,0.94,1.145,0.94,4786403
2020-02-14,1.145,0.982,1.02,1.145,196166
2020-02-17,1.02,0.856,0.89,1.02,427108
2020-02-18,1.2,0.854,1.045,0.938,299085
2020-02-19,1.05,0.93,1.05,1.0,108102
2020-02-20,1.09,0.94,1.035,1.07,93910
2020-02-21,1.035,0.942,0.976,1.035,35235
2020-02-24,0.976,0.864,0.97,0.882,100022
2020-02-25,0.976,0.85,0.85,0.86,128767
2020-02-26,0.986,0.8,0.87,0.852,105041
2020-02-27,0.968,0.75,0.968,0.87,89775
2020-02-28,0.958,0.85,0.948,0.85,96483
2020-03-02,0.94,0.82,0.868,0.94,46337
2020-03-03,0.94,0.866,0.926,0.93,54766
2020-03-04,0.89,0.85,0.89,0.852,44181
2020-03-05,0.87,0.852,0.852,0.87,19187
2020-03-06,0.87,0.81,0.812,0.852,32285
2020-03-09,0.812,0.768,0.8,0.812,32892
2020-03-10,0.87,0.8,0.8,0.87,1550
2020-03-11,0.8,0.77,0.77,0.772,31545
2020-03-12,0.836,0.7,0.832,0.7,12530
2020-03-13,0.828,0.6,0.784,0.828,41939
2020-03-16,0.784,0.784,0.784,0.784,2300
2020-03-17,0.746,0.5,0.74,0.5,12186
2020-03-18,0.784,0.6,0.614,0.6,7780
2020-03-19,0.796,0.62,0.75,0.622,27020
2020-03-20,0.75,0.75,0.75,0.75,2116
2020-03-23,0.598,0.3,0.34,0.502,434675
2020-03-24,0.398,0.226,0.395,0.398,83284
2020-03-25,0.397,0.311,0.359,0.397,41663
2020-03-26,0.395,0.231,0.357,0.359,42169
2020-03-27,0.35,0.3,0.35,0.3,74056
2020-03-30,0.375,0.201,0.239,0.375,1016116
2020-03-31,0.238,0.19,0.211,0.23,414998
2020-04-01,0.2,0.163,0.173,0.2,760781
2020-04-02,0.2,0.153,0.153,0.2,266455
2020-04-03,0.18,0.158,0.158,0.18,499303
2020-04-06,0.194,0.175,0.18,0.179,850440
2020-04-07,0.219,0.161,0.178,0.18,740108
2020-04-08,0.175,0.08,0.108,0.166,2899872
2020-04-09,0.146,0.101,0.124,0.109,2380057
2020-04-14,0.124,0.124,0.124,0.124,0
2020-04-15,0.124,0.124,0.124,0.124,0
2020-04-16,0.124,0.124,0.124,0.124,0
2020-04-17,0.124,0.124,0.124,0.124,0
2020-04-20,0.124,0.124,0.124,0.124,0
2020-04-21,0.124,0.124,0.124,0.124,0
2020-04-22,0.124,0.124,0.124,0.124,0
2020-04-23,0.124,0.124,0.124,0.124,0
2020-04-24,0.124,0.124,0.124,0.124,0
2020-04-27,0.124,0.124,0.124,0.124,0
2020-04-28,0.124,0.124,0.124,0.124,0
2020-04-29,0.124,0.124,0.124,0.124,0
2020-04-30,0.124,0.124,0.124,0.124,0
