Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-09-17,3.6,3.6,3.6,3.6,22000
2018-10-15,2.75,2.75,2.75,2.75,6250
2018-11-12,2.8,2.8,2.8,2.8,12000
2018-11-15,2.8,2.8,2.8,2.8,50000
2018-12-10,5.4,5.4,5.4,5.4,2000
2019-02-11,5.5,5.5,5.8,5.8,8000
2019-04-11,5.8,5.8,5.8,5.8,0
2019-04-12,5.8,5.8,5.8,5.8,0
2019-04-15,5.8,5.8,5.8,5.8,0
2019-04-16,5.8,5.8,5.8,5.8,0
2019-04-17,5.8,5.8,5.8,5.8,0
2019-04-18,5.8,5.8,5.8,5.8,0
2019-04-23,5.8,5.8,5.8,5.8,0
2019-04-24,5.8,5.8,5.8,5.8,0
2019-04-25,5.8,5.8,5.8,5.8,0
2019-04-26,5.8,5.8,5.8,5.8,0
2019-04-29,5.8,5.8,5.8,5.8,0
2019-04-30,5.8,5.8,5.8,5.8,0
2019-05-02,5.8,5.8,5.8,5.8,0
2019-05-03,5.8,5.8,5.8,5.8,0
2019-05-06,5.8,5.8,5.8,5.8,0
2019-05-07,5.8,5.8,5.8,5.8,0
2019-05-08,5.8,5.8,5.8,5.8,0
2019-05-09,5.8,5.8,5.8,5.8,0
2019-05-10,5.8,5.8,5.8,5.8,0
2019-05-13,5.8,5.8,5.8,5.8,0
2019-05-14,5.8,5.8,5.8,5.8,0
2019-05-15,5.8,5.8,5.8,5.8,0
2019-05-16,5.8,5.8,5.8,5.8,0
2019-05-17,5.8,5.8,5.8,5.8,0
2019-05-20,5.6,5.6,5.6,,10000
2019-05-21,5.6,5.6,5.6,5.6,0
2019-05-22,5.6,5.6,5.6,5.6,0
2019-05-23,5.6,5.6,5.6,5.6,0
2019-05-24,5.6,5.6,5.6,5.6,0
2019-05-27,5.6,5.6,5.6,5.6,0
2019-05-28,5.6,5.6,5.6,5.6,0
2019-05-29,5.6,5.6,5.6,5.6,0
2019-05-31,5.6,5.6,5.6,5.6,0
2019-06-03,5.6,5.6,5.6,5.6,0
2019-06-04,5.6,5.6,5.6,5.6,0
2019-06-05,5.6,5.6,5.6,5.6,0
