Date,High,Low,Close,Open,Volume
2020-01-02,10.95,10.6,10.9,10.6,13575
2020-01-03,11.0,10.5,10.7,10.9,27793
2020-01-07,13.55,11.0,13.3,11.0,94126
2020-01-08,14.2,13.3,14.2,13.35,20449
2020-01-09,14.9,14.2,14.7,14.2,20783
2020-01-10,14.7,12.7,13.0,14.7,49291
2020-01-13,13.8,12.4,12.6,13.8,12496
2020-01-14,13.5,12.65,13.1,13.5,2325
2020-01-15,14.2,13.0,13.0,13.1,25065
2020-01-16,13.8,12.9,13.55,12.9,3425
2020-01-17,13.35,12.55,12.85,13.35,23680
2020-01-20,13.35,12.7,12.8,13.35,8541
2020-01-21,12.8,12.5,12.75,12.8,7577
2020-01-22,12.4,11.5,11.9,12.05,15494
2020-01-23,13.0,12.0,12.7,12.0,9767
2020-01-24,13.0,12.7,12.8,13.0,3057
2020-01-27,12.65,12.0,12.65,12.5,12348
2020-01-28,13.5,12.25,12.85,12.25,4672
2020-01-29,13.55,11.95,13.25,12.65,9569
2020-01-30,13.5,12.65,12.8,12.65,6221
2020-01-31,13.0,11.95,12.85,12.6,23804
2020-02-03,13.1,12.0,13.1,12.85,14112
2020-02-04,13.5,11.0,11.7,13.5,52837
2020-02-05,11.4,10.8,10.85,11.15,34216
2020-02-06,12.4,10.65,12.1,10.85,18165
2020-02-07,12.05,11.2,12.05,12.05,9123
2020-02-10,12.05,10.6,11.95,12.05,31796
2020-02-11,11.9,10.75,11.5,10.9,8310
2020-02-12,12.05,10.9,11.25,11.45,8085
2020-02-13,11.7,10.9,11.0,11.0,13377
2020-02-14,11.25,10.6,11.2,11.0,5046
2020-02-17,11.2,10.8,11.2,11.05,4260
2020-02-18,11.0,10.7,10.95,10.7,1394
2020-02-19,10.95,10.0,10.3,10.65,15290
2020-02-20,10.2,9.1,9.6,10.2,56565
2020-02-21,10.9,9.6,10.35,9.6,48978
2020-02-24,10.9,10.0,10.8,10.0,39704
2020-02-25,10.9,9.72,10.65,10.9,10753
2020-02-26,10.65,8.5,9.86,10.65,16397
2020-02-27,10.2,9.54,9.54,10.2,23822
2020-02-28,9.52,7.56,9.3,9.38,7352
2020-03-02,9.84,8.28,9.84,9.3,9057
2020-03-03,9.84,9.82,9.84,9.84,1230
2020-03-04,9.48,8.52,8.9,9.0,15487
2020-03-05,9.1,8.72,8.72,8.9,5939
2020-03-06,8.5,8.0,8.5,8.5,5209
2020-03-09,8.5,5.52,8.5,5.52,1222
2020-03-10,8.04,7.16,7.62,7.16,12959
2020-03-11,7.98,7.3,7.3,7.98,13703
2020-03-12,6.54,5.52,5.92,6.54,5518
2020-03-13,6.98,6.2,6.28,6.2,154
2020-03-16,6.2,5.1,5.2,6.2,16699
2020-03-17,5.76,5.08,5.76,5.08,1911
2020-03-18,5.76,5.02,5.76,5.02,1520
2020-03-19,6.0,5.0,5.64,5.8,26848
2020-03-20,5.98,5.02,5.54,5.02,7264
2020-03-23,5.54,5.0,5.54,5.54,9166
2020-03-24,6.68,5.5,6.52,5.9,2268
2020-03-25,6.68,5.52,6.38,6.68,11165
2020-03-26,6.32,5.54,6.32,5.68,11086
2020-03-27,6.68,5.6,6.6,5.82,6982
2020-03-30,6.38,5.52,6.38,5.52,8358
2020-03-31,7.0,5.9,6.78,6.36,12304
2020-04-01,6.64,5.82,6.2,5.9,5495
2020-04-02,6.3,6.0,6.0,6.3,566
2020-04-03,6.76,5.94,6.56,6.76,4278
2020-04-06,6.5,5.74,6.4,6.5,8607
2020-04-07,8.86,6.34,8.86,6.34,18540
2020-04-08,9.98,8.86,9.06,9.98,13105
2020-04-09,9.28,6.98,9.08,7.98,42724
2020-04-14,9.06,7.6,8.3,7.6,1581
2020-04-15,8.32,7.32,7.48,8.32,7415
2020-04-16,8.26,7.22,8.26,7.22,1963
2020-04-17,8.96,7.54,8.22,8.26,3102
2020-04-20,8.24,8.22,8.24,8.22,9239
2020-04-21,8.92,8.2,8.2,8.24,837
