Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,3.44,3.4,3.44,3.43,1028
2018-06-06,3.44,3.43,3.43,3.43,379
2018-06-07,3.42,3.41,3.41,3.42,59
2018-06-08,3.49,3.43,3.49,3.43,6834
2018-06-11,3.5,3.4,3.45,3.44,18952
2018-06-12,3.4,3.36,3.4,3.4,3130
2018-06-13,3.4,3.4,3.4,3.4,491
2018-06-14,3.49,3.34,3.49,3.4,2717
2018-06-15,3.5,3.43,3.47,3.48,1075
2018-06-18,3.4,3.37,3.4,3.4,486
2018-06-19,3.45,3.36,3.41,3.4,1297
2018-06-20,3.41,3.34,3.34,3.36,4307
2018-06-21,3.43,3.36,3.4,3.43,1771
2018-06-25,3.42,3.35,3.4,3.42,2286
2018-06-26,3.4,3.36,3.36,3.4,2196
2018-06-27,3.39,3.36,3.36,3.39,628
2018-06-28,3.44,3.33,3.4,3.44,6017
2018-06-29,3.4,3.39,3.4,3.4,1343
2018-07-02,3.4,3.33,3.33,3.36,966
2018-07-03,3.33,3.33,3.33,3.33,0
2018-07-04,3.33,3.33,3.33,3.33,0
2018-07-05,3.38,3.34,3.38,3.35,2617
2018-07-06,3.39,3.32,3.38,3.39,1730
2018-07-09,3.37,3.37,3.37,3.37,237
2018-07-10,3.37,3.34,3.34,3.37,2367
2018-07-11,3.44,3.32,3.39,3.44,2280
2018-07-12,3.37,3.35,3.35,3.37,110
2018-07-13,3.35,3.32,3.32,3.35,300
2018-07-16,3.37,3.32,3.37,3.32,1516
2018-07-17,3.37,3.32,3.36,3.33,2085
2018-07-18,3.38,3.32,3.32,3.38,377
2018-07-19,3.35,3.31,3.32,3.31,368
2018-07-20,3.81,3.35,3.73,3.35,56623
2018-07-23,3.81,3.71,3.72,3.75,12082
2018-07-24,3.79,3.67,3.67,3.79,9358
2018-07-25,3.74,3.65,3.7,3.65,2180
2018-07-26,3.74,3.7,3.71,3.7,1188
2018-07-27,3.74,3.65,3.74,3.71,2269
2018-07-30,3.75,3.68,3.75,3.74,2565
2018-07-31,3.75,3.65,3.67,3.75,1776
2018-08-01,3.75,3.65,3.75,3.65,1911
2018-08-02,3.7,3.7,3.7,3.7,994
2018-08-03,3.73,3.66,3.67,3.7,1920
2018-08-06,3.7,3.65,3.7,3.67,4201
2018-08-07,3.72,3.68,3.68,3.7,6174
2018-08-08,3.7,3.63,3.7,3.68,2069
2018-08-09,3.7,3.65,3.7,3.65,499
2018-08-10,3.72,3.7,3.72,3.7,717
2018-08-13,3.72,3.65,3.69,3.7,6242
2018-08-14,3.69,3.58,3.58,3.69,8291
2018-08-15,3.65,3.54,3.65,3.54,7523
2018-08-16,3.59,3.59,3.59,3.59,200
2018-08-17,3.68,3.6,3.61,3.68,1247
2018-08-20,3.65,3.57,3.64,3.65,17173
2018-08-21,3.64,3.6,3.64,3.6,3707
2018-08-22,3.6,3.58,3.58,3.6,3593
2018-08-23,3.61,3.58,3.6,3.61,1498
2018-08-24,3.6,3.6,3.6,3.6,0
