Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,31.3,30.3,30.88,30.54,1665295
2018-06-07,31.26,29.32,29.66,31.0,2775719
2018-06-08,29.64,29.12,29.2,29.6,1277504
2018-06-11,29.96,29.3,29.7,29.3,871598
2018-06-12,31.24,29.96,30.38,29.96,2338748
2018-06-13,30.72,30.06,30.18,30.44,799838
2018-06-14,30.7,29.78,30.66,30.04,1238540
2018-06-15,30.56,30.22,30.22,30.54,890573
2018-06-18,30.16,29.82,29.9,30.14,800502
2018-06-19,30.44,29.34,30.42,29.8,985847
2018-06-20,30.8,30.3,30.52,30.62,929986
2018-06-21,30.62,29.56,29.72,30.62,1590513
2018-06-25,30.14,29.44,29.62,29.82,1121703
2018-06-26,30.08,29.46,29.46,29.5,1074398
2018-06-27,29.88,28.92,29.7,29.48,965267
2018-06-28,29.74,29.08,29.44,29.52,1126837
2018-06-29,29.98,29.44,29.96,29.44,830898
2018-07-02,29.78,29.34,29.44,29.78,874440
2018-07-03,29.72,29.28,29.4,29.5,725423
2018-07-04,29.56,29.08,29.26,29.4,617031
2018-07-05,29.86,29.28,29.58,29.3,639804
2018-07-06,29.82,29.42,29.54,29.7,545027
2018-07-09,30.52,29.64,30.48,29.72,746773
2018-07-10,30.88,30.42,30.66,30.42,702494
2018-07-11,30.52,30.04,30.08,30.52,466028
2018-07-12,30.36,29.92,30.18,30.16,477545
2018-07-13,30.8,30.1,30.18,30.3,1012672
2018-07-16,30.66,30.12,30.42,30.2,269372
2018-07-17,30.92,30.42,30.64,30.52,630903
2018-07-18,31.0,30.38,30.96,30.8,728459
2018-07-19,31.28,30.64,30.96,30.98,705797
2018-07-20,30.96,30.36,30.68,30.86,692891
2018-07-23,30.84,30.3,30.74,30.68,675840
2018-07-24,31.2,30.7,30.92,30.7,985183
2018-07-25,31.34,30.84,31.0,30.9,574050
2018-07-26,31.7,31.0,31.46,31.0,928124
2018-07-27,33.0,31.62,32.04,31.64,1351556
2018-07-30,32.3,31.62,32.2,32.1,963675
2018-07-31,33.6,32.3,32.72,32.3,1638506
2018-08-01,33.28,32.86,32.88,32.92,701654
2018-08-02,33.08,32.5,32.62,32.88,846713
2018-08-03,33.2,32.7,32.76,32.76,719473
2018-08-06,33.08,32.54,32.74,32.78,612185
2018-08-07,33.12,32.6,32.64,32.86,961899
2018-08-08,33.04,32.6,33.04,32.6,846010
2018-08-09,33.14,32.12,32.2,33.02,1497557
2018-08-10,33.7,32.2,33.38,32.2,2374382
2018-08-13,33.84,32.9,33.48,33.32,1164262
2018-08-14,33.82,33.06,33.44,33.54,958292
2018-08-15,33.74,32.92,33.1,33.5,1127796
2018-08-16,33.5,32.86,33.2,33.12,784971
2018-08-17,35.42,33.08,34.68,33.94,4186638
2018-08-20,34.16,31.14,31.68,33.8,7214080
2018-08-21,31.68,30.52,30.8,31.68,3423662
2018-08-22,31.38,30.62,31.24,30.8,1607878
2018-08-23,31.92,31.0,31.34,31.22,1768202
2018-08-24,31.7,31.28,31.58,31.4,758193
2018-08-27,32.22,31.58,32.16,31.58,1528983
2018-08-28,32.36,31.7,32.04,32.22,1056472
2018-08-29,32.04,31.74,31.92,31.92,729583
2018-08-30,31.9,31.52,31.72,31.86,671980
2018-08-31,31.96,31.46,31.82,31.7,831379
2018-09-03,31.84,31.42,31.64,31.8,630584
2018-09-04,31.9,31.24,31.26,31.62,650672
2018-09-05,31.62,31.2,31.2,31.28,615768
2018-09-06,31.5,31.0,31.12,31.12,675193
2018-09-07,31.38,30.86,30.98,31.26,668828
2018-09-10,31.38,30.96,31.14,30.96,443114
2018-09-11,31.2,30.64,30.88,31.2,821834
2018-09-12,31.3,30.74,31.2,30.88,939800
2018-09-13,31.5,31.12,31.32,31.26,538435
2018-09-14,31.8,31.16,31.68,31.32,555232
2018-09-17,31.92,31.58,31.7,31.58,493466
2018-09-18,31.7,31.22,31.56,31.62,686980
2018-09-19,32.0,31.5,31.96,31.58,716413
2018-09-20,33.22,31.86,32.58,31.92,2682641
2018-09-21,32.8,32.06,32.26,32.78,1411697
2018-09-24,32.64,32.08,32.6,32.22,831798
2018-09-25,32.7,32.3,32.36,32.5,541671
2018-09-26,32.52,32.2,32.52,32.36,497117
2018-09-27,32.74,32.12,32.74,32.32,741617
2018-09-28,32.7,32.02,32.4,32.7,887996
2018-10-01,32.66,32.0,32.24,32.38,1006654
2018-10-02,32.32,32.02,32.22,32.2,412481
2018-10-03,32.92,32.24,32.7,32.24,939523
2018-10-04,32.88,32.26,32.26,32.88,472363
2018-10-05,32.26,31.94,32.08,32.24,563458
2018-10-08,32.14,31.4,31.94,32.02,774623
2018-10-09,32.44,31.78,32.28,31.86,598761
2018-10-10,32.48,31.68,31.74,32.26,603973
2018-10-11,31.36,30.56,30.78,31.18,1284379
2018-10-12,31.26,30.54,30.54,30.72,942206
2018-10-15,30.86,30.28,30.74,30.56,708210
2018-10-16,31.4,30.62,31.3,30.98,703947
2018-10-17,31.78,31.1,31.26,31.24,658343
2018-10-18,31.46,30.72,31.08,31.24,1083231
2018-10-19,31.18,30.38,30.76,31.1,872795
2018-10-22,32.06,30.86,31.42,30.86,1158142
2018-10-23,31.42,30.76,30.94,31.26,621363
2018-10-24,31.12,30.52,30.68,30.82,681617
2018-10-25,30.0,26.46,27.46,30.0,3764781
2018-10-26,27.5,25.06,25.48,27.5,3768025
2018-10-29,25.62,24.36,24.54,25.62,3151918
2018-10-30,24.74,23.9,24.46,24.5,2029018
2018-10-31,24.84,24.36,24.72,24.5,1507199
2018-11-01,25.32,24.62,25.1,24.72,1099736
2018-11-02,25.98,25.26,25.94,25.3,950329
2018-11-05,25.94,24.88,25.02,25.94,1538993
2018-11-06,25.26,24.82,25.0,25.04,914815
2018-11-07,25.32,24.62,24.98,25.02,1278903
2018-11-08,25.2,24.84,25.04,24.98,1076632
2018-11-09,25.06,24.48,24.96,25.0,1101227
2018-11-12,24.96,24.46,24.48,24.96,1207863
2018-11-13,24.64,24.06,24.44,24.54,1081991
2018-11-14,24.46,23.6,24.08,24.36,1284793
2018-11-15,24.26,23.3,23.42,24.06,1653362
2018-11-16,24.0,23.4,24.0,23.42,1110479
2018-11-19,24.16,23.56,23.66,24.0,799326
2018-11-20,23.6,23.04,23.3,23.6,1346269
2018-11-21,23.94,23.3,23.94,23.3,940404
2018-11-22,24.28,23.54,24.08,23.98,736362
2018-11-23,24.34,24.02,24.28,24.08,565661
2018-11-26,24.88,24.18,24.88,24.28,759299
2018-11-27,25.04,24.64,24.82,24.9,592424
2018-11-28,25.22,24.74,25.06,24.84,798260
2018-11-29,25.3,24.84,25.04,25.1,674041
2018-11-30,25.04,24.6,24.78,25.04,658335
2018-12-03,25.18,24.54,24.76,24.96,1089664
2018-12-04,24.82,24.2,24.22,24.68,837374
2018-12-05,24.32,23.58,23.92,24.0,760745
2018-12-06,23.92,22.84,22.84,23.92,1197865
2018-12-07,23.46,22.76,23.24,22.9,850410
2018-12-10,23.2,22.6,22.64,23.2,737482
2018-12-11,24.06,22.72,23.78,22.72,1168564
2018-12-12,24.54,23.7,24.36,23.78,856386
2018-12-13,24.78,24.0,24.24,24.36,957647
2018-12-14,24.62,24.0,24.3,24.24,723753
2018-12-17,24.48,24.0,24.12,24.2,1007496
2018-12-18,24.16,23.74,23.78,24.0,631469
2018-12-19,24.28,23.7,24.18,23.74,669507
2018-12-20,24.04,23.32,23.32,23.62,674410
2018-12-21,23.32,22.76,23.14,23.26,1391712
2018-12-27,23.48,21.74,21.92,22.94,1716940
2018-12-28,23.58,21.96,23.28,21.96,1743305
2019-01-02,23.98,22.88,23.78,23.28,1188072
2019-01-03,24.12,23.24,23.48,23.58,948790
2019-01-04,24.18,23.44,24.1,23.46,987019
2019-01-07,24.68,24.22,24.62,24.32,730610
2019-01-08,25.78,24.7,25.12,24.7,1476951
2019-01-09,25.38,24.86,25.06,25.24,754608
2019-01-10,25.44,24.66,25.26,25.0,813039
2019-01-11,25.48,25.02,25.32,25.34,555561
2019-01-14,25.32,24.72,24.78,25.3,635909
2019-01-15,25.16,24.32,24.38,24.9,1122650
2019-01-16,24.78,24.18,24.78,24.5,1094441
2019-01-17,24.96,24.46,24.68,24.52,616426
2019-01-18,25.94,24.7,25.94,24.7,1273063
2019-01-21,26.06,25.68,25.76,25.94,786725
2019-01-22,26.44,25.5,26.34,25.76,619096
2019-01-23,26.58,26.08,26.36,26.4,783280
2019-01-24,26.7,25.26,25.64,26.36,1328158
2019-01-25,25.7,25.04,25.24,25.48,1288315
2019-01-28,26.06,25.24,25.46,25.24,775403
2019-01-29,25.82,25.32,25.66,25.5,467909
2019-01-30,26.1,25.6,25.86,25.68,699203
2019-01-31,26.42,25.78,25.96,26.12,567193
2019-02-01,26.66,25.82,26.02,26.04,926925
2019-02-04,26.2,25.7,26.06,26.06,671400
2019-02-05,26.12,24.46,24.68,26.02,1590995
2019-02-06,25.24,24.6,25.14,24.68,755481
2019-02-07,25.1,24.52,24.54,25.0,712935
2019-02-08,21.12,19.27,19.31,20.98,11077156
2019-02-11,19.58,18.13,19.09,19.31,8042726
2019-02-12,19.74,19.21,19.63,19.3,2894082
2019-02-13,20.08,19.75,20.02,19.89,2326224
2019-02-14,20.08,19.61,19.8,20.08,1107138
2019-02-15,19.88,19.46,19.87,19.75,1421711
2019-02-18,20.28,19.82,20.22,19.88,1048538
2019-02-19,20.36,19.84,20.2,20.1,1090075
2019-02-20,20.2,19.87,20.02,20.2,1046743
2019-02-21,20.06,19.71,19.89,20.0,1960569
2019-02-22,20.3,19.85,20.12,19.91,1282678
2019-02-25,20.4,19.96,20.4,20.14,1004814
2019-02-26,20.44,20.1,20.36,20.3,613472
2019-02-27,20.58,20.06,20.48,20.12,802168
2019-02-28,20.4,20.02,20.2,20.4,760840
2019-03-01,20.44,20.16,20.4,20.22,984687
2019-03-04,20.58,20.34,20.4,20.4,557243
2019-03-05,20.58,20.02,20.16,20.42,995614
2019-03-06,20.28,19.94,20.06,20.06,692505
2019-03-07,20.08,19.46,19.46,20.06,1323250
2019-03-08,19.33,19.05,19.19,19.3,1017368
2019-03-11,19.54,19.2,19.41,19.27,652546
2019-03-12,19.5,19.24,19.33,19.49,686222
2019-03-13,19.5,19.25,19.49,19.3,755001
2019-03-14,19.5,19.27,19.45,19.49,889470
2019-03-15,19.72,19.31,19.6,19.45,1067984
2019-03-18,19.66,19.35,19.4,19.6,619557
2019-03-19,19.57,19.31,19.53,19.44,836143
2019-03-20,19.5,19.13,19.16,19.5,730099
2019-03-21,19.16,18.99,19.14,19.08,973918
2019-03-22,19.25,18.42,18.42,19.25,908444
2019-03-25,18.63,18.22,18.27,18.49,769071
2019-03-26,18.5,18.1,18.48,18.32,679891
2019-03-27,18.9,18.3,18.5,18.5,1132742
2019-03-28,18.71,18.3,18.51,18.5,984377
2019-03-29,18.9,18.51,18.83,18.75,715252
2019-04-01,19.43,18.85,19.43,18.85,1254510
2019-04-02,20.1,19.29,20.04,19.4,1756970
2019-04-03,20.34,20.02,20.34,20.08,991288
2019-04-04,20.3,19.77,20.18,20.3,1150035
2019-04-05,20.2,19.91,20.04,20.1,494112
2019-04-08,20.0,19.57,19.74,20.0,1125695
2019-04-09,20.26,19.61,20.1,19.7,1729362
2019-04-10,20.38,20.1,20.2,20.14,800306
2019-04-11,20.44,20.12,20.28,20.32,498639
2019-04-12,20.82,20.06,20.78,20.16,947470
2019-04-15,20.9,20.54,20.6,20.78,699214
2019-04-16,20.96,20.56,20.8,20.6,715312
2019-04-17,21.1,20.82,20.82,20.88,636538
2019-04-18,20.94,20.5,20.82,20.86,591489
2019-04-23,20.88,20.52,20.74,20.84,965979
2019-04-24,20.98,20.66,20.8,20.74,831657
2019-04-25,21.24,20.62,21.02,20.7,859301
2019-04-26,21.3,20.96,21.3,21.02,655069
2019-04-29,21.92,21.3,21.84,21.3,1070852
2019-04-30,21.9,21.4,21.56,21.9,280703
2019-05-02,21.62,21.18,21.4,21.54,1017807
2019-05-03,21.74,21.2,21.72,21.4,982966
2019-05-06,21.52,20.7,21.3,21.52,914971
2019-05-07,21.5,21.14,21.46,21.32,1293251
2019-05-08,26.64,22.04,25.88,22.24,5375673
2019-05-09,26.02,24.8,25.44,25.4,2332494
2019-05-10,28.94,25.56,27.98,25.6,5786166
2019-05-13,27.98,26.46,26.82,27.98,1947017
2019-05-14,27.44,26.44,26.94,26.82,935375
2019-05-15,27.5,26.18,26.6,27.04,954206
2019-05-16,27.78,26.78,27.36,26.9,1781746
2019-05-17,27.52,26.54,26.9,27.48,689543
2019-05-20,27.22,26.12,26.5,26.96,811139
2019-05-21,27.88,26.4,27.14,26.4,2042018
2019-05-22,27.78,26.94,27.28,27.18,1118031
2019-05-23,27.28,26.3,26.4,27.2,685075
2019-05-24,27.1,26.46,26.62,26.58,760369
2019-05-27,26.92,26.14,26.6,26.66,549984
2019-05-28,26.8,26.14,26.4,26.6,1017338
2019-05-29,26.66,26.16,26.38,26.32,380596
2019-05-31,26.4,25.36,25.78,26.38,1479113
2019-06-03,25.92,24.86,25.48,25.92,1023963
2019-06-04,26.52,25.56,26.42,25.56,976993
2019-06-05,26.74,26.08,26.44,26.4,731128
