Date,High,Low,Close,Open,Volume
2020-01-02,10.86,10.0,10.6,10.38,14904
2020-01-03,10.6,10.2,10.32,10.6,13498
2020-01-07,14.0,11.9,13.6,12.5,433509
2020-01-08,13.9,12.2,12.6,13.9,105428
2020-01-09,12.7,12.1,12.7,12.5,36724
2020-01-10,12.96,12.34,12.66,12.7,19131
2020-01-13,13.02,11.9,12.2,12.66,45029
2020-01-14,12.3,11.22,11.5,12.3,49768
2020-01-15,11.62,11.06,11.34,11.62,22208
2020-01-16,11.5,10.72,10.96,11.02,16691
2020-01-17,11.18,10.66,10.84,10.96,17748
2020-01-20,11.34,10.86,10.94,11.0,13866
2020-01-21,12.84,11.0,11.56,11.0,37522
2020-01-22,13.36,11.0,12.5,11.7,56142
2020-01-23,12.5,12.0,12.26,12.5,10825
2020-01-24,12.5,12.08,12.28,12.46,11441
2020-01-27,12.5,11.9,12.36,12.44,16408
2020-01-28,12.4,11.9,12.34,12.02,12584
2020-01-29,12.5,12.02,12.14,12.26,11529
2020-01-30,12.14,11.64,11.64,12.14,6276
2020-01-31,12.14,11.7,12.02,11.82,25456
2020-02-03,12.4,11.7,12.16,12.02,53439
2020-02-04,12.0,11.66,12.0,11.82,20787
2020-02-05,11.98,11.64,11.8,11.64,26217
2020-02-06,12.3,11.8,12.0,11.94,45400
2020-02-07,12.0,11.5,12.0,12.0,16772
2020-02-10,12.0,11.2,11.82,11.98,20183
2020-02-11,11.8,11.46,11.52,11.6,14056
2020-02-12,11.76,11.3,11.46,11.52,15903
2020-02-13,11.78,11.4,11.72,11.76,19876
2020-02-14,12.0,11.5,12.0,11.72,18410
2020-02-17,12.18,11.52,11.84,12.0,23122
2020-02-18,12.0,11.6,11.9,11.7,12613
2020-02-19,12.0,11.82,12.0,11.9,3917
2020-02-20,12.0,11.6,12.0,12.0,7498
2020-02-21,12.0,11.42,11.54,12.0,14443
2020-02-24,11.5,11.06,11.5,11.48,21274
2020-02-25,11.5,11.2,11.48,11.5,7235
2020-02-26,11.5,11.06,11.5,11.48,18824
2020-02-27,11.5,10.7,11.14,11.48,32075
