Date,High,Low,Close,Open,Volume
2020-01-03,117.5,115.0,115.0,117.5,6711
2020-01-07,117.0,111.5,117.0,114.5,12221
2020-01-08,117.5,115.5,117.5,116.5,4899
2020-01-09,118.0,117.0,117.0,117.5,11695
2020-01-10,117.0,114.0,116.0,117.0,7604
2020-01-13,116.5,115.0,116.0,115.0,1617
2020-01-14,116.0,112.5,112.5,116.0,40662
2020-01-15,114.0,111.5,114.0,113.0,7236
2020-01-16,122.0,113.5,120.5,114.0,57886
2020-01-17,129.5,119.0,128.0,120.5,58330
2020-01-20,134.5,128.0,129.5,128.5,9662
2020-01-21,129.5,125.0,127.5,129.0,7526
2020-01-22,130.0,125.5,130.0,127.0,274763
2020-01-23,132.0,127.0,129.5,131.5,8714
2020-01-24,132.0,129.5,131.0,129.5,10840
2020-01-27,132.0,129.0,129.0,131.0,9770
2020-01-28,130.0,125.5,129.5,130.0,5986
2020-01-29,129.5,127.5,129.0,129.5,4285
2020-01-30,129.5,126.5,127.5,129.5,1503
2020-01-31,127.0,117.0,120.0,127.0,37420
2020-02-03,121.5,117.0,118.5,120.0,24191
2020-02-04,121.5,115.0,118.5,118.5,41106
2020-02-05,127.5,118.5,125.0,118.5,20850
2020-02-06,129.5,124.5,128.5,124.5,398375
2020-02-07,131.5,124.0,127.5,129.0,28705
2020-02-10,131.5,126.0,130.0,126.0,16583
2020-02-11,135.5,128.5,135.5,131.0,29926
2020-02-12,136.0,133.0,134.5,135.5,3974
2020-02-13,135.5,132.5,133.0,134.5,2471
2020-02-14,136.0,133.0,135.0,133.0,17120
2020-02-17,137.0,135.5,136.0,136.0,43274
2020-02-18,137.0,132.0,133.0,136.0,15028
2020-02-19,136.0,133.0,134.0,133.5,7484
2020-02-20,135.5,132.0,135.0,134.0,10228
2020-02-21,136.0,130.0,130.5,133.5,10493
2020-02-24,129.5,120.5,125.0,129.5,24766
2020-02-25,129.0,124.0,126.5,124.0,52477
2020-02-26,129.5,116.0,127.5,125.5,42643
2020-02-27,129.5,116.0,116.5,126.5,25664
2020-02-28,116.0,107.0,116.0,114.5,31657
2020-03-02,125.5,112.0,113.0,116.0,22368
2020-03-03,118.5,114.5,115.5,115.0,11571
2020-03-04,118.0,113.5,116.0,115.0,5740
2020-03-05,117.5,112.0,112.5,116.5,14737
2020-03-06,113.0,108.0,108.0,112.5,13095
2020-03-09,111.0,101.0,107.0,105.0,26426
2020-03-10,113.0,106.0,106.5,110.0,17377
2020-03-11,108.5,102.0,103.0,106.5,18588
2020-03-12,98.8,89.0,91.2,98.8,40981
2020-03-13,97.8,89.2,90.6,89.2,26323
2020-03-16,89.0,79.0,79.4,89.0,53065
2020-03-17,81.0,73.0,76.6,81.0,23660
2020-03-18,80.0,75.0,75.6,77.0,23259
2020-03-19,83.8,70.2,82.8,75.4,25737
2020-03-20,98.6,80.0,80.0,83.4,17392
2020-03-23,79.8,71.4,72.0,79.8,11463
2020-03-24,79.0,75.0,76.8,75.0,279850
2020-03-25,84.4,78.8,78.8,79.2,16765
2020-03-26,80.8,75.2,79.0,78.8,15194
2020-03-27,83.8,79.0,79.0,79.4,7642
2020-03-30,83.2,76.4,83.2,78.4,12740
2020-03-31,88.4,83.0,87.6,83.0,19683
2020-04-01,87.6,83.8,86.6,87.6,3479
2020-04-02,91.4,82.2,90.4,86.8,5405
2020-04-03,90.4,85.8,85.8,90.4,5148
2020-04-06,93.0,88.6,90.8,92.0,8782
2020-04-07,96.6,85.4,89.4,92.0,13982
2020-04-08,100.0,89.2,93.8,100.0,13423
2020-04-09,96.0,92.6,93.6,95.2,9756
2020-04-14,101.5,95.8,98.0,95.8,19849
2020-04-15,97.2,93.2,97.2,97.0,9689
2020-04-16,97.8,94.6,96.8,97.2,3715
2020-04-17,101.5,96.2,98.4,96.8,13639
2020-04-20,100.0,92.8,98.0,99.0,9887
2020-04-21,99.4,95.0,96.4,98.2,7247
2020-04-22,96.0,92.0,92.0,95.8,10837
2020-04-23,98.2,92.6,97.4,93.0,9258
2020-04-24,97.0,93.2,97.0,97.0,8327
2020-04-27,101.0,98.0,98.4,98.0,216323
2020-04-28,99.0,96.0,96.6,98.4,4000
2020-04-29,97.8,95.0,95.6,97.8,17932
2020-04-30,95.6,91.8,94.0,94.0,5966
2020-05-04,96.8,93.0,94.0,95.0,21696
2020-05-05,103.5,95.2,96.6,95.2,19225
2020-05-06,100.0,97.2,98.8,98.0,7541
2020-05-07,103.5,99.0,100.0,99.0,15728
2020-05-08,104.0,100.5,102.0,101.0,9414
2020-05-11,103.5,99.6,100.0,103.0,8651
2020-05-12,103.5,100.0,103.0,100.5,11339
2020-05-13,103.0,99.4,99.8,103.0,9381
2020-05-14,101.0,93.0,94.6,99.8,10190
2020-05-15,97.0,94.0,95.0,96.0,4947
2020-05-18,99.8,95.0,95.8,99.8,7138
2020-05-19,100.0,95.2,99.0,95.8,37294
2020-05-20,99.0,96.4,99.0,99.0,6612
2020-05-22,99.0,96.4,97.8,99.0,3119
2020-05-25,99.4,96.4,98.0,98.0,5272
2020-05-26,99.6,98.2,99.0,99.2,5026
2020-05-27,99.8,98.6,99.2,99.4,4692
2020-05-28,101.0,95.0,96.8,100.0,256993
2020-05-29,97.0,96.0,96.0,97.0,474
2020-06-01,99.6,95.0,95.0,96.0,8019
2020-06-02,95.8,93.6,94.4,95.4,214818
2020-06-03,97.8,94.4,97.0,94.4,17834
2020-06-04,97.0,95.4,95.4,96.8,7108
2020-06-05,103.5,95.4,99.6,96.0,25301
2020-06-08,104.5,99.6,100.0,104.0,13521
2020-06-09,104.0,99.8,99.8,101.0,8914
2020-06-10,101.0,98.8,99.6,99.8,2037
2020-06-11,99.8,96.0,97.0,99.8,6720
2020-06-12,99.4,92.2,96.0,96.4,8838
2020-06-15,95.4,88.6,95.0,89.8,317281
2020-06-16,104.0,95.0,104.0,95.0,19864
2020-06-17,104.0,99.8,101.5,103.5,9319
2020-06-18,104.0,99.2,101.0,100.5,5558
2020-06-22,101.0,98.0,98.8,101.0,5710
2020-06-23,101.5,98.0,101.0,98.8,9033
2020-06-24,102.5,100.5,102.0,101.0,8130
2020-06-25,106.5,101.5,103.0,102.0,18639
2020-06-26,105.0,102.0,102.0,102.5,3786
2020-06-29,102.5,99.8,101.5,102.5,21129
2020-06-30,103.0,98.8,102.5,101.0,5972
2020-07-01,102.5,100.0,101.0,102.5,2198
2020-07-02,102.0,100.0,101.0,101.0,7214
2020-07-03,102.0,100.0,100.0,100.0,4766
2020-07-06,102.0,100.5,101.5,100.5,7747
2020-07-07,102.0,100.5,100.5,101.5,3110
2020-07-08,106.5,102.5,105.5,102.5,20878
2020-07-09,108.5,105.5,105.5,106.0,8141
2020-07-10,107.0,103.0,103.5,105.5,15054
2020-07-13,106.5,103.5,104.0,106.5,8435
2020-07-14,104.0,99.2,102.0,104.0,19559
2020-07-15,108.0,101.5,108.0,102.0,44625
2020-07-16,119.5,105.5,112.5,108.0,67648
2020-07-17,116.5,113.0,116.5,113.0,11439
2020-07-20,126.0,117.0,119.0,117.5,54312
2020-07-21,122.5,116.0,122.0,120.0,108979
2020-07-22,124.5,118.5,119.5,122.5,36805
2020-07-23,122.5,119.0,121.0,119.5,19009
2020-07-24,120.5,118.0,119.0,120.5,11573
2020-07-27,121.0,117.0,118.0,121.0,12660
2020-07-28,119.0,116.0,116.5,118.0,14970
2020-07-29,118.0,115.0,117.5,117.0,30067
2020-07-30,118.5,115.0,116.0,118.0,8331
2020-07-31,119.0,116.0,116.0,117.0,6321
2020-08-03,120.0,116.0,119.5,116.0,9535
2020-08-04,119.5,116.5,117.5,119.5,14750
2020-08-05,118.5,114.5,118.0,117.5,7502
2020-08-06,118.5,116.0,118.0,116.0,25158
2020-08-07,119.0,116.0,119.0,118.0,8238
2020-08-10,120.0,117.0,118.5,119.0,14907
2020-08-11,119.5,117.5,117.5,119.5,4334
2020-08-12,119.5,117.5,118.5,118.0,9161
2020-08-13,119.0,117.0,118.0,118.5,4963
2020-08-14,120.0,117.0,117.5,118.0,16695
2020-08-17,118.5,117.0,117.5,117.5,4413
2020-08-18,120.0,117.5,119.5,117.5,21558
2020-08-19,120.0,117.5,120.0,119.0,38545
2020-08-20,122.5,118.5,119.5,118.5,50564
2020-08-21,120.0,118.0,118.0,118.5,7320
2020-08-24,120.0,118.5,119.5,119.0,17818
2020-08-25,120.0,118.5,119.0,118.5,7241
2020-08-26,125.0,120.0,124.0,120.0,50605
2020-08-27,129.0,122.0,128.0,124.0,13952
2020-08-28,135.0,127.0,135.0,129.0,30726
2020-08-31,150.5,135.0,144.0,135.0,31271
2020-09-01,145.0,134.5,144.0,144.0,43704
2020-09-02,144.5,138.0,141.5,144.0,20107
2020-09-03,141.0,133.0,133.0,140.0,28362
2020-09-04,137.0,130.5,131.0,133.0,13151
2020-09-07,136.0,131.0,135.5,131.0,19639
2020-09-08,137.0,134.5,137.0,136.5,15472
2020-09-09,138.0,134.5,138.0,136.0,13038
2020-09-10,140.0,138.0,140.0,138.0,7337
2020-09-11,143.0,137.0,137.0,139.5,17851
2020-09-14,141.0,137.5,139.0,137.5,3607
2020-09-15,143.5,139.0,140.5,139.0,5228
2020-09-16,143.0,139.0,143.0,139.5,4868
2020-09-17,143.5,140.0,142.0,141.0,5840
2020-09-18,144.0,141.5,142.5,142.0,13647
2020-09-21,144.0,141.0,143.0,144.0,13173
2020-09-22,149.5,137.5,137.5,143.5,13889
2020-09-23,147.0,138.5,139.0,138.5,24481
2020-09-24,143.5,137.5,137.5,138.0,9196
2020-09-25,142.0,139.5,140.5,141.5,2842
2020-09-28,147.0,139.5,139.5,143.0,18816
2020-09-29,142.0,139.0,142.0,140.0,5806
2020-09-30,146.5,139.0,145.0,141.0,19171
2020-10-01,145.0,140.5,144.5,145.0,15914
2020-10-02,145.0,141.0,141.5,141.0,8782
2020-10-05,147.0,142.5,143.0,142.5,26922
2020-10-06,144.5,140.5,141.5,144.0,11249
2020-10-07,142.0,139.0,139.5,141.5,8827
2020-10-08,142.0,138.5,138.5,142.0,6790
2020-10-09,140.5,139.0,139.0,139.5,3973
2020-10-12,140.0,138.0,139.0,139.0,32194
2020-10-13,139.5,138.0,139.0,139.5,6320
2020-10-14,139.5,138.0,139.0,139.0,5582
2020-10-15,139.5,138.0,139.0,138.5,12381
2020-10-16,141.0,139.0,139.0,140.0,21422
2020-10-19,140.0,135.5,137.0,138.0,9163
2020-10-20,137.0,129.0,132.0,137.0,53009
2020-10-21,132.0,125.0,127.0,132.0,73606
2020-10-22,131.5,121.0,131.5,127.5,57782
2020-10-23,138.5,127.5,130.5,133.5,25999
2020-10-26,130.0,125.0,128.0,130.0,17306
2020-10-27,127.0,118.0,121.0,127.0,45502
