Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-06,372.0,368.5,369.0,369.5,51789
2018-06-07,370.0,365.5,366.0,369.0,88720
2018-06-08,371.0,363.5,364.5,368.5,154766
2018-06-11,369.0,366.0,368.0,366.0,31902
2018-06-12,373.5,367.0,369.0,372.0,97191
2018-06-13,370.0,366.5,369.5,366.5,52579
2018-06-14,369.5,366.0,366.0,368.0,26318
2018-06-15,367.5,364.5,365.0,367.0,42320
2018-06-18,364.5,357.0,358.0,364.5,43232
2018-06-19,357.0,349.5,356.5,357.0,57929
2018-06-20,360.5,355.5,360.5,355.5,33882
2018-06-21,360.5,352.0,353.0,360.5,38749
2018-06-22,358.0,353.5,356.0,354.5,31537
2018-06-25,357.0,355.0,355.0,356.0,32351
2018-06-26,356.0,353.0,353.5,356.0,18617
2018-06-27,355.5,350.5,354.5,353.0,68624
2018-06-28,357.0,352.5,356.5,354.0,61160
2018-06-29,359.0,356.5,357.0,356.5,23928
2018-07-02,358.0,353.5,357.0,354.5,24716
2018-07-03,361.5,357.0,359.0,357.0,95090
2018-07-04,362.0,359.0,361.5,359.0,61141
2018-07-05,364.0,360.5,361.5,363.0,22996
2018-07-06,362.0,360.0,362.0,362.0,74901
2018-07-09,366.5,361.5,365.0,362.0,172544
2018-07-10,365.5,362.5,364.0,362.5,22647
2018-07-11,362.0,356.5,359.5,362.0,24154
2018-07-12,365.0,360.0,363.5,360.0,19941
2018-07-13,363.5,360.5,362.0,363.0,18686
2018-07-16,364.5,361.0,361.0,362.5,10878
2018-07-17,364.0,362.0,363.0,362.5,11084
2018-07-18,364.5,359.5,362.0,363.5,61975
2018-07-19,366.0,361.5,361.5,362.5,20607
2018-07-20,364.5,361.0,363.0,361.0,13770
2018-07-23,365.0,360.5,364.5,363.0,15361
2018-07-24,366.5,364.5,365.5,366.0,13348
2018-07-25,365.5,364.5,365.0,365.5,9185
2018-07-26,366.0,364.5,366.0,365.5,11301
2018-07-27,366.5,364.0,364.0,366.0,12476
2018-07-30,363.5,362.0,362.0,363.5,13488
2018-07-31,362.5,360.0,360.0,362.5,10476
2018-08-01,361.5,357.0,357.0,360.0,16141
2018-08-02,361.0,351.0,360.5,355.0,29112
2018-08-03,364.0,358.5,362.5,358.5,23329
2018-08-06,366.5,361.5,364.5,366.5,15285
2018-08-07,366.5,360.0,365.0,365.0,17217
2018-08-08,366.5,363.0,366.5,363.0,45097
2018-08-09,366.5,362.5,364.0,366.5,19039
2018-08-10,364.5,358.0,360.0,363.5,29050
2018-08-13,361.5,353.5,361.0,357.0,17499
2018-08-14,364.0,357.5,359.0,363.0,35814
2018-08-15,360.5,340.5,343.0,360.5,66568
2018-08-16,350.0,342.5,350.0,345.5,41728
2018-08-17,353.0,350.0,352.0,350.5,29995
2018-08-20,353.0,348.0,348.0,352.5,88964
2018-08-21,348.0,342.5,345.0,347.0,38256
2018-08-22,349.0,344.0,347.0,344.5,62678
2018-08-23,349.0,345.0,345.5,349.0,39703
2018-08-24,349.0,345.0,346.5,346.0,38887
2018-08-27,349.0,344.0,345.5,349.0,28122
2018-08-28,346.0,344.0,345.0,346.0,32260
2018-08-29,344.5,340.0,340.0,344.5,31545
2018-08-30,340.5,337.0,338.0,340.0,29214
2018-08-31,339.0,331.5,335.5,337.5,95530
2018-09-03,339.0,334.5,338.0,335.0,94890
2018-09-04,341.0,333.5,340.5,337.5,737495
2018-09-05,345.0,339.0,343.0,341.0,38607
2018-09-06,347.0,340.5,344.5,345.0,53043
2018-09-07,347.0,341.5,345.0,347.0,48980
2018-09-10,348.0,342.0,343.5,348.0,53274
2018-09-11,346.5,340.0,344.0,344.0,31496
2018-09-12,344.5,339.0,341.0,344.5,31652
2018-09-13,344.0,341.5,342.0,343.5,36199
2018-09-14,346.5,341.5,346.0,343.0,37758
2018-09-17,348.5,345.5,348.0,346.0,33833
2018-09-18,349.0,347.0,348.0,348.0,28539
2018-09-19,348.5,347.5,347.5,348.0,26181
2018-09-20,349.5,347.0,347.5,347.5,25499
2018-09-21,350.0,346.5,348.0,347.0,30708
2018-09-24,349.0,346.5,347.0,348.0,58630
2018-09-25,348.0,341.5,343.0,346.0,65966
2018-09-26,348.0,342.0,347.5,342.0,48823
2018-09-27,345.5,341.5,343.5,345.5,34218
2018-09-28,343.0,339.0,340.0,341.5,29135
2018-10-01,345.0,339.5,343.5,339.5,29313
2018-10-02,344.0,340.5,342.5,343.5,28063
2018-10-03,345.0,341.5,342.5,344.0,46051
2018-10-04,344.0,338.5,340.0,342.0,42981
2018-10-05,340.0,335.0,339.5,339.0,33809
2018-10-08,339.5,332.0,334.0,337.5,34531
2018-10-09,334.0,325.0,332.0,333.0,50981
2018-10-10,335.0,326.5,327.0,330.0,50676
2018-10-11,329.5,315.0,323.5,329.5,57848
2018-10-12,330.5,323.5,327.5,323.5,40238
2018-10-15,331.0,324.0,328.5,327.0,38127
2018-10-16,335.0,328.0,335.0,328.5,38470
2018-10-17,340.5,335.0,336.0,340.5,34252
2018-10-18,338.0,332.5,335.5,338.0,30149
2018-10-19,336.0,331.0,336.0,334.5,28151
2018-10-22,338.0,330.0,334.0,335.5,47938
2018-10-23,335.5,329.0,330.5,330.0,133374
2018-10-24,332.5,325.5,326.0,328.0,105761
2018-10-25,330.0,320.5,329.5,325.5,34809
2018-10-26,333.5,326.0,328.5,326.5,35682
2018-10-29,337.5,327.0,337.5,328.0,41295
2018-10-30,337.5,327.0,327.0,337.5,66682
2018-10-31,335.5,331.5,335.0,331.5,32118
2018-11-01,338.0,332.5,334.5,332.5,82390
2018-11-02,343.0,335.5,340.5,335.5,31792
2018-11-05,341.5,338.0,338.5,341.5,16674
