Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-06,333.0,317.0,327.0,320.0,1543
2018-06-07,337.0,330.0,336.0,330.0,2031
2018-06-08,334.0,332.0,332.0,334.0,403
2018-06-11,333.0,330.0,330.0,330.0,304
2018-06-12,330.0,324.0,325.0,330.0,186
2018-06-13,330.0,315.0,322.0,325.0,806
2018-06-14,330.0,321.0,330.0,322.0,663
2018-06-15,330.0,322.0,327.0,322.0,786
2018-06-18,327.0,319.0,319.0,327.0,650
2018-06-19,315.0,310.0,310.0,315.0,579
2018-06-20,311.0,310.0,311.0,311.0,2966
2018-06-21,312.0,312.0,312.0,312.0,800
2018-06-22,315.0,312.0,315.0,314.0,702
2018-06-25,314.0,310.0,311.0,311.0,3266
2018-06-26,315.0,299.0,302.0,315.0,1584
2018-06-27,305.0,299.0,301.0,299.0,4393
2018-06-28,306.0,301.0,302.0,306.0,507
2018-06-29,309.0,303.0,305.0,305.0,1113
2018-07-02,305.0,302.0,303.0,305.0,531
2018-07-03,305.0,302.0,302.0,304.0,511
2018-07-04,303.0,302.0,302.0,302.0,734
2018-07-05,306.0,302.0,302.0,302.0,794
2018-07-06,306.0,300.0,301.0,305.0,504
2018-07-09,302.0,300.0,300.0,302.0,103
2018-07-10,302.0,298.0,300.0,302.0,626
2018-07-11,300.0,295.0,295.0,300.0,203
2018-07-12,296.0,291.0,296.0,295.0,530
2018-07-13,296.0,288.0,292.0,296.0,414
2018-07-16,292.0,290.0,292.0,290.0,478
2018-07-17,291.0,291.0,291.0,291.0,14
2018-07-18,296.0,291.0,291.0,296.0,150
2018-07-19,295.0,293.0,293.0,295.0,74
2018-07-20,300.0,295.0,295.0,295.0,462
2018-07-23,295.0,294.0,294.0,295.0,297
2018-07-24,294.0,294.0,294.0,294.0,0
2018-07-25,294.0,293.0,294.0,294.0,310
2018-07-26,294.0,288.0,288.0,293.0,426
2018-07-27,294.0,290.0,290.0,294.0,332
2018-07-30,289.0,283.0,285.0,289.0,710
2018-07-31,285.0,284.0,284.0,285.0,222
2018-08-01,287.0,285.0,287.0,285.0,180
2018-08-02,284.0,284.0,284.0,284.0,145
2018-08-03,284.0,284.0,284.0,284.0,0
2018-08-06,285.0,279.0,282.0,285.0,1135
2018-08-07,282.0,252.0,255.0,282.0,2763
2018-08-08,250.0,241.0,247.0,250.0,4543
2018-08-09,250.0,245.0,249.0,246.0,2166
2018-08-10,255.0,246.0,251.0,250.0,5003
2018-08-13,251.0,250.0,251.0,250.0,218
2018-08-14,253.0,251.0,253.0,251.0,581
2018-08-15,253.0,250.0,250.0,253.0,683
2018-08-16,250.0,250.0,250.0,250.0,205
2018-08-17,250.0,249.0,250.0,249.0,190
2018-08-20,252.0,251.0,252.0,251.0,857
2018-08-21,254.0,251.0,254.0,251.0,862
2018-08-22,259.0,254.0,259.0,256.0,1747
2018-08-23,259.0,256.0,259.0,259.0,1077
2018-08-24,264.0,259.0,262.0,259.0,819
2018-08-27,267.0,262.0,266.0,262.0,1007
2018-08-28,274.0,263.0,266.0,266.0,1269
2018-08-29,269.0,265.0,269.0,265.0,1078
2018-08-30,269.0,267.0,268.0,268.0,972
2018-08-31,268.0,268.0,268.0,268.0,0
2018-09-03,267.0,260.0,262.0,267.0,733
2018-09-04,262.0,260.0,260.0,260.0,513
2018-09-05,261.0,259.0,259.0,261.0,185
2018-09-06,256.0,256.0,256.0,256.0,243
