Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2017-12-13,2.46,2.46,2.46,2.46,0
2018-04-30,2.46,2.46,2.46,2.46,0
2018-05-09,2.46,2.46,2.46,2.46,0
2018-06-11,2.84,2.8,2.8,2.84,8770
2018-06-12,2.84,2.6,2.84,2.84,61379
2018-06-13,2.84,2.84,2.84,2.84,0
2018-06-14,2.84,2.84,2.84,2.84,0
2018-06-15,2.84,2.84,2.84,2.84,0
2018-06-18,2.84,2.84,2.84,2.84,0
2018-06-19,2.84,2.84,2.84,2.84,0
2018-06-20,2.84,2.84,2.84,2.84,0
2018-06-21,2.84,2.84,2.84,2.84,0
2018-06-22,2.84,2.84,2.84,2.84,0
2018-06-25,2.84,2.84,2.84,2.84,0
2018-06-26,2.84,2.84,2.84,2.84,0
2018-06-27,2.84,2.84,2.84,2.84,0
2018-06-28,2.84,2.84,2.84,2.84,0
2018-06-29,2.84,2.84,2.84,2.84,0
2018-07-02,2.88,2.88,2.88,2.88,1389
2018-07-03,2.88,2.88,2.88,2.88,0
2018-07-04,2.88,2.88,2.88,2.88,0
2018-07-05,2.88,2.88,2.88,2.88,0
2018-07-06,2.88,2.88,2.88,2.88,0
2018-07-09,2.88,2.88,2.88,2.88,0
2018-07-10,2.88,2.88,2.88,2.88,0
2018-07-11,2.88,2.88,2.88,2.88,0
2018-07-12,2.88,2.88,2.88,2.88,0
2018-07-13,2.88,2.88,2.88,2.88,0
2018-07-16,2.88,2.88,2.88,2.88,0
2018-07-17,2.88,2.88,2.88,2.88,0
2018-07-18,2.84,2.82,2.84,2.82,83289
2018-07-19,2.84,2.84,2.84,2.84,0
2018-07-20,2.84,2.84,2.84,2.84,0
2018-07-23,2.84,2.84,2.84,2.84,0
2018-07-24,2.84,2.84,2.84,2.84,0
2018-07-25,2.84,2.84,2.84,2.84,0
2018-07-26,2.84,2.84,2.84,2.84,0
2018-07-27,2.84,2.84,2.84,2.84,0
2018-07-30,2.84,2.84,2.84,2.84,0
2018-07-31,2.84,2.84,2.84,2.84,0
2018-08-01,2.84,2.84,2.84,2.84,0
2018-08-02,2.84,2.84,2.84,2.84,0
2018-08-03,2.98,2.98,2.98,2.98,5
2018-08-06,2.98,2.98,2.98,2.98,0
2018-08-07,2.98,2.98,2.98,2.98,0
2018-08-08,2.98,2.98,2.98,2.98,0
2018-08-09,2.98,2.98,2.98,2.98,0
2018-08-10,2.98,2.98,2.98,2.98,0
2018-08-13,2.98,2.98,2.98,2.98,0
2018-08-14,2.98,2.98,2.98,2.98,0
2018-08-15,2.98,2.98,2.98,2.98,0
2018-08-16,2.98,2.98,2.98,2.98,0
2018-08-17,2.98,2.98,2.98,2.98,0
2018-08-20,2.98,2.98,2.98,2.98,0
2018-08-21,2.98,2.98,2.98,2.98,0
2018-08-22,2.98,2.98,2.98,2.98,0
2018-08-23,2.98,2.98,2.98,2.98,0
2018-08-24,2.98,2.98,2.98,2.98,0
2018-08-27,2.98,2.98,2.98,2.98,0
2018-08-28,2.96,2.96,2.96,2.96,1690
2018-08-29,2.96,2.96,2.96,2.96,0
2018-08-30,2.96,2.96,2.96,2.96,0
2018-08-31,2.96,2.96,2.96,2.96,0
2018-09-03,2.96,2.96,2.96,2.96,0
2018-09-04,2.96,2.96,2.96,2.96,0
2018-09-05,2.96,2.96,2.96,2.96,0
2018-09-06,2.96,2.96,2.96,2.96,0
2018-09-07,2.96,2.96,2.96,2.96,0
2018-09-10,2.96,2.96,2.96,2.96,0
2018-09-11,2.96,2.96,2.96,2.96,0
