Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,12.24,11.58,11.6,12.2,641903
2018-06-07,12.0,11.66,12.0,11.7,495157
2018-06-08,12.56,11.9,12.4,12.0,424281
2018-06-11,12.5,12.04,12.08,12.42,365674
2018-06-12,12.48,11.82,12.26,12.08,686865
2018-06-13,12.5,11.92,12.4,12.2,1587119
2018-06-14,12.4,12.12,12.22,12.4,380253
2018-06-15,12.28,11.88,12.08,12.24,480559
2018-06-18,12.1,11.3,11.38,12.1,307945
2018-06-19,11.72,11.06,11.72,11.3,563532
2018-06-20,11.74,11.16,11.34,11.62,462225
2018-06-21,11.88,11.32,11.74,11.32,831862
2018-06-25,12.0,11.56,11.98,11.74,452917
2018-06-26,11.98,11.46,11.58,11.98,276427
2018-06-27,11.78,11.42,11.56,11.58,145455
2018-06-28,11.74,11.3,11.4,11.56,202775
2018-06-29,11.88,11.38,11.88,11.4,328233
2018-07-02,11.96,11.5,11.6,11.88,233141
2018-07-03,11.6,11.34,11.5,11.56,212949
2018-07-04,11.48,11.02,11.08,11.48,172629
2018-07-05,11.2,10.52,11.06,10.98,231054
2018-07-06,11.16,10.9,11.08,10.96,120367
2018-07-09,11.64,11.0,11.62,11.06,311103
2018-07-10,11.9,11.2,11.84,11.62,414941
2018-07-11,11.96,11.42,11.74,11.74,314240
2018-07-12,11.78,11.62,11.72,11.74,94722
2018-07-13,11.76,11.64,11.74,11.72,152828
2018-07-16,12.0,11.74,11.8,11.76,183779
2018-07-17,11.9,11.52,11.6,11.82,99701
2018-07-18,11.74,11.56,11.72,11.62,222374
2018-07-19,11.72,11.52,11.7,11.7,262275
2018-07-20,11.88,11.2,11.2,11.56,213597
2018-07-23,11.24,10.6,11.22,11.14,442850
2018-07-24,11.52,11.06,11.44,11.22,233795
2018-07-25,11.66,11.34,11.66,11.34,135061
2018-07-26,12.34,11.22,11.36,12.02,463074
2018-07-27,11.7,11.32,11.6,11.62,182608
2018-07-30,11.62,11.24,11.36,11.5,106924
2018-07-31,11.6,11.32,11.44,11.32,85921
2018-08-01,11.64,11.44,11.52,11.64,156569
2018-08-02,11.52,11.24,11.28,11.52,80699
2018-08-03,11.48,11.3,11.38,11.48,129494
2018-08-06,11.62,11.3,11.48,11.38,315857
2018-08-07,11.62,11.46,11.52,11.48,107383
2018-08-08,11.72,11.48,11.68,11.52,165574
2018-08-09,11.78,11.6,11.78,11.68,74591
2018-08-10,11.78,11.5,11.56,11.78,55323
2018-08-13,11.74,11.32,11.74,11.56,316349
2018-08-14,11.62,11.34,11.36,11.4,192830
2018-08-15,11.44,11.2,11.36,11.42,330244
2018-08-16,11.5,11.22,11.3,11.28,150608
2018-08-17,11.4,11.12,11.38,11.32,164757
2018-08-20,11.48,11.14,11.2,11.42,248789
2018-08-21,11.2,10.86,11.04,11.18,239400
2018-08-22,11.22,10.86,11.14,11.06,207799
2018-08-23,11.28,11.02,11.2,11.02,163698
2018-08-24,11.26,11.08,11.16,11.18,66056
2018-08-27,11.16,11.0,11.14,11.16,194113
2018-08-28,11.14,11.02,11.04,11.12,165407
2018-08-29,11.12,10.96,11.04,11.04,69249
2018-08-30,11.26,10.8,11.16,10.96,933933
2018-08-31,11.3,10.92,11.24,11.18,130017
2018-09-03,11.46,11.24,11.32,11.32,281469
2018-09-04,11.46,11.26,11.46,11.34,233385
2018-09-05,11.58,11.4,11.42,11.48,353395
2018-09-06,11.6,11.4,11.42,11.42,163491
2018-09-07,11.48,11.26,11.4,11.44,190155
2018-09-10,11.48,11.32,11.42,11.36,114092
2018-09-11,11.4,11.12,11.3,11.32,69119
2018-09-12,11.44,10.84,10.98,11.3,151765
2018-09-13,11.06,10.62,10.88,10.96,165312
2018-09-14,10.98,10.86,10.96,10.86,36505
2018-09-17,11.2,10.76,11.06,10.84,353067
2018-09-18,11.7,10.9,11.68,11.02,338737
2018-09-19,11.66,11.22,11.24,11.66,264159
2018-09-20,11.34,11.14,11.28,11.3,143306
2018-09-21,11.42,11.24,11.32,11.26,93957
2018-09-24,11.32,11.04,11.06,11.32,263596
2018-09-25,11.24,10.9,11.16,11.06,642953
2018-09-26,11.38,11.0,11.22,11.0,117782
2018-09-27,11.3,11.06,11.28,11.22,243782
2018-09-28,11.3,11.08,11.24,11.12,113053
2018-10-01,11.5,11.14,11.48,11.28,161786
2018-10-02,11.74,11.36,11.44,11.48,271890
2018-10-03,11.64,11.44,11.64,11.44,102992
2018-10-04,11.66,11.32,11.34,11.54,195392
2018-10-05,11.62,11.02,11.46,11.62,184785
2018-10-08,11.62,11.14,11.16,11.18,188933
2018-10-09,11.14,10.9,10.9,11.12,161750
2018-10-10,11.04,10.32,10.4,11.04,564338
2018-10-11,10.2,9.95,10.04,10.02,501078
2018-10-12,10.5,9.95,10.38,10.02,271170
2018-10-15,10.6,10.0,10.12,10.4,212305
2018-10-16,10.5,9.96,10.22,10.08,197514
2018-10-17,10.38,9.96,10.02,10.38,460729
2018-10-18,10.3,10.02,10.1,10.1,36025
2018-10-19,10.7,9.99,10.44,10.08,602381
2018-10-22,10.86,10.12,10.38,10.52,489784
2018-10-23,10.4,9.92,10.08,10.22,878394
2018-10-24,10.8,10.22,10.5,10.8,929626
2018-10-25,10.36,10.06,10.08,10.28,385940
2018-10-26,10.76,10.1,10.58,10.12,381685
2018-10-29,11.3,10.3,11.14,10.46,339989
2018-10-30,11.62,11.08,11.46,11.14,1088509
2018-10-31,11.8,11.44,11.78,11.48,376818
2018-11-01,11.7,11.34,11.58,11.42,404686
2018-11-02,11.68,11.5,11.58,11.52,76513
2018-11-05,11.62,11.34,11.44,11.58,109943
2018-11-06,11.44,11.1,11.26,11.38,448046
2018-11-07,11.46,10.64,10.78,11.24,473491
2018-11-08,11.04,10.8,10.9,10.82,187206
2018-11-09,11.2,10.7,11.0,10.8,268102
2018-11-12,11.4,10.94,11.36,11.0,526633
2018-11-13,11.32,10.98,11.16,11.32,238719
2018-11-14,11.14,10.9,11.06,11.0,186630
2018-11-15,11.14,10.68,10.9,11.12,802944
2018-11-16,11.26,10.9,10.98,10.92,239881
2018-11-19,11.08,10.7,10.7,10.92,75998
2018-11-20,10.72,10.12,10.48,10.72,355768
2018-11-21,10.54,10.36,10.44,10.46,244347
2018-11-22,10.94,10.42,10.8,10.44,314057
2018-11-23,10.94,10.42,10.42,10.94,380373
2018-11-26,10.64,10.12,10.22,10.44,146623
2018-11-27,10.26,9.96,10.12,10.2,150376
2018-11-28,10.1,9.64,9.99,10.04,371283
2018-11-29,10.12,9.73,9.89,10.0,327156
2018-11-30,10.08,9.72,9.9,10.08,155519
2018-12-03,10.14,9.93,9.93,10.02,149060
2018-12-04,10.0,9.58,9.64,9.91,135860
2018-12-05,9.58,9.08,9.19,9.58,284029
2018-12-06,9.15,8.78,8.93,9.15,329629
2018-12-07,9.15,8.82,8.94,8.82,136442
2018-12-10,8.91,8.47,8.5,8.84,172183
2018-12-11,8.93,8.6,8.85,8.7,162327
2018-12-12,9.45,8.66,9.25,8.66,266429
2018-12-13,9.3,8.9,8.94,9.3,84935
2018-12-14,9.09,8.85,9.09,9.0,73643
2018-12-17,9.08,8.7,8.78,9.08,111129
2018-12-18,8.79,8.5,8.58,8.79,142569
2018-12-19,8.65,8.18,8.3,8.55,222243
2018-12-20,8.19,7.82,7.97,8.02,360375
2018-12-21,8.39,7.65,8.19,7.9,573774
2018-12-27,8.34,7.83,8.26,8.18,195933
2018-12-28,8.45,8.1,8.24,8.26,175541
2019-01-02,8.63,8.02,8.2,8.35,184544
2019-01-03,8.5,8.22,8.29,8.22,61903
2019-01-04,8.64,8.22,8.54,8.3,116144
2019-01-07,8.89,8.55,8.79,8.7,281208
2019-01-08,9.09,8.67,8.95,8.76,220112
2019-01-09,9.32,8.88,9.27,9.0,354677
2019-01-10,9.45,9.18,9.2,9.32,134213
2019-01-11,9.24,9.0,9.06,9.19,65119
2019-01-14,9.07,8.87,8.97,9.06,250744
2019-01-15,9.03,8.9,8.91,8.95,43896
2019-01-16,8.97,8.81,8.88,8.92,139762
2019-01-17,8.89,8.75,8.76,8.89,171928
2019-01-18,8.9,8.78,8.8,8.78,130222
2019-01-21,8.86,8.73,8.8,8.85,173675
2019-01-22,8.83,8.71,8.71,8.8,84181
2019-01-23,8.83,8.68,8.75,8.72,298189
2019-01-24,8.85,8.75,8.79,8.75,221600
2019-01-25,9.0,8.8,9.0,8.8,106527
2019-01-28,9.0,9.0,9.0,9.0,0
2019-01-29,9.19,9.07,9.15,9.07,71839
2019-01-30,9.18,9.05,9.1,9.18,72701
2019-01-31,9.13,9.06,9.1,9.1,85893
2019-02-01,9.17,9.06,9.13,9.16,81901
2019-02-04,9.19,9.1,9.16,9.14,66692
2019-02-05,9.75,9.17,9.67,9.18,234672
2019-02-06,9.9,9.56,9.85,9.67,152627
2019-02-07,10.18,9.86,9.99,10.0,567387
2019-02-08,10.38,9.5,10.0,10.38,952441
2019-02-11,10.68,10.14,10.66,10.32,550588
2019-02-12,10.98,10.6,10.96,10.68,514807
2019-02-13,11.3,10.7,10.94,11.08,460546
2019-02-14,11.4,10.98,11.14,11.0,674511
2019-02-15,11.28,10.8,11.2,11.16,583929
2019-02-18,11.4,11.22,11.28,11.22,639057
2019-02-19,11.86,11.2,11.86,11.3,569916
2019-02-20,11.86,11.28,11.38,11.86,643382
2019-02-21,11.48,11.08,11.08,11.44,392019
2019-02-22,11.84,11.18,11.84,11.38,723568
2019-02-25,11.9,11.74,11.8,11.78,462328
2019-02-26,11.8,11.64,11.7,11.74,127483
2019-02-27,11.8,11.5,11.56,11.8,233947
2019-02-28,11.68,11.28,11.32,11.6,388879
2019-03-01,11.9,11.4,11.54,11.4,735481
2019-03-04,11.86,11.58,11.62,11.86,595246
2019-03-05,11.8,11.24,11.42,11.8,368381
2019-03-06,11.68,11.48,11.52,11.5,252687
2019-03-07,11.62,11.26,11.38,11.62,263391
2019-03-08,11.4,11.02,11.3,11.38,435064
2019-03-11,11.5,11.2,11.3,11.5,227500
2019-03-12,11.52,11.32,11.32,11.38,197812
2019-03-13,11.54,11.34,11.5,11.34,182273
2019-03-14,11.62,11.46,11.46,11.52,222907
2019-03-15,11.6,11.24,11.34,11.58,298608
2019-03-18,12.48,11.64,11.66,11.82,1685288
2019-03-19,12.14,11.76,11.98,11.88,719851
2019-03-20,12.06,11.82,11.82,12.0,738643
2019-03-21,12.02,11.28,11.34,11.84,863547
2019-03-22,11.48,11.02,11.04,11.36,500511
2019-03-25,11.02,10.74,10.88,11.0,491791
2019-03-26,10.9,10.6,10.6,10.86,899953
2019-03-27,10.96,10.64,10.92,10.64,677006
2019-03-28,11.24,10.92,10.92,10.96,416151
2019-03-29,11.22,10.96,10.96,10.98,237613
2019-04-01,11.4,11.04,11.36,11.1,395786
2019-04-02,11.5,11.08,11.12,11.38,540554
2019-04-03,11.6,11.14,11.6,11.14,417800
2019-04-04,11.62,11.26,11.36,11.62,363401
2019-04-05,11.56,11.18,11.38,11.26,333246
2019-04-08,11.76,11.42,11.68,11.42,418995
2019-04-09,11.96,11.64,11.8,11.7,526062
2019-04-10,11.92,11.8,11.9,11.8,231119
2019-04-11,12.0,11.9,12.0,11.98,268250
2019-04-12,12.08,11.86,11.86,11.98,391997
2019-04-15,12.0,11.86,11.88,11.92,155698
2019-04-16,12.04,11.86,11.86,11.9,175234
2019-04-17,11.98,11.72,11.8,11.92,237746
2019-04-18,11.94,11.66,11.94,11.82,136125
2019-04-23,12.04,11.82,12.0,11.98,299423
2019-04-24,13.12,12.68,13.1,12.82,1224675
2019-04-25,13.88,13.1,13.7,13.1,991659
2019-04-26,14.42,13.7,13.88,13.78,745973
2019-04-29,14.4,13.92,14.16,13.94,547642
2019-04-30,14.48,14.2,14.42,14.22,266866
2019-05-02,14.6,14.28,14.44,14.6,766820
2019-05-03,14.16,13.42,13.9,13.96,695274
2019-05-06,13.8,13.38,13.54,13.8,395992
2019-05-07,14.0,13.6,13.82,13.62,636293
2019-05-08,13.9,13.52,13.58,13.86,321629
2019-05-09,13.6,12.94,13.04,13.58,456384
2019-05-10,13.76,13.06,13.72,13.06,451581
2019-05-13,13.8,13.02,13.12,13.78,376184
2019-05-14,13.7,13.06,13.66,13.18,489933
2019-05-15,13.78,13.28,13.34,13.66,337559
2019-05-16,13.58,13.36,13.4,13.36,205247
2019-05-17,13.58,13.28,13.34,13.5,104598
2019-05-20,13.34,12.76,12.9,13.3,359182
2019-05-21,13.08,12.9,13.0,12.9,185944
2019-05-22,13.5,13.02,13.4,13.02,330103
2019-05-23,13.42,13.0,13.06,13.42,274990
2019-05-24,13.3,12.86,12.9,13.3,299548
2019-05-27,13.0,12.6,12.72,12.98,217424
2019-05-28,12.78,12.2,12.6,12.72,340724
2019-05-29,12.6,12.2,12.2,12.6,216148
2019-05-31,12.1,11.52,12.1,12.0,378557
2019-06-03,12.1,11.56,11.9,12.0,604924
2019-06-04,12.22,11.8,12.22,11.98,397682
2019-06-05,12.34,11.98,12.08,12.3,280919
