Date,Closing price,50,200
2018-06-04,5.572,,
2018-06-05,5.642,,
2018-06-06,5.664,,
2018-06-07,5.68,,
2018-06-08,5.644,,
2018-06-11,5.598,,
2018-06-12,5.456,,
2018-06-13,5.494,,
2018-06-14,5.47,,
2018-06-15,5.45,,
2018-06-18,5.558,,
2018-06-19,5.506,,
2018-06-20,5.45,,
2018-06-21,5.408,,
2018-06-25,5.35,,
2018-06-26,5.406,,
2018-06-27,5.42,,
2018-06-28,5.34,,
2018-06-29,5.4,,
2018-07-02,5.264,,
2018-07-03,5.224,,
2018-07-04,5.15,,
2018-07-05,5.252,,
2018-07-06,5.21,,
2018-07-09,5.246,,
2018-07-10,5.35,,
2018-07-11,5.296,,
2018-07-12,5.4,,
2018-07-13,5.306,,
2018-07-16,5.388,,
2018-07-17,5.3,,
2018-07-18,5.246,,
2018-07-19,5.258,,
2018-07-20,5.378,,
2018-07-23,5.28,,
2018-07-24,5.28,,
2018-07-25,5.35,,
2018-07-26,5.326,,
2018-07-27,5.39,,
2018-07-30,5.3,,
2018-07-31,5.258,,
2018-08-01,5.26,,
2018-08-02,5.326,,
2018-08-03,5.34,,
2018-08-06,5.378,,
2018-08-07,5.35,,
2018-08-08,5.4,,
2018-08-09,5.428,,
2018-08-10,5.422,,
2018-08-13,5.4,,
2018-08-14,5.406,,
2018-08-15,5.38,,
2018-08-16,5.45,,
2018-08-17,5.482,,
2018-08-20,5.578,,
2018-08-21,5.452,,
2018-08-22,5.55,,
2018-08-23,5.48,,
2018-08-24,5.53,,
2018-08-27,5.446,,
2018-08-28,5.462,,
2018-08-29,5.456,,
2018-08-30,5.59,,
2018-08-31,5.508,,
2018-09-03,5.4,,
2018-09-04,5.214,,
2018-09-05,5.0,,
2018-09-06,5.04,,
2018-09-07,4.958,,
2018-09-10,4.88,,
2018-09-11,4.781,,
2018-09-12,4.809,,
2018-09-13,4.82,,
2018-09-14,4.816,,
2018-09-17,4.77,,
2018-09-18,4.75,,
2018-09-19,4.6,,
2018-09-20,4.66,,
2018-09-21,4.683,,
2018-09-24,4.604,,
2018-09-25,4.65,,
2018-09-26,4.667,,
2018-09-27,4.631,,
2018-09-28,4.565,,
2018-10-01,4.571,,
2018-10-02,4.48,,
2018-10-03,4.441,,
2018-10-04,4.5,,
2018-10-05,4.55,,
2018-10-08,4.337,,
2018-10-09,4.236,,
2018-10-10,4.217,,
2018-10-11,4.2,,
2018-10-12,4.439,,
2018-10-15,4.209,,
2018-10-16,4.259,,
2018-10-17,4.25,,
2018-10-18,4.365,,
2018-10-19,4.4,,
2018-10-22,4.199,,
2018-10-23,4.245,,
2018-10-24,4.318,,
2018-10-25,4.332,,
2018-10-26,4.3,,
2018-10-29,4.408,,
2018-10-30,4.4,,
2018-10-31,4.32,,
2018-11-01,4.479,,
2018-11-02,4.54,,
2018-11-05,4.409,,
2018-11-06,4.448,,
2018-11-07,4.419,,
2018-11-08,4.468,,
2018-11-09,4.477,,
2018-11-12,4.25,,
2018-11-13,4.2,,
2018-11-14,4.277,,
2018-11-15,4.49,,
2018-11-16,5.05,,
2018-11-19,5.0,,
2018-11-20,5.066,,
2018-11-21,5.03,,
2018-11-22,5.018,,
2018-11-23,5.012,,
2018-11-26,5.03,,
2018-11-27,4.88,,
2018-11-28,4.821,,
2018-11-29,4.701,,
2018-11-30,4.734,,
2018-12-03,4.607,,
2018-12-04,4.604,,
2018-12-05,4.516,,
2018-12-07,4.362,,
2018-12-10,4.111,,
2018-12-11,4.237,,
2018-12-12,4.41,,
2018-12-13,4.425,,
2018-12-14,4.325,,
2018-12-17,4.32,,
2018-12-18,4.253,,
2018-12-19,4.25,,
2018-12-20,4.161,,
2018-12-21,3.99,,
2018-12-27,3.773,,
2018-12-28,3.82,,
2019-01-02,4.032,,
2019-01-03,4.11,,
2019-01-04,4.243,,
2019-01-07,4.325,,
2019-01-08,4.391,,
2019-01-09,4.47,,
2019-01-10,4.347,,
2019-01-11,4.3,,
2019-01-14,4.351,,
2019-01-15,4.53,,
2019-01-16,4.474,,
2019-01-17,4.648,,
2019-01-18,4.72,,
2019-01-21,4.775,,
2019-01-22,4.632,,
2019-01-23,4.694,,
2019-01-24,4.63,,
2019-01-25,4.643,,
2019-01-28,4.646,,
2019-01-29,4.685,,
2019-01-30,4.63,,
2019-01-31,4.567,,
2019-02-01,4.731,,
2019-02-04,4.989,,
2019-02-05,4.99,,
2019-02-06,5.46,,
2019-02-07,5.314,,
2019-02-08,5.124,,
2019-02-11,5.204,,
2019-02-12,5.1,,
2019-02-13,5.024,,
2019-02-14,4.867,,
2019-02-15,5.05,,
2019-02-18,5.274,,
2019-02-19,5.34,,
2019-02-20,5.268,,
2019-02-21,5.314,,
2019-02-22,5.308,,
2019-02-25,5.47,,
2019-02-26,5.406,,
2019-02-27,5.4,,
2019-02-28,5.46,,
2019-03-01,5.55,,
2019-03-04,5.58,,
2019-03-05,5.66,,
2019-03-06,5.9,,
2019-03-07,5.89,,
2019-03-08,5.66,,
2019-03-11,5.78,,
2019-03-12,5.856,,
2019-03-13,5.95,,
2019-03-14,5.976,,
2019-03-15,5.99,,
2019-03-18,6.172,,
2019-03-19,6.328,,
2019-03-20,6.276,,
2019-03-21,6.194,,
2019-03-22,5.942,,
2019-03-25,5.816,,
2019-03-26,5.996,,
2019-03-27,5.894,,
2019-03-28,5.87,,
2019-03-29,5.926,,
2019-04-01,6.12,,
2019-04-02,6.01,,
2019-04-03,6.205,,
2019-04-04,6.12,,
2019-04-05,6.455,,
2019-04-08,6.41,,
2019-04-09,6.545,,
2019-04-10,6.52,,
2019-04-11,6.73,,
2019-04-12,6.68,,
2019-04-15,6.65,,
2019-04-16,6.665,,
2019-04-17,6.62,,
2019-04-18,6.625,,
2019-04-23,6.69,,
2019-04-24,6.745,,
2019-04-25,6.725,,
2019-04-26,7.06,,
2019-04-29,7.0,,
2019-04-30,7.25,,
2019-05-02,7.23,,
2019-05-03,7.17,,
2019-05-06,7.02,,
2019-05-07,7.075,,
2019-05-08,7.06,,
2019-05-09,7.1,,
2019-05-10,7.055,,
2019-05-13,6.85,,
2019-05-14,7.11,,
2019-05-15,7.065,,
2019-05-16,7.445,,
2019-05-17,7.295,6.49432,5.210055
2019-05-20,7.115,6.518620000000001,5.21934
2019-05-21,7.14,6.543620000000001,5.228739999999999
2019-05-22,7.1,6.572419999999998,5.237609999999998
2019-05-23,6.97,6.59622,5.245760000000001
2019-05-24,7.205,6.623200000000001,5.254895
2019-05-27,7.08,6.6458,5.2635450000000015
2019-05-28,7.195,6.67018,5.272520000000001
2019-05-29,6.86,6.68758,5.279680000000001
2019-05-31,7.275,6.7096399999999985,5.288945
