Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-06,0.116,0.114,0.114,0.116,36997
2018-06-07,0.119,0.113,0.115,0.115,1430106
2018-06-08,0.118,0.115,0.115,0.118,268897
2018-06-11,0.1175,0.113,0.113,0.1175,537306
2018-06-12,0.1145,0.112,0.112,0.1145,993261
2018-06-13,0.112,0.11,0.1105,0.112,431348
2018-06-14,0.111,0.1,0.102,0.111,9972387
2018-06-15,0.11,0.101,0.107,0.102,2390996
2018-06-18,0.107,0.103,0.105,0.107,961181
2018-06-19,0.107,0.1065,0.107,0.1065,999999
2018-06-20,0.107,0.102,0.102,0.107,2192296
2018-06-21,0.1055,0.103,0.103,0.103,508028
2018-06-22,0.1065,0.1025,0.1025,0.1065,209500
2018-06-25,0.105,0.102,0.1045,0.105,150075
2018-06-26,0.1045,0.1045,0.1045,0.1045,110000
2018-06-27,0.1035,0.1015,0.1035,0.102,624841
2018-06-28,0.1045,0.1025,0.1025,0.1025,100129
2018-06-29,0.105,0.1015,0.1015,0.105,294439
2018-07-02,0.1015,0.1,0.1,0.1015,917294
2018-07-03,0.104,0.095,0.1015,0.104,215220
2018-07-04,0.104,0.1005,0.101,0.1005,475000
2018-07-05,0.1045,0.1005,0.101,0.101,412703
2018-07-06,0.101,0.101,0.101,0.101,31078
2018-07-09,0.104,0.102,0.102,0.104,888607
2018-07-10,0.1045,0.102,0.102,0.1045,160000
2018-07-11,0.1025,0.101,0.1015,0.101,108999
2018-07-12,0.104,0.1005,0.104,0.1015,121411
2018-07-13,0.1045,0.095,0.1035,0.1045,572481
2018-07-16,0.1035,0.103,0.103,0.1035,10150
2018-07-17,0.1005,0.0998,0.1005,0.1,1233055
2018-07-18,0.106,0.0972,0.105,0.0972,615647
2018-07-19,0.106,0.1015,0.1015,0.106,160379
2018-07-20,0.106,0.1005,0.1005,0.1055,682774
2018-07-23,0.1045,0.101,0.101,0.1015,237686
2018-07-24,0.106,0.101,0.101,0.106,1394243
2018-07-25,0.1045,0.1005,0.1005,0.101,147555
2018-07-26,0.1045,0.1005,0.101,0.1045,14300
2018-07-27,0.1045,0.1005,0.103,0.1045,246546
2018-07-30,0.107,0.1005,0.101,0.1005,496624
2018-07-31,0.101,0.101,0.101,0.101,87880
2018-08-01,0.105,0.1,0.105,0.101,48820
2018-08-02,0.1015,0.1,0.1,0.1015,284061
2018-08-03,0.104,0.102,0.104,0.102,220206
2018-08-06,0.1045,0.1005,0.1025,0.1005,274119
2018-08-07,0.1045,0.1035,0.1035,0.104,121000
2018-08-08,0.103,0.101,0.101,0.103,182750
2018-08-09,0.1035,0.1,0.1,0.101,2975717
2018-08-10,0.103,0.0982,0.103,0.0982,557337
2018-08-13,0.105,0.1035,0.104,0.1035,695659
2018-08-14,0.104,0.1005,0.104,0.104,286034
2018-08-15,0.1045,0.104,0.1045,0.1045,14785
2018-08-16,0.104,0.1,0.104,0.1,105192
2018-08-17,0.107,0.1,0.104,0.107,1171311
2018-08-20,0.1035,0.1,0.1,0.1,367583
2018-08-21,0.1035,0.1005,0.1035,0.1005,101000
2018-08-22,0.1025,0.1,0.1025,0.1025,663085
2018-08-23,0.1025,0.0992,0.0992,0.1,488731
2018-08-24,0.102,0.1,0.101,0.1,838535
2018-08-27,0.101,0.1,0.1,0.101,32000
2018-08-28,0.102,0.1,0.1,0.1,97905
2018-08-29,0.102,0.1,0.1,0.1015,657821
2018-08-30,0.1025,0.1,0.1,0.1005,703891
2018-08-31,0.103,0.1005,0.101,0.1005,41517
2018-09-03,0.108,0.102,0.102,0.102,618509
2018-09-04,0.1065,0.102,0.102,0.105,1240377
2018-09-05,0.104,0.101,0.102,0.102,1102208
2018-09-06,0.102,0.101,0.101,0.102,151642
2018-09-07,0.1035,0.1015,0.1035,0.1015,254041
2018-09-10,0.1045,0.1,0.1045,0.103,407613
2018-09-11,0.113,0.1005,0.112,0.1005,5704977
2018-09-12,0.117,0.1115,0.115,0.1125,1916365
2018-09-13,0.117,0.1115,0.117,0.1165,1707434
2018-09-14,0.1165,0.112,0.112,0.1125,657582
2018-09-17,0.112,0.09,0.0934,0.112,8634917
2018-09-18,0.096,0.0916,0.0916,0.096,716637
2018-09-19,0.0998,0.092,0.095,0.0926,263932
2018-09-20,0.0978,0.0942,0.0942,0.095,360201
2018-09-21,0.117,0.0968,0.116,0.0978,14697646
2018-09-24,0.119,0.1035,0.11,0.1175,4225851
2018-09-25,0.1175,0.1075,0.111,0.114,1582802
2018-09-26,0.117,0.108,0.11,0.111,2057152
2018-09-27,0.1305,0.108,0.1175,0.108,2733908
2018-09-28,0.116,0.108,0.1155,0.116,1978451
2018-10-01,0.1155,0.114,0.114,0.1155,74709
2018-10-02,0.114,0.108,0.111,0.114,1128328
2018-10-03,0.111,0.1085,0.11,0.111,248793
2018-10-04,0.11,0.108,0.1085,0.1085,282803
2018-10-05,0.1145,0.1085,0.109,0.1085,268534
2018-10-08,0.119,0.1085,0.1105,0.1145,524482
2018-10-09,0.115,0.108,0.11,0.11,1913869
2018-10-10,0.11,0.1075,0.1075,0.11,381704
2018-10-11,0.1145,0.101,0.101,0.108,1313390
2018-10-12,0.1095,0.104,0.105,0.1095,10090
2018-10-15,0.11,0.101,0.105,0.105,335066
2018-10-16,0.1145,0.099,0.1005,0.1145,891933
2018-10-17,0.1085,0.105,0.105,0.105,581483
2018-10-18,0.1095,0.1035,0.1085,0.1095,221000
2018-10-19,0.109,0.1,0.108,0.109,792276
2018-10-22,0.1075,0.1,0.107,0.1,234969
2018-10-23,0.1075,0.099,0.1,0.107,1474632
2018-10-24,0.1025,0.1,0.1,0.1005,1210356
2018-10-25,0.1015,0.099,0.099,0.1015,150001
2018-10-26,0.1005,0.099,0.099,0.1005,1312742
2018-10-29,0.1,0.099,0.099,0.099,36905
2018-10-30,0.101,0.099,0.099,0.101,129100
2018-10-31,0.1,0.095,0.096,0.099,651459
2018-11-01,0.1,0.0946,0.0946,0.099,789329
2018-11-02,0.101,0.0912,0.0944,0.1,1605577
2018-11-05,0.0998,0.091,0.091,0.0944,6432
2018-11-06,0.096,0.09,0.096,0.091,1800281
2018-11-07,0.094,0.093,0.093,0.094,660000
2018-11-08,0.0986,0.0902,0.0938,0.0926,1350158
2018-11-09,0.0968,0.09,0.0956,0.0968,1609000
2018-11-12,0.0954,0.09,0.0902,0.0954,348500
2018-11-13,0.096,0.091,0.096,0.091,310000
2018-11-14,0.096,0.0906,0.095,0.0958,740000
2018-11-15,0.095,0.0912,0.094,0.095,265511
2018-11-16,0.0948,0.09,0.0948,0.0902,620920
2018-11-19,0.0952,0.09,0.09,0.0952,442000
2018-11-20,0.09,0.083,0.089,0.09,1207233
2018-11-21,0.088,0.084,0.085,0.084,2763000
2018-11-22,0.087,0.08,0.08,0.087,1674483
2018-11-23,0.0848,0.08,0.08,0.0846,779954
2018-11-26,0.085,0.08,0.08,0.081,2733361
2018-11-27,0.0818,0.0764,0.0798,0.0818,2358820
2018-11-28,0.079,0.076,0.0772,0.076,2531083
2018-11-29,0.0796,0.077,0.077,0.078,992954
2018-11-30,0.0788,0.0772,0.0788,0.0772,183207
2018-12-03,0.079,0.0754,0.0774,0.0778,1880545
2018-12-04,0.079,0.0752,0.079,0.079,980448
2018-12-05,0.079,0.075,0.0788,0.079,399571
2018-12-06,0.0788,0.0788,0.0788,0.0788,5000
2018-12-07,0.0798,0.0752,0.0788,0.0754,547718
2018-12-10,0.077,0.0754,0.0754,0.0758,26294
2018-12-11,0.08,0.0754,0.0798,0.08,337517
2018-12-12,0.0796,0.076,0.076,0.0796,353178
2018-12-13,0.0778,0.075,0.077,0.0778,1127668
2018-12-14,0.077,0.0738,0.0738,0.077,190100
2018-12-17,0.0788,0.0738,0.0776,0.0788,563393
2018-12-18,0.0776,0.072,0.0768,0.0776,235931
2018-12-19,0.0754,0.0716,0.0732,0.0716,692233
2018-12-20,0.074,0.06,0.0718,0.0704,4931859
2018-12-21,0.075,0.068,0.0748,0.0748,879213
2018-12-27,0.072,0.0604,0.07,0.07,845579
2018-12-28,0.0832,0.065,0.08,0.065,3112285
2019-01-02,0.082,0.078,0.078,0.082,142570
2019-01-03,0.082,0.079,0.08,0.082,247960
2019-01-04,0.082,0.07,0.082,0.08,1014425
2019-01-07,0.087,0.08,0.08,0.082,715376
2019-01-08,0.085,0.08,0.085,0.085,423226
2019-01-09,0.0868,0.0802,0.0826,0.0868,346625
2019-01-10,0.086,0.082,0.0828,0.0858,171508
2019-01-11,0.087,0.084,0.087,0.086,1152146
2019-01-14,0.09,0.08,0.09,0.087,3695529
2019-01-15,0.0898,0.0852,0.0864,0.0898,1558952
2019-01-16,0.088,0.086,0.086,0.088,641680
2019-01-17,0.086,0.085,0.086,0.086,4969
2019-01-18,0.0898,0.086,0.0888,0.0898,257094
2019-01-21,0.089,0.0888,0.089,0.0888,41800
2019-01-22,0.09,0.089,0.09,0.0892,553750
