Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-11-28,19.998,15.5,19.0,17.2,1328847
2018-11-29,23.21,18.99,23.21,19.73,904049
2018-11-30,32.0,24.135,32.0,25.04,1547704
2018-12-03,44.0,26.5,28.335,34.0,1640779
2018-12-04,27.5,23.26,26.41,27.3,766478
2018-12-05,29.5,24.505,28.2,25.805,268194
2018-12-06,31.985,27.295,28.55,28.44,257206
2018-12-07,28.645,26.0,26.4,28.6,106288
2018-12-10,26.415,23.6,24.49,26.415,93384
2018-12-11,24.5,20.6,20.8,24.45,238859
2018-12-12,25.46,22.995,23.5,23.0,292753
2018-12-13,25.0,23.6,24.6,25.0,52121
2018-12-14,24.8,23.305,24.2,24.8,23887
2018-12-17,28.5,24.655,28.5,24.655,203043
2018-12-18,34.46,29.9,33.9,30.0,368857
2018-12-19,35.2,30.25,31.44,34.37,275118
2018-12-20,33.5,28.5,31.375,31.445,109263
2018-12-21,31.37,28.4,30.335,31.37,82473
2018-12-27,31.8,28.0,30.995,30.395,69359
2018-12-28,32.975,30.1,30.5,31.105,128722
2019-01-02,32.0,29.77,30.55,32.0,46160
2019-01-03,31.3,29.55,29.6,31.0,40193
2019-01-04,30.415,29.5,29.5,30.415,21661
2019-01-07,31.765,29.0,30.9,29.55,35387
2019-01-08,31.55,30.005,31.55,31.15,32164
2019-01-09,33.8,30.625,33.0,31.55,65280
2019-01-10,33.6,32.3,33.395,33.005,32655
2019-01-11,38.0,33.03,36.7,33.415,215555
2019-01-14,42.0,37.265,42.0,37.985,357700
2019-01-15,43.99,36.705,37.5,41.96,276057
2019-01-16,42.0,37.4,39.6,38.925,197012
2019-01-17,48.025,37.7,48.025,39.705,502616
2019-01-18,49.5,44.2,45.45,48.57,440520
2019-01-21,46.495,43.0,44.415,46.005,79671
2019-01-22,44.975,42.0,42.955,44.975,65082
2019-01-23,50.0,44.995,48.75,45.945,419820
2019-01-24,57.96,46.45,55.5,48.975,575941
2019-01-25,70.73,55.8,65.2,55.9,1216026
2019-01-28,73.71,42.205,43.995,67.58,2961677
2019-01-29,49.845,37.535,40.61,46.0,2369238
2019-01-30,42.4,35.3,37.0,38.735,1128094
2019-01-31,38.88,36.75,37.2,37.145,258185
2019-02-01,37.7,35.255,36.2,37.7,173191
2019-02-04,44.3,37.2,44.225,38.08,638938
2019-02-05,51.0,45.005,48.8,45.34,666989
2019-02-06,51.0,43.6,46.3,50.0,381996
2019-02-07,46.34,41.0,43.5,46.3,207073
2019-02-08,42.5,41.205,42.1,42.49,107552
2019-02-11,45.495,43.4,44.59,43.995,71913
2019-02-12,45.0,42.8,43.07,45.0,42340
2019-02-13,43.06,41.775,42.795,43.06,57934
2019-02-14,42.97,41.5,41.55,42.85,33089
2019-02-15,43.845,41.6,43.65,41.9,40364
2019-02-18,44.99,42.005,42.7,43.85,44573
2019-02-19,43.595,42.2,42.83,42.75,29178
2019-02-20,48.26,43.9,44.0,44.3,216368
2019-02-21,44.0,40.995,42.0,44.0,61754
2019-02-22,42.0,41.05,41.05,41.405,43790
2019-02-25,42.995,41.1,41.65,41.1,32227
2019-02-26,41.645,39.0,39.5,41.19,55817
2019-02-27,40.4,39.0,39.5,39.78,28950
2019-02-28,39.995,37.0,37.87,39.505,59738
2019-03-01,39.81,38.0,38.87,38.0,45428
2019-03-04,38.865,36.095,37.41,38.0,68354
2019-03-05,37.4,35.2,36.23,37.4,61643
2019-03-06,38.38,36.505,37.995,36.505,47821
2019-03-07,39.0,34.5,35.3,38.6,87798
2019-03-08,34.965,32.195,33.15,34.95,121500
2019-03-11,34.295,30.64,31.5,33.155,116215
2019-03-12,34.0,31.495,33.345,31.495,48818
2019-03-13,33.195,31.9,31.9,33.195,29776
2019-03-14,32.45,31.1,31.25,32.45,38654
2019-03-15,32.9,31.205,31.415,31.25,36003
2019-03-18,31.415,30.8,30.965,31.415,46671
2019-03-19,30.8,28.235,29.685,30.8,110394
2019-03-20,29.47,27.155,27.3,29.0,158899
2019-03-21,26.995,24.8,25.975,26.995,184075
2019-03-22,25.72,24.72,24.72,25.5,80293
2019-03-25,26.7,24.025,25.355,24.67,59726
2019-03-26,26.95,24.8,25.25,25.5,43001
2019-03-27,26.295,24.53,24.92,25.255,22439
2019-03-28,25.0,23.225,23.8,25.0,39817
2019-03-29,24.2,23.405,23.895,23.805,21156
2019-04-01,24.88,23.58,24.88,23.9,14906
2019-04-02,25.2,24.02,24.86,24.88,14040
2019-04-03,27.9,25.2,27.16,25.2,94934
2019-04-04,27.5,26.0,26.6,27.5,20656
2019-04-05,27.0,24.64,25.18,26.6,88675
2019-04-08,25.98,23.98,24.4,25.18,44614
2019-04-09,25.38,23.0,25.14,24.4,29271
2019-04-10,25.38,24.5,24.98,25.14,13638
2019-04-11,26.18,24.0,24.48,24.58,92752
2019-04-12,25.68,24.54,25.22,24.96,31377
2019-04-15,25.74,24.98,25.28,25.24,16873
2019-04-16,25.3,24.6,24.62,25.28,10658
2019-04-17,25.2,23.92,24.0,24.6,26092
2019-04-18,24.84,22.14,24.1,24.84,26422
2019-04-23,24.9,23.5,23.66,24.9,17101
2019-04-24,24.38,23.46,23.86,23.66,16489
2019-04-25,23.86,23.02,23.42,23.86,10784
2019-04-26,23.4,22.2,23.2,23.3,20865
2019-04-29,23.2,21.2,22.48,23.2,40837
2019-04-30,23.82,22.16,23.6,22.48,28518
2019-05-02,23.8,22.4,22.6,23.8,10622
2019-05-03,23.16,22.0,22.1,22.6,30111
2019-05-06,22.08,20.26,20.98,22.08,55501
2019-05-07,22.5,19.5,20.94,20.98,94061
2019-05-08,21.96,20.32,21.04,20.8,24636
2019-05-09,21.04,20.0,20.1,20.78,14203
2019-05-10,21.52,20.1,20.7,20.1,16090
2019-05-13,20.48,19.6,20.18,20.48,29046
2019-05-14,20.42,19.7,19.89,19.89,13027
2019-05-15,20.0,19.66,19.76,19.88,24238
2019-05-16,20.48,19.6,19.74,19.76,8601
2019-05-17,20.3,19.61,19.61,19.74,10867
2019-05-20,20.28,19.61,19.9,19.61,14516
2019-05-21,20.3,19.61,20.24,19.89,10940
2019-05-22,21.3,20.1,21.28,20.2,30538
2019-05-23,21.48,17.95,18.82,21.48,111171
2019-05-24,21.3,18.68,21.28,18.82,81447
2019-05-27,21.5,20.1,20.1,21.5,28521
2019-05-28,20.94,19.26,20.0,20.1,12747
2019-05-29,20.48,19.0,19.69,19.99,6518
2019-05-31,19.7,18.3,19.1,19.62,17233
2019-06-03,21.0,19.0,19.9,19.25,11406
2019-06-04,20.48,19.01,20.1,19.9,9716
2019-06-05,20.44,19.39,19.6,20.1,11470
