Date,High,Low,Close,Open,Volume
2020-01-02,1.435,1.365,1.42,1.375,73662
2020-01-03,1.465,1.385,1.395,1.465,31814
2020-01-07,1.42,1.37,1.395,1.42,31954
2020-01-08,1.45,1.37,1.4,1.395,37458
2020-01-09,1.435,1.41,1.425,1.41,27090
2020-01-10,1.44,1.425,1.43,1.425,16231
2020-01-13,1.455,1.425,1.425,1.45,24693
2020-01-14,1.46,1.43,1.46,1.45,21852
2020-01-15,1.46,1.43,1.455,1.46,25392
2020-01-16,1.47,1.45,1.465,1.46,18418
2020-01-17,1.5,1.46,1.475,1.47,34352
2020-01-20,1.5,1.46,1.485,1.48,17086
2020-01-21,1.5,1.46,1.46,1.485,29472
2020-01-22,1.5,1.47,1.495,1.49,14538
2020-01-23,1.495,1.425,1.465,1.495,17980
2020-01-24,1.49,1.475,1.48,1.475,18364
2020-01-27,1.48,1.42,1.43,1.48,25351
2020-01-28,1.445,1.41,1.44,1.41,7401
2020-01-29,1.48,1.44,1.44,1.44,5587
2020-01-30,1.44,1.4,1.42,1.44,9418
2020-01-31,1.45,1.4,1.44,1.41,14710
2020-02-03,1.46,1.33,1.38,1.46,56861
2020-02-04,1.4,1.38,1.4,1.38,10258
2020-02-05,1.45,1.38,1.44,1.415,32551
2020-02-06,1.465,1.245,1.3,1.455,682248
2020-02-07,1.345,1.27,1.28,1.33,272965
2020-02-10,1.3,1.235,1.255,1.27,312755
2020-02-11,1.255,1.21,1.23,1.255,215239
2020-02-12,1.225,1.205,1.22,1.225,143857
2020-02-13,1.22,1.2,1.215,1.22,125550
2020-02-14,1.265,1.215,1.24,1.22,56111
2020-02-17,1.31,1.23,1.25,1.245,127229
2020-02-18,1.265,1.23,1.23,1.255,91260
2020-02-19,1.265,1.23,1.245,1.235,23302
2020-02-20,1.28,1.24,1.24,1.28,42966
2020-02-21,1.255,1.225,1.235,1.255,37331
2020-02-24,1.21,1.13,1.175,1.21,147030
2020-02-25,1.175,1.145,1.15,1.17,38754
2020-02-26,1.16,1.12,1.16,1.15,71904
2020-02-27,1.19,1.145,1.16,1.16,36824
2020-02-28,1.16,1.12,1.145,1.145,45054
2020-03-02,1.16,1.135,1.155,1.145,77366
2020-03-03,1.24,1.16,1.2,1.16,94455
2020-03-04,1.21,1.17,1.2,1.21,28747
2020-03-05,1.225,1.19,1.2,1.205,25343
