Date,High,Low,Close,Open,Volume
2020-01-02,33.99,33.03,33.6,33.03,3802778
2020-01-03,33.52,32.54,32.68,33.52,3857940
2020-01-07,32.93,32.49,32.62,32.66,3479442
2020-01-08,32.68,32.14,32.42,32.41,2645824
2020-01-09,33.14,32.36,32.45,32.86,2713677
2020-01-10,32.33,31.55,31.96,32.26,5342451
2020-01-13,32.44,31.72,32.41,32.0,2872620
2020-01-14,32.59,31.78,31.78,32.41,2791525
2020-01-15,32.41,31.42,31.44,31.88,5141947
2020-01-16,31.88,31.23,31.77,31.51,2233938
2020-01-17,32.35,31.93,32.19,32.01,3009017
2020-01-20,32.95,32.25,32.64,32.41,3341523
2020-01-21,32.84,31.83,32.3,32.44,7587453
2020-01-22,32.55,31.37,31.46,32.48,5557757
2020-01-23,31.66,30.15,30.49,31.35,7707547
2020-01-24,31.17,30.56,30.7,30.75,8252161
2020-01-27,30.59,29.62,30.09,30.45,11652894
2020-01-28,31.29,28.92,30.86,30.16,14421447
2020-01-29,31.15,30.13,30.46,30.9,9595650
2020-01-30,30.43,29.8,30.07,30.07,6547967
2020-01-31,30.45,29.49,29.68,30.34,4841349
2020-02-03,30.54,29.51,30.38,29.62,5532245
2020-02-04,31.68,30.6,31.45,30.65,5033569
2020-02-05,33.38,31.5,33.25,31.51,10740989
2020-02-06,34.41,33.3,34.08,33.49,5875515
2020-02-07,34.27,33.51,34.19,33.97,4632791
2020-02-10,35.29,33.96,34.3,34.26,6603067
2020-02-11,34.95,34.27,34.86,34.6,3848619
2020-02-12,35.22,34.75,34.89,35.03,3873965
2020-02-13,34.69,34.07,34.64,34.66,4739777
2020-02-14,35.27,34.47,35.25,34.64,4170361
2020-02-17,35.83,35.16,35.21,35.3,3055286
2020-02-18,34.87,34.38,34.6,34.87,3527234
2020-02-19,34.96,34.31,34.62,34.75,3260217
2020-02-20,35.01,34.46,34.57,34.63,3356173
2020-02-21,34.68,33.94,34.42,34.31,3932382
2020-02-24,33.41,32.36,32.57,33.31,6793157
2020-02-25,32.78,31.31,31.5,32.57,7062917
2020-02-26,31.78,30.43,31.72,31.36,8089246
2020-02-27,31.24,29.72,30.51,31.07,7626142
2020-02-28,29.8,28.75,29.28,29.27,13200566
2020-03-02,30.55,28.25,29.17,30.16,9125651
