Date,High,Low,Close,Open,Volume
2020-01-02,138.8,135.4,135.8,137.2,53025
2020-01-03,136.0,133.2,135.0,136.0,45105
2020-01-07,136.0,133.2,136.0,134.8,95862
2020-01-08,139.4,131.2,138.6,136.0,88336
2020-01-09,142.0,139.4,141.4,139.6,103980
2020-01-10,146.6,141.4,143.8,141.4,109152
2020-01-13,149.2,145.0,149.0,145.0,107677
2020-01-14,150.6,147.0,149.0,149.6,108815
2020-01-15,149.0,144.8,146.2,148.8,104319
2020-01-16,147.6,144.0,146.8,145.0,71397
2020-01-17,149.0,146.0,148.6,147.0,178811
2020-01-20,151.0,146.6,147.8,148.8,73385
2020-01-21,147.8,145.6,146.0,147.8,35411
2020-01-22,146.4,142.2,145.2,146.0,89337
2020-01-23,144.6,138.8,141.8,144.6,315999
2020-01-24,147.4,138.0,144.6,141.8,247100
2020-01-27,146.0,142.0,143.2,144.4,92947
2020-01-28,146.0,141.0,142.6,145.0,110887
2020-01-29,145.0,142.2,144.6,142.6,40367
2020-01-30,145.2,144.0,144.6,144.0,34761
2020-01-31,148.6,144.6,148.4,144.6,61485
2020-02-03,148.0,145.6,146.8,148.0,51157
2020-02-04,147.8,144.4,146.6,147.8,61892
2020-02-05,146.6,144.4,145.2,146.6,52787
2020-02-06,148.0,144.6,147.2,145.2,52379
2020-02-07,151.4,146.8,150.6,147.4,100071
2020-02-10,157.8,150.6,155.4,150.6,168182
2020-02-11,157.6,155.2,156.0,156.0,175659
2020-02-12,156.4,154.8,155.6,156.4,69625
2020-02-13,156.4,152.6,155.6,155.0,91775
2020-02-14,156.6,155.0,156.0,155.0,71071
2020-02-17,156.4,154.2,155.6,156.0,66720
2020-02-18,158.0,154.4,158.0,155.4,128427
2020-02-19,164.6,158.0,163.0,158.0,49562
2020-02-20,164.8,160.8,162.6,163.0,92057
2020-02-21,164.6,160.8,164.0,160.8,59824
2020-02-24,163.4,156.6,157.0,163.2,143503
2020-02-25,158.4,152.4,152.6,156.0,98642
2020-02-26,150.6,139.8,146.8,150.6,331217
2020-02-27,144.8,132.6,138.0,143.4,176725
2020-02-28,135.0,127.6,130.0,128.8,425932
2020-03-02,135.6,125.4,128.8,132.0,1134565
2020-03-03,139.2,131.6,138.0,131.6,196796
2020-03-04,142.2,134.4,141.0,137.6,165365
2020-03-05,146.0,140.4,142.0,142.4,142114
2020-03-06,140.8,133.4,135.6,140.8,145634
2020-03-09,132.6,122.0,126.0,127.0,243642
2020-03-10,131.0,121.8,121.8,128.0,193463
2020-03-11,125.0,120.4,122.4,122.8,592464
2020-03-12,118.4,107.6,109.2,117.0,477867
2020-03-13,117.2,103.6,105.4,108.0,1031300
2020-03-16,102.2,88.8,89.2,102.2,464786
2020-03-17,95.4,80.6,87.0,90.7,320583
2020-03-18,87.6,78.3,79.9,87.6,414512
2020-03-19,90.2,79.9,88.6,79.9,373907
2020-03-20,105.8,94.2,95.3,98.0,627046
2020-03-23,92.1,83.9,84.0,90.0,541986
2020-03-24,94.7,86.3,93.0,92.1,337924
2020-03-25,101.2,92.1,99.2,99.8,182530
2020-03-26,103.6,96.5,103.4,99.0,239048
2020-03-27,104.2,94.4,98.7,103.4,253296
