Date,High,Low,Close,Open,Volume
2020-01-02,9.775,9.49,9.665,9.49,81146
2020-01-03,9.73,9.575,9.68,9.665,86953
2020-01-07,9.68,9.505,9.555,9.68,69824
2020-01-08,9.595,9.39,9.56,9.585,77621
2020-01-09,9.755,9.615,9.71,9.675,51077
2020-01-10,10.72,10.19,10.67,10.2,403773
2020-01-13,10.68,10.31,10.46,10.68,139357
2020-01-14,10.62,10.38,10.58,10.54,130622
2020-01-15,11.04,10.6,10.77,10.66,280225
2020-01-16,10.99,10.7,10.86,10.86,113194
2020-01-17,11.1,10.84,11.1,10.91,119020
2020-01-20,11.09,10.9,10.99,10.9,57101
2020-01-21,11.01,10.8,10.98,11.01,85675
2020-01-22,11.22,10.53,10.66,10.94,299753
2020-01-23,10.71,10.48,10.54,10.65,53160
2020-01-24,10.67,10.32,10.52,10.62,66392
2020-01-27,10.44,10.16,10.37,10.44,52243
2020-01-28,10.41,10.29,10.33,10.37,59290
2020-01-29,10.38,10.27,10.3,10.34,40843
2020-01-30,10.62,10.24,10.56,10.31,116118
2020-01-31,10.88,10.52,10.83,10.57,91123
2020-02-03,10.8,10.47,10.59,10.56,201868
2020-02-04,10.98,10.59,10.72,10.75,201012
2020-02-05,10.75,10.54,10.54,10.72,122104
2020-02-06,10.95,10.61,10.9,10.63,118749
2020-02-07,10.97,10.52,10.64,10.92,252382
2020-02-10,11.48,10.72,11.34,10.72,251821
2020-02-11,12.49,11.62,11.62,11.76,348300
2020-02-12,11.88,11.29,11.37,11.61,389935
2020-02-13,11.41,11.0,11.26,11.29,203793
2020-02-14,11.45,11.25,11.27,11.4,70561
2020-02-17,11.37,10.97,11.0,11.31,119299
2020-02-18,11.03,10.81,10.87,11.03,96421
2020-02-19,11.16,10.87,11.0,10.98,206401
2020-02-20,11.2,10.89,11.16,11.0,100602
2020-02-21,11.11,10.86,11.04,11.09,113508
2020-02-24,10.92,10.62,10.76,10.85,147997
2020-02-25,10.92,10.68,10.83,10.69,154345
2020-02-26,10.79,10.34,10.73,10.6,162583
2020-02-27,10.78,10.5,10.63,10.51,211541
2020-02-28,10.5,10.08,10.28,10.5,316715
2020-03-02,10.6,10.29,10.42,10.43,132891
2020-03-03,11.18,10.56,11.08,10.59,236130
2020-03-04,11.54,10.96,11.4,11.0,217727
2020-03-05,11.51,11.22,11.46,11.39,187939
2020-03-06,11.39,10.74,10.75,11.39,241814
2020-03-09,10.35,9.835,10.28,10.2,205847
2020-03-10,10.5,10.02,10.06,10.28,222699
2020-03-11,10.09,9.61,9.75,9.995,273781
2020-03-12,9.39,8.47,8.625,9.3,314721
2020-03-13,9.375,8.54,8.705,8.67,236370
2020-03-16,8.72,7.865,7.865,8.705,273492
2020-03-17,8.3,7.54,8.15,8.145,404988
2020-03-18,8.375,7.395,7.5,8.375,358498
2020-03-19,7.605,6.84,6.975,7.505,328604
2020-03-20,7.83,7.205,7.65,7.285,219619
2020-03-23,7.7,6.97,7.105,7.7,416519
2020-03-24,7.755,7.295,7.66,7.355,236646
2020-03-25,8.335,7.54,7.845,8.0,280535
2020-03-26,7.845,7.35,7.6,7.84,266861
2020-03-27,7.795,7.55,7.68,7.555,233261
2020-03-30,8.0,7.53,7.825,7.685,200765
2020-03-31,8.395,7.955,8.355,7.955,412332
2020-04-01,8.43,8.09,8.33,8.25,162911
2020-04-02,8.35,7.96,8.0,8.35,194970
2020-04-03,8.24,7.91,7.95,8.15,115285
2020-04-06,8.42,8.1,8.3,8.25,105848
2020-04-07,8.74,8.27,8.33,8.44,183173
2020-04-08,8.49,8.2,8.44,8.49,162713
2020-04-09,8.67,8.45,8.56,8.5,45921
2020-04-14,8.84,8.57,8.64,8.67,134045
2020-04-15,8.79,8.11,8.25,8.79,114169
2020-04-16,8.49,8.1,8.12,8.31,142531
2020-04-17,8.65,8.23,8.39,8.23,137043
2020-04-20,8.51,8.32,8.51,8.4,59599
2020-04-21,8.37,8.11,8.18,8.37,50275
2020-04-22,8.51,8.18,8.18,8.24,66380
2020-04-23,8.39,8.18,8.2,8.39,53901
2020-04-24,8.25,7.82,8.14,8.16,158930
2020-04-27,8.45,8.14,8.16,8.19,115383
2020-04-28,8.7,8.22,8.62,8.22,125055
2020-04-29,8.63,8.26,8.51,8.54,107655
2020-04-30,8.62,8.23,8.26,8.61,129974
2020-05-04,8.22,8.01,8.08,8.15,118940
2020-05-05,8.26,7.87,7.87,8.14,171153
2020-05-06,8.36,7.9,8.25,8.2,149745
2020-05-07,8.58,8.27,8.51,8.35,107135
2020-05-08,8.6,8.31,8.31,8.52,49035
