Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-06,577.0,572.5,575.5,573.5,35866
2018-06-07,579.5,574.5,576.5,578.5,20165
2018-06-08,578.0,573.5,576.5,575.0,31436
2018-06-11,578.5,561.5,568.0,574.0,43354
2018-06-12,573.5,566.0,569.0,569.5,18649
2018-06-13,576.0,567.5,575.0,568.0,20970
2018-06-14,585.0,573.5,582.0,574.5,30803
2018-06-15,586.0,571.0,573.0,581.5,25881
2018-06-18,574.0,559.5,565.0,574.0,24779
2018-06-19,563.0,550.5,553.0,563.0,42457
2018-06-20,579.5,556.0,565.0,556.5,55316
2018-06-21,569.5,556.5,558.5,566.0,24040
2018-06-22,574.0,558.0,565.5,560.0,63274
2018-06-25,566.5,558.0,564.0,563.0,23434
2018-06-26,563.5,551.5,558.0,563.5,32260
2018-06-27,565.5,556.5,564.0,562.0,22699
2018-06-28,565.0,560.5,563.0,560.5,27457
2018-06-29,569.5,560.5,563.5,560.5,19250
2018-07-02,563.0,558.5,561.0,558.5,24654
2018-07-03,565.0,556.5,559.0,560.0,18447
2018-07-04,563.0,556.5,561.5,556.5,11582
2018-07-05,564.5,556.0,562.0,557.0,9883
2018-07-06,564.0,557.0,563.0,560.0,12384
2018-07-09,571.5,562.0,563.0,563.0,19346
2018-07-10,569.5,558.5,566.5,562.5,23347
2018-07-11,566.0,554.0,560.0,565.0,22152
2018-07-12,563.5,558.0,561.0,560.5,23286
2018-07-13,574.0,561.5,563.0,563.5,30689
2018-07-16,569.0,562.5,565.0,562.5,35672
2018-07-17,568.0,561.0,563.0,562.0,14277
2018-07-18,568.0,561.0,565.0,563.0,28832
2018-07-19,572.5,562.0,567.5,562.0,8356
2018-07-20,573.0,564.0,571.5,566.5,11992
2018-07-23,575.0,569.5,570.0,571.5,9949
2018-07-24,576.5,568.0,569.5,570.0,11439
2018-07-25,575.5,567.0,570.5,569.0,15056
2018-07-26,583.0,570.5,581.5,574.0,18366
2018-07-27,584.0,577.5,579.5,579.0,9736
2018-07-30,589.0,576.5,584.0,582.0,13372
2018-07-31,592.0,585.0,592.0,587.5,27558
2018-08-01,595.0,585.5,590.0,592.0,22697
2018-08-02,589.0,579.5,584.0,589.0,15649
2018-08-03,589.5,578.5,579.5,587.5,20809
2018-08-06,582.5,574.5,577.5,579.0,14003
2018-08-07,588.0,569.5,587.5,576.0,14107
2018-08-08,593.0,584.0,590.5,587.5,15909
2018-08-09,605.0,587.5,594.0,594.5,36728
