Date,Closing price,50,200
2018-06-04,110.0,,
2018-06-05,110.0,,
2018-06-07,110.0,,
2018-06-08,110.0,,
2018-06-11,110.5,,
2018-06-12,111.0,,
2018-06-13,111.0,,
2018-06-14,110.5,,
2018-06-15,109.5,,
2018-06-18,109.0,,
2018-06-19,109.0,,
2018-06-20,109.0,,
2018-06-21,109.0,,
2018-06-25,109.0,,
2018-06-26,109.0,,
2018-06-27,109.0,,
2018-06-28,109.0,,
2018-06-29,109.5,,
2018-07-02,109.0,,
2018-07-03,110.0,,
2018-07-04,109.0,,
2018-07-05,109.0,,
2018-07-06,110.0,,
2018-07-09,109.5,,
2018-07-10,109.5,,
2018-07-11,109.5,,
2018-07-12,109.0,,
2018-07-13,109.0,,
2018-07-16,110.0,,
2018-07-17,110.0,,
2018-07-18,110.0,,
2018-07-19,109.5,,
2018-07-20,110.0,,
2018-07-23,110.5,,
2018-07-24,110.5,,
2018-07-25,110.5,,
2018-07-26,111.0,,
2018-07-27,111.0,,
2018-07-30,110.0,,
2018-07-31,111.0,,
2018-08-01,110.5,,
2018-08-02,110.5,,
2018-08-03,110.0,,
2018-08-06,110.0,,
2018-08-07,111.5,,
2018-08-08,111.0,,
2018-08-09,111.0,,
2018-08-10,111.5,,
2018-08-13,111.5,,
2018-08-14,112.0,,
2018-08-15,111.0,,
2018-08-16,111.5,,
2018-08-17,112.0,,
2018-08-20,111.0,,
2018-08-21,112.0,,
2018-08-22,112.0,,
2018-08-23,112.0,,
2018-08-24,112.0,,
2018-08-27,112.5,,
2018-08-28,112.5,,
2018-08-29,112.0,,
2018-08-30,112.0,,
2018-08-31,111.5,,
2018-09-03,111.5,,
2018-09-04,111.0,,
2018-09-05,112.0,,
2018-09-06,111.0,,
2018-09-07,112.0,,
2018-09-10,111.0,,
2018-09-11,111.5,,
2018-09-12,111.5,,
2018-09-13,110.5,,
2018-09-14,110.0,,
2018-09-17,110.0,,
2018-09-18,109.0,,
2018-09-19,109.5,,
2018-09-20,109.0,,
2018-09-21,109.0,,
2018-09-24,108.0,,
2018-09-25,109.0,,
2018-09-26,108.0,,
2018-09-27,109.0,,
2018-09-28,109.5,,
2018-10-01,108.5,,
2018-10-02,109.0,,
2018-10-03,108.5,,
2018-10-04,108.5,,
2018-10-05,108.5,,
2018-10-08,109.0,,
2018-10-09,108.0,,
2018-10-10,107.0,,
2018-10-11,105.5,,
2018-10-12,104.0,,
2018-10-15,103.5,,
2018-10-16,107.0,,
2018-10-17,107.5,,
2018-10-18,105.5,,
2018-10-19,104.5,,
2018-10-22,105.5,,
2018-10-23,103.0,,
2018-10-24,104.0,,
2018-10-25,104.0,,
2018-10-26,105.5,,
2018-10-29,106.0,,
2018-10-30,106.0,,
2018-10-31,106.0,,
2018-11-01,106.5,,
2018-11-02,107.0,,
2018-11-05,106.0,,
2018-11-06,106.0,,
2018-11-07,108.0,,
2018-11-08,107.0,,
2018-11-09,107.0,,
2018-11-12,106.5,,
2018-11-13,107.5,,
2018-11-14,106.5,,
2018-11-15,106.5,,
2018-11-16,106.5,,
2018-11-19,107.0,,
2018-11-20,105.0,,
2018-11-21,105.0,,
2018-11-22,105.0,,
2018-11-23,106.5,,
2018-11-26,105.5,,
2018-11-27,106.5,,
2018-11-28,106.5,,
2018-11-29,106.0,,
2018-11-30,106.5,,
2018-12-03,106.5,,
2018-12-04,106.0,,
2018-12-05,107.0,,
2018-12-06,107.5,,
2018-12-07,109.0,,
2018-12-10,109.0,,
2018-12-11,109.0,,
2018-12-12,108.5,,
2018-12-13,107.5,,
2018-12-14,108.0,,
2018-12-17,108.5,,
2018-12-18,107.0,,
2018-12-19,107.0,,
2018-12-20,106.0,,
2018-12-21,109.0,,
2018-12-27,107.0,,
2018-12-28,107.5,,
2019-01-02,107.0,,
2019-01-03,106.5,,
2019-01-04,106.5,,
2019-01-07,106.5,,
2019-01-08,107.0,,
2019-01-09,108.0,,
2019-01-10,107.0,,
2019-01-11,108.0,,
2019-01-14,108.0,,
2019-01-15,108.0,,
2019-01-16,108.0,,
2019-01-17,109.0,,
2019-01-18,109.0,,
2019-01-21,109.0,,
2019-01-22,109.5,,
2019-01-23,109.0,,
2019-01-24,108.5,,
2019-01-25,109.0,,
2019-01-28,109.0,,
2019-01-29,108.5,,
2019-01-30,109.0,,
2019-01-31,109.0,,
2019-02-01,108.5,,
2019-02-04,108.5,,
2019-02-05,108.5,,
2019-02-06,108.0,,
2019-02-07,108.5,,
2019-02-08,108.0,,
2019-02-11,109.5,,
2019-02-12,109.5,,
2019-02-13,109.5,,
2019-02-14,109.0,,
2019-02-15,109.5,,
2019-02-18,109.5,,
2019-02-19,109.5,,
2019-02-20,109.5,,
2019-02-21,109.5,,
2019-02-22,109.5,,
2019-02-25,110.0,,
2019-02-26,110.0,,
2019-02-27,109.0,,
2019-02-28,108.5,,
2019-03-01,109.0,,
2019-03-04,109.5,,
2019-03-05,109.5,,
2019-03-06,109.5,,
2019-03-07,109.0,,
2019-03-08,108.5,,
2019-03-11,109.0,,
2019-03-12,109.0,,
2019-03-13,110.5,,
2019-03-14,107.5,,
2019-03-15,109.5,,
2019-03-18,110.0,,
2019-03-19,109.5,,
2019-03-20,108.5,,
2019-03-21,110.0,,
2019-03-22,109.5,,
2019-03-25,110.0,,
2019-03-26,110.5,,
2019-03-27,110.0,,
2019-03-28,110.0,,
2019-03-29,110.5,,
2019-04-01,110.0,,
2019-04-02,109.0,,
2019-04-03,109.0,,
2019-04-04,110.0,,
2019-04-05,109.5,,
2019-04-08,109.0,,
2019-04-09,110.0,,
2019-04-10,109.5,,
2019-04-11,108.0,,
2019-04-12,110.5,,
2019-04-15,109.5,,
2019-04-16,109.0,,
2019-04-17,110.0,,
2019-04-18,110.0,,
2019-04-23,110.0,,
2019-04-24,109.0,,
2019-04-25,110.0,,
2019-04-26,108.5,,
2019-04-29,108.5,,
2019-04-30,108.5,,
2019-05-02,108.0,,
2019-05-03,108.5,,
2019-05-06,109.0,,
2019-05-07,109.0,,
2019-05-08,109.0,,
2019-05-09,108.5,,
2019-05-10,109.0,,
2019-05-13,108.5,,
2019-05-14,109.5,,
2019-05-15,109.5,,
2019-05-16,109.5,,
2019-05-17,110.0,109.33,108.68
2019-05-20,110.0,109.34,108.6775
2019-05-21,109.0,109.34,108.67
2019-05-22,109.0,109.35,108.665
2019-05-23,109.0,109.35,108.66
2019-05-24,109.5,109.36,108.65
2019-05-27,110.0,109.35,108.645
2019-05-28,110.0,109.4,108.64
2019-05-29,110.0,109.41,108.6325
2019-05-31,110.0,109.41,108.625
