Date,High,Low,Close,Open,Volume
2020-01-02,24.36,21.7,22.5,22.16,4982378
2020-01-03,23.28,21.4,22.32,22.6,2852543
2020-01-06,22.28,20.4,20.84,22.28,3474214
2020-01-07,21.54,20.34,20.52,21.16,1076785
2020-01-08,20.2,19.5,19.6,20.1,1719965
2020-01-09,18.78,16.52,17.0,18.5,3750070
2020-01-10,18.15,16.83,17.6,17.0,1883530
2020-01-13,17.4,16.6,16.85,17.4,1036140
2020-01-14,16.75,15.43,15.52,16.03,3071397
2020-01-15,15.43,14.61,14.7,15.43,1208486
2020-01-16,15.7,14.4,15.44,14.72,1444283
2020-01-17,16.22,15.45,16.0,15.7,1922516
2020-01-20,17.0,15.67,15.98,16.5,3234305
2020-01-21,15.88,14.83,14.9,15.65,1985299
2020-01-22,14.58,13.55,13.64,14.58,1548506
2020-01-23,13.54,12.63,12.73,13.47,1253390
2020-01-24,13.4,12.3,12.86,13.0,1326756
2020-01-27,12.85,12.12,12.69,12.84,1007411
2020-01-28,13.14,12.25,12.75,12.48,908680
2020-01-29,13.45,12.54,12.83,13.0,732451
2020-01-30,12.9,12.28,12.56,12.9,613448
2020-01-31,12.94,12.32,12.44,12.79,755970
2020-02-03,12.68,11.9,12.4,12.45,450969
2020-02-04,13.0,12.18,12.75,12.18,402398
2020-02-05,13.46,12.51,13.32,13.0,918916
2020-02-06,14.27,13.55,13.87,13.96,1323239
2020-02-07,14.14,13.27,13.27,14.0,868431
2020-02-10,12.94,12.12,12.22,12.94,606952
2020-02-11,13.32,12.22,13.32,12.22,609719
2020-02-12,13.98,13.1,13.9,13.24,434980
2020-02-13,13.53,12.99,13.33,13.34,485235
2020-02-14,13.53,13.01,13.12,13.49,398994
2020-02-17,13.43,12.7,12.81,13.35,234679
2020-02-18,12.98,12.5,12.6,12.87,402384
2020-02-19,13.25,12.63,12.66,13.2,517522
2020-02-20,13.25,12.32,13.04,12.59,472240
2020-02-21,13.09,12.5,12.65,13.09,372170
2020-02-24,12.4,11.45,11.64,12.4,621960
2020-02-25,12.07,11.04,11.24,11.52,731401
2020-02-26,11.2,10.3,11.2,11.0,902125
2020-02-27,10.8,9.125,9.49,10.8,1150227
2020-02-28,9.885,8.5,9.49,8.9,1423927
2020-03-02,10.44,9.35,10.0,9.71,1148727
2020-03-03,10.22,9.305,9.37,10.0,791891
2020-03-04,9.52,8.86,9.165,9.19,779538
2020-03-05,9.375,8.85,9.045,9.31,527820
2020-03-06,8.8,7.89,8.0,8.8,1054687
2020-03-09,6.895,4.5,6.1,5.75,1645349
2020-03-10,7.0,6.05,6.22,6.5,1555433
2020-03-11,6.75,5.92,5.94,6.4,818932
2020-03-12,5.785,4.7,5.6,5.5,1259162
2020-03-13,6.4,5.75,6.0,5.75,921674
2020-03-16,6.415,5.08,6.15,5.9,942256
2020-03-17,6.5,5.415,6.34,6.0,678374
2020-03-18,6.295,5.51,5.985,5.51,643198
2020-03-19,6.48,5.7,5.9,5.95,1609727
2020-03-20,6.6,5.6,5.82,6.6,2709113
2020-03-23,5.78,5.4,5.52,5.7,748539
2020-03-24,5.98,5.65,5.71,5.85,521574
2020-03-25,5.9,5.385,5.575,5.9,567319
2020-03-26,5.69,5.22,5.455,5.69,267476
2020-03-27,5.445,5.08,5.15,5.445,1077877
2020-03-30,4.998,4.702,4.874,4.9,508084
2020-03-31,5.295,4.9,5.015,4.922,635829
2020-04-01,5.0,4.5,4.648,4.9,828729
2020-04-02,5.18,4.608,4.776,4.73,1114438
2020-04-03,5.19,4.786,4.928,5.0,1215161
2020-04-06,6.95,4.92,5.32,5.2,2297555
2020-04-07,6.365,5.45,5.6,5.49,2224308
2020-04-08,6.14,5.6,5.95,5.89,1112132
2020-04-09,5.95,5.95,5.95,5.95,0
2020-04-14,7.2,6.4,7.1,6.65,2677644
2020-04-15,6.85,6.0,6.215,6.85,1327316
2020-04-16,6.39,5.705,6.155,5.94,599286
2020-04-17,6.575,6.045,6.4,6.26,389895
2020-04-20,6.42,5.85,6.1,6.42,395807
2020-04-21,6.17,5.35,5.935,5.9,670506
2020-04-22,5.795,5.05,5.535,5.43,1444558
2020-04-23,6.0,5.63,5.95,6.0,899805
2020-04-24,6.97,5.985,6.47,6.445,1183675
2020-04-27,6.435,5.535,5.74,6.435,537598
2020-04-28,5.72,5.4,5.56,5.61,1282082
2020-04-29,5.8,5.36,5.66,5.57,736361
2020-04-30,5.855,5.2,5.55,5.81,1472520
2020-05-04,5.54,5.09,5.5,5.105,739764
2020-05-05,5.865,5.135,5.66,5.135,456826
2020-05-06,5.66,5.3,5.39,5.555,150787
2020-05-07,5.56,5.18,5.335,5.265,268765
2020-05-08,5.645,5.23,5.31,5.335,202009
2020-05-11,5.49,5.125,5.285,5.31,188049
2020-05-12,5.4,5.115,5.25,5.245,208766
2020-05-13,5.285,4.944,5.015,5.1,280123
2020-05-14,5.05,4.7,4.764,5.05,182669
2020-05-15,5.1,4.82,4.86,4.91,232864
2020-05-18,5.095,4.85,4.924,4.88,328017
2020-05-19,5.1,4.66,4.83,5.1,244076
2020-05-20,5.0,4.83,4.96,5.0,205304
2020-05-22,5.225,4.95,5.03,5.1,481434
2020-05-25,5.04,4.9,4.98,5.03,151419
2020-05-26,5.2,4.98,5.1,4.98,152923
2020-05-27,5.285,5.02,5.08,5.285,246549
2020-05-28,5.155,4.5,4.738,5.155,1731250
2020-05-29,4.64,4.33,4.41,4.63,335468
2020-06-02,4.248,3.75,3.75,3.776,1462144
2020-06-03,3.868,3.5,3.62,3.738,1048770
2020-06-04,3.422,2.95,2.95,3.414,3551100
2020-06-05,3.698,2.962,3.31,3.0,4504614
2020-06-08,8.2,3.748,7.4,3.8,11769143
2020-06-09,10.6,6.35,6.37,9.1,11182080
2020-06-10,6.17,5.19,5.265,5.5,3247831
