Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,85.0,73.4,85.0,73.4,319133
2018-06-07,85.0,79.0,80.6,83.8,103766
2018-06-08,89.8,79.2,82.4,81.6,123141
2018-06-11,94.0,88.0,93.0,88.0,142395
2018-06-12,94.4,87.8,88.2,93.2,87409
2018-06-13,92.8,88.2,89.6,90.0,115875
2018-06-14,91.6,89.2,91.6,91.0,31759
2018-06-15,93.2,90.4,92.0,92.2,33562
2018-06-18,92.0,88.6,89.8,91.8,16768
2018-06-19,91.8,85.4,88.0,91.8,27144
2018-06-20,88.0,85.4,86.2,87.8,12411
2018-06-21,86.2,81.0,81.4,86.2,53180
2018-06-25,84.0,81.6,82.8,83.0,62299
2018-06-26,82.8,77.0,79.0,82.8,102916
2018-06-27,82.0,76.4,82.0,79.2,27251
2018-06-28,83.0,79.0,80.6,83.0,22282
2018-06-29,82.8,80.0,80.0,80.6,8578
2018-07-02,81.4,77.2,78.6,81.0,15742
2018-07-03,79.4,76.6,79.4,78.8,28957
2018-07-04,79.8,77.6,79.0,79.4,10571
2018-07-05,81.0,77.6,81.0,78.8,16424
2018-07-06,89.6,80.0,87.0,80.8,71214
2018-07-09,90.0,83.2,90.0,87.0,43579
2018-07-10,95.0,89.2,93.0,90.0,47111
2018-07-11,94.0,90.0,91.2,94.0,27256
2018-07-12,91.2,86.0,90.0,91.2,70341
2018-07-13,90.0,85.4,87.8,89.8,47423
2018-07-16,88.0,85.0,85.2,88.0,18757
2018-07-17,87.6,85.0,85.4,85.2,24758
2018-07-18,87.8,82.2,84.8,87.8,16690
2018-07-19,84.8,82.0,83.2,84.8,13133
2018-07-20,85.6,82.6,84.2,83.4,9165
2018-07-23,87.8,82.8,87.4,84.2,23226
2018-07-24,92.0,86.0,88.0,87.0,20015
2018-07-25,90.0,86.0,88.0,88.0,28871
2018-07-26,100.0,85.4,100.0,88.0,188217
2018-07-27,101.0,94.2,98.2,100.0,61477
2018-07-30,96.8,94.4,96.8,96.8,28851
2018-07-31,99.0,94.6,98.0,96.2,29355
2018-08-01,97.8,95.0,96.4,97.8,15513
2018-08-02,96.8,93.8,95.0,96.8,28398
2018-08-03,97.6,94.6,95.4,95.8,24221
2018-08-06,96.4,94.6,95.4,95.6,24013
2018-08-07,97.8,95.8,95.8,96.0,30602
2018-08-08,109.0,95.2,102.0,95.6,110846
2018-08-09,107.5,99.4,101.0,102.0,107618
2018-08-10,108.0,97.6,100.5,101.0,76773
2018-08-13,101.5,98.0,100.5,100.5,29883
2018-08-14,103.5,98.0,100.0,100.5,58357
2018-08-15,101.0,97.2,98.0,98.2,23064
2018-08-16,98.8,96.0,97.0,98.8,14448
2018-08-17,98.8,95.4,96.2,97.0,18381
2018-08-20,97.0,91.6,93.6,97.0,69361
2018-08-21,94.2,91.6,92.0,93.4,15238
2018-08-22,92.0,88.0,88.8,91.4,35997
2018-08-23,96.0,86.6,95.0,88.6,56198
2018-08-24,97.8,92.2,95.0,97.8,20553
2018-08-27,97.4,91.0,95.0,97.4,33720
2018-08-28,94.0,91.2,91.8,94.0,28913
2018-08-29,92.0,89.6,90.6,91.2,32525
2018-08-30,92.0,84.2,89.8,89.0,195896
2018-08-31,93.4,89.4,92.8,90.0,31085
2018-09-03,97.0,93.8,95.0,94.6,29806
2018-09-04,97.0,92.2,94.2,95.4,92227
2018-09-05,95.0,93.2,94.6,94.8,14016
2018-09-06,99.0,94.2,95.8,94.2,95059
2018-09-07,97.8,95.2,95.6,97.0,21755
2018-09-10,97.6,95.8,97.0,96.0,6707
2018-09-11,103.5,95.2,99.8,97.6,50314
2018-09-12,101.0,98.8,100.5,99.8,16192
2018-09-13,101.0,98.2,98.4,100.5,46903
2018-09-14,104.0,98.6,102.0,98.6,121797
2018-09-17,101.5,97.8,98.4,101.0,27701
2018-09-18,98.2,95.4,97.2,98.2,23606
2018-09-19,97.4,93.8,94.4,96.0,21005
2018-09-20,96.0,91.0,95.0,91.0,761000
2018-09-21,96.4,94.4,95.6,95.2,4665
2018-09-24,96.8,95.2,95.2,96.0,13499
2018-09-25,96.0,92.4,93.2,96.0,23609
2018-09-26,93.6,91.4,93.6,92.2,21648
2018-09-27,97.0,93.4,96.4,93.4,40362
2018-09-28,96.2,94.0,94.2,96.2,22740
2018-10-01,95.0,94.0,94.0,94.4,6785
2018-10-02,94.0,92.2,93.8,94.0,13642
2018-10-03,95.6,92.6,92.6,94.2,10853
2018-10-04,95.4,92.2,92.4,92.6,32357
2018-10-05,93.8,91.0,91.6,93.6,18161
2018-10-08,91.2,90.4,91.2,90.4,24062
2018-10-09,91.2,86.0,88.0,91.2,63781
2018-10-10,90.0,83.2,86.0,86.4,110323
2018-10-11,84.6,77.6,83.6,82.8,125274
2018-10-12,87.0,83.0,85.0,84.0,21869
2018-10-15,85.6,81.0,85.0,85.0,18153
2018-10-16,89.8,82.0,89.8,83.0,24646
2018-10-17,92.0,89.2,90.4,89.2,20505
2018-10-18,90.0,87.4,89.4,89.0,25193
2018-10-19,90.2,84.8,89.6,90.0,55236
2018-10-22,89.8,83.8,84.2,89.6,31033
2018-10-23,83.4,79.4,81.2,83.4,63952
2018-10-24,84.0,78.4,80.2,81.2,45652
2018-10-25,84.8,80.0,82.4,80.0,19140
2018-10-26,82.4,79.2,81.6,82.2,20815
2018-10-29,85.4,81.4,84.0,81.6,13125
2018-10-30,84.8,80.0,81.6,84.8,19373
2018-10-31,84.0,80.2,83.2,81.8,31712
2018-11-01,84.4,80.4,82.0,84.4,23499
2018-11-02,87.8,77.0,85.4,85.8,75992
2018-11-05,85.8,84.0,85.0,85.4,3929
2018-11-06,85.8,83.0,83.8,84.6,19724
2018-11-07,86.0,82.0,84.0,82.0,14002
2018-11-08,84.6,82.6,83.8,84.2,16106
2018-11-09,84.8,83.2,84.2,84.0,15995
2018-11-12,84.2,82.0,83.2,83.8,10629
2018-11-13,84.2,79.6,80.6,82.4,13733
2018-11-14,86.2,82.4,82.8,86.2,35562
2018-11-15,83.6,78.6,80.0,83.0,28882
2018-11-16,80.0,76.8,79.2,79.8,26657
2018-11-19,79.6,78.0,78.4,78.2,116023
2018-11-20,78.4,73.8,75.6,76.0,46855
2018-11-21,77.0,73.2,77.0,74.0,52102
2018-11-22,76.8,70.6,73.4,72.4,86694
2018-11-23,75.0,71.6,75.0,73.2,22225
2018-11-26,78.8,74.0,75.0,75.0,23615
2018-11-27,77.0,74.8,76.0,75.6,16141
2018-11-28,81.0,76.4,80.6,76.4,55283
2018-11-29,84.2,80.8,82.4,81.0,19060
2018-11-30,83.8,79.4,81.0,82.2,22489
2018-12-03,82.2,79.0,81.0,81.2,20438
2018-12-04,83.6,80.0,81.2,80.0,25481
2018-12-05,83.2,79.8,81.0,80.2,73316
2018-12-06,81.0,75.0,76.4,80.0,17629
2018-12-07,79.0,76.0,77.8,79.0,18887
2018-12-10,78.0,75.6,78.0,75.6,2146
2018-12-11,80.0,77.0,79.0,77.0,19322
2018-12-12,81.2,78.2,80.4,79.8,22890
2018-12-13,80.8,78.0,78.0,80.0,43162
2018-12-14,78.8,76.4,78.0,78.0,25728
2018-12-17,79.4,76.6,78.0,78.8,17078
2018-12-18,78.4,75.0,78.0,78.4,31574
2018-12-19,81.8,75.8,79.0,77.0,24944
2018-12-20,80.0,75.2,77.4,76.8,54803
2018-12-21,79.4,75.6,77.4,77.0,43260
2018-12-27,77.8,71.4,75.8,77.4,22535
2018-12-28,78.0,75.4,77.8,75.6,12740
2019-01-02,82.0,75.4,80.4,75.4,4895
2019-01-03,84.0,79.0,79.0,81.0,16667
2019-01-04,82.8,79.8,82.0,79.8,34818
2019-01-07,84.8,80.2,83.2,80.2,6171
2019-01-08,84.4,83.0,83.4,84.4,6385
2019-01-09,84.0,82.2,83.0,83.0,6985
2019-01-10,84.0,82.0,82.2,82.4,15087
2019-01-11,91.0,84.0,84.0,84.6,35618
2019-01-14,86.0,83.2,84.0,84.4,10467
2019-01-15,84.6,82.0,83.0,83.0,32967
2019-01-16,90.4,80.4,84.2,82.8,13395
2019-01-17,93.0,84.2,89.0,84.2,34671
2019-01-18,93.2,90.0,90.0,90.0,18791
2019-01-21,91.0,88.0,88.0,90.0,42443
2019-01-22,93.0,86.4,86.4,87.2,36499
2019-01-23,89.4,84.2,85.0,89.4,23304
2019-01-24,85.4,84.0,85.0,85.0,66053
2019-01-25,85.0,84.2,85.0,85.0,28369
2019-01-28,85.6,83.0,85.0,84.8,29357
2019-01-29,86.6,83.6,86.0,83.8,32694
2019-01-30,86.0,84.0,85.0,85.0,25264
2019-01-31,86.8,84.0,86.0,84.6,22750
2019-02-01,91.2,86.0,89.0,86.8,59094
2019-02-04,91.0,88.0,88.8,89.2,21975
2019-02-05,90.2,88.0,90.0,88.6,17427
2019-02-06,93.0,91.0,92.6,91.0,26557
2019-02-07,92.6,91.0,91.0,92.4,13319
2019-02-08,92.2,89.0,89.2,90.2,14887
2019-02-11,92.4,89.0,91.4,91.8,13076
2019-02-12,103.5,90.8,91.2,91.4,38836
2019-02-13,92.8,90.6,92.0,92.8,5698
2019-02-14,92.2,91.4,91.6,92.2,7144
2019-02-15,93.0,90.8,92.0,91.6,2824
2019-02-18,93.0,89.8,92.0,92.6,10961
2019-02-19,92.0,89.6,90.0,92.0,16895
2019-02-20,91.8,90.0,91.4,90.4,6575
2019-02-21,92.0,91.2,91.8,91.4,16570
2019-02-22,92.8,90.6,92.8,91.8,9599
2019-02-25,93.0,91.0,92.6,93.0,18493
2019-02-26,92.6,88.0,88.0,92.6,37321
2019-02-27,89.4,85.2,85.6,88.2,29386
2019-02-28,87.6,84.4,86.2,87.6,16412
2019-03-01,87.8,84.0,87.8,86.2,44747
2019-03-04,91.0,87.0,88.0,88.0,102351
2019-03-05,91.4,87.6,90.4,88.0,111605
2019-03-06,91.0,88.0,89.2,90.4,52220
2019-03-07,91.0,88.6,90.6,89.8,39876
2019-03-08,103.0,94.2,97.6,94.2,233580
2019-03-11,99.8,95.0,96.0,98.2,112623
2019-03-12,102.5,96.0,99.6,96.6,226312
2019-03-13,110.0,99.0,110.0,99.8,68666
2019-03-14,110.5,106.0,106.5,110.0,39561
2019-03-15,107.5,102.5,104.5,106.5,39294
2019-03-18,106.0,101.5,105.0,104.5,65492
2019-03-19,108.0,105.0,107.5,106.0,76587
2019-03-20,109.5,106.0,107.5,107.5,56167
2019-03-21,107.5,104.0,107.5,107.5,14023
2019-03-22,108.0,104.5,106.0,105.0,41105
2019-03-25,107.0,103.0,105.0,106.0,24500
2019-03-26,109.0,104.5,106.0,105.0,25126
2019-03-27,107.0,102.5,106.0,107.0,21593
2019-03-28,107.5,104.0,107.0,106.5,133371
2019-03-29,109.0,105.5,106.5,106.5,38301
2019-04-01,108.0,103.4,106.6,105.4,41358
2019-04-02,107.6,104.2,107.0,107.0,18339
2019-04-03,115.0,105.4,107.8,107.0,100730
2019-04-04,109.8,108.0,108.0,108.0,26412
2019-04-05,110.0,107.2,108.0,108.0,19154
2019-04-08,107.8,104.8,106.6,107.8,39247
2019-04-09,106.8,100.0,102.8,106.6,83653
2019-04-10,102.0,95.0,98.1,100.2,132069
2019-04-11,98.5,94.0,98.2,98.1,49818
2019-04-12,98.5,96.2,98.4,98.2,21959
2019-04-15,98.6,94.6,97.9,98.4,25587
2019-04-16,98.2,95.1,97.5,95.1,33898
2019-04-17,98.2,97.0,97.0,97.0,13063
2019-04-18,97.4,95.0,95.2,96.5,9352
2019-04-23,95.2,91.5,92.9,95.2,54295
2019-04-24,92.8,90.4,91.5,92.8,19971
2019-04-25,93.8,90.5,93.5,90.7,54301
2019-04-26,94.5,92.0,93.6,93.5,7940
2019-04-29,94.6,91.1,92.0,93.6,23567
2019-04-30,92.3,90.0,91.8,92.0,7045
2019-05-02,91.4,88.0,90.0,91.4,60962
2019-05-03,90.0,87.9,89.2,87.9,23840
2019-05-06,89.2,87.3,88.7,89.2,28865
2019-05-07,90.0,87.8,87.8,88.7,23003
2019-05-08,93.4,88.7,91.8,91.0,146681
2019-05-09,92.2,87.3,89.9,92.2,43261
2019-05-10,90.4,88.5,89.7,90.4,19553
2019-05-13,90.0,88.8,89.0,89.7,8238
2019-05-14,91.0,89.2,90.9,89.2,9182
2019-05-15,91.6,88.5,90.6,90.9,19268
2019-05-16,95.0,88.9,94.0,90.6,30101
2019-05-17,97.5,94.0,96.9,94.1,228372
2019-05-20,100.8,97.6,98.3,98.0,32094
2019-05-21,101.6,99.0,100.8,99.6,17772
2019-05-22,105.8,99.2,104.0,101.0,24386
2019-05-23,104.2,101.0,103.6,104.2,12430
2019-05-24,109.0,104.4,107.8,104.4,29585
2019-05-27,108.0,106.2,107.8,107.8,6052
2019-05-28,110.2,106.2,109.0,107.8,47156
2019-05-29,109.6,101.6,109.0,109.0,21974
2019-05-31,109.0,106.6,109.0,109.0,20855
2019-06-03,123.8,114.8,117.0,117.0,161175
2019-06-04,124.4,117.0,123.2,118.4,194836
2019-06-05,124.4,115.0,119.0,124.4,40638
