Date,High,Low,Close,Open,Volume
2020-01-02,11.15,10.8,10.95,11.0,18302
2020-01-03,11.0,10.75,10.75,10.9,3640
2020-01-06,10.75,10.4,10.65,10.45,12510
2020-01-07,10.8,10.65,10.8,10.7,1185
2020-01-08,10.9,10.7,10.8,10.9,4165
2020-01-09,11.3,10.75,11.1,11.0,6300
2020-01-10,11.3,11.0,11.3,11.1,1656
2020-01-13,11.3,10.8,11.0,11.3,7575
2020-01-14,11.15,10.85,11.0,10.85,5706
2020-01-15,11.15,10.5,10.65,10.85,20230
2020-01-16,10.8,10.65,10.8,10.65,7957
2020-01-17,10.95,10.6,10.75,10.8,2528
2020-01-20,10.85,10.7,10.75,10.75,2850
2020-01-21,10.7,10.55,10.7,10.65,3500
2020-01-22,10.85,10.55,10.85,10.7,4940
2020-01-23,11.0,10.6,10.6,10.85,7552
2020-01-24,10.8,10.6,10.65,10.8,5550
2020-01-27,10.95,10.55,10.95,10.65,5404
2020-01-28,10.8,10.55,10.8,10.65,2942
2020-01-29,10.9,10.5,10.65,10.6,8898
2020-01-30,10.7,10.6,10.6,10.6,1000
2020-01-31,10.95,10.6,10.65,10.6,1885
2020-02-03,10.7,10.6,10.7,10.65,1206
2020-02-04,11.0,10.7,10.95,10.7,12818
2020-02-05,10.95,10.9,10.9,10.9,3185
2020-02-06,11.8,10.75,11.0,10.9,31764
2020-02-07,11.3,10.9,11.1,11.0,13455
2020-02-10,11.3,11.2,11.2,11.3,9215
2020-02-11,11.65,11.2,11.65,11.35,15414
2020-02-12,11.75,11.5,11.5,11.7,13807
2020-02-13,12.0,11.6,11.6,11.6,12060
2020-02-14,11.95,11.6,11.7,11.8,16491
2020-02-17,12.0,11.45,12.0,11.45,12692
2020-02-18,12.0,11.9,11.9,12.0,712
2020-02-19,12.0,11.7,11.85,11.7,10505
2020-02-20,12.0,11.8,11.9,12.0,7186
2020-02-21,12.9,11.9,12.9,12.0,35988
2020-02-24,13.3,12.55,12.75,12.7,67498
2020-02-25,12.9,12.6,12.7,12.7,16651
2020-02-26,13.05,12.6,12.6,12.8,40075
2020-02-27,12.45,11.4,11.7,12.1,50547
2020-02-28,11.05,10.65,11.05,11.0,22836
2020-03-02,12.1,11.35,11.7,11.35,30882
2020-03-03,12.5,11.6,12.0,11.7,22424
2020-03-04,12.3,12.0,12.0,12.3,14822
2020-03-05,12.05,11.65,11.65,11.8,15955
2020-03-06,11.95,11.45,11.5,11.75,15354
2020-03-09,11.5,10.5,10.8,11.5,23566
2020-03-10,11.1,10.5,10.5,10.8,14099
2020-03-11,10.55,10.0,10.0,10.5,15056
2020-03-12,9.14,7.98,8.6,8.42,47221
2020-03-13,9.34,8.5,9.22,8.72,30505
2020-03-16,9.0,8.18,8.44,9.0,10773
2020-03-17,10.55,8.44,8.82,8.44,18733
2020-03-18,8.52,8.5,8.52,8.5,1970
2020-03-19,9.0,8.42,8.8,8.42,10707
2020-03-20,8.94,8.62,8.7,8.92,10697
2020-03-23,9.0,8.56,9.0,8.7,15298
2020-03-24,10.45,8.6,9.46,9.0,20590
2020-03-25,10.6,8.84,9.18,9.6,33872
2020-03-26,10.45,8.96,10.45,9.3,8939
2020-03-27,10.45,9.7,10.45,9.8,18265
2020-03-30,10.3,9.92,9.92,10.25,10300
2020-03-31,10.4,9.92,10.05,9.92,11889
2020-04-01,10.45,9.22,9.22,9.86,10043
2020-04-02,10.85,9.6,9.86,9.6,19726
2020-04-03,10.05,9.5,9.86,10.05,7839
2020-04-06,10.75,9.72,10.25,9.72,10110
