Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-05-09,1.395,1.395,1.395,1.395,0
2018-06-05,1.765,1.5,1.51,1.765,38858
2018-06-07,1.59,1.385,1.54,1.5,38292
2018-06-08,1.7,1.45,1.69,1.6,81491
2018-06-11,1.69,1.475,1.54,1.69,7720
2018-06-12,1.52,1.52,1.52,1.52,1250
2018-06-13,1.59,1.45,1.52,1.45,24975
2018-06-14,1.515,1.49,1.49,1.515,6740
2018-06-15,1.65,1.45,1.645,1.495,114494
2018-06-18,1.59,1.45,1.59,1.465,54300
2018-06-19,1.505,1.31,1.31,1.335,19000
2018-06-20,1.545,1.305,1.41,1.45,171438
2018-06-21,1.54,1.39,1.51,1.39,51465
2018-06-25,1.5,1.5,1.5,1.5,1141
2018-06-26,1.56,1.5,1.56,1.5,4325
2018-06-27,1.57,1.495,1.57,1.55,17050
2018-06-28,1.55,1.45,1.52,1.49,14361
2018-06-29,1.7,1.455,1.535,1.48,81615
2018-07-02,1.525,1.5,1.5,1.5,26528
2018-07-03,1.5,1.435,1.5,1.45,5352
2018-07-04,1.6,1.495,1.5,1.495,83642
2018-07-05,1.655,1.52,1.525,1.62,6070
2018-07-06,1.685,1.465,1.505,1.685,15577
2018-07-09,1.65,1.49,1.63,1.52,40665
2018-07-10,1.6,1.48,1.59,1.6,31807
2018-07-11,1.57,1.57,1.57,1.57,720
2018-07-12,1.65,1.48,1.64,1.56,15075
2018-07-13,1.65,1.625,1.625,1.65,2309
2018-07-16,1.535,1.5,1.535,1.535,6300
2018-07-17,1.535,1.535,1.535,1.535,1000
2018-07-18,1.535,1.51,1.53,1.535,6790
2018-07-19,1.545,1.49,1.5,1.49,23808
2018-07-20,1.55,1.5,1.52,1.5,10600
2018-07-23,1.62,1.435,1.49,1.62,55930
2018-07-24,1.49,1.405,1.49,1.405,581
2018-07-25,1.49,1.44,1.49,1.44,11081
2018-07-26,1.52,1.43,1.495,1.49,29369
2018-07-27,1.495,1.49,1.49,1.495,5927
2018-07-30,1.5,1.4,1.47,1.44,42958
2018-07-31,1.45,1.39,1.41,1.45,17998
2018-08-01,1.4,1.32,1.385,1.4,22102
2018-08-02,1.385,1.365,1.37,1.385,16950
2018-08-03,1.45,1.44,1.44,1.44,8700
2018-08-06,1.43,1.38,1.4,1.4,20404
2018-08-07,1.41,1.34,1.4,1.41,38773
2018-08-08,1.89,1.4,1.71,1.4,1538802
2018-08-09,1.785,1.47,1.53,1.7,350297
2018-08-10,1.74,1.46,1.55,1.74,97479
