Date,High,Low,Close,Open,Volume
2020-01-02,0.55,0.525,0.537,0.55,3568551
2020-01-03,0.54,0.528,0.533,0.537,1962383
2020-01-07,0.518,0.49,0.5,0.495,6681136
2020-01-08,0.53,0.49,0.51,0.4995,4207120
2020-01-09,0.511,0.4975,0.504,0.511,1785553
2020-01-10,0.51,0.485,0.505,0.504,1689005
2020-01-13,0.507,0.49,0.497,0.507,1539119
2020-01-14,0.497,0.481,0.4895,0.495,825384
2020-01-15,0.52,0.48,0.506,0.4895,5274057
2020-01-16,0.529,0.502,0.506,0.502,12449917
2020-01-17,0.509,0.5,0.506,0.506,5102895
2020-01-20,0.505,0.49,0.497,0.501,1834031
2020-01-21,0.504,0.4905,0.5,0.4965,2332646
2020-01-22,0.5,0.486,0.499,0.5,1162816
2020-01-23,0.4995,0.484,0.495,0.49,1314352
2020-01-24,0.499,0.482,0.493,0.499,1693991
2020-01-27,0.495,0.4705,0.49,0.491,2111491
2020-01-28,0.49,0.4705,0.48,0.49,968744
2020-01-29,0.485,0.465,0.478,0.471,1321063
2020-01-30,0.479,0.46,0.478,0.4775,1886175
2020-01-31,0.49,0.47,0.485,0.478,1160399
2020-02-03,0.4995,0.47,0.493,0.485,2007973
2020-02-04,0.5,0.48,0.498,0.497,1457952
2020-02-05,0.497,0.472,0.49,0.497,1244414
2020-02-06,0.49,0.4815,0.482,0.49,529628
2020-02-07,0.49,0.471,0.4895,0.482,1436954
2020-02-10,0.491,0.4725,0.48,0.49,3358972
2020-02-11,0.485,0.47,0.4835,0.4725,1073124
2020-02-12,0.485,0.47,0.485,0.4835,1843230
2020-02-13,0.49,0.475,0.48,0.475,873968
2020-02-14,0.4945,0.47,0.486,0.48,1157310
2020-02-17,0.5,0.4695,0.49,0.5,3284977
2020-02-18,0.48,0.4695,0.474,0.474,2636448
2020-02-19,0.475,0.4665,0.475,0.47,882386
2020-02-20,0.476,0.425,0.45,0.475,6025895
2020-02-21,0.468,0.451,0.461,0.458,1926053
2020-02-24,0.461,0.4305,0.431,0.461,2984171
2020-02-25,0.46,0.432,0.45,0.432,1181677
2020-02-26,0.47,0.442,0.464,0.4645,1860650
2020-02-27,0.464,0.43,0.435,0.464,2767287
2020-02-28,0.43,0.395,0.407,0.4,7129065
2020-03-02,0.44,0.405,0.4395,0.405,3843368
2020-03-03,0.44,0.43,0.44,0.44,1350820
2020-03-04,0.465,0.414,0.435,0.44,4496899
2020-03-05,0.435,0.4,0.41,0.435,4080370
2020-03-06,0.41,0.387,0.396,0.405,3056812
2020-03-09,0.38,0.26,0.33,0.3295,17308304
2020-03-10,0.38,0.33,0.351,0.341,9133857
2020-03-11,0.36,0.32,0.3355,0.351,4511485
2020-03-12,0.321,0.27,0.3035,0.321,11279531
2020-03-13,0.329,0.2965,0.327,0.3035,8170250
2020-03-16,0.32,0.271,0.28,0.32,7887129
2020-03-17,0.31,0.2605,0.309,0.281,6973599
2020-03-18,0.31,0.28,0.294,0.3,3719832
2020-03-19,0.297,0.26,0.275,0.297,5451953
2020-03-20,0.29,0.265,0.28,0.28,6649860
2020-03-23,0.2785,0.262,0.269,0.275,2013512
2020-03-24,0.288,0.271,0.2815,0.271,3452294
2020-03-25,0.29,0.2815,0.289,0.29,5105030
2020-03-26,0.287,0.275,0.28,0.285,3995256
2020-03-27,0.3,0.24,0.27,0.2865,16225646
2020-03-30,0.269,0.25,0.2605,0.269,3993109
2020-03-31,0.278,0.265,0.275,0.276,2584243
2020-04-01,0.28,0.2505,0.279,0.273,6130053
2020-04-02,0.3075,0.265,0.2985,0.289,16977667
2020-04-03,0.3245,0.285,0.308,0.3,13949052
2020-04-06,0.308,0.29,0.291,0.308,8830481
2020-04-07,0.308,0.2855,0.2915,0.292,5445922
2020-04-08,0.291,0.2815,0.288,0.291,2963509
2020-04-09,0.303,0.288,0.29,0.288,5031018
2020-04-14,0.303,0.28,0.2815,0.3,5425663
2020-04-15,0.2815,0.267,0.27,0.2815,5417293
2020-04-16,0.276,0.2695,0.2725,0.27,2056746
2020-04-17,0.2905,0.27,0.278,0.275,5879022
2020-04-20,0.276,0.2565,0.262,0.276,14560963
2020-04-21,0.26,0.23,0.242,0.26,11615442
2020-04-22,0.2485,0.2215,0.245,0.2415,8768993
2020-04-23,0.261,0.246,0.261,0.259,4483682
2020-04-24,0.265,0.252,0.255,0.265,4291926
2020-04-27,0.275,0.256,0.26,0.266,2112153
2020-04-28,0.26,0.22,0.231,0.26,21628056
2020-04-29,0.245,0.225,0.236,0.245,8170973
2020-04-30,0.245,0.2355,0.2385,0.245,4967391
2020-05-04,0.24,0.225,0.2295,0.24,6188677
2020-05-05,0.24,0.2295,0.237,0.232,4755898
2020-05-06,0.249,0.231,0.2345,0.237,4350060
2020-05-07,0.242,0.225,0.2335,0.2345,5860795
2020-05-08,0.239,0.23,0.235,0.2305,1850723
2020-05-11,0.187,0.1504,0.1556,0.16,56086225
2020-05-12,0.165,0.129,0.162,0.16,18109041
2020-05-13,0.165,0.1534,0.1598,0.1632,7371811
2020-05-14,0.163,0.1534,0.16,0.154,7582605
2020-05-15,0.176,0.16,0.1662,0.1648,8403719
2020-05-18,0.2,0.178,0.1898,0.18,6660570
2020-05-19,0.22,0.195,0.2155,0.195,9777712
2020-05-20,0.229,0.2105,0.216,0.22,3368585
2020-05-22,0.282,0.217,0.23,0.217,20778761
2020-05-25,0.2535,0.232,0.24,0.24,6261081
2020-05-26,0.2525,0.24,0.248,0.24,5688280
2020-05-27,0.26,0.22,0.231,0.26,11204250
2020-05-28,0.231,0.2,0.2185,0.231,11699222
2020-05-29,0.22,0.1976,0.204,0.22,12465405
2020-06-01,0.22,0.2055,0.22,0.21,4263352
2020-06-02,0.222,0.21,0.2105,0.22,3887180
2020-06-03,0.23,0.2105,0.2275,0.2105,4318926
