Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,2.12,2.0,2.1,2.0,27650
2018-06-07,2.1,2.1,2.1,2.1,0
2018-06-08,2.1,2.0,2.1,2.01,8232
2018-06-11,2.1,2.0,2.1,2.0,1325
2018-06-12,2.1,2.05,2.05,2.1,5000
2018-06-13,2.1,2.1,2.1,2.1,10000
2018-06-14,2.1,2.05,2.05,2.1,16000
2018-06-15,2.25,2.21,2.21,2.25,1550
2018-06-18,2.15,2.1,2.15,2.1,5960
2018-06-19,2.15,2.05,2.05,2.15,4728
2018-06-20,2.13,1.8,2.13,2.05,14650
2018-06-21,2.01,1.87,1.87,2.01,40314
2018-06-25,2.07,1.85,2.06,1.96,44108
2018-06-26,2.15,2.0,2.15,2.07,20448
2018-06-27,2.15,2.15,2.15,2.15,0
2018-06-28,2.24,2.05,2.05,2.24,2107
2018-06-29,2.24,2.05,2.24,2.05,3272
2018-07-02,2.39,2.05,2.39,2.24,8151
2018-07-03,2.4,2.4,2.4,2.4,200
2018-07-04,2.11,2.11,2.11,2.11,1450
2018-07-05,2.18,2.11,2.18,2.11,500
2018-07-06,2.11,2.11,2.11,2.11,1
2018-07-09,2.11,2.11,2.11,2.11,0
2018-07-10,2.2,2.15,2.2,2.19,7999
2018-07-11,2.2,2.2,2.2,2.2,0
2018-07-12,2.03,2.03,2.03,2.03,1000
2018-07-13,2.19,2.0,2.19,2.0,1100
2018-07-16,2.1,2.0,2.0,2.1,5000
2018-07-17,2.04,1.965,2.04,2.01,26350
2018-07-18,1.995,1.995,1.995,1.995,102
2018-07-19,1.995,1.995,1.995,1.995,0
2018-07-20,1.995,1.995,1.995,1.995,0
2018-07-23,1.995,1.995,1.995,1.995,0
2018-07-24,1.995,1.995,1.995,1.995,0
2018-07-25,1.94,1.92,1.92,1.94,14000
2018-07-26,1.92,1.92,1.92,1.92,0
2018-07-27,1.98,1.92,1.92,1.94,18993
2018-07-30,2.05,1.92,2.0,1.96,3050
2018-07-31,2.0,2.0,2.0,2.0,0
2018-08-01,2.0,2.0,2.0,2.0,5000
2018-08-02,1.96,1.96,1.96,1.96,1000
2018-08-03,2.0,2.0,2.0,2.0,4000
2018-08-06,1.95,1.95,1.95,1.95,400
2018-08-07,2.1,2.0,2.03,2.0,6210
2018-08-08,2.4,1.95,2.0,2.1,41969
2018-08-09,2.06,1.97,1.97,2.06,2846
2018-08-10,2.18,2.05,2.05,2.18,10445
2018-08-13,2.1,2.0,2.1,2.0,6100
2018-08-14,2.15,2.1,2.15,2.1,4974
2018-08-15,2.15,2.01,2.01,2.15,1170
2018-08-16,2.2,2.2,2.2,2.2,1000
2018-08-17,2.15,2.15,2.15,2.15,1000
2018-08-20,2.2,2.15,2.15,2.15,11500
2018-08-21,2.3,2.1,2.3,2.1,25264
2018-08-22,2.35,2.25,2.25,2.3,6236
2018-08-23,2.29,2.2,2.29,2.2,9423
2018-08-24,2.37,2.3,2.37,2.37,20450
2018-08-27,2.37,2.37,2.37,2.37,0
2018-08-28,2.5,2.4,2.4,2.5,3000
2018-08-29,2.7,2.45,2.69,2.45,1735
2018-08-30,2.69,2.5,2.55,2.69,3577
2018-08-31,2.66,2.66,2.66,2.66,1803
2018-09-03,2.5,2.4,2.4,2.5,16652
2018-09-04,2.4,2.3,2.3,2.4,6333
2018-09-05,2.69,2.4,2.4,2.65,17050
2018-09-06,2.4,2.4,2.4,2.4,0
2018-09-07,2.45,2.45,2.45,2.45,9000
2018-09-10,2.4,2.26,2.26,2.4,4950
2018-09-11,2.26,2.26,2.26,2.26,0
2018-09-12,2.3,2.25,2.3,2.25,39135
2018-09-13,2.3,2.3,2.3,2.3,0
2018-09-14,2.25,2.25,2.25,2.25,1000
2018-09-17,2.15,2.0,2.05,2.0,13000
2018-09-18,2.2,2.05,2.05,2.2,9809
2018-09-19,2.15,2.1,2.15,2.1,7391
2018-09-20,2.15,2.15,2.15,2.15,0
2018-09-21,2.54,2.54,2.54,2.54,130
2018-09-24,2.54,2.54,2.54,2.54,0
2018-09-25,2.4,2.25,2.25,2.4,25870
2018-09-26,2.21,2.21,2.21,2.21,26857
2018-09-27,2.39,2.39,2.39,2.39,700
2018-09-28,2.42,2.25,2.4,2.39,13310
2018-10-01,2.27,2.05,2.27,2.21,11210
2018-10-02,2.28,2.06,2.2,2.28,27477
2018-10-03,2.01,2.01,2.01,2.01,350
2018-10-04,2.3,2.1,2.1,2.24,12774
2018-10-05,2.1,2.1,2.1,2.1,0
2018-10-08,2.1,2.1,2.1,2.1,2200
2018-10-09,2.1,2.1,2.1,2.1,0
2018-10-10,2.4,2.2,2.2,2.3,3526
2018-10-11,2.21,2.0,2.0,2.21,7301
2018-10-12,2.01,2.0,2.0,2.01,5727
2018-10-15,2.0,2.0,2.0,2.0,0
2018-10-16,2.2,2.0,2.0,2.2,2681
2018-10-17,2.0,2.0,2.0,2.0,0
2018-10-18,2.1,2.1,2.1,2.1,1510
2018-10-19,2.1,2.1,2.1,2.1,0
2018-10-22,2.1,2.1,2.1,2.1,2715
2018-10-23,2.0,2.0,2.0,2.0,386
2018-10-24,2.39,2.39,2.39,2.39,1100
2018-10-25,2.1,2.1,2.1,2.1,2640
2018-10-26,2.2,2.2,2.2,2.2,1000
2018-10-29,3.65,2.48,2.95,2.48,251306
2018-10-30,3.0,2.61,2.98,2.9,73307
2018-10-31,3.05,2.8,2.99,3.03,20735
2018-11-01,2.95,2.7,2.7,2.95,13160
2018-11-02,2.9,2.9,2.9,2.9,7120
2018-11-05,2.9,2.9,2.9,2.9,3500
2018-11-06,3.1,2.95,3.04,2.95,2550
2018-11-07,3.1,3.0,3.1,3.0,3305
2018-11-08,3.4,3.05,3.4,3.05,9000
2018-11-09,3.3,3.3,3.3,3.3,300
2018-11-12,3.2,2.9,2.9,3.2,12622
2018-11-13,2.78,2.1,2.2,2.78,72118
2018-11-14,2.1,1.95,1.975,2.1,15950
2018-11-15,2.03,1.9,1.9,2.03,5850
2018-11-16,2.2,1.95,2.2,1.95,23043
2018-11-19,2.2,2.2,2.2,2.2,1179
2018-11-20,2.2,2.15,2.15,2.2,1900
2018-11-21,2.15,2.15,2.15,2.15,0
2018-11-22,2.1,2.1,2.1,2.1,2100
2018-11-23,2.1,2.05,2.1,2.05,1101
2018-11-26,2.1,2.1,2.1,2.1,0
2018-11-27,2.1,1.955,1.955,2.1,1652
2018-11-28,2.0,2.0,2.0,2.0,1500
2018-11-29,2.27,1.8,2.27,2.0,9024
2018-11-30,2.29,2.29,2.29,2.29,500
2018-12-03,2.2,1.7,1.7,2.2,8150
2018-12-04,2.0,2.0,2.0,2.0,1000
2018-12-05,2.0,1.82,2.0,1.82,2000
2018-12-06,2.0,2.0,2.0,2.0,0
2018-12-07,2.0,2.0,2.0,2.0,0
2018-12-10,2.0,2.0,2.0,2.0,1000
2018-12-11,1.98,1.655,1.98,1.755,10185
2018-12-12,1.98,1.98,1.98,1.98,4000
2018-12-13,1.98,1.98,1.98,1.98,0
2018-12-14,2.1,1.965,2.1,1.965,15000
2018-12-17,2.1,2.1,2.1,2.1,0
2018-12-18,2.1,2.1,2.1,2.1,0
2018-12-19,2.0,1.805,2.0,1.805,2300
2018-12-20,1.9,1.8,1.8,1.9,2000
2018-12-21,2.0,1.8,2.0,1.8,3066
2018-12-27,2.0,1.51,2.0,1.51,7100
2018-12-28,1.91,1.625,1.91,1.91,4730
2019-01-02,2.1,1.68,2.1,1.68,300
2019-01-03,2.05,2.05,2.05,2.05,800
2019-01-04,2.0,2.0,2.0,2.0,1000
2019-01-07,1.815,1.815,1.815,1.815,3570
2019-01-08,1.85,1.75,1.75,1.85,2630
2019-01-09,1.99,1.945,1.945,1.99,1200
2019-01-10,1.945,1.945,1.945,1.945,0
2019-01-11,1.94,1.8,1.8,1.94,8000
2019-01-14,1.66,1.65,1.65,1.66,2500
2019-01-15,1.615,1.615,1.615,1.615,4503
2019-01-16,1.945,1.655,1.655,1.945,10660
2019-01-17,1.75,1.75,1.75,1.75,1646
2019-01-18,2.24,1.675,1.675,1.75,26699
2019-01-21,1.675,1.675,1.675,1.675,0
2019-01-22,1.99,1.99,1.99,1.99,13
2019-01-23,1.94,1.755,1.755,1.94,28200
2019-01-24,1.755,1.755,1.755,1.755,0
2019-01-25,1.8,1.66,1.66,1.8,4050
2019-01-28,1.66,1.66,1.66,1.66,0
2019-01-29,1.78,1.58,1.58,1.59,4500
2019-01-30,1.815,1.405,1.635,1.58,10932
2019-01-31,1.75,1.43,1.735,1.43,4100
2019-02-01,1.735,1.735,1.735,1.735,0
2019-02-04,1.655,1.655,1.655,1.655,4000
2019-02-05,1.79,1.45,1.79,1.45,3500
2019-02-06,1.79,1.79,1.79,1.79,0
2019-02-07,1.77,1.77,1.77,1.77,400
2019-02-08,2.2,1.765,2.2,1.765,3280
2019-02-11,2.35,1.8,2.1,2.2,59436
2019-02-12,2.5,1.835,2.25,2.5,700
2019-02-13,2.24,2.24,2.24,2.24,350
2019-02-14,2.24,2.24,2.24,2.24,0
2019-02-15,2.2,1.895,1.895,2.2,1050
2019-02-18,2.19,1.91,2.15,2.19,10400
2019-02-19,2.15,2.15,2.15,2.15,0
2019-02-20,1.95,1.65,1.95,1.65,200
2019-02-21,1.995,1.95,1.95,1.95,1060
2019-02-22,1.99,1.71,1.71,1.99,290
2019-02-25,1.715,1.71,1.71,1.715,5200
2019-02-26,2.89,1.63,1.98,1.78,60435
2019-02-27,2.1,1.97,1.97,2.1,11165
2019-02-28,2.0,1.95,2.0,1.97,4500
2019-03-01,2.1,1.805,1.995,2.1,5629
2019-03-04,1.99,1.75,1.75,1.99,24243
2019-03-05,1.75,1.71,1.75,1.71,11358
2019-03-06,1.99,1.99,1.99,1.99,500
2019-03-07,1.99,1.99,1.99,1.99,0
2019-03-08,2.0,1.98,1.98,1.99,2710
2019-03-11,1.98,1.98,1.98,1.98,0
2019-03-12,2.07,1.765,2.0,1.765,12020
2019-03-13,2.0,2.0,2.0,2.0,0
2019-03-14,1.995,1.865,1.865,1.995,509
2019-03-15,1.995,1.995,1.995,1.995,300
2019-03-18,1.99,1.72,1.815,1.72,1870
2019-03-19,1.9,1.8,1.9,1.8,1840
2019-03-20,1.9,1.9,1.9,1.9,0
2019-03-21,2.06,1.95,2.06,1.95,1260
2019-03-22,1.935,1.855,1.935,1.855,4797
2019-03-25,1.85,1.75,1.85,1.75,40
2019-03-26,1.94,1.85,1.9,1.85,17155
2019-03-27,1.9,1.9,1.9,1.9,0
2019-03-28,1.9,1.9,1.9,1.9,0
2019-03-29,2.05,2.05,2.05,2.05,1300
2019-04-01,2.05,2.0,2.05,2.05,5805
2019-04-02,1.86,1.86,1.86,1.86,450
2019-04-03,1.86,1.86,1.86,1.86,0
2019-04-04,1.86,1.86,1.86,1.86,0
2019-04-05,2.0,2.0,2.0,2.0,3
2019-04-08,2.0,2.0,2.0,2.0,4
2019-04-09,2.0,2.0,2.0,2.0,0
2019-04-10,2.0,1.835,1.875,1.835,9204
2019-04-11,1.9,1.9,1.9,1.9,1000
2019-04-12,1.97,1.705,1.85,1.705,8038
2019-04-15,1.8,1.8,1.8,1.8,1000
2019-04-16,1.8,1.8,1.8,1.8,0
2019-04-17,2.0,1.72,1.72,2.0,5809
2019-04-18,2.1,1.75,1.85,1.995,13588
2019-04-23,1.85,1.85,1.85,1.85,0
2019-04-24,2.0,2.0,2.0,2.0,300
2019-04-25,2.0,1.945,2.0,1.945,1200
2019-04-26,2.15,1.9,2.15,2.0,1392
2019-04-29,2.04,1.855,2.03,1.855,8729
2019-04-30,2.15,2.05,2.15,2.14,13775
