Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,5.45,5.25,5.37,5.35,16166
2018-06-06,5.36,5.27,5.35,5.36,5831
2018-06-07,5.42,5.28,5.29,5.3,10365
2018-06-08,5.39,5.3,5.31,5.31,7187
2018-06-11,5.4,5.32,5.37,5.33,1527
2018-06-12,5.37,5.33,5.36,5.35,7677
2018-06-13,5.5,5.3,5.37,5.32,15327
2018-06-14,5.48,5.3,5.45,5.3,10280
2018-06-15,5.5,5.45,5.45,5.5,14660
2018-06-18,5.5,5.31,5.5,5.45,9915
2018-06-19,5.46,5.43,5.45,5.44,44640
2018-06-20,5.49,5.45,5.47,5.45,62971
2018-06-21,5.46,5.46,5.46,5.46,259
2018-06-25,5.46,5.46,5.46,5.46,2230
2018-06-26,5.49,5.45,5.45,5.49,1600
2018-06-27,5.48,5.4,5.48,5.4,665
2018-06-28,5.46,5.45,5.45,5.45,515
2018-06-29,5.46,5.45,5.45,5.45,1051
2018-07-02,5.46,5.43,5.44,5.45,3330
2018-07-03,5.45,5.4,5.45,5.43,2310
2018-07-04,5.45,5.43,5.45,5.45,1988
2018-07-05,5.4,5.38,5.4,5.38,1271
2018-07-06,5.45,5.41,5.41,5.41,4951
2018-07-09,5.45,5.41,5.41,5.45,1270
2018-07-10,5.45,5.41,5.45,5.41,2863
2018-07-11,5.46,5.4,5.41,5.45,225
2018-07-12,5.45,5.41,5.42,5.45,155
2018-07-13,5.45,5.42,5.42,5.45,246
2018-07-16,5.45,5.39,5.45,5.4,2451
2018-07-17,5.43,5.4,5.43,5.4,700
2018-07-18,5.49,5.43,5.43,5.45,63061
2018-07-19,5.48,5.44,5.47,5.44,262
2018-07-20,5.44,5.4,5.4,5.44,1920
2018-07-23,5.45,5.39,5.45,5.4,1760
2018-07-24,5.42,5.4,5.42,5.4,1327
2018-07-25,5.44,5.35,5.36,5.44,1736
2018-07-26,5.4,5.38,5.38,5.39,4350
2018-07-27,5.43,5.35,5.35,5.43,1282
2018-07-30,5.5,5.35,5.35,5.49,557
2018-07-31,5.35,5.33,5.35,5.35,2848
2018-08-01,5.4,5.4,5.4,5.4,150
2018-08-02,5.39,5.35,5.38,5.35,666
2018-08-03,5.38,5.37,5.37,5.38,63
2018-08-06,5.36,5.27,5.31,5.3,2248
2018-08-07,5.4,5.24,5.32,5.31,1409
2018-08-08,5.28,5.21,5.28,5.27,1916
2018-08-09,5.28,5.2,5.24,5.28,1155
2018-08-10,5.39,5.2,5.39,5.24,1042
2018-08-13,5.39,5.11,5.29,5.39,1391
2018-08-14,5.3,5.28,5.3,5.28,2318
2018-08-15,5.44,5.18,5.29,5.3,9611
2018-08-16,5.3,5.11,5.28,5.29,43355
