Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,3.29,3.1,3.18,3.16,29074
2018-06-06,3.26,3.1,3.26,3.2,36566
2018-06-07,3.42,3.2,3.2,3.41,78095
2018-06-08,3.43,3.2,3.21,3.2,24500
2018-06-11,3.39,3.23,3.23,3.39,17400
2018-06-12,3.25,3.17,3.18,3.17,41155
2018-06-13,3.3,3.18,3.3,3.27,20550
2018-06-14,3.38,3.16,3.36,3.25,19626
2018-06-15,3.22,2.97,3.1,3.18,28020
2018-06-18,3.28,3.0,3.15,3.1,21031
2018-06-19,3.09,2.91,3.0,3.0,57581
2018-06-20,3.05,2.95,3.02,3.05,20640
2018-06-21,3.25,2.9,2.9,2.97,52050
2018-06-22,3.23,3.17,3.18,3.23,10100
2018-06-25,3.17,2.97,3.01,3.01,12408
2018-06-26,3.01,2.93,2.94,3.01,7046
2018-06-27,3.04,3.01,3.03,3.04,12850
2018-06-28,3.14,3.05,3.14,3.05,56155
2018-06-29,3.1,2.9,2.9,3.1,74191
2018-07-02,3.14,2.98,3.0,3.12,34210
2018-07-03,3.03,2.9,2.95,3.02,244662
2018-07-04,2.99,2.9,2.9,2.95,55650
2018-07-05,3.0,2.8,2.8,2.91,98768
2018-07-06,2.93,2.83,2.83,2.93,90863
2018-07-09,2.98,2.75,2.75,2.8,42712
2018-07-10,2.86,2.81,2.84,2.81,5270
2018-07-11,2.83,2.82,2.83,2.82,12010
2018-07-12,2.75,2.65,2.65,2.75,54127
2018-07-13,2.75,2.46,2.55,2.75,133707
2018-07-16,2.53,2.2,2.53,2.46,128872
2018-07-17,2.42,2.3,2.3,2.36,283715
2018-07-18,2.4,2.2,2.25,2.35,543296
2018-07-19,2.37,2.21,2.28,2.33,92908
2018-07-20,2.39,2.3,2.35,2.3,123742
2018-07-23,2.5,2.38,2.47,2.38,86145
2018-07-24,2.79,2.44,2.57,2.47,221176
2018-07-25,2.8,2.67,2.79,2.71,114612
2018-07-26,2.7,2.6,2.69,2.7,38470
