Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,72.0,71.5,71.5,72.0,839
2018-06-07,73.0,71.0,71.0,72.0,1100
2018-06-08,72.5,70.0,70.0,72.5,60
2018-06-11,72.0,70.0,72.0,70.0,1138
2018-06-12,72.0,71.0,72.0,71.0,2249
2018-06-13,72.0,72.0,72.0,72.0,35
2018-06-14,72.0,71.0,71.0,72.0,237
2018-06-15,71.0,70.0,71.0,71.0,338
2018-06-18,71.0,68.5,68.5,71.0,1518
2018-06-19,70.5,68.5,70.5,69.0,1399
2018-06-20,70.0,68.5,70.0,68.5,72
2018-06-21,69.5,68.5,68.5,69.5,2748
2018-06-25,68.0,67.5,68.0,68.0,373
2018-06-26,67.5,66.0,66.0,67.5,315
2018-06-27,67.5,65.0,65.5,67.5,285
2018-06-28,67.5,66.0,67.5,66.0,135
2018-06-29,67.0,67.0,67.0,67.0,167
2018-07-02,67.0,66.0,66.5,67.0,1109
2018-07-03,66.5,66.5,66.5,66.5,0
2018-07-04,66.5,64.0,65.0,66.5,3179
2018-07-05,65.5,63.0,65.5,63.0,2622
2018-07-06,66.5,65.0,66.0,65.0,1116
2018-07-09,65.5,65.0,65.5,65.5,2317
2018-07-10,66.0,65.0,66.0,66.0,1394
2018-07-11,66.0,66.0,66.0,66.0,0
2018-07-12,66.5,66.5,66.5,66.5,313
2018-07-13,67.5,67.5,67.5,67.5,5
2018-07-16,66.5,65.0,66.5,66.5,987
2018-07-17,66.5,66.0,66.5,66.0,40
2018-07-18,66.5,65.0,66.0,66.0,525
2018-07-19,66.0,65.0,65.0,66.0,1614
2018-07-20,66.5,65.0,66.5,65.0,129
2018-07-23,66.5,66.5,66.5,66.5,281
2018-07-24,67.0,65.5,67.0,65.5,317
2018-07-25,66.5,65.0,66.5,66.5,522
2018-07-26,66.5,66.5,66.5,66.5,100
2018-07-27,66.5,65.0,66.5,66.5,1400
2018-07-30,67.5,66.0,67.5,66.0,1183
2018-07-31,69.0,67.0,67.0,69.0,434
2018-08-01,68.0,67.0,68.0,67.0,1135
2018-08-02,68.0,67.0,67.0,68.0,598
2018-08-03,68.0,65.5,67.0,67.0,1476
2018-08-06,68.0,67.5,67.5,68.0,120
2018-08-07,68.0,68.0,68.0,68.0,305
2018-08-08,68.5,67.0,68.5,68.0,425
2018-08-09,68.0,66.5,67.5,68.0,479
2018-08-10,68.0,66.0,66.0,68.0,590
2018-08-13,68.0,67.0,67.5,68.0,167
2018-08-14,67.0,65.5,67.0,67.0,250
2018-08-15,67.0,64.0,64.0,67.0,3383
2018-08-16,66.0,65.0,65.0,65.5,1084
2018-08-17,65.5,65.5,65.5,65.5,18
2018-08-20,67.0,65.5,65.5,66.0,1295
2018-08-21,66.5,65.5,65.5,66.5,340
2018-08-22,64.5,61.0,64.5,64.0,3732
2018-08-23,66.0,64.5,66.0,65.0,609
2018-08-24,66.5,64.5,64.5,66.5,697
2018-08-27,67.5,65.5,67.5,65.5,1252
