Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,0.62,0.62,0.62,0.62,91712
2018-06-07,0.61,0.6,0.6,0.61,43334
2018-06-08,0.6,0.6,0.6,0.6,0
2018-06-11,0.6,0.6,0.6,0.6,0
2018-06-12,0.6,0.6,0.6,0.6,0
2018-06-13,0.6,0.6,0.6,0.6,0
2018-06-14,0.6,0.6,0.6,0.6,35000
2018-06-15,0.58,0.58,0.58,0.58,100
2018-06-18,0.58,0.58,0.58,0.58,0
2018-06-19,0.59,0.59,0.59,0.59,25000
2018-06-20,0.59,0.59,0.59,0.59,0
2018-06-21,0.59,0.59,0.59,0.59,0
2018-06-25,0.59,0.59,0.59,0.59,0
2018-06-26,0.59,0.59,0.59,0.59,0
2018-06-27,0.59,0.59,0.59,0.59,0
2018-06-28,0.59,0.59,0.59,0.59,0
2018-06-29,0.59,0.59,0.59,0.59,0
2018-07-02,0.59,0.59,0.59,0.59,0
2018-07-03,0.59,0.59,0.59,0.59,0
2018-07-04,0.59,0.59,0.59,0.59,0
2018-07-05,0.59,0.59,0.59,0.59,0
2018-07-06,0.57,0.57,0.57,0.57,5595
2018-07-09,0.57,0.57,0.57,0.57,0
2018-07-10,0.57,0.57,0.57,0.57,0
2018-07-11,0.56,0.55,0.56,0.55,14929
2018-07-12,0.56,0.56,0.56,0.56,0
2018-07-13,0.54,0.54,0.54,0.54,1800
2018-07-16,0.565,0.55,0.565,0.55,17942
2018-07-17,0.565,0.565,0.565,0.565,0
2018-07-18,0.565,0.565,0.565,0.565,0
2018-07-19,0.565,0.565,0.565,0.565,0
2018-07-20,0.565,0.565,0.565,0.565,0
2018-07-23,0.565,0.565,0.565,0.565,6500
2018-07-24,0.565,0.565,0.565,0.565,0
2018-07-25,0.54,0.54,0.54,0.54,5300
2018-07-26,0.59,0.56,0.59,0.565,44148
2018-07-27,0.59,0.59,0.59,0.59,0
2018-07-30,0.6,0.6,0.6,0.6,13000
2018-07-31,0.6,0.59,0.6,0.59,30000
2018-08-01,0.6,0.6,0.6,0.6,0
2018-08-02,0.6,0.6,0.6,0.6,0
2018-08-03,0.61,0.61,0.61,0.61,2000
2018-08-06,0.61,0.61,0.61,0.61,0
2018-08-07,0.595,0.595,0.595,0.595,2000
2018-08-08,0.595,0.595,0.595,0.595,0
2018-08-09,0.595,0.595,0.595,0.595,0
2018-08-10,0.595,0.595,0.595,0.595,0
2018-08-13,0.57,0.57,0.57,0.57,1965
2018-08-14,0.55,0.55,0.55,0.55,9500
2018-08-15,0.575,0.575,0.575,0.575,3500
2018-08-16,0.595,0.555,0.595,0.59,13500
2018-08-17,0.57,0.57,0.57,0.57,6150
2018-08-20,0.55,0.55,0.55,0.55,200
2018-08-21,0.55,0.55,0.55,0.55,0
2018-08-22,0.55,0.55,0.55,0.55,0
2018-08-23,0.54,0.54,0.54,0.54,15000
2018-08-24,0.59,0.565,0.59,0.565,8855
2018-08-27,0.57,0.57,0.57,0.57,150
2018-08-28,0.57,0.57,0.57,0.57,0
2018-08-29,0.57,0.57,0.57,0.57,0
2018-08-30,0.545,0.545,0.545,0.545,6673
2018-08-31,0.545,0.545,0.545,0.545,0
2018-09-03,0.545,0.545,0.545,0.545,0
2018-09-04,0.545,0.545,0.545,0.545,0
2018-09-05,0.57,0.57,0.57,0.57,300
2018-09-06,0.57,0.57,0.57,0.57,0
2018-09-07,0.57,0.57,0.57,0.57,0
2018-09-10,0.54,0.54,0.54,0.54,2600
2018-09-11,0.53,0.515,0.53,0.515,21871
2018-09-12,0.53,0.53,0.53,0.53,0
2018-09-13,0.53,0.53,0.53,0.53,0
2018-09-14,0.555,0.555,0.555,0.555,9010
2018-09-17,0.555,0.555,0.555,0.555,0
2018-09-18,0.555,0.555,0.555,0.555,0
2018-09-19,0.555,0.555,0.555,0.555,0
2018-09-20,0.54,0.54,0.54,0.54,10000
2018-09-21,0.54,0.54,0.54,0.54,0
2018-09-24,0.53,0.53,0.53,0.53,150
2018-09-25,0.53,0.53,0.53,0.53,0
2018-09-26,0.555,0.555,0.555,0.555,9010
2018-09-27,0.58,0.58,0.58,0.58,4400
2018-09-28,0.59,0.59,0.59,0.59,310
2018-10-01,0.59,0.59,0.59,0.59,0
2018-10-02,0.59,0.59,0.59,0.59,0
2018-10-03,0.59,0.59,0.59,0.59,22000
2018-10-04,0.59,0.59,0.59,0.59,0
2018-10-05,0.59,0.59,0.59,0.59,0
2018-10-08,0.59,0.59,0.59,0.59,0
2018-10-09,0.59,0.59,0.59,0.59,0
2018-10-10,0.59,0.59,0.59,0.59,0
2018-10-11,0.59,0.59,0.59,0.59,0
2018-10-12,0.56,0.56,0.56,0.56,5250
2018-10-15,0.56,0.56,0.56,0.56,0
2018-10-16,0.575,0.515,0.555,0.55,48424
2018-10-17,0.555,0.555,0.555,0.555,0
2018-10-18,0.565,0.54,0.565,0.54,18708
2018-10-19,0.585,0.585,0.585,0.585,2000
2018-10-22,0.59,0.56,0.56,0.59,2000
2018-10-23,0.56,0.56,0.56,0.56,0
2018-10-24,0.56,0.56,0.56,0.56,0
2018-10-25,0.56,0.56,0.56,0.56,0
2018-10-26,0.56,0.56,0.56,0.56,0
2018-10-29,0.56,0.56,0.56,0.56,0
2018-10-30,0.55,0.52,0.52,0.54,13245
2018-10-31,0.545,0.545,0.545,0.545,11533
2018-11-01,0.545,0.545,0.545,0.545,0
2018-11-02,0.545,0.545,0.545,0.545,0
2018-11-02,0.545,0.545,0.545,0.545,0
2018-11-05,0.545,0.545,0.545,0.545,0
2018-11-06,0.74,0.53,0.63,0.57,246470
2018-11-07,0.72,0.66,0.66,0.68,55357
2018-11-08,0.66,0.59,0.59,0.66,32010
2018-11-09,0.65,0.62,0.65,0.62,50565
2018-11-12,0.65,0.65,0.65,0.65,0
2018-11-13,0.65,0.65,0.65,0.65,0
2018-11-14,0.65,0.65,0.65,0.65,0
2018-11-15,0.7,0.7,0.7,0.7,5500
2018-11-16,0.68,0.68,0.68,0.68,6200
2018-11-19,0.68,0.68,0.68,0.68,0
2018-11-20,0.68,0.68,0.68,0.68,0
2018-11-21,0.68,0.68,0.68,0.68,0
2018-11-22,0.66,0.64,0.64,0.66,24407
2018-11-23,0.63,0.61,0.63,0.61,30197
2018-11-26,0.65,0.625,0.645,0.625,227937
2018-11-27,0.645,0.645,0.645,0.645,0
2018-11-28,0.645,0.645,0.645,0.645,0
2018-11-29,0.645,0.645,0.645,0.645,0
2018-11-30,0.62,0.62,0.62,0.62,200
2018-12-03,0.64,0.625,0.64,0.63,115000
2018-12-04,0.635,0.635,0.635,0.635,34595
2018-12-05,0.635,0.635,0.635,0.635,0
2018-12-06,0.635,0.635,0.635,0.635,0
2018-12-07,0.63,0.63,0.63,0.63,3000
2018-12-10,0.62,0.62,0.62,0.62,1000
2018-12-11,0.62,0.62,0.62,0.62,0
2018-12-12,0.6,0.6,0.6,0.6,8000
2018-12-13,0.6,0.6,0.6,0.6,0
2018-12-14,0.6,0.6,0.6,0.6,0
2018-12-17,0.6,0.6,0.6,0.6,0
2018-12-18,0.6,0.6,0.6,0.6,0
2018-12-19,0.58,0.56,0.56,0.58,30664
2018-12-20,0.53,0.53,0.53,0.53,3700
2018-12-21,0.55,0.545,0.55,0.545,22205
2018-12-27,0.55,0.55,0.55,0.55,0
2018-12-28,0.55,0.55,0.55,0.55,0
2019-01-02,0.64,0.58,0.61,0.58,78481
2019-01-03,0.59,0.59,0.59,0.59,8475
