Date,High,Low,Close,Open,Volume
2020-01-02,102.2,98.0,99.9,98.0,5931
2020-01-03,101.0,97.7,99.0,101.0,5343
2020-01-06,100.8,95.0,96.4,100.0,6191
2020-01-07,105.0,97.2,103.6,98.0,10389
2020-01-08,104.4,100.0,101.0,104.4,6848
2020-01-09,109.8,102.2,104.2,103.4,9404
2020-01-10,109.0,106.0,107.0,106.0,10778
2020-01-13,109.0,106.2,107.0,108.0,7215
2020-01-14,109.0,105.0,105.2,109.0,3347
2020-01-15,108.0,105.0,105.2,106.6,3556
2020-01-16,105.6,99.1,103.0,105.2,8218
2020-01-17,106.8,100.0,105.0,104.0,3083
2020-01-20,106.0,100.0,102.8,106.0,1357
2020-01-21,104.0,100.0,102.4,103.0,4617
2020-01-22,104.8,100.4,101.8,102.4,3426
2020-01-23,103.0,96.2,98.5,103.0,4682
2020-01-24,100.0,94.8,97.0,100.0,7249
2020-01-27,96.7,85.1,85.1,96.7,22114
2020-01-28,93.2,82.4,89.2,82.4,11719
2020-01-29,92.0,89.1,91.7,90.0,3066
2020-01-30,94.0,89.9,93.0,92.0,2057
2020-01-31,94.9,91.2,92.8,94.9,4061
2020-02-03,93.8,90.0,91.3,93.8,3274
2020-02-04,91.9,88.0,91.6,91.3,3294
2020-02-05,95.9,92.4,95.0,94.0,5302
2020-02-06,95.9,91.0,93.9,95.5,2058
2020-02-07,94.0,88.0,93.0,94.0,5889
2020-02-10,93.8,88.4,90.0,93.0,1492
2020-02-11,92.0,88.1,92.0,90.0,4032
2020-02-12,92.0,88.0,91.9,92.0,5971
2020-02-13,90.8,88.2,89.0,90.8,1308
2020-02-14,93.0,88.8,89.0,90.0,4975
2020-02-17,90.0,83.3,85.0,90.0,3313
2020-02-18,87.9,78.9,83.0,86.0,9586
2020-02-19,91.8,83.0,85.0,85.0,12332
2020-02-20,88.0,82.0,83.5,88.0,8480
2020-02-21,85.9,83.0,85.9,84.0,3187
2020-02-24,82.4,79.4,79.5,82.4,6939
2020-02-25,81.8,77.0,79.7,80.0,4813
2020-02-26,83.1,77.0,83.0,78.5,6798
2020-02-27,87.0,77.0,87.0,83.0,19687
2020-02-28,81.9,69.0,72.0,80.0,44988
2020-03-02,75.9,71.5,72.9,73.0,5882
2020-03-03,76.0,67.0,70.0,74.1,13803
2020-03-04,70.0,64.9,68.0,70.0,12617
2020-03-05,67.3,63.0,64.0,65.0,6180
2020-03-06,65.9,55.7,59.9,65.9,6116
2020-03-09,55.0,40.0,50.0,50.0,20758
2020-03-10,65.0,54.0,56.0,55.0,10664
2020-03-11,57.9,54.0,56.2,57.9,3734
2020-03-12,57.0,52.0,53.0,57.0,10675
2020-03-13,64.1,54.2,63.5,54.2,50630
2020-03-16,64.9,56.0,58.0,64.1,7685
2020-03-17,64.9,58.2,58.9,64.0,3127
2020-03-18,57.5,50.0,50.0,51.0,27606
2020-03-19,53.7,48.0,51.5,51.0,13551
2020-03-20,56.0,51.4,52.4,52.1,7437
2020-03-23,51.6,49.2,51.0,50.0,4425
2020-03-24,55.9,51.0,52.3,55.0,2920
2020-03-25,53.5,50.0,51.0,52.0,5119
2020-03-26,51.9,49.6,51.0,51.0,6363
