Date,High,Low,Close,Open,Volume
2020-01-02,10.5,10.0,10.5,10.0,3378
2020-01-03,10.5,10.4,10.4,10.5,510
2020-01-07,10.7,10.3,10.4,10.3,1069
2020-01-08,10.4,10.4,10.4,10.4,916
2020-01-09,10.4,10.4,10.4,10.4,500
2020-01-10,10.6,10.3,10.5,10.3,8213
2020-01-13,10.4,10.3,10.3,10.4,710
2020-01-14,10.5,10.3,10.5,10.3,1288
2020-01-15,10.8,10.6,10.7,10.6,3386
2020-01-16,10.7,10.7,10.7,10.7,0
2020-01-17,10.6,10.5,10.6,10.5,1588
2020-01-20,10.7,10.4,10.7,10.6,5567
2020-01-21,10.7,10.3,10.7,10.5,5873
2020-01-22,10.7,10.7,10.7,10.7,0
2020-01-23,11.2,10.4,11.2,10.4,18105
2020-01-24,11.3,11.0,11.3,11.0,13963
2020-01-27,11.5,11.0,11.5,11.1,22574
2020-01-28,11.5,11.2,11.5,11.4,4998
2020-01-29,12.7,11.3,12.7,11.6,19599
2020-01-30,12.6,12.3,12.6,12.3,3000
2020-01-31,12.5,12.0,12.5,12.4,12163
2020-02-03,14.0,11.8,11.8,12.3,41619
2020-02-04,13.0,11.8,12.2,12.0,10123
2020-02-05,12.3,11.6,11.6,12.1,17438
2020-02-06,12.0,11.6,11.9,11.6,9801
2020-02-07,12.0,11.0,11.3,12.0,9160
2020-02-10,11.4,11.0,11.3,11.3,18144
2020-02-11,12.0,11.0,11.9,11.0,13531
2020-02-12,12.0,11.0,11.5,12.0,12020
2020-02-13,11.4,10.8,11.0,11.2,34147
2020-02-14,11.2,11.2,11.2,11.2,1237
2020-02-17,11.5,10.6,10.8,11.0,8461
2020-02-18,11.2,10.6,11.0,11.0,10244
2020-02-19,11.2,10.5,10.7,11.2,13264
2020-02-20,10.7,10.5,10.7,10.5,365
2020-02-21,10.8,10.5,10.8,10.8,4420
2020-02-24,10.6,10.2,10.5,10.5,8412
2020-02-25,10.6,10.0,10.2,10.5,18386
2020-02-26,9.8,8.0,8.25,9.8,43618
