Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,4.0,3.625,4.0,3.625,9035
2018-06-07,3.97,3.7,3.8,3.97,1723
2018-06-08,3.8,3.8,3.8,3.8,0
2018-06-11,3.75,3.7,3.7,3.75,2371
2018-06-12,3.695,3.695,3.695,3.695,1536
2018-06-13,3.695,3.695,3.695,3.695,120
2018-06-14,3.8,3.65,3.65,3.7,12625
2018-06-15,3.985,3.965,3.965,3.985,9582
2018-06-18,3.965,3.965,3.965,3.965,0
2018-06-19,3.655,3.62,3.655,3.655,17391
2018-06-20,3.895,3.625,3.625,3.895,1200
2018-06-21,3.895,3.895,3.895,3.895,1000
2018-06-25,3.85,3.85,3.85,3.85,1749
2018-06-26,3.85,3.85,3.85,3.85,2276
2018-06-27,3.655,3.655,3.655,3.655,1554
2018-06-28,3.895,3.655,3.89,3.655,15017
2018-06-29,3.89,3.85,3.85,3.89,6642
2018-07-02,3.875,3.875,3.875,3.875,5200
2018-07-03,3.89,3.7,3.89,3.75,4240
2018-07-04,3.89,3.65,3.65,3.89,1380
2018-07-05,3.65,3.65,3.65,3.65,0
2018-07-06,3.895,3.65,3.655,3.895,8206
2018-07-09,4.1,3.8,3.8,3.895,13350
2018-07-10,3.7,3.7,3.7,3.7,674
2018-07-11,3.75,3.7,3.7,3.75,10668
2018-07-12,3.795,3.6,3.6,3.795,10489
2018-07-13,3.65,3.6,3.6,3.65,1331
2018-07-16,3.8,3.745,3.745,3.8,6917
2018-07-17,3.745,3.6,3.6,3.745,6359
2018-07-18,3.745,3.415,3.745,3.6,1307
2018-07-19,3.7,3.45,3.475,3.7,11000
2018-07-20,3.7,3.56,3.7,3.56,4855
2018-07-23,3.7,3.695,3.695,3.7,229
2018-07-24,3.64,3.64,3.64,3.64,250
2018-07-25,3.64,3.45,3.64,3.64,16001
2018-07-26,3.7,3.6,3.7,3.7,22703
2018-07-27,3.54,3.52,3.52,3.54,2271
2018-07-30,3.815,3.49,3.49,3.815,42156
2018-07-31,3.605,3.49,3.59,3.49,16445
2018-08-01,3.59,3.59,3.59,3.59,0
2018-08-02,4.095,4.035,4.035,4.095,30600
