Date,Closing price,50,200
2018-06-04,71.0,,
2018-06-06,70.0,,
2018-06-07,71.1,,
2018-06-08,71.0,,
2018-06-11,72.5,,
2018-06-12,72.2,,
2018-06-13,71.8,,
2018-06-14,70.2,,
2018-06-15,69.5,,
2018-06-18,68.5,,
2018-06-19,68.4,,
2018-06-20,69.2,,
2018-06-21,67.7,,
2018-06-22,68.7,,
2018-06-25,68.2,,
2018-06-26,67.8,,
2018-06-27,67.8,,
2018-06-28,68.0,,
2018-06-29,68.3,,
2018-07-02,67.8,,
2018-07-03,68.0,,
2018-07-04,68.2,,
2018-07-05,68.4,,
2018-07-06,67.0,,
2018-07-09,68.2,,
2018-07-10,69.0,,
2018-07-11,68.6,,
2018-07-12,68.2,,
2018-07-13,68.4,,
2018-07-16,68.2,,
2018-07-17,67.8,,
2018-07-18,67.2,,
2018-07-19,67.8,,
2018-07-20,67.6,,
2018-07-23,68.2,,
2018-07-24,69.5,,
2018-07-25,69.3,,
2018-07-26,69.0,,
2018-07-27,68.6,,
2018-07-30,68.9,,
2018-07-31,68.7,,
2018-08-01,69.0,,
2018-08-02,68.0,,
2018-08-03,67.8,,
2018-08-06,66.9,,
2018-08-07,66.3,,
2018-08-08,66.1,,
2018-08-09,66.5,,
2018-08-10,65.5,,
2018-08-13,65.2,,
2018-08-14,63.8,,
2018-08-15,62.0,,
2018-08-16,62.9,,
2018-08-17,63.1,,
2018-08-20,62.4,,
2018-08-21,62.8,,
2018-08-22,63.0,,
2018-08-23,62.0,,
2018-08-24,62.4,,
2018-08-27,63.0,,
2018-08-28,63.8,,
2018-08-29,63.3,,
2018-08-30,62.6,,
2018-08-31,62.7,,
2018-09-03,62.5,,
2018-09-04,62.1,,
2018-09-05,61.5,,
2018-09-06,62.1,,
2018-09-07,61.4,,
2018-09-10,61.2,,
2018-09-11,61.0,,
2018-09-12,60.5,,
2018-09-13,59.8,,
2018-09-14,60.2,,
2018-09-17,60.3,,
2018-09-18,60.1,,
2018-09-19,60.5,,
2018-09-20,62.2,,
2018-09-21,61.3,,
2018-09-24,60.4,,
2018-09-25,59.7,,
2018-09-26,60.8,,
2018-09-27,60.1,,
2018-09-28,59.6,,
2018-10-01,60.0,,
2018-10-02,59.8,,
2018-10-03,60.0,,
2018-10-04,59.4,,
2018-10-05,59.1,,
2018-10-08,58.5,,
2018-10-09,57.5,,
2018-10-10,56.9,,
2018-10-11,55.9,,
2018-10-12,56.5,,
2018-10-15,55.3,,
2018-10-16,55.6,,
2018-10-17,55.3,,
2018-10-18,55.4,,
2018-10-19,55.3,,
2018-10-22,56.8,,
2018-10-23,54.9,,
2018-10-24,54.7,,
2018-10-25,55.4,,
2018-10-26,54.7,,
2018-10-29,55.4,,
2018-10-30,53.8,,
2018-10-31,54.6,,
2018-11-01,55.6,,
2018-11-02,56.9,,
2018-11-05,55.4,,
2018-11-06,54.0,,
2018-11-07,56.1,,
2018-11-08,55.5,,
2018-11-09,56.1,,
2018-11-12,56.4,,
2018-11-13,56.5,,
2018-11-14,56.0,,
2018-11-15,54.8,,
2018-11-16,54.7,,
2018-11-19,54.0,,
2018-11-20,52.8,,
2018-11-21,52.9,,
2018-11-22,53.5,,
2018-11-23,54.0,,
2018-11-26,55.2,,
2018-11-27,54.2,,
2018-11-28,54.6,,
2018-11-29,55.0,,
2018-11-30,55.9,,
2018-12-03,56.0,,
2018-12-04,55.3,,
2018-12-05,55.3,,
2018-12-06,54.7,,
2018-12-07,55.3,,
2018-12-10,52.8,,
2018-12-11,53.5,,
2018-12-12,55.1,,
2018-12-13,55.0,,
2018-12-14,54.7,,
2018-12-17,55.3,,
2018-12-18,55.2,,
2018-12-19,54.3,,
2018-12-20,52.0,,
2018-12-21,50.7,,
2018-12-27,51.0,,
2018-12-28,52.3,,
2019-01-02,54.3,,
2019-01-03,54.4,,
2019-01-04,54.3,,
2019-01-07,55.4,,
2019-01-08,55.6,,
2019-01-09,56.5,,
2019-01-10,56.3,,
2019-01-11,56.6,,
2019-01-14,56.0,,
2019-01-15,55.6,,
2019-01-16,56.1,,
2019-01-17,55.6,,
2019-01-18,56.0,,
2019-01-21,56.2,,
2019-01-22,55.8,,
2019-01-23,56.8,,
2019-01-24,56.5,,
2019-01-25,58.2,,
2019-01-28,58.2,,
2019-01-29,56.8,,
2019-01-30,54.9,,
2019-01-31,55.1,,
2019-02-01,55.7,,
2019-02-04,55.8,,
2019-02-05,56.4,,
2019-02-06,56.2,,
2019-02-07,57.2,,
2019-02-08,54.6,,
2019-02-11,55.0,,
2019-02-12,54.8,,
2019-02-13,55.0,,
2019-02-14,54.4,,
2019-02-15,54.4,,
2019-02-18,54.9,,
2019-02-19,54.4,,
2019-02-20,54.5,,
2019-02-21,54.9,,
2019-02-22,55.0,,
2019-02-25,54.8,,
2019-02-26,54.9,,
2019-02-27,56.0,,
2019-02-28,56.4,,
2019-03-01,57.1,,
2019-03-04,56.7,,
2019-03-05,56.9,,
2019-03-06,55.7,,
2019-03-07,55.2,,
2019-03-08,55.0,,
2019-03-11,55.1,,
2019-03-12,55.2,,
2019-03-13,55.8,,
2019-03-14,56.2,,
2019-03-15,56.7,,
2019-03-18,57.5,,
2019-03-19,57.9,,
2019-03-20,58.3,,
2019-03-21,58.7,,
2019-03-22,58.6,,
2019-03-25,57.4,,
2019-03-26,57.6,,
2019-03-27,58.5,,
2019-03-28,58.2,,
2019-03-29,58.3,,
2019-04-01,60.2,,
2019-04-02,59.9,,
2019-04-03,60.2,,
2019-04-04,61.7,,
2019-04-05,61.4,,
2019-04-08,61.7,,
2019-04-09,61.3,,
2019-04-10,60.6,,
2019-04-11,57.9,,
2019-04-12,58.7,,
2019-04-15,58.4,,
2019-04-16,58.4,,
2019-04-17,58.4,,
2019-04-18,58.4,,
2019-04-23,57.2,,
2019-04-24,57.1,,
2019-04-25,57.7,,
2019-04-26,59.0,,
2019-04-29,59.1,,
2019-04-30,57.2,,
2019-05-01,57.8,,
2019-05-02,57.9,,
2019-05-03,57.6,,
2019-05-06,58.0,,
2019-05-07,57.8,,
2019-05-08,58.9,,
2019-05-09,57.9,,
2019-05-10,58.8,,
2019-05-13,58.5,,
2019-05-14,59.4,,
2019-05-15,58.0,58.158,57.77349999999999
2019-05-16,58.0,58.18,57.719999999999985
2019-05-20,56.7,58.2,57.65849999999998
2019-05-21,57.3,58.242,57.60499999999998
2019-05-22,57.9,58.3,57.55549999999998
2019-05-23,57.8,58.354,57.509999999999984
2019-05-24,58.1,58.412,57.46899999999998
2019-05-27,58.4,58.464,57.43049999999998
2019-05-28,58.3,58.50599999999999,57.38949999999998
2019-05-29,59.0,58.552,57.35699999999998
