Date,High,Low,Close,Open,Volume
2020-01-02,89.8,89.0,89.4,89.4,3314
2020-01-03,89.6,88.8,89.6,89.4,2516
2020-01-06,89.8,88.8,89.6,89.8,736
2020-01-07,91.0,88.8,88.8,90.0,4582
2020-01-08,89.6,88.8,89.0,88.8,4328
2020-01-09,89.8,88.6,89.4,88.8,9865
2020-01-10,89.4,88.6,89.4,88.6,3462
2020-01-13,89.4,88.8,89.0,89.0,2585
2020-01-14,90.0,88.4,90.0,88.4,11911
2020-01-15,91.2,89.4,91.2,89.8,13440
2020-01-16,91.2,90.0,91.2,91.0,7868
2020-01-17,91.4,90.0,91.4,91.2,7052
2020-01-20,94.4,91.2,94.4,91.2,14925
2020-01-21,95.6,93.4,94.8,94.8,5560
2020-01-22,94.8,93.8,93.8,93.8,5579
2020-01-23,94.8,93.8,94.8,93.8,3273
2020-01-24,94.8,94.0,94.8,94.6,4876
2020-01-27,94.8,93.8,94.6,94.0,4429
2020-01-28,94.4,93.0,93.8,94.0,17704
2020-01-29,94.2,93.4,94.0,93.4,2389
2020-01-30,95.4,93.6,95.0,94.0,10587
2020-01-31,96.6,95.0,96.2,95.2,11124
2020-02-03,96.2,95.0,95.2,96.2,4379
2020-02-04,96.8,95.0,96.8,95.2,4905
2020-02-05,97.8,95.0,97.0,96.0,15714
2020-02-06,99.8,96.6,98.8,97.6,16840
2020-02-07,99.0,97.0,98.2,98.8,9068
2020-02-10,99.0,97.6,99.0,99.0,15894
2020-02-11,100.0,98.6,99.0,98.6,7838
2020-02-12,99.6,98.8,99.6,99.6,3722
2020-02-13,99.6,98.8,98.8,99.6,4146
2020-02-14,99.6,98.6,99.2,99.0,5756
2020-02-17,99.2,97.0,98.8,99.2,8500
2020-02-18,98.8,97.4,98.4,98.0,6253
2020-02-19,98.4,97.4,97.8,97.4,3584
2020-02-20,99.2,97.8,98.4,97.8,10778
2020-02-21,99.0,98.2,99.0,99.0,2341
2020-02-24,98.4,96.0,96.6,98.2,11857
2020-02-25,97.4,92.4,95.4,96.6,7355
2020-02-26,96.8,94.0,95.0,95.4,12214
2020-02-27,94.4,93.0,93.4,94.4,13251
2020-02-28,92.6,90.8,91.4,92.6,10871
2020-03-02,92.8,91.2,92.0,91.2,7787
2020-03-03,93.4,92.0,92.6,92.8,12025
2020-03-04,93.4,92.2,93.2,92.6,4648
2020-03-05,92.0,89.2,90.4,92.0,16913
2020-03-06,90.0,88.2,88.4,89.4,13876
2020-03-09,84.6,82.0,84.0,84.0,12538
2020-03-10,86.0,83.8,85.0,83.8,28575
2020-03-11,85.6,83.4,83.4,85.2,9042
2020-03-12,82.0,79.2,79.2,82.0,8726
2020-03-13,82.2,78.8,81.0,79.2,13308
2020-03-16,79.6,70.0,76.4,75.0,8597
2020-03-17,76.6,75.0,75.0,76.6,6303
2020-03-18,76.4,74.6,74.8,75.0,27568
2020-03-19,76.4,74.8,76.4,75.8,3021
2020-03-20,77.0,76.0,76.0,76.8,3999
2020-03-23,76.6,76.0,76.0,76.6,27075
2020-03-24,77.2,75.2,77.0,77.2,1229
2020-03-25,78.0,77.0,77.2,77.2,7737
2020-03-26,77.6,77.0,77.6,77.2,1319
2020-03-27,77.6,76.8,77.4,77.6,1538
2020-03-30,77.6,76.8,77.0,77.6,2529
2020-03-31,80.0,77.0,78.2,77.0,16325
2020-04-01,78.6,78.0,78.4,78.4,2574
2020-04-02,78.4,78.0,78.2,78.2,1212
2020-04-03,79.0,78.0,78.6,78.4,4287
2020-04-06,79.0,78.2,78.8,78.4,969
2020-04-07,79.2,78.4,79.2,79.2,1776
2020-04-08,79.0,79.0,79.0,79.0,287
2020-04-09,79.0,79.0,79.0,79.0,0
2020-04-14,79.0,78.2,78.2,79.0,2056
2020-04-15,79.2,78.2,78.2,78.6,4225
2020-04-16,79.0,78.2,78.2,78.2,468
2020-04-17,79.2,77.8,77.8,79.0,11203
2020-04-20,78.6,77.6,78.4,78.0,3956
2020-04-21,78.4,76.6,77.2,78.4,15710
2020-04-22,77.6,76.8,76.8,77.2,4293
2020-04-23,78.0,76.8,77.4,76.8,5428
2020-04-24,78.0,77.0,77.8,77.0,2444
2020-04-27,78.2,77.2,77.2,77.2,2640
2020-04-28,78.0,77.2,78.0,77.4,1088
2020-04-29,78.4,78.0,78.4,78.0,17472
2020-04-30,79.0,77.8,78.0,78.8,10995
2020-05-01,78.8,77.0,78.4,78.0,3882
2020-05-04,78.0,77.2,77.4,78.0,2523
2020-05-05,77.4,77.0,77.4,77.4,1854
2020-05-06,77.4,76.6,77.4,77.2,4155
2020-05-07,77.6,77.0,77.6,77.2,2365
2020-05-11,78.0,76.2,77.4,77.0,8117
2020-05-12,77.6,76.8,77.6,77.4,1760
2020-05-13,77.2,76.8,77.2,76.8,732
2020-05-14,77.6,76.0,76.4,77.2,2666
2020-05-15,78.2,76.6,76.6,77.0,1836
2020-05-18,77.2,76.0,77.2,76.6,7249
2020-05-19,78.6,76.8,78.6,77.2,5086
2020-05-20,77.8,77.0,77.4,77.2,3296
2020-05-25,79.0,77.6,78.6,78.2,13760
2020-05-26,80.2,78.2,80.2,78.2,6034
2020-05-27,82.2,80.4,82.0,81.2,6920
2020-05-28,82.8,81.8,82.0,82.0,2912
2020-05-29,82.6,82.0,82.0,82.2,1989
2020-06-02,82.6,82.2,82.2,82.6,2178
2020-06-03,83.2,82.0,83.2,82.0,3721
2020-06-04,83.6,82.4,82.8,83.2,3030
2020-06-08,84.6,82.8,84.4,82.8,8576
2020-06-09,86.0,84.0,84.6,84.4,15660
2020-06-10,85.8,84.2,85.0,85.0,5233
2020-06-11,84.8,83.8,83.8,84.8,5724
2020-06-12,83.8,82.8,83.0,83.6,8611
2020-06-15,83.4,82.6,83.2,83.0,6533
2020-06-16,84.0,82.6,83.8,83.2,2667
2020-06-17,84.2,83.4,83.4,83.8,5362
2020-06-18,83.8,82.6,83.4,83.4,4016
2020-06-19,83.8,83.0,83.0,83.6,380
2020-06-22,84.4,83.2,83.8,84.4,1923
2020-06-23,84.4,83.4,83.4,84.0,3218
2020-06-24,84.2,83.4,83.6,83.6,1525
2020-06-25,84.2,84.2,84.2,84.2,229
2020-06-26,84.8,84.0,84.2,84.0,1710
2020-06-29,84.4,83.6,83.6,84.2,1514
2020-06-30,84.2,83.6,83.6,84.0,5430
2020-07-01,84.4,83.8,83.8,83.8,1432
2020-07-02,84.6,84.0,84.0,84.2,3566
2020-07-03,84.6,84.0,84.0,84.4,1354
2020-07-06,85.0,84.2,84.4,84.6,1939
2020-07-07,84.8,84.0,84.0,84.8,1085
2020-07-08,84.6,84.0,84.0,84.0,1144
2020-07-09,84.8,84.0,84.2,84.2,1545
2020-07-10,84.2,84.0,84.0,84.2,1231
2020-07-13,85.0,83.8,84.4,84.0,2066
2020-07-14,84.4,84.0,84.4,84.0,1818
2020-07-15,84.6,83.8,84.0,84.0,743
2020-07-16,84.6,83.0,83.4,84.6,3210
2020-07-17,84.4,83.8,84.0,84.4,2102
2020-07-20,84.4,83.6,83.6,83.6,635
2020-07-21,85.0,84.2,84.6,84.4,4390
2020-07-22,85.0,84.4,84.8,84.6,2072
2020-07-23,85.0,84.0,84.8,85.0,1924
2020-07-24,84.6,83.8,83.8,84.0,1181
2020-07-27,84.6,83.6,83.6,83.8,2586
2020-07-28,83.8,83.6,83.8,83.6,1720
2020-07-29,85.2,83.0,84.0,83.6,9441
2020-07-30,84.4,83.6,83.6,84.4,1873
2020-07-31,84.2,83.6,84.0,84.2,1500
2020-08-03,83.6,83.4,83.4,83.6,978
2020-08-04,84.2,83.4,83.6,84.2,2108
2020-08-05,84.0,83.4,83.4,84.0,1280
2020-08-06,83.6,83.6,83.6,83.6,1374
2020-08-07,84.2,83.6,83.6,84.0,1969
2020-08-10,84.0,83.6,83.6,84.0,2608
2020-08-11,85.2,83.4,84.8,83.4,19492
