Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,0.378,0.31,0.37,0.336,1087684
2018-06-07,0.37,0.322,0.364,0.37,898291
2018-06-08,0.368,0.344,0.344,0.368,418619
2018-06-11,0.38,0.32,0.33,0.35,943539
2018-06-12,0.35,0.32,0.34,0.33,75943
2018-06-13,0.38,0.322,0.368,0.38,560157
2018-06-14,0.38,0.346,0.376,0.346,252944
2018-06-15,0.38,0.332,0.378,0.376,245821
2018-06-18,0.378,0.338,0.368,0.378,290684
2018-06-19,0.374,0.338,0.344,0.37,372531
2018-06-20,0.376,0.34,0.364,0.36,544986
2018-06-21,0.374,0.346,0.36,0.364,177587
2018-06-25,0.4,0.36,0.378,0.4,216310
2018-06-26,0.376,0.352,0.37,0.376,79114
2018-06-27,0.37,0.344,0.37,0.37,60723
2018-06-28,0.408,0.352,0.408,0.37,139417
2018-06-29,0.4,0.36,0.398,0.4,598300
2018-07-02,0.44,0.37,0.44,0.398,255231
2018-07-03,0.486,0.4,0.48,0.4,671874
2018-07-04,0.53,0.462,0.5,0.488,586914
2018-07-05,0.58,0.462,0.575,0.5,580764
2018-07-06,0.65,0.54,0.545,0.55,1350059
2018-07-09,0.64,0.422,0.54,0.545,815494
2018-07-10,0.56,0.274,0.332,0.535,4516254
2018-07-11,0.348,0.28,0.29,0.31,1052058
2018-07-12,0.306,0.286,0.29,0.296,692166
2018-07-13,0.326,0.286,0.316,0.288,444816
2018-07-16,0.33,0.28,0.308,0.32,539234
2018-07-17,0.318,0.28,0.3,0.318,128727
2018-07-18,0.29,0.26,0.28,0.284,146981
2018-07-19,0.4,0.258,0.286,0.286,1321176
2018-07-20,0.3,0.282,0.282,0.29,55481
2018-07-23,0.316,0.282,0.302,0.282,244095
2018-07-24,0.334,0.288,0.292,0.3,187099
2018-07-25,0.32,0.284,0.308,0.32,171190
2018-07-26,0.308,0.27,0.28,0.308,429110
2018-07-27,0.288,0.272,0.286,0.28,148067
2018-07-30,0.29,0.26,0.288,0.286,254793
2018-07-31,0.286,0.262,0.28,0.286,40098
2018-08-01,0.28,0.252,0.27,0.28,580480
2018-08-02,0.29,0.26,0.262,0.29,215805
2018-08-03,0.284,0.26,0.266,0.268,47551
2018-08-06,0.298,0.232,0.286,0.266,386869
2018-08-07,0.294,0.256,0.294,0.282,212500
2018-08-08,0.29,0.264,0.27,0.288,117240
2018-08-09,0.41,0.27,0.41,0.27,2949413
2018-08-10,0.45,0.284,0.29,0.404,4972082
2018-08-13,0.296,0.262,0.27,0.296,654101
2018-08-14,0.268,0.25,0.256,0.266,500902
2018-08-15,0.276,0.256,0.262,0.256,200674
2018-08-16,0.274,0.262,0.272,0.262,202050
2018-08-17,0.27,0.246,0.266,0.27,128562
2018-08-20,0.3,0.246,0.266,0.266,611703
2018-08-21,0.28,0.248,0.254,0.252,153217
2018-08-22,0.29,0.25,0.26,0.26,453706
2018-08-23,0.298,0.248,0.25,0.264,2026171
2018-08-24,0.25,0.23,0.25,0.248,358191
2018-08-27,0.26,0.24,0.25,0.25,1166721
2018-08-28,0.26,0.24,0.25,0.242,227317
2018-08-29,0.256,0.24,0.254,0.25,169619
2018-08-30,0.254,0.232,0.238,0.254,293450
2018-08-31,0.268,0.246,0.246,0.268,24138
2018-09-03,0.268,0.24,0.248,0.246,105722
2018-09-04,0.26,0.236,0.24,0.248,298789
2018-09-05,0.258,0.24,0.258,0.252,104349
2018-09-06,0.26,0.238,0.25,0.258,117269
2018-09-07,0.256,0.23,0.246,0.256,250008
2018-09-10,0.25,0.226,0.24,0.246,251433
2018-09-11,0.244,0.226,0.242,0.24,98897
2018-09-12,0.242,0.226,0.238,0.24,478000
2018-09-13,0.238,0.232,0.234,0.238,53939
2018-09-14,0.24,0.212,0.212,0.234,303010
2018-09-17,0.228,0.21,0.228,0.218,149560
2018-09-18,0.23,0.21,0.23,0.21,153805
2018-09-19,0.23,0.206,0.23,0.214,228806
2018-09-20,0.228,0.202,0.228,0.228,66500
2018-09-21,0.222,0.206,0.206,0.222,73601
2018-09-24,0.2,0.182,0.2,0.182,56497
2018-09-25,0.2,0.186,0.199,0.2,69905
2018-09-26,0.2,0.186,0.2,0.186,34940
2018-09-27,0.22,0.21,0.216,0.21,45092
2018-09-28,0.22,0.216,0.216,0.216,9999
2018-10-01,0.22,0.22,0.22,0.22,24095
2018-10-02,0.22,0.19,0.21,0.22,20480
2018-10-03,0.202,0.17,0.18,0.2,335741
2018-10-04,0.19,0.18,0.19,0.18,33000
2018-10-05,0.192,0.189,0.189,0.192,54422
2018-10-08,0.189,0.18,0.18,0.18,48228
2018-10-09,0.199,0.18,0.196,0.18,47400
2018-10-10,0.195,0.171,0.192,0.174,50033
2018-10-11,0.18,0.161,0.177,0.179,349095
2018-10-12,0.19,0.162,0.18,0.19,502153
2018-10-15,0.208,0.162,0.2,0.179,295876
2018-10-16,0.2,0.178,0.193,0.2,107650
2018-10-17,0.182,0.17,0.182,0.18,82515
2018-10-18,0.193,0.179,0.193,0.182,79940
2018-10-19,0.196,0.177,0.196,0.195,28850
2018-10-22,0.22,0.18,0.22,0.199,232741
2018-10-23,0.22,0.19,0.22,0.22,74474
2018-10-24,0.23,0.193,0.206,0.22,284990
2018-10-25,0.199,0.182,0.186,0.182,79622
2018-10-26,0.19,0.185,0.186,0.185,86880
2018-10-29,0.187,0.18,0.187,0.186,48599
2018-10-30,0.199,0.18,0.184,0.19,54554
2018-10-31,0.189,0.179,0.179,0.189,73162
2018-11-01,0.19,0.181,0.185,0.181,11785
2018-11-02,0.185,0.185,0.185,0.185,20300
2018-11-05,0.2,0.18,0.188,0.192,106765
2018-11-06,0.24,0.188,0.188,0.196,246988
2018-11-07,0.238,0.21,0.21,0.226,170232
2018-11-08,0.25,0.214,0.22,0.238,466240
2018-11-09,0.25,0.224,0.23,0.236,564190
2018-11-12,0.25,0.22,0.248,0.22,325327
2018-11-13,0.25,0.226,0.234,0.242,339942
2018-11-14,0.246,0.222,0.222,0.234,161255
2018-11-15,0.246,0.202,0.218,0.23,142778
2018-11-16,0.25,0.183,0.195,0.218,362858
2018-11-19,0.195,0.176,0.178,0.195,196944
2018-11-20,0.184,0.17,0.184,0.178,49540
2018-11-21,0.184,0.163,0.179,0.184,63845
2018-11-22,0.192,0.17,0.17,0.17,25308
2018-11-23,0.197,0.17,0.18,0.17,33685
