Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,89.0,87.0,88.2,88.4,16984
2018-06-07,89.0,87.0,87.2,88.2,11698
2018-06-08,88.2,85.4,88.0,86.8,9276
2018-06-11,88.0,85.6,86.0,88.0,15579
2018-06-12,87.8,85.0,85.8,85.0,4149
2018-06-13,86.0,85.0,86.0,86.0,24439
2018-06-14,87.0,85.0,85.4,87.0,15882
2018-06-15,85.4,84.4,84.8,85.4,10481
2018-06-18,85.2,84.0,84.6,85.2,6637
2018-06-19,85.0,83.2,85.0,84.6,69387
2018-06-20,88.2,86.4,87.0,86.4,30399
2018-06-21,87.4,83.0,83.0,87.4,43010
2018-06-25,87.0,83.8,86.8,83.8,147945
2018-06-26,86.6,84.8,86.0,86.6,701887
2018-06-27,86.0,83.8,84.8,86.0,234831
2018-06-28,85.0,84.4,84.8,85.0,30176
2018-06-29,86.0,84.6,86.0,85.0,37397
2018-07-02,88.0,86.0,86.4,87.2,22811
2018-07-03,89.2,87.4,88.0,88.0,21334
2018-07-04,88.0,85.4,86.6,88.0,9040
2018-07-05,88.0,85.4,87.4,85.4,6105
2018-07-06,87.2,85.8,86.4,85.8,3463
2018-07-09,89.6,86.0,87.2,87.8,8384
2018-07-10,89.6,87.8,88.0,89.6,6942
2018-07-11,89.4,87.6,89.0,87.8,2475
2018-07-12,89.4,88.0,88.4,89.4,3960
2018-07-13,89.4,88.6,89.0,89.4,10316
2018-07-16,89.4,88.6,89.2,89.0,3331
2018-07-17,89.4,88.8,89.2,89.2,3468
2018-07-18,89.8,88.8,89.2,89.4,101110
2018-07-19,92.6,89.0,91.0,89.4,11789
2018-07-20,94.0,91.2,91.8,92.0,13419
2018-07-23,92.8,91.0,91.6,92.0,72807
2018-07-24,91.8,88.6,91.8,90.4,27323
2018-07-25,91.8,90.0,91.8,91.8,5311
2018-07-26,91.8,91.4,91.6,91.6,9700
2018-07-27,91.8,90.4,91.4,91.4,20941
2018-07-30,91.6,90.0,90.8,91.6,10138
2018-07-31,90.8,90.0,90.2,90.8,14466
2018-08-01,90.4,89.4,90.0,90.2,8533
2018-08-02,90.4,89.6,90.4,90.0,2097
2018-08-03,92.2,90.4,91.0,90.4,19375
2018-08-06,90.6,89.8,90.0,90.2,8208
2018-08-07,90.4,89.4,89.8,90.0,10626
2018-08-08,90.2,89.6,90.2,90.0,3524
2018-08-09,90.4,89.6,90.4,90.2,2941
2018-08-10,90.2,89.0,89.0,90.2,2839
2018-08-13,90.0,87.0,90.0,88.8,110905
2018-08-14,89.8,88.4,88.6,89.8,3890
2018-08-15,89.8,88.4,89.2,88.6,6652
2018-08-16,90.0,87.4,89.4,89.8,1793
2018-08-17,90.2,89.6,89.6,90.0,15604
2018-08-20,90.0,89.6,90.0,90.0,13267
2018-08-21,91.8,91.0,91.8,91.8,5116
2018-08-22,95.0,91.8,94.0,91.8,24288
2018-08-23,96.8,93.8,94.4,93.8,10277
2018-08-24,93.8,91.2,91.8,93.8,28893
2018-08-27,92.4,90.2,91.8,92.4,26292
2018-08-28,93.8,91.6,92.0,91.8,2227
2018-08-29,92.8,89.4,90.2,92.8,41459
2018-08-30,90.8,89.0,90.0,90.2,19970
2018-08-31,90.2,89.6,89.8,90.2,1893
2018-09-03,90.2,89.8,90.2,90.2,5174
2018-09-04,91.2,87.8,90.2,90.2,21929
2018-09-05,92.0,89.0,89.6,92.0,7033
2018-09-06,90.0,88.8,89.6,89.6,19920
2018-09-07,90.0,88.4,88.8,90.0,5442
2018-09-10,88.8,87.2,88.4,88.6,11159
2018-09-11,88.6,86.2,88.4,88.4,27907
2018-09-12,89.6,87.4,88.8,87.4,4742
2018-09-13,89.6,89.0,89.4,89.6,2109
2018-09-14,90.4,88.8,89.8,89.0,4456
2018-09-17,93.6,90.0,92.0,90.2,16490
2018-09-18,93.0,90.6,92.6,92.2,25333
