Date,Closing price,50,200
2018-06-04,121.0,,
2018-06-05,124.0,,
2018-06-06,125.0,,
2018-06-07,123.6,,
2018-06-08,123.2,,
2018-06-11,124.4,,
2018-06-12,124.4,,
2018-06-13,123.8,,
2018-06-14,124.4,,
2018-06-15,126.0,,
2018-06-18,125.6,,
2018-06-19,124.6,,
2018-06-20,123.2,,
2018-06-21,123.4,,
2018-06-22,124.8,,
2018-06-25,123.6,,
2018-06-26,122.8,,
2018-06-27,124.6,,
2018-06-28,122.6,,
2018-06-29,127.0,,
2018-07-02,123.8,,
2018-07-03,124.2,,
2018-07-04,124.4,,
2018-07-05,129.6,,
2018-07-06,127.4,,
2018-07-09,127.0,,
2018-07-10,134.4,,
2018-07-11,135.6,,
2018-07-12,139.4,,
2018-07-13,138.8,,
2018-07-16,136.8,,
2018-07-17,135.2,,
2018-07-18,136.4,,
2018-07-19,138.6,,
2018-07-20,140.0,,
2018-07-23,139.6,,
2018-07-24,139.6,,
2018-07-25,141.8,,
2018-07-26,144.6,,
2018-07-27,139.0,,
2018-07-30,140.8,,
2018-07-31,139.6,,
2018-08-01,138.2,,
2018-08-02,138.6,,
2018-08-03,139.0,,
2018-08-06,138.0,,
2018-08-07,137.8,,
2018-08-08,139.6,,
2018-08-09,138.4,,
2018-08-10,135.2,,
2018-08-13,132.8,,
2018-08-14,130.4,,
2018-08-15,132.0,,
2018-08-16,128.0,,
2018-08-17,132.8,,
2018-08-20,132.6,,
2018-08-21,133.4,,
2018-08-22,135.0,,
2018-08-23,131.8,,
2018-08-24,133.6,,
2018-08-27,133.4,,
2018-08-28,135.4,,
2018-08-29,135.0,,
2018-08-30,133.6,,
2018-08-31,134.8,,
2018-09-03,135.0,,
2018-09-04,134.2,,
2018-09-05,131.8,,
2018-09-06,130.2,,
2018-09-07,129.0,,
2018-09-10,133.0,,
2018-09-11,129.4,,
2018-09-12,126.8,,
2018-09-13,125.6,,
2018-09-14,125.6,,
2018-09-17,126.0,,
2018-09-18,127.0,,
2018-09-19,121.2,,
2018-09-20,126.6,,
2018-09-21,127.2,,
2018-09-24,125.6,,
2018-09-25,123.6,,
2018-09-26,123.2,,
2018-09-27,124.0,,
2018-09-28,124.6,,
2018-10-01,124.8,,
2018-10-02,124.8,,
2018-10-03,128.0,,
2018-10-04,120.2,,
2018-10-05,121.6,,
2018-10-08,124.4,,
2018-10-09,121.0,,
2018-10-10,120.6,,
2018-10-11,115.8,,
2018-10-12,113.8,,
2018-10-15,118.0,,
2018-10-16,119.2,,
2018-10-17,118.0,,
2018-10-18,117.2,,
2018-10-19,117.0,,
2018-10-22,116.0,,
2018-10-23,113.4,,
2018-10-24,116.2,,
2018-10-25,114.6,,
2018-10-26,112.6,,
2018-10-29,116.0,,
2018-10-30,112.4,,
2018-10-31,113.4,,
2018-11-01,116.0,,
2018-11-02,112.6,,
2018-11-05,112.4,,
2018-11-06,113.2,,
2018-11-07,113.0,,
2018-11-08,113.8,,
